ds,yhat,yhat_lower,yhat_upper
2024-01-01,25337.309129392605,20963.42217733967,29973.658495342017
2024-01-02,26366.368921976886,21931.57468264257,30802.81714793629
2024-01-03,25906.356686664298,21225.288139096792,30282.158247235067
2024-01-04,26688.224197142958,22308.831509925232,31340.18309508638
2024-01-05,27234.412064250268,22851.12662225739,31723.157432075754
2024-01-06,18525.32127810885,14187.411636661558,22987.54922842034
2024-01-07,12077.632830884933,7534.438957297625,16151.832487035976
2024-01-08,25388.675981824304,21186.942838258405,29822.154995575933
2024-01-09,26417.735774443026,21905.608461553824,30849.474124381733
2024-01-10,25957.723539116574,21412.41554619624,30468.02531346879
2024-01-11,26739.59104960242,22013.831833337048,30816.59507052007
2024-01-12,27285.778916722225,22703.48096995423,31654.33985969414
2024-01-13,18576.68813061322,14482.067015587678,23164.410977237803
2024-01-14,12128.999683359363,8093.566333734419,16177.55602308151
2024-01-15,25440.04283429814,21172.83053493135,29767.670814039273
2024-01-16,26469.102626909164,22174.462129553132,31211.319032115032
2024-01-17,26009.090391589507,21627.021551546764,30149.12339498367
2024-01-18,26790.95790156009,22656.084406859605,31094.56137904772
2024-01-19,27337.145768164635,22941.7530422266,31694.94617139585
2024-01-20,18628.054981529494,13959.929032311107,23104.700115980057
2024-01-21,12180.36653376274,7836.754708111826,16835.273200724743
2024-01-22,25491.4096841981,21343.21090582346,29806.642329632374
2024-01-23,26520.46947628104,22423.46162101911,30882.038173329416
2024-01-24,26060.4572404552,21482.32187842635,30445.97092865468
2024-01-25,26842.324750416137,22355.11588239726,31349.625495100172
2024-01-26,27388.512617020104,22925.417327957668,31708.324500287665
2024-01-27,18679.421830386684,14318.700865386258,23370.494704306628
2024-01-28,12231.733382633762,7688.885468830953,16099.23443409613
2024-01-29,25542.776533026386,20935.760076039976,29736.51475176654
2024-01-30,26571.836325138152,22511.903991854422,30932.537904564226
2024-01-31,26111.824089314392,21714.194806119645,30629.495724408396
2024-02-01,26893.69159929267,22607.090010356475,31008.112586251722
2024-02-02,27439.87946587557,23333.28129491429,31829.008643750418
2024-02-03,18730.788680297457,14245.57965870945,22973.99831909114
2024-02-04,12283.100233606883,8002.489357123561,16648.299864472643
2024-02-05,25594.143385089115,21434.999221077476,29897.59375379747
2024-02-06,26623.20317825756,21940.983666084503,30962.933930980096
2024-02-07,26163.19094349444,21820.842169127365,30659.259081825803
2024-02-08,26945.05845453374,22664.09867024914,31453.453103078493
2024-02-09,27491.24632220379,23479.817818949232,31862.378363523818
2024-02-10,18782.155536593255,14698.025611286908,22965.321369004763
2024-02-11,12334.467089921118,7928.866763169725,16852.07297359422
2024-02-12,25645.510241408934,21047.741736491284,30024.146513347314
2024-02-13,26674.570034569475,22504.4926060241,30905.16418717434
2024-02-14,26214.557799813145,21869.60007638855,30600.865855920987
2024-02-15,26996.42531085197,22505.35486893836,31551.863247443674
2024-02-16,27542.61317852153,23108.86677960248,31792.006698546997
2024-02-17,18833.52239289963,14578.575943732338,23046.085251644858
2024-02-18,12385.833946235349,7868.320657647157,16494.395960761747
2024-02-19,25696.877086683864,21405.988286188956,30093.23356141779
2024-02-20,26725.936868799483,22165.265738122846,31157.70632248206
2024-02-21,26265.92462299844,22018.208891620074,30663.16450202705
2024-02-22,27047.792122979314,22789.62473551011,31427.10325541405
2024-02-23,27593.97997959075,23085.611868510416,32232.86678719028
2024-02-24,18884.88918293917,14677.35415682041,23430.622974263013
2024-02-25,12437.20072521801,7866.35240778661,17103.82105033983
2024-02-26,25748.24386569217,21260.312716082684,30170.311534115874
2024-02-27,26777.303647794473,22516.099994488664,30979.016209081972
2024-02-28,26317.29140199169,22087.76724632051,30593.0501302615
2024-02-29,27099.15890198623,22696.539514530537,31330.56197053419
2024-03-01,27645.34675859718,23519.529642892467,31895.3766687596
2024-03-02,18936.25596197801,14492.935193426438,23459.046289454425
2024-03-03,12488.567504220939,8291.71261207175,16962.275601153124
2024-03-04,25799.610644700268,21686.720096880526,30061.324663214644
2024-03-05,26828.670426800694,22379.280938429747,30863.384346590727
2024-03-06,26368.64043064992,22220.274215752946,30737.73170649616
2024-03-07,27150.490180317636,22900.805232404964,31466.569132325294
2024-03-08,27696.66028660497,23262.8513709157,32396.95095027945
2024-03-09,18987.551739648417,14623.483595855643,23278.14656984961
2024-03-10,12539.845531587243,8089.291031373343,16834.476019040092
2024-03-11,25850.870921737456,21712.5346899389,30198.652552416563
2024-03-12,26879.912953496052,22430.8432782105,31176.910001178705
2024-03-13,26419.882957357684,22046.500107004893,30788.397191407374
2024-03-14,27201.732707024916,22721.041610057964,31610.27265888019
2024-03-15,27747.90281331176,23432.741072463345,31910.456590945727
2024-03-16,19038.794266354424,14451.736786078827,23071.105637220066
2024-03-17,12591.08805828455,8343.882953119086,17010.74822018156
2024-03-18,25902.113448403983,21819.772753279594,30258.826751071374
2024-03-19,26931.15548019702,22494.215417211395,31027.082099961335
2024-03-20,26471.125484065444,21999.068112651483,30713.37434177853
2024-03-21,27252.975233719204,22531.022556067444,31537.173796762087
2024-03-22,27797.171723862044,23704.67544517299,32034.71926410322
2024-03-23,19086.089560796197,14709.111814604577,23528.145321796193
2024-03-24,12636.409736563533,8408.843544391377,17047.421850480543
2024-03-25,25945.461510538946,21892.41430357668,30720.733370585676
2024-03-26,26972.52992617524,22742.787955482025,31215.790745190687
2024-03-27,26510.526313902323,22254.81953414479,31079.33241098354
2024-03-28,27290.40244743549,23068.74684621646,31641.6958012185
2024-03-29,27834.59893757534,23549.529533324585,32191.454636758095
2024-03-30,19123.516774498217,14926.232530408446,23652.336881451
2024-03-31,12673.836950268815,8052.167747270509,16855.251554382066
2024-04-01,25982.888724243425,21727.573737763647,30412.013861902546
2024-04-02,27009.957139884875,22665.22606863719,31822.039394402826
2024-04-03,26547.953527612604,21986.02943888003,31109.9762388518
2024-04-04,27327.829661125797,23072.085750215752,31575.533229716264
2024-04-05,27872.026151265065,23935.46062125693,32342.555383731975
2024-04-06,19160.943988179082,14747.996744547507,23254.526198318137
2024-04-07,12709.620477394012,8786.135128013404,16986.124551771234
2024-04-08,26017.028564800097,21590.37048714323,30176.14544022054
2024-04-09,27042.45329385955,23026.706406350837,31388.131429845245
2024-04-10,26578.805994999315,22182.924363049344,31012.273520133862
2024-04-11,27357.038441945588,23100.701736554183,31676.054648187204
2024-04-12,27899.59124551017,23388.62338618053,32122.640734953893
2024-04-13,19186.865395851797,14520.814292446092,23754.79239790517
2024-04-14,12735.54188506031,8451.853321186733,17096.953957928738
2024-04-15,26042.94997248585,21916.942777412427,30860.842693354396
2024-04-16,27068.37470153781,22832.386457134322,31562.068820419554
2024-04-17,26604.72740268437,22076.908834587277,30705.04315922067
2024-04-18,27382.959849630155,22948.007599942925,31900.743048511507
