ds,yhat,yhat_lower,yhat_upper
2024-01-01,14437.95314307846,11970.50300789728,16996.017992933434
2024-01-02,15003.547652115665,12516.96740381908,17521.30617061492
2024-01-03,14718.65440530383,12174.750694526741,17217.719898922136
2024-01-04,15032.105882436532,12530.036740574027,17727.855701904213
2024-01-05,15291.555296900773,12797.30197413636,17841.25567734644
2024-01-06,10149.925107039002,7744.251293938714,12566.150346254895
2024-01-07,7986.990862296201,5490.007179006116,10408.248328704076
2024-01-08,14484.828229448238,11853.348384616955,16952.903781919274
2024-01-09,15050.422738501486,12496.275592157714,17490.187653849047
2024-01-10,14765.529491686082,12468.288371881414,17216.697365076034
2024-01-11,15078.980968820915,12600.081656752445,17578.316553179506
2024-01-12,15338.430383288885,12779.45833199836,17863.368902089394
2024-01-13,10196.800193443949,7688.803021330747,12806.680073125164
2024-01-14,8033.865948687809,5495.831660331423,10436.233017149676
2024-01-15,14531.703315838839,12120.239904951459,17188.238070976444
2024-01-16,15097.297824887306,12388.818125355909,17469.049566107446
2024-01-17,14812.404578074467,12353.512133614517,17349.907449347127
2024-01-18,15125.856055284135,12451.689905408206,17625.383333727666
2024-01-19,15385.305469825227,12944.62133926196,17910.912602610275
2024-01-20,10243.675280050062,7773.273439609204,12884.249676173535
2024-01-21,8080.741035368462,5613.689665694799,10430.326522864689
2024-01-22,14578.578402600024,12135.368619779523,17082.67669797777
2024-01-23,15144.17291171702,12822.233254457578,17716.061387732716
2024-01-24,14859.279664981015,12395.885568470652,17084.842655434055
2024-01-25,15172.731142187333,12696.54425350239,17888.902796348233
2024-01-26,15432.180556726722,13025.563440327922,17766.443570449414
2024-01-27,10290.550366952642,7714.170740352217,12666.406001441323
2024-01-28,8127.616122278886,5642.948974281064,10425.626878280216
2024-01-29,14625.453489488616,12147.02728325531,17313.86069539091
2024-01-30,15191.04799862085,12734.269618860575,17799.89574040117
2024-01-31,14906.154751885148,12530.055384210807,17556.87938851452
2024-02-01,15219.606229096022,12680.48399314249,17553.028443247156
2024-02-02,15479.05564362821,12863.257958127797,18065.10243292494
2024-02-03,10337.425452289426,7825.0030563550035,12704.486746052877
2024-02-04,8174.491206051564,5467.645834033181,10618.948793471498
2024-02-05,14672.328571714273,12159.547412895236,17286.22949857949
2024-02-06,15237.923079282618,12681.754799851224,17602.56497205067
2024-02-07,14953.029830985697,12487.078274285479,17441.262822229535
2024-02-08,15266.481306634918,12810.872799872599,17713.285040182436
2024-02-09,15525.930719618682,12829.464936044888,18007.928105687603
2024-02-10,10384.300528261912,7715.1829967013555,12781.575890584074
2024-02-11,8221.366282033257,5666.888831054265,10805.101791478452
2024-02-12,14719.203647700284,12211.96052744794,17303.010285588385
2024-02-13,15284.798155262237,12837.792480621716,17749.68544275618
2024-02-14,14999.90490696788,12746.330435241929,17468.81742503567
2024-02-15,15313.35638261782,12929.191143541071,17895.24625252369
2024-02-16,15572.805795600589,12980.112772615928,18129.156632191305
2024-02-17,10431.175604239472,7796.8134621256795,12760.474444842184
2024-02-18,8268.241358014955,5657.028079548323,10876.058070165614
2024-02-19,14766.06948006183,12401.299229345505,17447.838087842545
2024-02-20,15331.654744003868,12787.63341635104,17951.61194282179
2024-02-21,15046.75225208633,12563.908630052882,17367.88610890765
2024-02-22,15360.194484111022,12950.647749824926,17814.836200032638
2024-02-23,15619.634653465406,13003.480972738727,18017.00861347527
2024-02-24,10477.995218489566,7710.59039482067,13075.350313477558
2024-02-25,8315.051728635335,5778.207765164426,10871.045500771022
2024-02-26,14812.879850697514,12261.453178348413,17401.491916804647
2024-02-27,15378.465114633964,12738.527804628657,17848.38023075598
2024-02-28,15093.562622716076,12633.589564835049,17571.99712238504
2024-02-29,15407.004854745208,12742.476270050352,18107.34966780409
2024-03-01,15666.445024098597,13193.812091014004,18332.37451128025
2024-03-02,10524.805589139596,8095.87327549202,13092.725415610437
2024-03-03,8361.862099268314,5901.9336269973755,10948.372668837363
2024-03-04,14859.690221331588,12341.505730558496,17467.03848403752
2024-03-05,15425.275485265676,13032.017446110382,17909.730418405226
2024-03-06,15139.43849309122,12653.126361114153,17439.75662535632
2024-03-07,15451.946224866344,12993.352535276508,17804.89342458769
2024-03-08,15710.451893969785,13245.506390938272,18427.284678447857
2024-03-09,10567.877958754601,7967.1941726668165,12914.64169339978
2024-03-10,8403.999968644051,5921.862775220553,10851.072377980017
2024-03-11,14900.893590454129,12311.838974565837,17441.06122674606
2024-03-12,15465.544354130434,12900.001826812397,18013.898107543955
2024-03-13,15179.707361959347,12565.607722686069,17690.64738609872
2024-03-14,15492.215093735189,12976.60273605914,17867.63344469095
2024-03-15,15750.720762837638,13453.130467509882,18232.589044505057
2024-03-16,10608.146827623184,7842.118509329686,13126.287206808029
2024-03-17,8444.268837507982,5851.363325790923,10750.352505284487
2024-03-18,14941.162459303649,12407.15269009752,17414.682417923552
2024-03-19,15505.813222995997,12997.026103228824,18036.843472399785
2024-03-20,15219.976230827479,12745.422015485321,17703.821125286708
2024-03-21,15532.483962599317,12955.987524347129,18063.24814589019
2024-03-22,15788.856702326155,13134.819984798449,18202.61350794982
2024-03-23,10644.149837754992,8116.480693892406,13224.713242590557
2024-03-24,8478.138918257622,6101.557473109295,11091.73687185815
2024-03-25,14972.899610678378,12500.551031364745,17506.50986367706
2024-03-26,15535.417444991233,12901.289372764193,18018.17447059155
2024-03-27,15247.447523449113,12763.441578020904,17830.406217771142
2024-03-28,15557.822325855552,12915.53480043527,17995.298698883125
2024-03-29,15814.19506558524,13350.776870223784,18223.374308089853
2024-03-30,10669.488201006247,8243.975046314396,13230.960716307709
2024-03-31,8503.477281511645,5914.448527058888,10940.49729061855
2024-04-01,14998.237973929783,12514.004060739313,17231.633213636782
2024-04-02,15560.755808244778,12998.521115930927,18077.060371387324
2024-04-03,15272.785886702326,12798.191840277046,17698.48723040735
2024-04-04,15583.160689102351,13185.091687274098,18014.887613733434
2024-04-05,15839.533428830331,13362.586069113457,18166.55922961491
2024-04-06,10694.826564247349,8152.971006071817,13275.911606006845
2024-04-07,8526.478940185461,5996.814505673274,11086.33103574084
2024-04-08,15018.902928031424,12586.575911275173,17592.839213574498
2024-04-09,15579.08405776353,13033.64148907902,17996.323682935683
2024-04-10,15288.777431641014,12766.10884909889,17733.88893772447
2024-04-11,15596.815529466676,13158.910274587477,18079.784516272044
2024-04-12,15850.851564616454,13461.051103757627,18411.12975617952
2024-04-13,10703.807995458064,8090.572273854398,13208.609677437022
2024-04-14,8535.460371391422,6015.886495718708,10997.594803954571
2024-04-15,15027.884359247368,12515.598165363532,17538.963502161274
2024-04-16,15588.065488976306,13002.002134344471,18159.179137362655
2024-04-17,15297.758862856354,12755.063926875138,17629.02497641643
2024-04-18,15605.796960682734,13107.182620346684,18114.55333374432
2024-04-19,15859.832995840083,13232.719315867529,18358.685720303103
2024-04-20,10712.789426668784,8068.255426667975,13065.333324697256
2024-04-21,8544.441802602565,6074.5170630539305,11010.981206671655
2024-04-22,15036.865790463315,12387.723321677622,17719.953046126655
2024-04-23,15595.163746480504,13061.996477373124,18165.759425901262
2024-04-24,15302.973946653088,12740.701001994254,17787.049007423633
2024-04-25,15609.128870762097,13017.14089876493,17999.81450379595
