ds,yhat,yhat_lower,yhat_upper
2024-01-01,30997.97573522443,24348.78354221232,37991.920434705826
2024-01-02,32624.840315185542,25150.793483606973,39297.85615943129
2024-01-03,31514.672470047793,24238.069228793014,38093.400669307746
2024-01-04,32541.419697130557,25606.3737859751,39232.92280007218
2024-01-05,33320.52331014148,26572.844340887626,39990.23314647465
2024-01-06,18994.543806878202,12122.287443206917,25901.92328378902
2024-01-07,12109.865257598047,4835.156845927655,18997.66731412534
2024-01-08,31008.296812566667,24091.375001274344,37091.46152152356
2024-01-09,32635.16139257505,26088.60418652466,39474.42036201942
2024-01-10,31524.993547424947,24938.945281817025,38127.5317996644
2024-01-11,32551.740774515067,25888.462178815953,39923.689703469456
2024-01-12,33330.84438753787,26445.16155146129,40082.88638712223
2024-01-13,19004.86488432302,12284.462181084162,26265.750329125054
2024-01-14,12120.186335003109,5472.516374304651,19431.981850077857
2024-01-15,31018.617889969486,24557.224743981868,37553.06682573536
2024-01-16,32645.482469964547,25887.418254017233,39227.11566800874
2024-01-17,31535.314624822327,24912.509316610973,38386.66474172648
2024-01-18,32562.061852601044,25754.284290699947,39271.52673119028
2024-01-19,33341.16546630816,26356.283509871857,39588.784657505406
2024-01-20,19015.185963766977,12458.555533624198,25769.86166054303
2024-01-21,12130.507415136222,5889.528230117095,18931.21142445249
2024-01-22,31028.93897080706,24543.05438300425,37573.02922487566
2024-01-23,32655.803551472054,25411.633878276392,39254.74211040361
2024-01-24,31545.635707026337,24618.931309893593,38393.259395036155
2024-01-25,32572.38293479422,25739.32165760341,38886.82790395386
2024-01-26,33351.48654849718,26777.363265276774,39916.19250467667
2024-01-27,19025.50704595875,12309.832050089464,25463.605517971588
2024-01-28,12140.828497349949,4906.969552587321,18883.59907233981
2024-01-29,31039.26005295796,24068.01347479071,37765.54605341635
2024-01-30,32666.124633666506,25678.248378926564,39811.25459459991
2024-01-31,31555.95678922227,24651.916967796446,38383.69987293757
2024-02-01,32582.704017005137,25190.337169652044,38886.57369540732
2024-02-02,33361.807630686206,26460.332837424583,40202.50900941733
2024-02-03,19035.828128193003,12200.85301242752,25924.8231384171
2024-02-04,12151.149579632289,5671.0310961892,19166.87991681884
2024-02-05,31049.581135336597,24361.70889775342,37527.954546600806
2024-02-06,32676.445716092116,25426.68699073166,39634.89989636068
2024-02-07,31566.277871702496,24537.464872220513,38157.93359077988
2024-02-08,32593.025099539467,26317.04817357503,39459.002968832676
2024-02-09,33372.12871331196,26597.456977063775,39941.41257549691
2024-02-10,19046.149210768403,12312.64961884995,25686.624311061918
2024-02-11,12161.470662234153,5912.056160257264,19033.91001147204
2024-02-12,31059.902217949508,24128.592903758734,38424.19752767553
2024-02-13,32686.7667986883,25924.360657634716,39890.17474121666
2024-02-14,31576.598954306555,24682.54430736275,37859.148226706486
2024-02-15,32603.34618214517,25989.925011334228,39686.86648504054
2024-02-16,33382.44979591502,25959.26106046991,39670.80354387043
2024-02-17,19056.470293358187,12656.229440649528,25982.27513011478
2024-02-18,12171.791744836013,5678.725262316004,19422.18319980714
2024-02-19,31070.223298429526,23888.757124014563,38149.94148581185
2024-02-20,32697.08787704547,25969.402272012707,38929.25495402466
2024-02-21,31586.92003053247,24468.74420124379,37727.82532678364
2024-02-22,32613.667256232162,26214.87507654283,39550.426923346815
2024-02-23,33392.770867855776,26315.66941690362,40635.30647742156
2024-02-24,19066.791363191667,12117.989110293902,25845.021426320724
2024-02-25,12182.112812520298,5731.053364586367,19100.28739369816
2024-02-26,31080.544366156675,24068.440408173876,37953.147452925514
2024-02-27,32707.408944755596,26096.1593205065,39497.81471030777
2024-02-28,31597.241098242026,24806.850565576246,38359.52120492546
2024-02-29,32623.988323955513,25453.470178525182,39680.21583593441
2024-03-01,33403.0919355765,26674.422454543652,40040.877684180115
2024-03-02,19077.112430960817,12479.169584493058,25594.795453273615
2024-03-03,12192.433880239812,5300.337197998398,18732.575469922926
2024-03-04,31090.865433880397,24379.05157717096,37847.689668202096
2024-03-05,32717.73001247315,26113.216191974403,39125.29556606088
2024-03-06,31607.562131137016,24745.857746165435,38010.66859665172
2024-03-07,32634.309322040084,25836.814586899327,39394.29154608565
2024-03-08,33413.41289886169,26578.64296396039,40252.50856338925
2024-03-09,19087.433359427887,12246.780990059315,25608.2815067249
2024-03-10,12202.754773936726,5528.372845576452,18795.8713667075
2024-03-11,31101.186292768565,24642.695989036944,38500.53016075714
2024-03-12,32728.050836537786,26304.881444727474,39673.18643476885
2024-03-13,31617.882955213256,24800.250395439976,38154.91341813693
2024-03-14,32644.63014611796,25955.383402288167,39525.492876395525
