ds,yhat,yhat_lower,yhat_upper
2024-01-01,27366.846177622137,21974.47087158446,32259.669872625003
2024-01-02,28909.44668722884,23786.200875223603,34152.79252524261
2024-01-03,28337.10903194584,23397.249891705356,33590.613558442165
2024-01-04,29098.632685337718,23839.958618490953,34247.397428979944
2024-01-05,29529.70361211495,24252.97390406416,35347.74003119226
2024-01-06,19870.1016479147,15061.133095335897,25379.288022295506
2024-01-07,15006.566773227763,10159.052404346305,20128.309988623623
2024-01-08,27446.117218712498,21994.439990956278,32535.343082964257
2024-01-09,28988.71772835163,23762.9171961678,34763.95560792927
2024-01-10,28416.380073060347,23085.538307140803,33738.9074379699
2024-01-11,29177.903726457054,24066.841865321334,34289.59201682757
2024-01-12,29608.97465324169,24513.596752963545,34840.93392173032
2024-01-13,19949.372689074815,14648.216290130418,25094.849432856812
2024-01-14,15085.837814360137,9756.167688688529,20197.920387018647
2024-01-15,27525.388259843938,22428.498141664808,32815.387801626
2024-01-16,29067.988769474414,24006.379369888098,34301.28218507436
2024-01-17,28495.65111418803,23170.387394140886,33848.70864775114
2024-01-18,29257.17476525537,24260.32088035563,34900.667152612856
2024-01-19,29688.24568970765,24526.265356231306,34685.372631864404
2024-01-20,20028.64372320158,14945.653043509305,24961.28404122725
2024-01-21,15165.108846158453,9596.879012752674,20031.024521993895
2024-01-22,27604.65928932342,22629.340341821975,32942.65816376037
2024-01-23,29147.259796612365,23697.6713811469,34282.39983980267
2024-01-24,28574.922139001414,23699.08407413295,33579.937839273225
2024-01-25,29336.445790061985,24230.110973177165,34556.198421791654
2024-01-26,29767.516714511377,24627.925076811778,35051.38317070468
2024-01-27,20107.91474800679,15070.176738980446,25272.242263140182
2024-01-28,15244.3798709781,10130.081638889727,20541.36075222111
2024-01-29,27683.930314101057,22550.409439581996,32615.57265865186
2024-01-30,29226.53082141992,24100.58589901151,34405.79107695535
2024-01-31,28654.19316380978,23881.314887592063,33678.36406456986
2024-02-01,29415.716814879794,24247.02048833195,34400.23977415713
2024-02-02,29846.7877393151,24637.435124070955,35260.61443217616
2024-02-03,20187.185770000833,15348.581922844842,25346.27806458323
2024-02-04,15323.650890165256,10234.857930682061,20634.36409261593
2024-02-05,27763.201330511718,22835.94204350584,32898.82956785008
2024-02-06,29305.80183502202,24020.92134790558,34110.21303637108
2024-02-07,28733.464174608198,23687.715006614115,33690.44351025453
2024-02-08,29494.987822874467,24366.299084600312,34720.55328957697
2024-02-09,29926.05874453084,25040.2535218683,34883.03411924164
2024-02-10,20266.456775182927,15072.390572487555,25439.213949460864
2024-02-11,15402.921895364718,10242.2738036367,20347.312823715132
2024-02-12,27842.472335718565,22363.772880697237,32972.544560348084
2024-02-13,29385.072840218138,24407.40649265319,34648.44133831912
2024-02-14,28812.735179809213,23795.017848422118,34485.266846324674
2024-02-15,29574.258828076505,24559.47560210023,34517.8086001439
2024-02-16,30005.329749730914,25020.56498071527,35325.927993272395
2024-02-17,20345.727780374196,15223.856559176158,25975.368494982344
2024-02-18,15482.19290056418,10135.504427504366,21074.490564121428
2024-02-19,27921.743340381025,22959.747052123857,33162.87133041543
2024-02-20,29464.34384434089,24498.586223005837,34559.54382201749
2024-02-21,28892.00618338953,24017.891346312485,34186.57441364586
2024-02-22,29653.529831108244,24025.693664065693,34737.17801354593
2024-02-23,30084.60075220924,24866.336556481107,35466.97979244236
