ds,yhat,yhat_lower,yhat_upper
2024-01-01,28422.17547402748,24401.716207921552,32454.191471586048
2024-01-02,29878.164955609216,25557.868514886166,33665.95866769071
2024-01-03,30069.79371218552,25429.081567128116,34041.61891169392
2024-01-04,31129.78011932908,26925.30613479153,35258.713597490874
2024-01-05,33713.50218440614,29570.373289769155,37755.88379816707
2024-01-06,31533.56064780467,27058.154626645097,35526.08616401003
2024-01-07,22998.268584185542,18591.861638449038,27026.64010318604
2024-01-08,28634.328313856644,24529.12622181014,32693.11874637151
2024-01-09,30090.317795460032,25898.606154652694,34315.01974336493
2024-01-10,30281.946552020705,26094.70048452108,34391.972191377434
2024-01-11,31341.932959172555,27198.984333438813,35540.988960305476
2024-01-12,33925.65502426212,29823.30107131788,37869.33244733267
2024-01-13,31745.71348767971,27223.015154019628,35890.21823434261
2024-01-14,23210.421424033797,19294.769402663755,27325.212731447835
2024-01-15,28846.481153708613,24703.130815203513,33288.919273819236
2024-01-16,30302.470635310852,26048.836848628573,34495.46250545719
2024-01-17,30494.09939187595,26349.27079045961,34693.33338583395
2024-01-18,31554.085800293135,27262.708426250996,35699.36830340256
2024-01-19,34137.80786665107,29767.679789523605,38401.56196315384
2024-01-20,31957.866331323516,27715.29525519557,36022.74405064548
2024-01-21,23422.574268945322,19182.070383864535,27578.45361421104
2024-01-22,29058.633999893013,24877.37659354947,32995.90019491422
2024-01-23,30514.623482753123,26052.096714144813,34758.51964848985
2024-01-24,30706.252240592654,26221.629405313473,35200.463809986366
2024-01-25,31766.238649002,27660.321366866945,36049.78380414742
2024-01-26,34349.960715363326,30078.385850535014,38413.10987171416
2024-01-27,32170.019180033258,27877.9219506842,36527.59764136141
2024-01-28,23634.72711765896,19455.373609006918,27777.294712657476
2024-01-29,29270.786848587562,25042.068105940612,33696.53861829699
2024-01-30,30726.776331461868,26608.200150306875,34837.88029835755
2024-01-31,30918.40508930326,26777.337537579257,35087.328590720645
2024-02-01,31978.391497725803,27969.21412748805,36184.97490799233
2024-02-02,34562.11356407558,30552.274351595883,38930.85766419781
2024-02-03,32382.172030144076,28480.54393885519,36498.43404107451
2024-02-04,23846.87996919263,19579.343659412778,28016.605540594173
2024-02-05,29482.93970152894,25469.728787600747,33735.59005419992
2024-02-06,30938.929185805562,26880.93693156149,35387.98282499594
2024-02-07,31130.557945048215,27107.554066800956,35437.57704133197
2024-02-08,32190.544354875896,28059.783455540422,36309.61211600675
2024-02-09,34774.266422634086,30727.323313602887,38980.9613923241
2024-02-10,32594.32488869612,28378.095419448113,36748.73196084865
2024-02-11,24059.032827753035,20119.864080802803,28296.609487946385
2024-02-12,29695.092560091005,25688.39431163979,33982.353487641965
2024-02-13,31151.082044369858,26830.35443143777,35230.66909240628
2024-02-14,31342.710803616952,27115.080258849226,35569.70315544929
2024-02-15,32402.697213443476,28254.508753616796,36674.089480372
2024-02-16,34986.41928120355,30942.15951989313,39425.39405684675
2024-02-17,32806.47774725396,28488.97831631805,36907.02212789177
2024-02-18,24271.185686313434,20216.34966400002,28167.493078869935
2024-02-19,29907.2454167904,25579.753206485155,34157.97416490141
2024-02-20,31363.234899192426,27145.38613305339,35764.582170425085
2024-02-21,31554.86365657732,27490.760934818347,35992.35905298722
2024-02-22,32614.850064522623,28492.807184882917,36449.88245782366
2024-02-23,35198.57213040753,30944.151087125065,39628.5401457103
2024-02-24,33018.63059459507,28745.80574870585,37388.27617939155
2024-02-25,24483.338531795285,20180.93677746162,28091.49994778906
2024-02-26,30119.39826226969,26079.71141418874,34478.57967074994
2024-02-27,31575.387744663105,27420.02781091182,35832.168802170156
2024-02-28,31767.016502045914,27618.409658452056,35839.27306693178
2024-02-29,32827.002910004034,28678.285450354026,37029.20004814126
2024-03-01,35410.72497589082,31506.897814193042,39487.649934378365
2024-03-02,33230.78344009744,29215.862012847185,37826.572657212746
2024-03-03,24695.49137726952,20760.453046236504,28903.874337006946
2024-03-04,30331.551107752377,25817.02592543048,34414.841335907666
2024-03-05,31787.54059014869,27752.49667563873,35904.18616886305
2024-03-06,31974.465818234712,27906.253945574197,36238.12539464033
2024-03-07,33029.74869692111,28716.73603919408,37179.84085145436
2024-03-08,35608.767233543884,31431.783459053997,39672.614784672056
2024-03-09,33424.122168468486,29202.70366878336,37411.06144757918
2024-03-10,24884.12657637656,20861.75729497551,29046.250065710596
2024-03-11,30515.482777589434,26320.43502749636,34722.05468352057
2024-03-12,31966.768730703425,27756.461073568466,36246.979737226524
2024-03-13,32153.693958801334,27910.500556755025,36286.732104663235
2024-03-14,33208.97683748658,28993.343688208774,37491.63858361465
2024-03-15,35787.99537411124,31760.532714626894,40145.84716784169
2024-03-16,33603.35030903001,29399.349890351557,37756.07065865177
2024-03-17,25063.35471693353,21095.608600707612,29174.505123088555
2024-03-18,30694.71091812998,26414.322898266295,34593.02380594146
2024-03-19,32145.996871265623,27947.76065162967,35981.87028607458
2024-03-20,32332.92209936796,27984.90483112666,36263.83844286637
2024-03-21,33388.20497804144,29182.362630970107,37789.46014003214
2024-03-22,35957.37444531092,31773.61747508021,40193.7949967235
2024-03-23,33762.88031089351,29567.98293058471,37560.9356110893
2024-03-24,25213.035649417463,21069.280763070277,29557.858096214422
2024-03-25,30834.542781259068,26889.809840531358,35034.04241204353
2024-03-26,32275.97966502753,28314.259745413012,36606.35117092144
2024-03-27,32453.055823773157,28211.111143387145,36595.060272304734
2024-03-28,33498.48963310758,29348.40491159725,37931.38726391674
2024-03-29,36067.659100357356,31825.446171550127,40470.231927839704
2024-03-30,33873.16496594507,29904.056649094004,38297.54738692673
2024-03-31,25323.32030446713,20804.653645955783,29217.633106368645
2024-04-01,30944.82743631586,26647.479753125674,35163.284528225886
2024-04-02,32386.264320084396,28345.25335773167,36705.147936426576
2024-04-03,32563.340478835922,28290.9478188786,36744.6581691134
2024-04-04,33608.77428815247,29237.506798005343,38052.679962663395
2024-04-05,36177.94375540564,32108.141096870328,40156.76521361257
2024-04-06,33983.44962098505,29859.967984222847,38219.02161898743
2024-04-07,25422.27919375053,21131.498031552102,29621.763464550186
2024-04-08,31032.460559835967,26664.273142576614,35114.549990400024
2024-04-09,32462.571677841806,28433.692905355987,36457.27838414871
2024-04-10,32628.322070812763,28236.10541650997,36699.48213090877
2024-04-11,33662.43011437266,29263.533451046213,37470.68710148194
2024-04-12,36220.27381586429,32160.65684397554,40259.90277046808
2024-04-13,34014.45391567623,29857.933056534333,38122.001615990186
2024-04-14,25453.283488453228,21084.29850187428,29659.375654054205
2024-04-15,31063.46485453818,26642.418177579973,35031.564953381436
2024-04-16,32493.57597253946,28300.01851101981,36750.84827995227
2024-04-17,32659.326365514848,28781.829880616744,36494.35696723194
2024-04-18,33693.4344090736,29512.39764771432,37482.483570792036
