ds,yhat,yhat_lower,yhat_upper
2024-01-01,16279.089021497854,12433.387969620806,20569.617915094415
2024-01-02,17176.59493826379,13319.07637800267,21348.9224968349
2024-01-03,17194.320334466778,13048.356826288535,21346.269985382994
2024-01-04,16677.930915270987,12561.316930351803,20727.532824448903
2024-01-05,15646.852850616153,11606.097547229067,19825.329798662493
2024-01-06,11155.91214406726,7096.954990732139,15198.617563148407
2024-01-07,9078.027248074679,4865.720363713242,12912.778529869005
2024-01-08,16386.426341893737,12304.794758100226,20006.414683609095
2024-01-09,17283.93225867835,13261.220355484003,21431.165245373133
2024-01-10,17301.657654874387,13165.91531492787,21106.763986108752
2024-01-11,16785.268235681066,12764.11828322374,20873.450706208037
2024-01-12,15754.190171032673,11636.50891488339,19872.23581518915
2024-01-13,11263.249464498194,7180.208401239153,15259.08241577145
2024-01-14,9185.3645684941,5283.881049100386,13198.541218903028
2024-01-15,16493.763662312285,12453.734578820304,20511.513764943007
2024-01-16,17391.26957909291,13276.446748101858,21390.19900305644
2024-01-17,17408.99497529177,13458.110348234466,21529.81112504519
2024-01-18,16892.60554267396,13012.55031816205,21132.53822751394
2024-01-19,15861.527464602175,11748.162726782024,19522.15592478364
2024-01-20,11370.586744639832,7409.261746831129,15447.584415583926
2024-01-21,9292.701835213073,5139.582698869545,13307.681700441106
2024-01-22,16601.100915613297,12609.507188477413,20478.657937670363
2024-01-23,17498.606818963926,13416.400774027876,21461.06039602238
2024-01-24,17516.332201743753,13757.330851700786,21364.08050756725
2024-01-25,16999.942769119487,12976.16023688813,20769.37265228764
2024-01-26,15968.86469104765,12150.197161161728,20031.958196543306
2024-01-27,11477.923971087439,7584.2066883911675,15299.774681073703
2024-01-28,9400.039061667941,5270.118589604903,13264.498931739894
2024-01-29,16708.43814204463,12528.495225447223,20670.1463489023
2024-01-30,17605.944045411445,13565.42359366339,21452.953085908786
2024-01-31,17623.669428191697,13554.06914079403,21546.708845179368
2024-02-01,17107.279995580568,13013.702492459604,20961.959833898123
2024-02-02,16076.201917493123,11905.81419831239,20617.67126796943
2024-02-03,11585.261197512176,7841.213115803594,15500.228431372872
2024-02-04,9507.376288070307,5298.590052356199,13425.787283727059
2024-02-05,16815.775368445768,12620.767629324326,20881.93452754139
2024-02-06,17713.2812717915,13966.186811530015,21538.809274380234
2024-02-07,17731.006654552202,14019.106960500214,21751.936547147143
2024-02-08,17214.61722192117,13130.927808614906,21029.044756947314
2024-02-09,16183.53914383182,12037.317456045872,19901.706103387754
2024-02-10,11692.598423831982,7747.6942183974425,15549.420899794468
2024-02-11,9614.713514399555,5733.498946161131,13612.550496066224
2024-02-12,16923.112594777744,13000.07818622338,20881.870892974257
2024-02-13,17820.618498119096,13843.575391727993,21763.223463485872
2024-02-14,17838.343880882625,13961.911774917051,21939.400798417013
2024-02-15,17321.954448250603,13284.377302301635,21299.8542313353
2024-02-16,16290.876370161373,12131.320870259582,20251.971667167592
2024-02-17,11799.935650157175,7684.018454039143,15853.56579077098
2024-02-18,9722.050740728806,5566.0957086130475,13728.793874604115
2024-02-19,17030.449814252523,12616.418716952705,20959.26639415359
2024-02-20,17927.955710735805,14178.401475202218,22043.237983562176
2024-02-21,17945.681086643828,14005.094295344128,22228.13237413139
2024-02-22,17429.291647148093,13585.575673916199,21358.184358767525
2024-02-23,16398.213562195906,12435.41587837376,20257.861183302317
2024-02-24,11907.27283534393,7984.5011283464755,16024.150455445035
2024-02-25,9829.387919048888,5812.936943067363,13592.849641710072
2024-02-26,17137.78699258926,13221.619955344602,21104.98432878801
2024-02-27,18035.29288906606,14088.905888752304,21960.909147419537
2024-02-28,18053.018264973656,13958.668249739749,22082.479664808117
2024-02-29,17536.62882548268,13889.651209022824,21422.3294424934
2024-03-01,16505.550740530613,12534.99705399978,20529.182452780555
2024-03-02,12014.610013693054,7976.811097887223,15894.277524363879
2024-03-03,9936.725097383289,5820.879182904693,13850.768104443992
2024-03-04,17245.1241709256,13159.352519952514,21332.616609235298
2024-03-05,18142.630067401304,14025.607563535037,22016.496005768684
2024-03-06,18160.355443048054,14243.415866421083,22267.78177264364
2024-03-07,17643.96600331107,13254.078783769153,21626.96739202943
2024-03-08,16612.887918104636,12774.814716153873,20790.68021220913
2024-03-09,12121.947191012434,8214.62885247847,15849.076257579443
2024-03-10,10044.062274463919,6152.988667640073,13883.04533234872
2024-03-11,17352.461347753964,13014.629208293338,21430.588662927024
2024-03-12,18249.96724397179,14608.16947788355,22279.49429807578
2024-03-13,18267.692619623867,14078.877946422966,22215.361863439426
2024-03-14,17751.303179885894,13729.919936589267,21803.321680793622
2024-03-15,16720.225094679583,12879.428250708068,20839.92396897676
2024-03-16,12229.284367588403,8228.834980731319,16350.218720986431
2024-03-17,10151.399451035348,6270.1154557509335,13995.98447889987
2024-03-18,17459.798524308277,13487.106290623118,21647.512540329866
2024-03-19,18357.304420544777,14280.650338417621,22034.53106620614
2024-03-20,18375.02979619968,14127.628929431137,22497.13250180975
2024-03-21,17858.6403564544,13929.783666152924,21764.39994540621
2024-03-22,16824.148035579303,12674.711587128919,20911.768810742058
2024-03-23,12329.793072834927,8243.037863374324,16665.48575957288
2024-03-24,10248.493920607016,6095.901792428825,14025.37733220911
2024-03-25,17553.478758210345,13679.186648944442,21461.91720840794
2024-03-26,18447.57041877164,14285.537436093347,22468.5283633424
2024-03-27,18461.881558758247,14488.769802490524,22434.213970345776
2024-03-28,17942.07788335447,14129.683256461705,21737.467805297656
2024-03-29,16907.58556248232,13105.940535111878,20953.062539370563
2024-03-30,12413.23059972982,8549.392641654047,16490.8944891982
2024-03-31,10331.931447503783,6543.7579155392605,14579.790967220843
2024-04-01,17636.916285105846,13824.376342253825,21610.482625730772
2024-04-02,18531.007945667974,14242.373713021416,22248.868675294
2024-04-03,18545.319085657025,14551.262449515963,22319.163347262464
2024-04-04,18025.515410241896,13868.091533026134,22163.7669990434
2024-04-05,16991.023089369693,13278.338701980774,20775.81293542976
2024-04-06,12496.668126613942,8700.93056169105,16341.206495301982
2024-04-07,10409.526748799733,6015.650933080301,14382.940742277398
2024-04-08,17708.669360806918,13809.1690212087,21690.940486113897
2024-04-09,18596.91879576705,14624.539293468239,22680.658321608877
2024-04-10,18605.387710151535,14513.275579380965,22463.02604498099
2024-04-11,18079.741809141276,14294.526083014807,21837.864837633108
2024-04-12,17039.407262671408,13026.690487465743,20920.06071673241
2024-04-13,12539.210074320185,8615.670809618077,16498.730461984753
2024-04-14,10452.06869649892,6607.219379150256,14441.846776512635
2024-04-15,17751.211308519152,13993.941181717859,21783.828501578955
2024-04-16,18639.460743475694,14932.163928948527,22717.560263158957
2024-04-17,18647.929657863006,14622.463356431148,22770.573495181554
2024-04-18,18122.283756851757,14216.980733316537,21813.96462513399
2024-04-19,17081.949210391154,13288.849854626877,21150.602545837366
2024-04-20,12581.752022026425,8573.000326792775,16407.903338165364
2024-04-21,10494.610644206006,6591.204962523498,14374.301009867597
2024-04-22,17793.75325623139,13804.116537773445,21602.468962074312
2024-04-23,18676.405619518497,14709.748637832845,22789.37953236396
2024-04-24,18679.27746224289,14641.185066344593,22641.4506470222
2024-04-25,18148.034489562477,14218.937406313898,22013.177855091046
2024-04-26,17102.10287144837,13016.927136865192,20802.944237254862
2024-04-27,12596.308611415934,8517.204985421675,16336.110597688024
2024-04-28,10503.570161939428,6755.80353164265,14326.373970269336
2024-04-29,17797.115702278323,14150.783398286361,22017.674235543698
