ds,yhat,yhat_lower,yhat_upper
2024-01-01,31146.843028849227,25514.867630797744,36472.81923014118
2024-01-02,32555.116649525444,26487.04231262197,38303.80986261466
2024-01-03,31971.241069059713,25907.436738232558,37974.02396903911
2024-01-04,32737.494792928293,26716.84154329656,38999.64587157148
2024-01-05,34296.43848850642,28408.148079322316,40566.5437684198
2024-01-06,20435.340521693455,14190.540450931143,25938.501545090054
2024-01-07,14472.186617656627,8471.024234984576,20080.71738543129
2024-01-08,31159.022088870457,25385.554474175544,37461.520430361204
2024-01-09,32567.29570958802,26482.665144178947,38508.96719325293
2024-01-10,31983.420129114373,25924.136470909863,37659.43556092896
2024-01-11,32749.67385298807,26728.021181463933,38813.90077559779
2024-01-12,34308.61754857577,28122.346215187958,39629.41177040206
2024-01-13,20447.519581807996,14933.878968673896,26345.461531160894
2024-01-14,14484.365677735275,8681.282366495028,20664.95291173015
2024-01-15,31171.201148946162,24898.70354752305,36936.85417108545
2024-01-16,32579.47476965059,26912.66014302371,38444.20516953873
2024-01-17,31995.599189183315,26300.112898338422,37842.65370288684
2024-01-18,32761.85291190323,27004.753584199825,38590.503189384566
2024-01-19,34320.79660633186,28213.127179876887,40067.10661583817
2024-01-20,20459.698638395494,14477.085066039483,26513.86207840314
2024-01-21,14496.54473316554,8500.092807669525,20593.51958502324
2024-01-22,31183.380203238747,25438.389002927855,37530.51365821843
2024-01-23,32591.653822772554,26530.088405757568,38484.27542592956
2024-01-24,32007.778241154883,26034.981381641406,37625.690438163365
2024-01-25,32774.031963866626,26793.730439817144,38075.708252600096
2024-01-26,34332.97565829033,28493.846948808972,40023.6680266325
2024-01-27,20471.8776903565,14729.972708204377,26407.614510269574
2024-01-28,14508.723785147811,8845.982548590215,20610.146160822664
2024-01-29,31195.559255163593,25212.86746771587,36822.59547381851
2024-01-30,32603.83287473789,26875.660275058006,38612.18025214525
2024-01-31,32019.957293120307,26250.18445672575,37977.0430299749
2024-02-01,32786.211015841225,26807.702689446076,38793.3159288688
2024-02-02,34345.1547102488,28071.144061970477,40412.902707940324
2024-02-03,20484.056740046275,14397.119264437895,26277.08347660961
2024-02-04,14520.902832573782,8895.793667923252,20347.679608896207
2024-02-05,31207.738300366007,25255.29426258566,36648.02053565486
2024-02-06,32616.011917675656,26995.19066773283,38492.0182262553
2024-02-07,32032.136333800187,25898.503977472385,38006.29113326145
2024-02-08,32798.39005426197,26795.29326383648,39019.032578988445
2024-02-09,34357.33374644274,28482.10828626004,40654.233505732795
2024-02-10,20496.235776193396,14498.172498127477,26063.40928164325
2024-02-11,14533.081868745354,8881.890943266482,20352.822268297077
2024-02-12,31219.917336551174,25203.437633472742,37220.894080863094
2024-02-13,32628.190953842095,26779.10799302728,38703.669811673855
2024-02-14,32044.31536997299,26205.4901605415,38185.853615328866
2024-02-15,32810.56909043762,27387.206675889403,38310.45457527792
2024-02-16,34369.512782615944,28065.208810882796,40090.53006985845
2024-02-17,20508.414812354626,14724.757230144838,26407.66530521778
2024-02-18,14545.260904916915,8627.201712129458,20453.099431458482
2024-02-19,31232.096364969908,25419.014131114935,37034.648988503344
2024-02-20,32640.36997450997,26868.970257686964,38241.641517330776
2024-02-21,32056.494382880086,26034.135776312618,38202.74371251586
2024-02-22,32822.748095580304,26981.092967153632,38612.77066161024
2024-02-23,34381.691779983965,28086.104709203406,39789.322073402735
2024-02-24,20520.593801984447,14488.469793347922,26672.086913606865
2024-02-25,14557.43988677069,8057.067823690719,20113.46160887642
2024-02-26,31244.275346862825,25151.421764199647,37085.724709678325
2024-02-27,32652.548956388895,26882.76545076895,38521.546102467175
2024-02-28,32068.673364758102,25989.793885113104,37770.577189869895
2024-02-29,32834.9270774693,26524.853750681625,38752.401262064355
2024-03-01,34393.87076187052,28004.94094092317,40188.3502218195
2024-03-02,20532.7727839162,14731.473389162456,26480.14005625668
2024-03-03,14569.618868655605,8907.573481314937,20321.395895071364
2024-03-04,31256.454328750147,25405.45604706502,37420.50487165252
2024-03-05,32664.72793826954,26766.640707771207,38890.55501720168
2024-03-06,32080.85233931495,26291.403810075633,38122.53700902205
2024-03-07,32847.10604470344,27059.333642916234,38835.320415994975
2024-03-08,34406.049721797535,28490.40123328781,40352.080223860285
2024-03-09,20544.951736516614,14775.19947504489,26685.969193700697
2024-03-10,14581.797813976402,8884.995099356522,20594.436373385957
2024-03-11,31268.63326675299,25446.499300431624,37123.87821202054
2024-03-12,32676.906868943377,26724.757979642898,38337.74018846055
2024-03-13,32093.03126999602,25741.90449407818,38100.35996700167
2024-03-14,32859.28497538735,27174.681759800274,38960.09126895776
2024-03-15,34418.228652479,28932.09565046563,40687.40284146826
2024-03-16,20557.130667200236,14830.786587439326,26426.10548556979
2024-03-17,14593.976744645288,8497.1145854971,20351.751408350276
2024-03-18,31280.812197386338,25405.796056853247,36961.08981498629
2024-03-19,32689.085799618075,27154.541794077915,38301.16317877682
2024-03-20,32105.210200677084,26235.571382708153,38269.394682850754
2024-03-21,32871.463906059245,27194.47573315672,38490.38257287249
2024-03-22,34427.996451351544,28512.37477765896,40816.48367659715
2024-03-23,20564.487334323934,14966.46694969961,26603.28401365856
2024-03-24,14598.922279952789,9173.559725707548,20437.087755890778
2024-03-25,31283.346600896482,25681.709057332417,36713.086358129105
2024-03-26,32689.209071319798,26708.376638366244,38624.0163771788
2024-03-27,32102.92234058447,26213.792570346763,38582.200516938756
2024-03-28,32866.7649141942,26808.608435758015,38899.63519726144
2024-03-29,34423.29745949279,28524.33166635342,40531.760996900586
2024-03-30,20559.788342446598,14587.125807438915,26330.67078939912
