ds,yhat,yhat_lower,yhat_upper
2024-01-01,25752.010382381744,19842.107576725575,31172.673838532595
2024-01-02,27009.962744107816,21382.894721957735,32603.50745299334
2024-01-03,26451.534999539133,20394.767528743632,31827.400734849947
2024-01-04,26799.19414817897,21022.95900484332,32406.065813536872
2024-01-05,27836.721774930757,21857.270015462043,33918.269666902255
2024-01-06,13768.808303484771,8182.907243483998,19617.529513055324
2024-01-07,9269.122769669357,3622.7588768704227,15313.568215189967
2024-01-08,25764.15934709525,19729.80119477208,31311.84059418655
2024-01-09,27022.111708860757,21493.37504588387,33122.011627347936
2024-01-10,26463.68396428667,20895.68766076041,32213.300867629663
2024-01-11,26811.343112930084,21073.923104175814,32124.405001172952
2024-01-12,27848.870739689864,21924.840706003888,33548.67201435516
2024-01-13,13780.957268287106,8305.806579757089,19181.12037441498
2024-01-14,9281.27173443982,3954.283031951631,15113.156500279041
2024-01-15,25776.308311861787,20492.187977055855,31619.508245718254
2024-01-16,27034.26067361371,21787.755511496474,32824.81646476493
2024-01-17,26475.832929045308,20315.571971735113,32549.168496212915
2024-01-18,26823.49207786547,21608.951131558184,32144.342632488624
2024-01-19,27861.019704796225,22258.874540965135,33419.94073277565
2024-01-20,13793.10623355681,7990.289382793503,19716.7164825107
2024-01-21,9293.42069988187,3684.1892125225363,14526.18727819943
2024-01-22,25788.457277496433,20054.655275454592,31473.00965031148
2024-01-23,27046.40963940903,21460.486374398693,32476.96518270597
2024-01-24,26487.981895019417,20496.193882679552,31959.788353235206
2024-01-25,26835.64104383195,21364.52388560023,32621.752873764508
2024-01-26,27873.168670757055,21900.063556215584,33635.90569579764
2024-01-27,13805.255199520996,8318.707752603896,19425.40890871104
2024-01-28,9305.569665867693,3635.172080549154,15134.474364657466
2024-01-29,25800.6062434253,19575.40848878906,31294.43620299581
2024-01-30,27058.558605377977,21179.71032940127,32895.72611904504
2024-01-31,26500.13086098786,20600.013052891576,32566.297318247878
2024-02-01,26847.79000980855,21228.13592065363,32893.26474077865
2024-02-02,27885.317636717893,21870.339527062584,33625.524268317575
2024-02-03,13817.404163998819,8372.043613203097,19756.424249639484
2024-02-04,9317.718628862804,3588.3855299374873,14858.117375142934
2024-02-05,25812.755204983132,20244.357865563292,31229.200110992962
2024-02-06,27070.707565456487,21401.11050748899,32857.56709173744
2024-02-07,26512.279819594063,20725.3041940231,32393.329067995383
2024-02-08,26859.938966940328,21312.672968096995,32665.47739680591
2024-02-09,27897.46659240903,22239.49500577871,33643.10240182954
2024-02-10,13829.553119641947,8202.593137476913,19296.79557750284
2024-02-11,9329.86758453003,3637.46389859429,15151.952221524356
2024-02-12,25824.904160664595,20015.29165855645,31546.028689518746
2024-02-13,27082.85652111765,21191.75690139883,32987.45900734849
2024-02-14,26524.42877526092,20201.746059807498,32599.599711137012
2024-02-15,26872.087922610306,21510.289577376232,32693.50196163471
2024-02-16,27909.615548076352,21954.44427657318,33520.110596435465
2024-02-17,13841.702075298994,7796.493209469968,19559.3384538493
2024-02-18,9342.016540197255,3519.427488963863,15288.220024651055
2024-02-19,25837.05311220077,19980.455822544758,31237.761764161725
2024-02-20,27095.005468527677,21379.27572048141,31968.250353983636
2024-02-21,26536.57771853218,20476.007239302853,32096.093102631683
2024-02-22,26884.236861742185,21345.774740634435,32714.122614434604
2024-02-23,27921.764483057093,22364.781907908953,33919.73318779325
2024-02-24,13853.851006164869,8234.479746935584,19167.541127108405
2024-02-25,9354.165466907074,3455.4996845279984,15098.015030832992
2024-02-26,25849.202038952477,20294.052450479103,31624.369368948366
2024-02-27,27107.15439526644,21401.714385852858,33170.65645470198
2024-02-28,26548.726645270548,20429.262468644676,32111.26337864121
2024-02-29,26896.385788489126,21192.53952331852,32948.110478746545
2024-03-01,27933.91340980138,22499.705332497426,33756.27523514034
2024-03-02,13865.999932952378,8442.4499641135,19971.79157707429
2024-03-03,9366.31439365126,4049.552737365475,15589.619957447003
2024-03-04,25861.35096569748,19846.815945157174,31596.049776140026
2024-03-05,27119.30332200391,21596.509794680183,32941.45501394325
2024-03-06,26560.875569588126,20700.035209758382,32201.414177788643
2024-03-07,26908.534710383996,21616.089994017366,32412.050340171172
2024-03-08,27946.062329286648,21901.10421990678,33987.89333432574
2024-03-09,13878.148850011956,8503.431281962143,19928.10281300596
2024-03-10,9378.463308331266,3511.4015912297823,15171.650438647544
2024-03-11,25873.49987795843,20150.46776025544,31463.60771640809
2024-03-12,27131.452231836796,21185.163777949096,33125.63901110758
2024-03-13,26573.02447942606,20787.23077629063,32355.338546111958
2024-03-14,26920.68362022505,21188.818019656417,32546.742815885696
2024-03-15,27958.211239125056,22620.709790124183,33643.22092020035
2024-03-16,13890.297759854004,8147.904654135792,19645.419659482566
2024-03-17,9390.612218158121,3476.2986666687657,15024.47199860841
2024-03-18,25885.648787751226,20051.951385227854,31370.801241187364
2024-03-19,27143.601141669038,21382.541094296954,33232.24747178779
2024-03-20,26585.173389263997,20912.81157805587,32376.409917972884
2024-03-21,26932.832530055464,21285.08753454032,32698.07601071256
2024-03-22,27970.360115028663,21882.834508745585,33496.818242107634
2024-03-23,13902.446601879396,8579.906521945924,19541.489879184548
2024-03-24,9402.761026244401,3396.088469445601,15104.687094927904
2024-03-25,25897.797561912426,20545.038392727594,31381.797635423703
2024-03-26,27155.749881896118,21447.826003366074,33224.370026670425
2024-03-27,26597.32209556942,20916.987534340053,32423.39332439925
2024-03-28,26944.98120245905,21082.71916332182,32257.075661219937
2024-03-29,27982.508787442763,22394.337632954586,33528.75674263203
2024-03-30,13914.595274273324,8847.996015364353,19997.62815151898
2024-03-31,9414.909698646039,3544.9298129997,14986.011234088659
2024-04-01,25909.946234303425,20317.075264914496,31170.078971606094
2024-04-02,27167.8985542922,21227.121008861144,32409.217959487032
2024-04-03,26609.470767964896,20771.003850179186,32373.99645668398
2024-04-04,26957.129874841343,21337.89006752569,32297.540176644823
2024-04-05,27994.657459819413,22517.473540589144,33910.513767070974
2024-04-06,13926.74394663941,8278.244074298269,19347.739802859083
2024-04-07,9427.05836620906,3524.591543810095,15157.157409752972
2024-04-08,25922.094897053506,19766.978483832037,31641.234968612483
2024-04-09,27180.04721219481,21556.398026520856,33253.07416652243
2024-04-10,26621.619421034942,20651.081190903322,32248.809309569227
2024-04-11,26969.2785230878,21422.854172623294,32648.15251255657
2024-04-12,28006.806103233062,22338.10572792075,33538.70330063202
2024-04-13,13938.89258522925,8483.991041139925,19465.744801722267
2024-04-14,9439.207004786165,3698.2201230358596,15262.063099820742
2024-04-15,25934.243535654343,20407.3948864354,31891.908684080303
2024-04-16,27192.19585078877,21755.508136039167,33013.81828905206
2024-04-17,26633.76805963459,21130.96420527825,32621.67128391847
2024-04-18,26981.42716169057,20963.34699889704,32759.31782908026
2024-04-19,28018.954741856996,21925.69786733974,33655.16520223732
2024-04-20,13951.0412238191,8127.538797988751,19563.71985376892
2024-04-21,9451.355643374734,3699.4709682917564,14769.046456069978
2024-04-22,25946.392174255176,20435.898802512304,31533.413975493706
2024-04-23,27204.344489146442,21613.078305637468,32911.359412052596
2024-04-24,26645.91669775484,20840.368105441918,32291.6702622956
2024-04-25,26993.575799550108,21560.021805613487,32399.52025943695
2024-04-26,28031.10337950942,22372.289509240574,33905.86668269827
2024-04-27,13963.189861224317,8356.350817243228,19340.11037573675
2024-04-28,9463.504280564663,4072.301997542373,15615.06560996616
2024-04-29,25958.540811157935,20127.193390911834,31537.884000583603
2024-04-30,27216.49312609452,21807.348101970016,32504.70079753908
2024-05-01,26658.065334690462,20999.858346601137,32300.68206140974
2024-05-02,27005.724436505065,21590.501049732335,32666.581725857228
2024-05-03,28043.252016423798,22148.65412877382,34074.26147184464
2024-05-04,13975.33849814177,8193.371087119587,19632.176175009197
2024-05-05,9475.652917506217,4156.164379832396,15470.993988214615
2024-05-06,25970.689448100296,19924.82476105707,31929.124027711914
2024-05-07,27228.64176303065,21614.025112752883,32812.837420961274
2024-05-08,26670.213971626094,20892.776207248527,32236.794988730093
2024-05-09,27017.87307368748,21250.67178447381,32144.52749666235
2024-05-10,28055.400653862962,22314.81965385551,33792.00219347855
2024-05-11,13987.487135872918,8207.598131480547,19546.77467659333
2024-05-12,9487.80155544279,3672.812378806538,15178.974790250437
2024-05-13,25982.838086299867,20127.115884993138,31922.053406513194
2024-05-14,27240.790401458034,21474.98900912886,33087.03824245371
2024-05-15,26682.362610308566,20953.7212456243,32603.79127232338
2024-05-16,27030.021712361904,21331.041912032033,32773.70636944797
2024-05-17,28067.54929254591,22558.35185940696,33625.96936049262
2024-05-18,13999.635774531662,8380.142723529587,19497.08548584915
2024-05-19,9499.950194125642,3645.5361078722613,15506.435340045107
2024-05-20,25994.986724983526,20323.909157944923,31433.772192524175
2024-05-21,27252.93904013546,21038.34306495193,32659.93648028815
2024-05-22,26694.511248991148,21399.91879183486,31864.573841626858
2024-05-23,27042.170351036857,21074.892654441795,32651.804821302034
2024-05-24,28079.697931201583,21903.52802018507,33747.823139784094
2024-05-25,14011.78441128747,7995.859777159194,19883.193694598154
2024-05-26,9512.098828912554,4085.7886862278447,15175.178968265305
2024-05-27,26007.13535782852,20531.10923468425,31836.999489359612
2024-05-28,27265.087671089746,21662.08957308114,33074.17881529815
2024-05-29,26706.659878019706,20816.96190177064,32697.885954279354
2024-05-30,27054.318978137755,21857.821728912662,32744.482618752183
2024-05-31,28091.846556369044,22363.294904338756,33768.54578233853
2024-06-01,14023.933036430732,8526.01526661298,19846.965817395216
2024-06-02,9524.247454079916,4134.729976808749,15189.003625690257
2024-06-03,26019.28398299669,20042.6089394612,31262.755093108666
2024-06-04,27277.2362962504,20953.45992257293,32791.44312800614
2024-06-05,26718.808503175587,20811.01501481381,32554.197065597506
2024-06-06,27066.467603307872,21612.503069331553,32817.1457627646
2024-06-07,28103.995181560316,22360.3930049638,33773.18633631267
2024-06-08,14036.081661573993,8547.024250577777,19633.745693014298
2024-06-09,9536.396079258735,3922.3086215960493,15495.055347047404
2024-06-10,26031.43260645253,20466.589387163556,32067.721203929657
2024-06-11,27289.38491797425,21372.87375601351,33342.09126882954
2024-06-12,26730.95712318556,21024.61067605072,32583.700904430454
2024-06-13,27078.616221601806,21214.093068833106,32520.613682951862
2024-06-14,28116.14379813256,22510.787178810682,33613.69961423185
2024-06-15,14048.230276430835,8437.138027612935,19663.387027043642
2024-06-16,9548.544692381336,4306.193029373422,15556.221384189796
2024-06-17,26043.581219594114,20455.430127116968,32168.865202793502
2024-06-18,27301.533531114837,22147.71167385154,33398.914680060574
2024-06-19,26743.105736313686,20769.40228734732,32191.285302508262
2024-06-20,27090.76483472797,21313.027345202532,32991.44221770168
2024-06-21,28128.29241125308,22264.35018379842,33597.560794662015
2024-06-22,14060.378889540796,8886.349354011147,20201.00953090431
2024-06-23,9560.693305492481,3863.380248840246,15111.511901675296
2024-06-24,26055.729832735695,20357.12645383725,31523.88782843086
2024-06-25,27313.682144243474,21590.503577408603,32871.0188320545
2024-06-26,26755.254348544382,21494.5141526817,32324.630707412158
2024-06-27,27102.91344606944,21441.77654916092,33074.72572089985
2024-06-28,28140.44102166462,22483.8239483988,33835.252386733104
2024-06-29,14072.527499120122,7907.025707920667,19541.572816806533
2024-06-30,9572.841914111568,4315.123905465902,15107.788346823558
2024-07-01,26067.8784404526,20413.70226337216,31789.91619385017
2024-07-02,27325.830751050504,21866.795463572627,32944.21553664382
2024-07-03,26767.40295535711,21214.600663143152,32600.39587728334
2024-07-04,27115.062052852823,21677.22732304127,32964.90616057201
2024-07-05,28152.589628464186,22622.88977666761,33668.16019099553
2024-07-06,14084.676105909122,8386.416738472413,19321.11796032871
2024-07-07,9584.990520936119,4361.382619933908,15102.117383663346
2024-07-08,26080.027047279935,20318.54896841586,32143.74583217325
2024-07-09,27337.979357869488,21312.236419750494,32829.264265209895
2024-07-10,26779.551562158733,21157.768581290355,32472.350953817655
2024-07-11,27127.21065966868,21401.222843984513,32484.959608331425
2024-07-12,28164.738234230557,22142.569934690568,33846.370893472165
2024-07-13,14096.824710618392,8731.605543302077,19848.799914445237
2024-07-14,9597.13912462019,3999.668783816576,15250.02661370608
2024-07-15,26092.17564985351,20721.105636801018,31930.61429398919
2024-07-16,27350.127959442387,21371.7559281718,32940.802094473474
2024-07-17,26791.700162690497,21662.16498476644,32512.434999536938
2024-07-18,27139.3592591461,21371.23142986806,32837.143492348776
2024-07-19,28176.8868336887,22555.29162305975,33647.09183959224
2024-07-20,14108.973310147028,8662.467925901008,19610.282140759293
2024-07-21,9609.287724094052,4347.713721195863,15260.958500632416
2024-07-22,26104.32424934635,20639.571053118692,32316.756685511213
2024-07-23,27362.276558922284,21664.49989017039,33140.14146146299
2024-07-24,26803.84876216989,21174.95572329884,32581.121040354607
2024-07-25,27151.507858623518,21670.65473692957,32671.718167451876
2024-07-26,28189.03543321156,22544.827771233988,33940.69053630697
2024-07-27,14121.121909622161,8467.781056533224,20118.856430632648
2024-07-28,9621.436323590815,3998.1733908424026,14948.408269859001
2024-07-29,26116.472848555317,20444.08731254182,31806.44895619513
2024-07-30,27374.425157847218,21635.05547510374,33099.82568554988
2024-07-31,26815.99736082347,21243.86585971691,32663.687154327297
2024-08-01,27163.656457013607,21913.185246037792,32742.617374990266
2024-08-02,28201.184031283923,22497.024497988266,33994.607746404436
2024-08-03,14133.270507420442,8634.667517705873,19766.18972018202
2024-08-04,9633.584921136042,4037.292293379667,15659.060671532168
2024-08-05,26128.621446101355,20564.244443150306,31902.111427670283
2024-08-06,27386.57375538702,21320.894018218078,33203.150299421584
2024-08-07,26828.14595836277,20972.009739401074,32887.27709787991
2024-08-08,27175.805054550932,21236.569440575848,32703.608258058714
2024-08-09,28213.332628829245,22499.323680347108,33781.6279181146
2024-08-10,14145.419104955487,8439.24185665828,19853.731657178447
2024-08-11,9645.733518646904,4105.3329180735045,15293.057191401203
2024-08-12,26140.7700436145,20639.848947202103,31948.294161235277
2024-08-13,27398.722352925535,21621.07008344166,33411.071640159375
2024-08-14,26840.294555918383,20759.031327265464,32573.945458325285
2024-08-15,27187.95365212042,21521.634909795477,32500.831143923362
2024-08-16,28225.48122643065,22777.908367517903,34066.33329168775
2024-08-17,14157.567702519638,8391.540350994683,19896.323731454726
2024-08-18,9657.882116245915,3973.7605159531013,15617.142692944935
2024-08-19,26152.918641231787,20758.628270871726,32014.118218075728
2024-08-20,27410.870950540633,21950.415925364487,33585.83298784606
2024-08-21,26852.443153532975,21381.84939040673,32685.330333500784
2024-08-22,27200.10224972188,21513.73978405305,32762.50290727833
2024-08-23,28237.629824037635,22580.467131582376,33999.89522332581
2024-08-24,14169.7163001439,7897.228794069836,19949.3425728786
2024-08-25,9670.030713877883,3507.8528305584236,15468.566521220564
2024-08-26,26165.067238853117,20652.7580375711,31774.05257367879
2024-08-27,27423.01954816768,21911.631397259294,33073.15198000646
2024-08-28,26864.591751153126,21609.17910135232,32977.143314038694
2024-08-29,27212.250847345153,21204.731457339232,32760.652002495128
2024-08-30,28249.778421776427,22686.840974309805,33707.8831336792
2024-08-31,14181.864898003929,8378.760801864291,20083.743840780397
