ds,yhat,yhat_lower,yhat_upper
2024-01-01,56145.901058561634,46467.00641249919,65777.38570189942
2024-01-02,56775.91871942547,46516.07906251298,67273.36927889427
2024-01-03,57965.564656153234,48378.33087681463,67651.0280008706
2024-01-04,58126.70319016894,48872.052384640774,68273.11351141511
2024-01-05,63040.53567639421,53672.87195811578,72531.72180092192
2024-01-06,58435.73971702956,49002.030773333405,69095.28161514679
2024-01-07,47478.93438492813,37532.01550823398,57489.13599083071
2024-01-08,57351.69574608737,46999.87693918658,67039.11171308576
2024-01-09,57981.71340698084,48381.268813962975,67615.56857263834
2024-01-10,59171.35934368887,49082.381885513234,69051.32684284766
2024-01-11,59332.497877714144,49647.311672317126,69379.46253725866
2024-01-12,64246.33036396113,53997.82151370307,74170.85625192923
2024-01-13,59641.53440462265,49939.09704151378,69477.94251094427
2024-01-14,48684.72907248729,39055.79377807252,58419.79683155804
2024-01-15,58557.49043364753,48858.272388868456,68137.8328476323
2024-01-16,59187.50809453622,49658.404632246216,69477.13194610608
2024-01-17,60377.15403125125,51013.46082964184,70002.79238821483
2024-01-18,60538.292564550036,50536.716156464114,70724.11890710365
2024-01-19,65452.1250500755,55157.40963389223,75284.6693855389
2024-01-20,60847.329089992774,50884.4963355571,70889.04467369543
2024-01-21,49890.523757125186,39870.066965799946,59980.09585168335
2024-01-22,59763.285117576284,50286.274455630504,69810.00439476449
2024-01-23,60393.30277772678,50351.52235128761,70100.76766748767
2024-01-24,61582.948713725826,51672.57908736022,71098.99722320153
2024-01-25,61744.08724701127,52580.8755005455,71783.59465514029
2024-01-26,66657.91973254125,56854.72381560489,76297.73750666877
2024-01-27,62053.12377245779,52249.05942194037,71940.06244759297
2024-01-28,51096.31843960039,41040.913148550026,61244.74763831705
2024-01-29,60969.07980001806,50803.89515891464,71165.9936934779
2024-01-30,61599.097460191064,52249.33411344066,71609.69730642675
2024-01-31,62788.74339619087,53152.269363656174,72698.47318157522
2024-02-01,62949.88192949851,53277.816724828976,73073.96801874989
2024-02-02,67863.71441500702,58155.698881940574,77802.10718028827
2024-02-03,63258.918454934465,53495.17239817226,73180.5697513267
2024-02-04,52302.113122123665,42600.58095234648,61746.53334356002
