ds,yhat,yhat_lower,yhat_upper
2024-01-01,18281.614657579412,13828.808288521852,22546.92419467068
2024-01-02,19489.86287217094,14908.65845628835,23645.388185476542
2024-01-03,18847.026119464703,14351.19748839595,23224.578768649597
2024-01-04,19148.034807416214,14867.92872527155,23522.175109804182
2024-01-05,18210.59547230818,13786.246729843639,22597.50324970205
2024-01-06,10119.433950093378,5684.3338457903355,14513.746062399114
2024-01-07,6820.238471939008,2907.791384843021,11198.08352015649
2024-01-08,18331.08552919959,13960.278244691386,22611.041319379543
2024-01-09,19539.33374381987,15209.000064781103,23946.525514286863
2024-01-10,18896.496991105185,14494.68708020765,23288.123302497785
2024-01-11,19197.505679060883,15189.79875404753,23615.93367951708
2024-01-12,18260.066343959887,13900.612943122578,22709.326533661922
2024-01-13,10168.904821771714,5462.152641467731,14267.216392332766
2024-01-14,6869.709343596343,2563.4044555036144,11565.810836971097
2024-01-15,18380.556400855712,13744.475878489668,22657.92479151801
2024-01-16,19588.804615468795,15512.987320952292,24313.665656134195
2024-01-17,18945.96786275875,14213.198040973659,23335.427096487412
2024-01-18,19246.976550041403,15157.841473597173,23575.05766068739
2024-01-19,18309.537214266045,13872.540684383675,22586.361799621558
2024-01-20,10218.37569139849,5981.237783631532,14455.505347257262
2024-01-21,6919.180212553218,2287.1429916938514,11191.178585130285
2024-01-22,18430.02726914797,14267.202157136428,22879.53174350902
2024-01-23,19638.27548307793,15294.996582382142,23930.904370726726
2024-01-24,18995.438729701273,14564.763529312182,23595.505346773436
2024-01-25,19296.44741697666,14780.397953870102,23909.022995687366
2024-01-26,18359.008081199343,14101.233880621636,23131.13907247494
2024-01-27,10267.846558334182,5544.986205535948,14484.651244340897
2024-01-28,6968.651079501145,2734.2657733346186,11293.484357797844
2024-01-29,18479.49813605874,14259.849144326288,22990.301797606957
2024-01-30,19687.74635001429,15174.452840578977,24110.066649657463
2024-01-31,19044.909596638885,14477.498357194543,23666.175627239547
2024-02-01,19345.91828392719,15229.465810620608,23776.64074326163
2024-02-02,18408.478948132637,14388.911166128646,22551.890510201734
2024-02-03,10317.317424190584,5578.240017344652,14560.918452638925
2024-02-04,7018.1219442772435,2493.5444386344852,11479.485658623023
2024-02-05,18528.96899978954,14123.614764608996,22840.266258851032
2024-02-06,19737.21721266705,15574.761823635257,24073.200471508426
2024-02-07,19094.38045821805,14634.782278062334,23490.609812148243
2024-02-08,19395.3891444323,15086.984198846705,23916.452949374554
2024-02-09,18457.949807589706,13711.267087396103,22648.021692944585
2024-02-10,10366.788283616843,6018.944627145284,14741.239861428085
2024-02-11,7067.592803718655,2702.313905392236,11475.747664797407
2024-02-12,18578.439859235263,13985.94813090875,22837.29905692537
2024-02-13,19786.68807210474,15328.992849148508,24254.82979589329
2024-02-14,19143.85131766037,14844.469175671007,23674.426667620173
2024-02-15,19444.860003874357,15192.636128595483,23917.071845997205
2024-02-16,18507.420667030172,14092.457601520391,22631.458675649577
2024-02-17,10416.259143050695,6116.098579970545,14731.172075116801
2024-02-18,7117.063663160065,2760.978058272247,11573.078913069085
2024-02-19,18627.910714523976,14317.105898624632,22910.261999952876
2024-02-20,19836.15892323835,14995.998343092908,24224.524587609827
2024-02-21,19193.32216463672,14876.08451740235,23425.60660274027
2024-02-22,19494.330846686487,15191.085722069205,23931.980864531004
2024-02-23,18556.891505676012,14455.680850345221,23111.17917685469
2024-02-24,10465.729977552608,6270.210102584139,14628.687097781178
2024-02-25,7166.534493490441,2992.193279494013,11492.203074006382
2024-02-26,18677.381544881584,14296.620903738927,23151.764091771107
2024-02-27,19885.629753585607,15497.33324280793,24162.78845548248
2024-02-28,19242.792994983596,14863.080958178445,23649.877801843315
2024-02-29,19543.80167704127,14912.383633472124,24047.302981561217
2024-03-01,18606.362336029208,14131.378201231491,22890.17679855713
2024-03-02,10515.200807932433,6209.823305064949,14794.671256732148
2024-03-03,7216.00532384458,2954.6324383491574,11602.561990861383
2024-03-04,18726.85237523835,14617.774956523761,22956.059246624693
2024-03-05,19935.100583939187,15418.895861682036,24405.82458756633
2024-03-06,19291.324683137518,15179.930126596619,24019.89566722226
2024-03-07,19591.39422300934,15393.122640932143,24313.649710869864
2024-03-08,18653.015739809256,14378.007698530759,22797.013996300448
2024-03-09,10560.915069519231,6071.474664690093,14904.369331714193
2024-03-10,7260.780443263166,2963.1183182906766,11730.253063741553
2024-03-11,18770.688352467674,14065.850945793007,23001.13566334265
2024-03-12,19977.99741897011,15484.08676704489,24179.161818591343
2024-03-13,19334.22151817624,14976.016659216195,23289.20157928991
2024-03-14,19634.29105804779,15212.318040620712,23731.500770664385
2024-03-15,18695.91257484612,14231.2492004068,23350.057713936814
2024-03-16,10603.811904557078,6114.361999234209,14948.249685317433
2024-03-17,7303.677278296289,3269.1510588536544,11581.67506793715
2024-03-18,18813.58518747301,14621.903997578152,23143.65726209753
2024-03-19,20020.894254004193,15626.285448592007,24418.491781878452
2024-03-20,19377.11835321496,15115.521153569687,23736.531422196378
2024-03-21,19677.187893077615,14802.716316685646,23581.6964981237
2024-03-22,18736.308549759236,14541.230141082153,23194.015900111266
2024-03-23,10641.707019383493,6175.061128332949,14983.52160848183
2024-03-24,7339.07153299456,3051.209413444972,11490.463724131429
2024-03-25,18846.478582055322,14375.616168967872,23304.98576305261
2024-03-26,20051.286788461413,15740.17468816534,24355.606686751886
2024-03-27,19405.010027558692,15127.512788026621,23558.795705940687
2024-03-28,19702.578707321503,15317.573651680177,23836.91565958198
2024-03-29,18761.699364009517,14343.114783147797,22882.15354943445
2024-03-30,10667.097833618154,6207.959203194264,15179.784211631235
2024-03-31,7364.462347233866,2698.8219275430833,11830.45972188114
2024-04-01,18871.869396292568,14577.435019626193,23169.484022446846
2024-04-02,20076.677602702042,15862.926568787329,24544.680024683083
2024-04-03,19430.400841799128,14749.454701113333,23737.31263965054
2024-04-04,19727.96952154814,15503.225642741438,23985.75297929097
2024-04-05,18787.09017823419,14230.011193454113,23148.033860586667
2024-04-06,10692.488647837617,6208.0008597310525,15014.920155554993
2024-04-07,7387.005393836609,2960.6268495381178,11353.150711106127
2024-04-08,18891.564675267757,14441.527452000175,23116.865568612884
2024-04-09,20093.525114037322,15685.084228135722,24175.39711905797
2024-04-10,19444.400585494088,15263.620767197366,23884.585843380137
2024-04-11,19739.121497615408,15775.597557081446,24225.551954131322
2024-04-12,18795.394386667624,14416.592937648404,23097.136724272368
2024-04-13,10697.94508864158,6425.31480975866,14956.703143835093
2024-04-14,7392.461834629041,3038.225045733365,11999.78112636516
2024-04-15,18897.02111608189,14490.55162242322,23595.252475570756
2024-04-16,20098.981554845108,15657.46381953094,24431.2648469373
2024-04-17,19449.857026306512,15173.056988193155,23700.816563678713
2024-04-18,19744.577938427567,15394.837366895106,24080.823585839873
2024-04-19,18800.8508274948,14539.823351057277,23030.895555653584
2024-04-20,10703.401529445535,6387.969652345162,14949.7172917178
2024-04-21,7397.918275435866,2960.728212558688,11687.430005558488
2024-04-22,18902.477556896025,14538.919303884344,22897.18736201497
2024-04-23,20102.400100029023,15561.69453304487,24369.956607636068
2024-04-24,19451.23767587096,15027.105169664092,23812.35192892666
2024-04-25,19743.920692358326,15245.202618404226,23949.949564274
2024-04-26,18798.155685822494,14630.47514494628,23202.248960353743
2024-04-27,10698.66849214591,6712.173958479819,15221.288021244773
2024-04-28,7391.147342527764,3110.8080729437074,11829.481253359832
2024-04-29,18893.668728330897,14394.170324652872,23648.03000576225
2024-04-30,20093.59127149836,15738.359699094151,24545.31952097371
2024-05-01,19442.428847331827,14974.312130338038,23607.89045122005
2024-05-02,19735.111863834085,15447.69547480069,24245.86791171822
2024-05-03,18789.346857270037,14440.568609062693,23425.87604208373
2024-05-04,10689.85966359725,6420.965843499266,14874.105091155501
2024-05-05,7382.338513994255,2900.117854495205,11604.118612582854
2024-05-06,18884.859899800012,14195.102588461974,23252.904014730466
2024-05-07,20084.78244295797,15328.6353002982,24815.0163256861
2024-05-08,19433.62001879269,15211.834085544397,23600.81202571949
2024-05-09,19726.239417634904,15355.28107468823,23845.053279600525
2024-05-10,18780.410793420204,14528.814348091804,23355.010179499524
2024-05-11,10680.859982116353,6694.159593967904,14971.134712250749
2024-05-12,7373.2752148299915,3123.0438889362267,11677.050893102167
2024-05-13,18875.732982982372,14688.345295855483,23279.85249090607
2024-05-14,20075.591908477763,15880.999680046427,24377.718443070822
2024-05-15,19424.36586665627,15215.07884177181,23805.16988305542
2024-05-16,19716.985265496223,15314.756079270868,24216.39553874259
2024-05-17,18771.156641281927,14716.986409927349,22890.971771637705
2024-05-18,10671.605829963872,6425.87306547539,14972.109223013558
2024-05-19,7364.021062692656,2794.7881731440634,11833.93557486232
2024-05-20,18866.47883084766,14412.476146471947,23024.515927361208
2024-05-21,20066.337756333553,15757.735422558164,24197.209467676545
2024-05-22,19415.111714518214,15241.79862903331,23501.007612831156
2024-05-23,19707.73111335091,15348.397133267046,24088.21014687559
2024-05-24,18761.90248912564,14435.24321892038,22941.52695888458
2024-05-25,10662.317237939023,6220.275532401854,14862.730470035702
2024-05-26,7354.698030756448,2964.789664693849,11513.492599747098
2024-05-27,18857.121359015197,14683.93547741277,23469.83596638504
2024-05-28,20056.94584463912,15444.349001190321,24618.387967496714
2024-05-29,19405.685362944027,14832.724342011015,24127.93216207965
2024-05-30,19698.270321888896,15446.298721647547,24143.179107268654
2024-05-31,18752.40725777449,14390.9133831922,22679.907673402526
2024-06-01,10652.822006573668,6423.505239277436,14937.162919292368
2024-06-02,7345.202799406241,2771.0712187888234,11548.34407033685
2024-06-03,18847.626127667612,14376.386957508796,23336.346505478272
2024-06-04,20047.45061328835,15701.843194108835,24310.257060620643
2024-06-05,19396.190131581647,14919.991155697258,23649.1772982267
2024-06-06,19688.77509053933,15423.345461746525,23963.839466889123
2024-06-07,18742.91202643994,14334.003163376961,23115.407509432687
2024-06-08,10643.326775208305,6233.441108742828,15015.10786375986
2024-06-09,7335.707568060716,3127.4447417422434,11814.636494800183
2024-06-10,18838.130896087903,14323.113510570582,23414.641157209953
2024-06-11,20037.95538146532,15517.658073781442,24189.105347495835
2024-06-12,19386.6948995318,15028.357134555506,23984.81676426749
2024-06-13,19679.27985825788,15491.706428157459,23849.848565618595
2024-06-14,18733.416793923934,13944.080994656639,23519.606901453266
2024-06-15,10633.831542460317,6361.627933783722,15085.609269674442
2024-06-16,7326.212335075032,2870.0539019180706,11386.04263961835
2024-06-17,18828.63566311037,14499.697698578933,23422.291942481505
2024-06-18,20028.460148487164,15658.020723350368,24389.212140062853
2024-06-19,19377.199666545173,14996.72094149079,23600.802934637035
2024-06-20,19669.784625268898,15454.796095695858,23927.724152544914
2024-06-21,18723.921560932984,14594.121125260148,23032.681519932255
2024-06-22,10624.336309464166,6112.451690754146,14798.254763912208
2024-06-23,7316.717102074948,2953.252119890838,11558.43765705872
2024-06-24,18819.14043013284,14473.885335497083,23307.53629996145
2024-06-25,20018.96491549928,15764.820769632106,24314.28443681375
2024-06-26,19367.70443328976,14948.96239759071,23893.16625282897
2024-06-27,19660.28939174651,15266.273545158929,24145.03791510549
2024-06-28,18714.426327116056,14312.506492921297,23133.949930005056
2024-06-29,10614.841075415137,6334.660033406003,14572.342435366641
2024-06-30,7307.221867717311,2929.9046510300827,11702.188804101848
2024-07-01,18809.6451955025,14423.828180816638,23204.022976694243
2024-07-02,20009.469680587266,15704.140418938012,24495.866104120498
2024-07-03,19358.20919838238,14780.947359543767,23755.51251632252
2024-07-04,19650.79415681962,15125.493715018792,24029.78751035383
