ds,yhat,yhat_lower,yhat_upper
2024-01-01,49938.77046588885,37473.9208560509,61979.60283761965
2024-01-02,51459.98815316837,40017.84478952782,63513.388512722406
2024-01-03,51090.8407042177,39386.13775622033,62837.18366310744
2024-01-04,51833.10663912937,39869.63303205447,63898.67372967664
2024-01-05,55128.45444977198,43099.26241632786,67478.51335214413
2024-01-06,43468.88528495106,32022.160755551282,55333.00276530606
2024-01-07,33132.456356207615,21242.375585312064,43961.42880105321
2024-01-08,50062.831317281016,39000.94127306662,62348.130374923196
2024-01-09,51584.04900460641,40272.7162168277,63451.94211916349
2024-01-10,51214.9015556381,39445.80130434047,63219.49827272035
2024-01-11,51957.167490559565,40655.6005902175,63204.66012554948
2024-01-12,55252.515301220286,43021.87621004609,67304.69275811153
2024-01-13,43592.946136444705,31703.269279711712,56098.79594473153
2024-01-14,33256.5172076573,21606.67498380581,44936.575171368866
2024-01-15,50186.892168730184,38392.653496847364,62068.97054429742
2024-01-16,51708.109856044444,40584.636792886115,63853.64269759653
2024-01-17,51338.96240708444,39450.10417621425,63366.29112554328
2024-01-18,52081.22834201942,41072.81593931331,63773.959220813
2024-01-19,55376.57615269279,42358.05432548947,67673.79105748882
2024-01-20,43717.00698791144,31263.761954659156,55863.79223590438
2024-01-21,33380.57805913474,21829.612687598725,45021.100930833716
2024-01-22,50310.95302023985,38585.72221900513,62291.275678106664
2024-01-23,51832.17070754927,39888.5172146733,63753.31672792595
2024-01-24,51463.02325861314,39468.25672268249,64359.991570883256
2024-01-25,52205.289193534314,40964.00800991951,63783.57797611538
2024-01-26,55500.63700420712,43244.6224129997,67658.2555615019
2024-01-27,43841.06783942658,32780.90092192569,55686.40605298808
2024-01-28,33504.63891066912,21620.0230484335,44577.54818479855
2024-01-29,50435.01387171673,38927.639682402376,62437.06804121218
2024-01-30,51956.231559066204,39462.056667411765,63670.78845779835
2024-01-31,51587.0841101312,39428.11508733796,63281.48623841902
2024-02-01,52329.35004507157,40782.51774693458,63413.84044357545
2024-02-02,55624.69785572143,44137.49881631353,66770.86480597395
2024-02-03,43965.12869147663,32587.3116042234,57122.74987923024
2024-02-04,33628.699763276156,22367.37113940597,45617.50546686319
2024-02-05,50559.07472490113,38529.82512665542,62159.36442785816
2024-02-06,52080.292412793,40522.032007832524,64302.61943187055
2024-02-07,51711.144964404346,39579.775263244635,63515.977912898416
2024-02-08,52453.41089989255,41027.177316278685,63757.11376863065
2024-02-09,55748.758711116956,43545.948321406264,67505.90517749041
2024-02-10,44089.18954683278,32582.561564737272,55547.128861955454
2024-02-11,33752.760618657325,21903.84733170363,45823.509905519844
2024-02-12,50683.13558029461,38837.23652747931,62531.401203351015
2024-02-13,52204.35326817283,39487.92961182299,64059.70200200988
2024-02-14,51835.20581979249,39020.25640026347,63277.387250441825
2024-02-15,52577.47175528211,40827.18388299537,64202.6730914322
2024-02-16,55872.81956650707,44479.72842884522,67533.93894105846
2024-02-17,44213.25040220501,32129.55490640948,56268.03209880111
2024-02-18,33876.82147403849,22044.201292758404,45326.81789950458
2024-02-19,50807.193167479825,39185.27981426342,63661.935380418836
2024-02-20,52328.40758715461,40522.78483203408,62970.33028109786
2024-02-21,51959.25687057085,40133.923865401506,64485.915752961875
2024-02-22,52701.51953784107,41109.79107926737,63824.76584302034
2024-02-23,55996.864080843516,43915.86790967341,68118.50786864488
2024-02-24,44337.2916483577,32216.48489851181,55905.74295982395
2024-02-25,34000.859451977754,22013.597564585998,45611.94501904275
2024-02-26,50931.23114544797,38855.93468993409,62329.89728982839
2024-02-27,52452.44556510584,40684.23213516997,63708.155685533304
2024-02-28,52083.29484852086,40591.93337255342,63701.49919602587
2024-02-29,52825.557515807806,41196.17760858887,64394.03794748208
2024-03-01,56120.902058810796,44752.09469597091,68171.43674823093
2024-03-02,44461.32962637033,33089.64511883421,56592.66623238696
2024-03-03,34124.8974299361,22444.85502213905,47067.43768885606
2024-03-04,51055.26912341363,38899.94811631126,63640.627248379846
2024-03-05,52576.48354306865,41365.09888323634,63927.762459464815
2024-03-06,52203.84725282199,39989.234705361276,63711.6208810889
2024-03-07,52942.62434646772,41233.01809768508,65493.76181726409
2024-03-08,56234.48331584467,43924.793086468555,67750.66817950459
2024-03-09,44571.425309750666,32128.785131749544,56417.383998605255
2024-03-10,34231.507539713544,21818.73547274973,45788.909489210855
2024-03-11,51158.39365955229,38258.01731639703,62747.59789797702
2024-03-12,52676.122505552135,41520.5072612709,65885.13869456996
2024-03-13,52303.486215319586,40516.317708951225,63700.93233736244
2024-03-14,53042.263308966736,41229.46204846024,64310.618369714044
2024-03-15,56334.12227834422,43354.08636491751,67066.32925416622
2024-03-16,44671.06427224845,33056.94718133435,56816.10055585388
2024-03-17,34331.146502193835,22871.476213199472,46000.068203831834
2024-03-18,51258.03262199572,40034.17439540786,63104.415328271054
