ds,yhat,yhat_lower,yhat_upper
2024-01-01,34967.49031316604,28390.80752658274,41430.4294739358
2024-01-02,36808.24445077657,30277.128810266116,43507.3391573513
2024-01-03,35892.916251916075,29980.334670793312,42577.60285006545
2024-01-04,36789.22124212456,29933.435787532297,43678.857052132706
2024-01-05,37789.56580827737,31484.278660189695,43955.530991577936
2024-01-06,24043.60844732397,17568.19301774323,30804.000292618974
2024-01-07,17005.04518572674,10576.492161588472,23295.539854057035
2024-01-08,34991.78017154581,28739.29046139303,41302.77040912138
2024-01-09,36832.5343092024,30983.49028544576,43164.352427717226
2024-01-10,35917.20611032982,29892.440864879987,42566.80436341848
2024-01-11,36813.51110054541,30576.481843349262,43154.415769656625
2024-01-12,37813.85566670987,31116.520391121823,44126.03791899621
2024-01-13,24067.898305803603,17591.102074415576,30342.33822971156
2024-01-14,17029.335044167085,10831.347849843849,23830.2223557753
2024-01-15,35016.07002998435,28583.612253966126,41763.125280771186
2024-01-16,36856.82416762822,30034.15814203766,43111.916561702215
2024-01-17,35941.49596876293,28687.279267838836,42255.583158279725
2024-01-18,36837.800958355234,30530.479091364046,43286.37546934119
2024-01-19,37838.145523892366,31588.99336463097,44490.01353528248
2024-01-20,24092.188162347935,18101.160860717864,31002.966605710983
2024-01-21,17053.62490008818,10330.103578154954,23418.46697823801
2024-01-22,35040.35988529792,28883.005931928936,41565.66955895998
2024-01-23,36881.1140223006,29968.671953324607,43385.30360771475
2024-01-24,35965.78582281943,29616.1434280843,42227.99845933471
2024-01-25,36862.090812401126,30116.83502833093,43591.76240921396
2024-01-26,37862.43537793442,31373.69848366638,44843.857144448695
2024-01-27,24116.478016392295,17335.02370035171,30822.60901747367
2024-01-28,17077.91475415357,10848.281466066539,23810.258976400124
2024-01-29,35064.64973930273,28359.866417698737,41176.31932387862
2024-01-30,36905.40387634799,30240.451837900237,43184.589162113065
2024-01-31,35990.075676867906,29669.95455151847,42720.830959792074
