ds,yhat,yhat_lower,yhat_upper
2024-01-01,13424.696592923456,10578.248568291625,16115.1712169496
2024-01-02,14219.389992482813,11388.934100272889,17105.10923945883
2024-01-03,14097.570802746815,11354.588598949525,17028.449290942895
2024-01-04,14452.30952215946,11576.821468498809,17393.74792550142
2024-01-05,15142.313267217396,12272.545459756582,17854.211213539355
2024-01-06,10787.564627663814,8052.052133677194,13811.356859574069
2024-01-07,7979.159885535,5266.622675386136,10948.172413683364
2024-01-08,13461.580066481896,10517.215746221047,16232.254315077626
2024-01-09,14256.273466056318,11496.407852670129,17101.324435154896
2024-01-10,14134.454276316208,11442.17901403121,16861.088017827897
2024-01-11,14489.192995731275,11572.89710561859,17309.00393526596
2024-01-12,15179.196740793162,12437.968752468385,17898.217665745542
2024-01-13,10824.448101255446,8161.603176546444,13606.906242047802
2024-01-14,8016.04335911258,5339.39643807924,10773.708793333702
2024-01-15,13498.463540059305,10668.42549783559,16325.009072932477
2024-01-16,14293.156939629818,11441.296317804406,16885.15659107795
2024-01-17,14171.337749891893,11417.235435537064,16843.08744978212
2024-01-18,14526.076469014562,11574.51293927887,17307.7167084977
2024-01-19,15216.08021378275,12562.82342935541,17883.379878718715
2024-01-20,10861.331573947184,8322.470464091472,13950.878056715324
2024-01-21,8052.926831511476,5327.761667720957,10802.4316541718
2024-01-22,13535.347012171276,10738.52045941127,16346.050522348813
2024-01-23,14330.04041144368,11311.378417929127,17080.481986207982
2024-01-24,14208.221221415299,11500.31651560134,17213.74789591116
2024-01-25,14562.959940534762,11615.445785815693,17307.612777366794
2024-01-26,15252.963685301838,12474.413732193207,17996.69944660262
2024-01-27,10898.215045466564,8209.640381187844,13457.76063559977
2024-01-28,8089.8103030374405,5236.925622574967,10698.832628648179
2024-01-29,13572.2304836781,10639.795646777293,16476.44034182183
2024-01-30,14366.923882964451,11398.257383407763,17176.90293473083
2024-01-31,14245.104692936218,11376.716464945202,16918.260719480615
2024-02-01,14599.84341205965,11704.489331514033,17501.705811474898
2024-02-02,15289.847156820924,12484.862367277443,18098.5808366313
2024-02-03,10935.098516729953,8028.188624532873,13742.76632057592
2024-02-04,8126.693774049512,5326.5691644788985,10739.243230814724
2024-02-05,13609.113954448474,10693.895437264162,16551.08309665991
2024-02-06,14403.807353480632,11746.699632406064,17046.48790806189
2024-02-07,14281.988163200012,11428.136989421644,17042.722408952428
2024-02-08,14636.726882071292,11825.296149204063,17318.18631896089
