ds,yhat,yhat_lower,yhat_upper
2024-01-01,8723.429048452936,7312.945180576889,10124.073319133568
2024-01-02,9151.336776139904,7713.755842770914,10505.981205261563
2024-01-03,8990.87348249354,7531.43894977799,10382.166261228818
2024-01-04,9174.489161935535,7594.936158884617,10680.01789990026
2024-01-05,9221.689813740692,7678.4623876236965,10583.649143895878
2024-01-06,6581.113076914149,5082.388238415271,8029.993558060638
2024-01-07,4701.688913487733,3333.42033699405,6192.826056724042
2024-01-08,8752.535387161406,7259.819933268212,10180.33000691824
2024-01-09,9180.443114859074,7751.800662673081,10699.298076969948
2024-01-10,9019.979821208537,7544.316797774775,10547.66767443028
2024-01-11,9203.595500652651,7811.619357198149,10667.514222259697
2024-01-12,9250.796152461406,7857.569281615768,10702.754231140187
2024-01-13,6610.219415644686,5182.065291152367,8126.7611747785895
2024-01-14,4730.795252209308,3218.8520211001996,6067.808211729012
2024-01-15,8781.64172588289,7344.231413899689,10286.881524263797
2024-01-16,9209.549453578244,7795.22938447318,10599.824258979703
2024-01-17,9049.086159929631,7654.7436020562145,10576.419887692326
2024-01-18,9232.701838876457,7829.184106389492,10684.023780634936
2024-01-19,9279.90249018791,7939.516234532815,10775.962531148694
2024-01-20,6639.325752870805,5160.432469029274,8147.974182266929
2024-01-21,4759.901588939098,3206.228544453416,6143.218976372539
2024-01-22,8810.748062118846,7326.9673372427615,10236.250480802817
2024-01-23,9238.655789313085,7790.559201140609,10767.620226545141
2024-01-24,9078.192495170053,7673.615479767852,10532.871039759437
2024-01-25,9261.808174113834,7722.703731033456,10794.551133303006
2024-01-26,9309.008825425093,7988.583394967122,10795.157847644285
2024-01-27,6668.432088108502,5179.82535629706,8125.447598093767
2024-01-28,4789.007924180931,3319.7717504378243,6269.856589284588
2024-01-29,8839.854397347579,7393.788405654596,10260.517782189669
2024-01-30,9267.762124550818,7723.207783245113,10691.64477458351
2024-01-31,9107.298830408361,7634.234264331312,10628.931886004524
2024-02-01,9290.914509357506,7864.213165482494,10774.00790821874
2024-02-02,9338.115160662277,7952.046795582335,10890.460481212867
2024-02-03,6697.538422996496,5294.775776243969,8213.70936851691
2024-02-04,4818.114258721409,3363.88231194896,6288.879035541808
2024-02-05,8868.960731549336,7307.997072790997,10250.522079329845
2024-02-06,9296.868458403587,7888.587755977545,10757.87813541311
2024-02-07,9136.405163913336,7686.337758307351,10609.594847283113
2024-02-08,9320.020842514888,7937.144865217092,10668.856712315262
2024-02-09,9367.221493480169,7905.848045581084,10776.293575486676
2024-02-10,6726.6447558044965,5216.9940048908675,8173.471389117978
2024-02-11,4847.220591534902,3371.4903588217635,6248.35775641893
2024-02-12,8898.067064364413,7484.6616193493055,10452.09765907104
2024-02-13,9325.974791216358,7893.927211396425,10726.796561909181
2024-02-14,9165.511496728031,7763.817667216234,10619.772024821998
2024-02-15,9349.127175329404,7833.7881772423725,10690.870842604581
2024-02-16,9396.327826294482,7894.872484655267,10822.43013004675
2024-02-17,6755.751088615533,5351.112161309768,8086.649935702165
2024-02-18,4876.326924348396,3508.8078411323095,6314.468555603107
2024-02-19,8927.173396067557,7577.833239087951,10419.890305723382
2024-02-20,9355.081121807103,7864.764584295149,10706.80562085263
2024-02-21,9194.617826206879,7752.7909313512455,10607.058367257696
2024-02-22,9378.233503692327,7859.396420022673,10811.545587011338
2024-02-23,9425.43415354147,8041.043599627497,10885.393938637459
2024-02-24,6784.857414754879,5476.8248500394175,8386.189645659675
2024-02-25,4905.433249371903,3492.1561065377437,6442.684641752045
2024-02-26,8956.279721099003,7440.439652775312,10460.02210965395
2024-02-27,9384.187446834536,7950.565177083768,10849.866124309456
2024-02-28,9223.724151233953,7729.763497498692,10629.207431200808
2024-02-29,9407.3398287232,7936.6926709358095,10892.647079140846
2024-03-01,9454.540478572146,8015.898638424021,10959.689282915724
2024-03-02,6813.963739795376,5304.062513109382,8259.51361463667
2024-03-03,4934.539574401757,3573.8502099888155,6454.365717480563
2024-03-04,8985.386046130456,7426.953567221982,10303.966948730998
2024-03-05,9413.293771865363,7902.727225303663,10904.351422540252
2024-03-06,9252.136333332417,7817.652828720435,10652.90850860405
2024-03-07,9435.057867895988,7956.912094446536,10860.727505477189
2024-03-08,9481.564374819547,8033.410083728901,10905.191149835046
2024-03-09,6840.293493113758,5410.9784249395625,8336.285567293608
2024-03-10,4960.175184800821,3617.1410413089898,6395.442561138184
2024-03-11,9010.327513602937,7668.748668812214,10357.49261936324
2024-03-12,9437.54109640734,7993.55796580289,10918.182877806597
2024-03-13,9276.383657878012,7745.818248911753,10787.583313284074
2024-03-14,9459.305192441405,8070.951106299397,10854.568812602587
