ds,yhat,yhat_lower,yhat_upper
2024-01-01,32133.641092708604,26630.627521829545,37736.84707323033
2024-01-02,33097.872747899666,27353.90659713332,38609.19649776894
2024-01-03,32969.4602942249,27481.637411489435,38475.687374026194
2024-01-04,33023.370413803,27184.505236862926,38617.41400238979
2024-01-05,34633.141391219535,28588.99096040011,39885.95412733629
2024-01-06,22185.125514959105,16566.587084311086,27607.915483600053
2024-01-07,16410.765001235224,10905.161898823559,22259.240640922933
2024-01-08,32150.172400011204,26774.487601373086,37913.674858466744
2024-01-09,33114.40405524064,27520.277635799037,38645.882806981586
2024-01-10,32985.99160155699,27352.842571467143,38768.15198455099
2024-01-11,33039.90172113985,27567.840164104004,38600.029574281325
2024-01-12,34649.67269856818,29193.283180379844,39943.174005905355
2024-01-13,22201.656822347653,16678.53156778169,27552.287363613956
2024-01-14,16427.296308591744,10601.316678789362,22222.73855936186
2024-01-15,32166.70370736431,26575.4391887622,37847.60811003007
2024-01-16,33130.93536258161,27470.6041655293,38674.99513445629
2024-01-17,33002.52290890426,27463.686521611857,38769.59342660383
2024-01-18,33056.433027347935,27618.790185017533,38402.058554062336
2024-01-19,34666.204003634,28994.434179807613,39995.55122252665
2024-01-20,22218.188126259953,16815.701748018844,27474.164880410077
2024-01-21,16443.82761135988,11165.208163184929,21844.015107190604
2024-01-22,32183.235009010335,26847.643762619697,37981.59652932109
2024-01-23,33147.466663073064,27840.36893157566,38959.91123957836
2024-01-24,33019.054208260764,27689.43287746949,38513.8798768439
2024-01-25,33072.964326694884,27601.82200800892,38306.247462628045
2024-01-26,34682.73530297755,28881.439612762875,39738.68220135057
2024-01-27,22234.719425606592,16679.563482097623,27826.91519900721
2024-01-28,16460.358910726492,10737.252505319724,22216.319469102134
2024-01-29,32199.76630832303,26533.306780205865,37638.190220062264
2024-01-30,33163.997962423105,27926.399918100426,38758.590341303694
2024-01-31,33035.585507610536,27734.8157197339,38830.12586381692
2024-02-01,33089.49562605779,27153.835221355665,38403.624952979226
2024-02-02,34699.266602321084,29055.682698294982,40209.88731136957
2024-02-03,22251.250724459907,16422.97134277364,27749.427713573838
2024-02-04,16476.890209096422,10921.664187696051,21900.553268476226
