ds,yhat,yhat_lower,yhat_upper
2024-01-01,51910.71700259348,44322.828801296084,59715.353492217706
2024-01-02,54267.73277609878,46892.63844524766,61407.112694069176
2024-01-03,53647.194707271774,46014.72424011754,61305.53233983447
2024-01-04,54660.939733927604,47348.347062335604,62164.365166723845
2024-01-05,57257.39919438237,50095.299565881156,64653.98014778522
2024-01-06,44497.015819637105,37109.37244701764,51800.7111762179
2024-01-07,32579.29871089272,24730.19738398673,40196.21304250115
2024-01-08,52030.38743679866,44212.357849797416,59484.95613951059
2024-01-09,54387.4032103583,46924.275545093245,62685.96628573875
2024-01-10,53766.86514150892,46559.48874713209,61233.984759822895
2024-01-11,54780.610168176776,47509.95108179639,62202.742249075956
2024-01-12,57377.06962865191,49469.84775270428,64883.26905508197
2024-01-13,44616.686253958134,36970.14118924418,51991.785891103296
2024-01-14,32698.969145163064,25226.23926394509,40319.62961573012
2024-01-15,52150.05787106971,44700.00916922998,59635.00806722935
2024-01-16,54507.07364461781,46472.2652566956,61746.54810802042
2024-01-17,53886.53557577794,46060.359457690756,61192.96981131179
2024-01-18,54900.2806011903,47545.20545481432,62472.834112824574
2024-01-19,57496.74006040982,50607.31855088084,64846.52742696442
2024-01-20,44736.356684440485,37243.36480986436,52013.76200450152
2024-01-21,32818.63957439107,23982.88934274261,40220.13092651777
2024-01-22,52269.72829906164,45080.7467592615,59231.469131187354
2024-01-23,54626.744071333844,46838.469931855776,61632.32366163802
2024-01-24,54006.20600125268,46502.23978431506,61272.018890520754
2024-01-25,55019.95102664871,48217.19820786975,62915.86914380932
2024-01-26,57616.41048586819,49987.800355375155,65117.04821997666
2024-01-27,44856.02710989954,37344.1987137217,52074.95128010499
2024-01-28,32938.309999870646,25406.56416896441,40191.78012410488
2024-01-29,52389.39872447605,44940.26083148948,60073.71784932563
2024-01-30,54746.41449679405,47772.54409584612,62518.66513797975
2024-01-31,54125.876426715,46670.576874005455,61447.40323999794
2024-02-01,55139.62145213576,47917.226489480025,62379.26597236229
2024-02-02,57736.080911326564,50240.672930878056,65133.149628541294
2024-02-03,44975.697533739076,36672.04629247153,52491.17836408433
2024-02-04,33057.980422112756,25714.73812828535,40384.525173414266
2024-02-05,52509.069145147085,45237.4530619808,60101.702436299296
2024-02-06,54866.084915851185,47432.26263611114,62573.20638211048
2024-02-07,54245.546844162796,46307.831534369376,61222.333094438116
2024-02-08,55259.291867976746,47829.81002154632,62972.642308231065
2024-02-09,57855.75132559316,51012.483808808334,65063.46962835663
2024-02-10,45095.3679479612,37157.8249310542,52430.42745838074
2024-02-11,33177.650836362474,25685.75242749769,40797.34233872441
2024-02-12,52628.73955940759,45044.70618400804,59932.113210231226
2024-02-13,54985.7553300996,47259.32799816981,62646.38218421803
2024-02-14,54365.21725842073,47032.89411179802,61955.74050200083
2024-02-15,55378.962282235,48024.265371457244,62657.00803732166
2024-02-16,57975.42173985162,49946.24004841561,65606.21133656296
2024-02-17,45215.03836219992,37784.766081309295,52559.609808732675
2024-02-18,33297.32125061221,25455.147315301703,40892.8583288705
2024-02-19,52748.407808255964,45692.29890126535,60248.71605518736
2024-02-20,55105.42141353365,47659.29187905635,62601.688036451145
2024-02-21,54484.88117644554,47172.29227760919,62165.09562499319
2024-02-22,55498.62403482893,47729.00089827111,63003.38563548599
2024-02-23,58095.08132701406,50672.59227525368,65966.71915655048
2024-02-24,45334.69578397241,37650.26082677342,52381.90768696488
2024-02-25,33416.97650696253,26246.595292412887,40697.578343008856
2024-02-26,52868.06306463866,45702.95467534567,60599.75926260895
2024-02-27,55225.07666989626,47929.605354726584,63056.72098770252
2024-02-28,54604.536432806744,47141.17168705696,62839.641507078166
2024-02-29,55618.27929120992,48562.61696506848,63296.917361992695
2024-03-01,58214.73658339524,50642.66505341859,65587.22600250498
