ds,yhat,yhat_lower,yhat_upper
2024-01-01,46837.674603659936,37783.6417860562,56031.21776683837
2024-01-02,49164.489891123536,40782.45411992781,57468.31300864842
2024-01-03,48348.5887814233,39357.054199313425,57552.41721946256
2024-01-04,49059.30127766289,41009.655454601336,58165.063412009105
2024-01-05,50311.70388198537,41690.93811937758,59266.709542525205
2024-01-06,34074.48125520578,25478.77865590995,42932.06750155704
2024-01-07,22413.375551313733,13656.293799069485,30957.749629574613
2024-01-08,46856.08775304062,38261.15513276916,55544.58422640063
2024-01-09,49182.90304056846,40707.66492036905,58419.07070475834
2024-01-10,48367.00193084386,39565.90518772449,56865.09292437951
2024-01-11,49077.71442709589,40633.104426184305,58134.989931770615
2024-01-12,50330.11703144112,40977.2603607068,59367.59314124527
2024-01-13,34092.894404721155,26006.26040690291,43215.14089206743
2024-01-14,22431.788700774687,13532.531865613844,31605.128873521207
2024-01-15,46874.50090250036,38021.912910245825,55770.89082650765
2024-01-16,49201.31619001339,39975.05838271581,58688.86927258584
2024-01-17,48385.415080300234,39283.57983476349,57736.59635823221
2024-01-18,49096.12757566499,40843.39427383079,58063.46813697535
2024-01-19,50348.53017912265,41792.87938998056,59451.08258989559
2024-01-20,34111.307551494756,24927.34376253469,42608.054076665794
2024-01-21,22450.201846663316,13707.69835570291,31816.90392358175
2024-01-22,46892.91404752454,38278.64206881855,55383.76857085704
2024-01-23,49219.729334126605,40922.04206005761,57645.62736345767
2024-01-24,48403.828223542536,39683.08559514643,57367.301698701864
2024-01-25,49114.540718888195,40168.25850520467,58451.78744634949
2024-01-26,50366.943322344676,41265.91941405243,58530.22236844581
2024-01-27,34129.72069471992,25223.042400687944,42551.439639580785
2024-01-28,22468.614989914484,12958.829876106965,31193.98505781748
2024-01-29,46911.32719069543,38004.17429736118,55824.41151814848
2024-01-30,49238.142477352696,40112.62868956784,57365.67321832631
2024-01-31,48422.24136677122,39996.396360312145,58002.183640149495
2024-02-01,49132.953862148504,40290.41106949763,58401.747696878854
2024-02-02,50385.35646556671,42299.424277414415,58811.226425453184
2024-02-03,34148.13383866702,25400.780857893675,43099.00295075976
2024-02-04,22487.02813460042,13862.338050322349,31427.77144644665
2024-02-05,46929.74033616932,37629.87793234851,55718.952010760455
2024-02-06,49256.55562355523,40194.614786584665,58810.609583486184
2024-02-07,48440.65451370912,39915.431154269245,58111.05267847063
2024-02-08,49151.367009822796,40264.558346239246,58130.86685377405
2024-02-09,50403.76961402438,41309.130195231395,59291.988708869125
2024-02-10,34166.54698706519,24922.03918649464,43045.96427663206
2024-02-11,22505.44128303258,13526.892225411431,31583.607938979127
2024-02-12,46948.153484613795,38238.26612245541,56406.3518456443
2024-02-13,49274.96877198329,40143.16463371522,58001.45554173168
2024-02-14,48459.06766214864,40026.85063998975,57380.00424126984
2024-02-15,49169.78015826214,40142.00347722125,58324.32162064858
2024-02-16,50422.18276246326,41305.10834809808,58719.24568714623
2024-02-17,34184.96013548327,25630.06578598641,43590.14326928875
2024-02-18,22523.85443146472,13937.545280384773,31244.992978204667
2024-02-19,46966.56663190484,37691.137988773015,55052.070683311045
2024-02-20,49293.381918122745,40623.06369608401,57735.73501199502
2024-02-21,48477.480807137494,38962.23125219089,56880.66827870383
2024-02-22,49188.193302077394,40067.02803221799,58491.896947602494
2024-02-23,50440.59590510315,40900.393027810656,60024.60471361068
2024-02-24,34203.37327700002,25553.930901348835,42992.265709620006
2024-02-25,22542.26757180835,13772.073827003564,31854.373776977875
2024-02-26,46984.97977229617,38029.340462839245,55563.19528949864
2024-02-27,49311.79505849022,40676.76451740213,58284.66355892812
2024-02-28,48495.89394750327,39255.793795409554,56668.439034525734
2024-02-29,49206.606442465214,40708.15245561036,58264.61390128203
2024-03-01,50459.009045490515,41358.94007256109,59445.831634458125
2024-03-02,34221.786417447,25958.12108152892,42464.47672544773
2024-03-03,22560.68071218896,13327.312387991897,31529.494631469493
2024-03-04,47003.3929126859,38373.585349567846,56839.81950891957
2024-03-05,49330.208198875785,39834.545558059675,58297.20868967242
2024-03-06,48514.30701424527,39818.63861596632,57763.683128285214
2024-03-07,49225.01943560016,40478.09848558458,58253.68585521031
2024-03-08,50477.42196502348,41791.28583018051,59355.02888420247
2024-03-09,34240.19926335306,24970.717562786802,42917.585225519004
2024-03-10,22579.0934845308,13656.965554949538,32227.443149410385
2024-03-11,47021.805611416385,38102.4097419053,55725.78492328307
2024-03-12,49348.62082397228,40424.17636779054,57820.1372314903
2024-03-13,48532.719639362265,39889.10696253078,57687.339695812196
2024-03-14,49243.432060716994,39701.327781176544,57897.69023761853
2024-03-15,50495.83459013985,41672.87147233706,59211.19159535581
2024-03-16,34258.611888468535,25760.090555847633,43543.17307810433
2024-03-17,22597.506109628495,13792.809866872227,31196.32647323878
2024-03-18,47040.21823645768,37825.11468354539,56345.74253799918
2024-03-19,49367.03344907782,40775.35880248248,58308.962650791414
2024-03-20,48551.13226447925,39329.01931831873,57651.99273727765
2024-03-21,49261.84468581061,40103.46642709038,57824.32762438869
2024-03-22,50514.24492727576,41665.83108233734,59731.80059386387
2024-03-23,34277.01993771158,25741.459887118002,43139.859220641054
2024-03-24,22615.911870880507,12808.396718721679,30982.55939150022
2024-03-25,47058.62170975196,38631.00702238733,56062.86021672199
2024-03-26,49385.434634391735,40670.64734143744,58607.435321843164
2024-03-27,48569.53116183923,39962.37554443436,57046.40502719082
2024-03-28,49280.24129525503,40330.317291086125,57116.41175334929
2024-03-29,50532.64153671527,41944.26461847537,59495.79276073201
2024-03-30,34295.416547131426,25499.93767655371,44165.60672066418
2024-03-31,22634.30848030644,13699.61174535449,32010.336441033116
2024-04-01,47077.01831917508,37807.43110848399,55507.13311949355
2024-04-02,49403.83124382252,40640.16876944057,58862.985030055126
2024-04-03,48587.927771274204,40199.646458476425,57999.83471364402
2024-04-04,49298.637904653006,40920.32445263704,58276.71992883213
2024-04-05,50551.03814611207,41972.782470527025,59653.76735803
2024-04-06,34313.81315651144,25921.94787843871,42972.04071584322
2024-04-07,22652.705088158436,14227.315433707168,31826.256750980545
2024-04-08,47095.4149254774,38455.58774733873,55742.98148582788
2024-04-09,49422.22784854644,40545.09129958693,58595.4597465439
2024-04-10,48606.324374411764,39585.88577572873,56786.65969944379
2024-04-11,49317.034506241005,40786.32751913446,57833.57963679493
2024-04-12,50569.43474613688,41623.81753923581,59952.736557627606
2024-04-13,34332.20975497739,25290.954277958237,42829.70821560205
2024-04-14,22671.101686613423,14529.731565409435,31814.52966699705
2024-04-15,47113.81152396655,38078.55270671076,56277.95341713879
2024-04-16,49440.62444702238,39972.5929903971,57670.45322357475
2024-04-17,48624.72097289915,39757.40715595923,57214.410222611994
2024-04-18,49335.43110472823,39949.4383857834,59162.02941041381
2024-04-19,50587.83134464243,42235.04111319069,59196.52919500048
2024-04-20,34350.60635344334,25285.717603044766,43278.35848990223
2024-04-21,22689.498285081507,13695.44160569232,32143.482627947742
2024-04-22,47132.20812245569,38725.28130175419,55965.838963047594
2024-04-23,49459.02104496468,39996.309270712474,57722.58363154732
2024-04-24,48643.117570319446,39697.01390277047,57372.46443959431
2024-04-25,49353.8277015859,39930.870496366304,58295.97053741571
2024-04-26,50606.227941030826,42132.91607041664,59033.44502168663
2024-04-27,34369.00294928635,25146.71650725266,43650.26133119562
2024-04-28,22707.89488042593,13282.80921392364,31382.057222247404
2024-04-29,47150.60471719685,38200.61496647961,56463.0605604917
2024-04-30,49477.417639780324,40823.911803652285,58266.18758633099
2024-05-01,48661.514165116794,39492.146016713275,57483.98826940791
2024-05-02,49372.22429642422,40108.593760240205,58755.547454565654
2024-05-03,50624.62453579758,42523.181992111306,59655.49535448074
2024-05-04,34387.39954406027,25924.27938882822,42848.53567030258
2024-05-05,22726.291475233833,13838.97880279194,31809.03100399126
2024-05-06,47169.001312013876,38603.31034145355,55846.860104787775
2024-05-07,49495.81423457508,40278.12289434395,57980.31836749418
2024-05-08,48679.91075991414,39976.742656167175,57129.00507892861
2024-05-09,49390.620887807156,40205.30313222857,58554.48930687263
2024-05-10,50643.02112379433,42154.75751419335,59953.2662909334
2024-05-11,34405.796128707705,25679.310824245502,42968.61096365441
2024-05-12,22744.688056405965,14188.681940990336,32038.268034958768
2024-05-13,47187.39788978939,38797.07666669246,56316.70973345484
2024-05-14,49514.2108089343,40917.7184839586,58834.549270191186
2024-05-15,48698.307330866824,40184.86713411156,57219.49733309778
2024-05-16,49409.01745875033,41238.5511451888,58674.35232064875
2024-05-17,50661.417694746386,40887.9980383181,59684.425327404846
2024-05-18,34424.192699619045,25102.184515325986,43111.768142483576
2024-05-19,22763.08462735129,13320.493746774395,32160.877520337912
2024-05-20,47205.79446074384,38310.87778649072,56223.89206456889
2024-05-21,49532.60737986649,40141.853617693705,57810.0737263751
2024-05-22,48716.70390181521,39510.68113095773,57896.76484102629
2024-05-23,49427.41402967963,40741.88821827965,58789.116245316145
2024-05-24,50679.81426565056,42098.93227665238,59532.15766224116
2024-05-25,34442.58927020118,25811.724074312973,43502.60027529392
2024-05-26,22781.481197521545,13243.20438222371,31225.467983566643
2024-05-27,47224.19103051371,37847.66200212697,56177.78851367496
2024-05-28,49551.003949322534,40694.23605460438,58435.51550313453
2024-05-29,48735.10047092271,39473.888159592985,57293.09225558195
2024-05-30,49445.810598417935,40341.98986405774,58633.74576974228
2024-05-31,50698.210834019366,41666.5694108381,60219.694793588686
2024-06-01,34460.98583852926,26139.291014690974,42640.57531774434
2024-06-02,22799.877765883622,14624.414928312746,31255.737398378096
2024-06-03,47242.5875988849,37844.198313770125,56431.55449942247
2024-06-04,49569.400517689566,40867.960549429576,59033.90408471145
2024-06-05,48753.49703925633,40345.934036663086,56961.86032258848
2024-06-06,49464.20716678721,39840.441228560914,58685.27052803869
2024-06-07,50716.60740240695,41761.02057610715,59526.71592764583
2024-06-08,34479.382406857345,25101.394196996924,43311.8672118541
2024-06-09,22818.274334257632,13774.179338115444,32144.895800710845
2024-06-10,47260.98416754103,38170.68182524651,56358.71891784609
2024-06-11,49587.79708660517,41062.95684324573,58679.24804107826
2024-06-12,48771.893608471495,39956.350633287904,58078.43890790795
2024-06-13,49482.60373628983,40777.7334762428,58785.29106002689
2024-06-14,50735.00397219244,41774.314582665305,59257.629815963584
2024-06-15,34497.77897692528,26158.888434808905,43104.45082899588
2024-06-16,22836.670904591112,14026.199048569779,32254.965112735015
2024-06-17,47279.38073789717,38528.08792666085,56113.01177684948
2024-06-18,49606.19365695834,41366.7356296499,58338.58314520724
2024-06-19,48790.290178806354,40159.771939145925,57584.927998493746
2024-06-20,49501.00030661923,40422.12212850236,58567.30689639582
2024-06-21,50753.400542520656,41545.1512829542,59397.08273789722
2024-06-22,34516.17554723672,25837.407448549973,43565.612807845304
2024-06-23,22855.067474911488,14360.669691427347,31685.164716877367
2024-06-24,47297.77730825332,38177.54587953995,56199.777965321
2024-06-25,49624.590227290624,39842.9423942859,58538.09707006455
2024-06-26,48808.68674919376,39610.10880660732,57320.93671932516
2024-06-27,49519.396877064326,41019.30953023488,58009.164322997436
2024-06-28,50771.79711295274,41918.09462828379,59628.21885891613
2024-06-29,34534.57211780692,25853.430276077215,43380.07283630764
2024-06-30,22873.46404543003,14258.036576113396,31872.384860385777
2024-07-01,47316.1738788156,39050.686604395385,56906.454255232966
2024-07-02,49642.98679787434,40669.47425082201,58423.06364341453
2024-07-03,48827.08331978893,40309.138639395926,57456.94027479464
2024-07-04,49537.79344760354,40292.27009433509,58652.300793138245
2024-07-05,50790.19368352334,41615.140384039136,59347.324313927216
2024-07-06,34552.968688360736,25130.747647750373,43671.26570528663
2024-07-07,22891.86061602977,13380.466170092768,31319.814462759212
2024-07-08,47334.57044941573,37774.12031702529,55964.66969157012
2024-07-09,49661.383368478935,41347.171062268746,59024.22419901745
2024-07-10,48845.47989034827,40182.24945618886,57132.8466024292
2024-07-11,49556.19001819853,40471.3227251299,59066.08797828773
2024-07-12,50808.59025743162,41853.27041988396,59426.38194254961
2024-07-13,34571.365265561944,25718.64974900058,42895.99004464668
2024-07-14,22910.257196570732,14527.123467893225,32190.77630263213
2024-07-15,47352.96703318855,38136.98132838059,56616.971810143354
2024-07-16,49679.77995563134,41070.12053745062,58670.11789419965
2024-07-17,48863.87648082586,39311.578304678405,57741.273561834954
2024-07-18,49574.586611966486,41031.31030049835,58241.86517579109
2024-07-19,50826.98685117444,41712.51916750562,59938.24910171998
2024-07-20,34589.761859412276,26139.711618768288,43937.31195952869
2024-07-21,22928.653790342756,14204.028213662257,31981.389654575505
2024-07-22,47371.363626983235,38705.2104303769,56280.45852813186
2024-07-23,49698.17654940216,41562.97638206767,59338.60805239698
2024-07-24,48882.27307459928,39297.36149405025,58196.16722560451
2024-07-25,49592.98320573444,41053.17085841687,58734.869771533056
2024-07-26,50845.38344500786,42040.94517187801,59605.91077978398
2024-07-27,34608.15845318218,26657.207759365123,43621.54312983605
2024-07-28,22947.050384138664,13642.859735739878,31629.07752069164
2024-07-29,47389.760219846656,38726.51562642459,56467.96392165917
2024-07-30,49716.573141322704,41665.79121653535,58247.292313566875
2024-07-31,48900.669665597314,40375.487240056864,57839.932787324484
2024-08-01,49611.37979583015,40516.22469988276,58422.31736221928
