ds,yhat,yhat_lower,yhat_upper
2024-01-01,14885.744116647256,12343.629044224648,17503.475263378798
2024-01-02,15422.240706469385,12643.565042552116,17888.033064675838
2024-01-03,15027.660103790127,12305.403124550123,17730.413117083266
2024-01-04,15442.28249441873,12727.688944493699,18099.833062401045
2024-01-05,16036.070452790053,13209.357035707331,18857.05371576784
2024-01-06,10452.416771419279,7818.7066018665855,12906.267710519613
2024-01-07,7763.724394813504,4997.430411781373,10340.998854729323
2024-01-08,14937.279793407668,12058.476711546795,17286.375848706208
2024-01-09,15473.77638324754,12984.83855843471,18192.086540767014
2024-01-10,15079.195780563983,12531.462934521182,17755.323268587676
2024-01-11,15493.818171195306,12967.110364012278,18145.07657835962
2024-01-12,16087.606129571164,13380.337290682284,18639.11522035106
2024-01-13,10503.952448219175,7845.092977745074,13379.124082569377
2024-01-14,7815.260071597988,5216.123290287292,10412.062964000206
2024-01-15,14988.815470191128,12457.21822942751,17664.15978775286
2024-01-16,15525.312060025697,12731.862457849864,18013.688451695576
2024-01-17,15130.731457345137,12568.772836114667,17758.908516277068
2024-01-18,15545.353847307153,12875.670140428349,18008.404768704397
2024-01-19,16139.141805011819,13430.77794326246,18627.608875568076
2024-01-20,10555.488122984329,8051.569216772481,13240.133583746114
2024-01-21,7866.795745693225,5135.949737666208,10574.373144326442
2024-01-22,15040.351143623455,12280.714555357637,17707.0323378709
2024-01-23,15576.847732781423,13113.219164892187,18231.39351118058
2024-01-24,15182.267129434078,12275.934405539603,17676.6284937001
2024-01-25,15596.88951939214,12939.23603603319,18371.031504693034
2024-01-26,16190.677477095072,13429.83293337432,18748.237800527506
2024-01-27,10607.023795068573,7779.134617365606,13280.817070486411
2024-01-28,7918.33141778612,5321.48231373934,10622.256419719339
2024-01-29,15091.886815692276,12342.009138774363,17890.287861460238
2024-01-30,15628.383404866921,12937.35976645344,18248.529688416464
2024-01-31,15233.802801519994,12573.3397783519,17953.111429035256
2024-02-01,15648.425191482951,13001.69584053045,18414.808014445494
2024-02-02,16242.213149178328,13703.63570615233,18939.092751578206
2024-02-03,10658.559464345894,7975.69228351681,13244.842907919701
2024-02-04,7969.867084259475,5307.591133320014,10509.246608576133
2024-02-05,15143.42247937903,12463.944672323125,17901.901180394187
2024-02-06,15679.919065748958,13159.121561428674,18238.452359319068
2024-02-07,15285.338459600245,12750.805733965517,17926.135812517958
2024-02-08,15699.960846761138,13342.204425003434,18594.12860681703
2024-02-09,16293.74880166805,13624.753773163411,18931.47435529884
2024-02-10,10710.095116816416,7940.612595103355,13554.503357463933
2024-02-11,8021.4027367402705,5444.736652889151,10600.760318309378
2024-02-12,15194.95813186469,12416.773100125252,17741.137355142324
2024-02-13,15731.454718227596,13008.412619578907,18481.163940738064
2024-02-14,15336.874112081878,12918.117013659165,17932.0396884315
2024-02-15,15751.496499243694,13112.829901160263,18424.66687615406
2024-02-16,16345.284454149642,13640.127321932894,18939.30684205681
2024-02-17,10761.630769292731,7985.922645181354,13388.71873298774
2024-02-18,8072.938389221064,5574.721497473896,10752.445429631576
2024-02-19,15246.490848401221,12844.551230838564,17845.09311353736
2024-02-20,15782.984498820197,13126.253073876504,18243.780268508428
