ds,yhat,yhat_lower,yhat_upper
2024-01-01,20086.187407910897,17234.766491701597,23260.413003070196
2024-01-02,20934.68715526651,17490.09745520764,24044.751054803946
2024-01-03,20115.03808293108,17178.847836510082,23445.358204730925
2024-01-04,21169.60533150978,18094.86806810875,24433.072016642767
2024-01-05,22005.47868615638,18942.978369103967,25046.491194386883
2024-01-06,16432.448582376368,13208.670386857752,19398.59459517948
2024-01-07,11972.086767198867,8790.437454654348,15033.476066183282
2024-01-08,20103.551193000767,16849.273470552947,23049.131994842923
2024-01-09,20952.0509403783,17765.514817297804,23695.326033308003
2024-01-10,20132.40186803469,16953.857877465336,23064.52789311994
2024-01-11,21186.969116618602,17847.481593398523,24170.14573595191
2024-01-12,22022.84247127151,18796.54302004719,25380.059615945564
2024-01-13,16449.81236751382,13318.036914853285,19566.13985735332
2024-01-14,11989.450552315153,8986.54156650203,15129.54178857603
2024-01-15,20120.914978117504,17149.98152697444,23221.569676304578
2024-01-16,20969.414725490093,17800.202533801606,23896.983257740972
2024-01-17,20149.765653150593,17108.51157103947,23313.584067788153
2024-01-18,21204.33290100883,17911.059056945935,24337.330321814257
2024-01-19,22040.20625493458,18978.25429327703,24986.87355059737
2024-01-20,16467.176150443593,13388.613365198815,19501.077260079717
2024-01-21,12006.814334521516,8684.09045770573,15000.318338368703
2024-01-22,20138.278759604094,17055.646821150294,23329.951922670713
2024-01-23,20986.778506242063,17849.56649010339,24317.8776651504
2024-01-24,20167.129433182523,16980.59446467046,23279.003558673394
2024-01-25,21221.696681035442,18145.689998489044,24284.471928658804
2024-01-26,22057.57003496024,18881.024018247634,25227.888538820593
2024-01-27,16484.53993046925,13455.589389242617,19586.326806665336
2024-01-28,12024.178114555598,8751.562501148273,14923.708458339876
2024-01-29,20155.642539611752,17016.04851672374,23139.170818814095
2024-01-30,21004.142286268012,17951.393744039127,23952.144833820883
2024-01-31,20184.493213210077,17155.599659349762,23208.359564019782
2024-02-01,21239.060461069977,18222.527629299722,24356.840453715962
2024-02-02,22074.933814985907,19011.891408081963,25500.687066743074
2024-02-03,16501.903708299495,13312.9911521289,19383.837709562056
2024-02-04,12041.541890195702,9140.255728466442,15089.232166956062
2024-02-05,20173.006313077374,16933.716925927853,23466.918138846322
2024-02-06,21021.5060575385,17857.724348273503,24052.72054501674
2024-02-07,20201.85698228876,17140.54736318073,23140.61152721984
2024-02-08,21256.424227957952,18092.54955669202,24356.369583617325
2024-02-09,22092.297579696537,18906.456923222464,24978.172257747126
2024-02-10,16519.267472991098,13162.83804064859,19635.777794770616
2024-02-11,12058.905654898463,8874.635105931391,15131.693301456076
2024-02-12,20190.37007778308,17039.170045758092,23325.860754052577
2024-02-13,21038.869822239663,18053.636873284297,24233.991760903522
2024-02-14,20219.220746994044,17267.531801329693,23490.162497700323
2024-02-15,21273.78799266359,18084.6974185928,23983.95184521639
2024-02-16,22109.66134440104,18939.535512526443,25324.643107998778
2024-02-17,16536.631237688336,13463.411858879354,19632.718335821693
2024-02-18,12076.269419601225,8851.797049782075,15123.85065409744
2024-02-19,20207.733841057856,17285.41600492686,23480.86389135534
2024-02-20,21056.233584082787,17919.794447665976,24352.0216197643
2024-02-21,20236.584507404077,17060.56879370834,23333.396391689603
2024-02-22,21291.15175163479,18169.219356408237,24679.082842109652
2024-02-23,22127.025101932282,19171.663950712325,25114.174125623093
2024-02-24,16553.99499379508,13338.490655972388,19679.083820913533
2024-02-25,12093.633174270213,8907.51353268153,15135.998985927938
2024-02-26,20225.09759574172,17042.401197524,23346.265803303224
2024-02-27,21073.59733875807,18000.423637298496,24136.561225310103
2024-02-28,20253.948262079193,17151.141161300555,23407.377696471303
2024-02-29,21308.515506318177,18260.221135490607,24410.88578538289
2024-03-01,22144.38885661454,19060.134332477628,25318.74829380356
2024-03-02,16571.358748499668,13704.41056269458,19465.14189785187
2024-03-03,12110.996928950726,9000.870906560705,15226.858304934965
2024-03-04,20242.461350426,17104.75719678401,23430.483977887987
2024-03-05,21090.96109344063,17593.279134446482,24129.31250015331
2024-03-06,20271.308893710775,17007.531996404112,23427.184660935363
2024-03-07,21325.873014908848,18100.33101097389,24348.002187875216
2024-03-08,22161.74324217206,18845.440786429477,25221.31799730998
2024-03-09,16588.710011012372,13586.970644454615,19854.414100744052
2024-03-10,12128.345068438337,9098.643180469471,15198.005749420316
2024-03-11,20259.806366874902,17140.126244177478,23359.32793018814
2024-03-12,21108.30298684178,17907.8929895481,24385.941005744495
2024-03-13,20288.650787119677,17087.915805439814,23328.78531253467
2024-03-14,21343.214908318107,18356.64646737179,24576.43761366531
2024-03-15,22179.085135580186,18910.388245830352,25443.748102933
2024-03-16,16606.051904418873,13526.14259558405,19518.497515177518
2024-03-17,12145.686961841817,9109.724454330018,15025.621520459643
2024-03-18,20277.148260257767,17152.210517348452,23059.052246673076
2024-03-19,21125.644880246567,18058.51155398725,24400.256845316384
2024-03-20,20305.992680528583,17077.8411265101,23658.484649095033
2024-03-21,21360.556801719922,18062.074122357844,24406.28526920512
2024-03-22,22196.13590521257,18794.741645020433,25427.07240450168
2024-03-23,16622.81155030671,13584.321166869731,19720.838964748156
2024-03-24,12162.155483945644,9131.801110690203,15256.858880343234
2024-03-25,20293.325658593556,17209.97749042468,23348.079789867137
2024-03-26,21141.531154805285,17891.222319391152,24464.951045494858
2024-03-27,20321.587831320423,16971.915361915082,23472.29440100995
2024-03-28,21375.860828757217,18217.297576792145,24488.46084956559
2024-03-29,22211.439932247413,19015.029741762446,25353.136800136177
2024-03-30,16638.11557733381,13486.01715469955,19772.455921251658
2024-03-31,12177.459510975525,9194.568319382854,15366.398761994009
2024-04-01,20308.6296856243,17157.350553207205,23664.648603022215
2024-04-02,21156.835181839764,17919.555460834694,24120.506881339665
2024-04-03,20336.891858354298,17102.72647353732,23570.671091390006
2024-04-04,21391.164855779636,18404.55247981548,24490.333871414066
2024-04-05,22226.743959268882,19310.777933729485,25284.620001251726
2024-04-06,16653.41960434963,13787.972935792168,19799.45542934208
2024-04-07,12192.735863158898,9317.956817168391,15312.453236515272
2024-04-08,20323.878362967,17066.051268165338,23420.886979740284
2024-04-09,21172.056184334313,18134.942565169044,24242.884258647267
2024-04-10,20352.08518599705,17161.243812188957,23640.320133885765
2024-04-11,21406.330508583986,18447.591201956184,24520.45261954999
2024-04-12,22241.881937228667,19171.569009690218,25638.63915261683
2024-04-13,16668.529907465792,13937.277391907222,19928.037121696725
2024-04-14,12207.846166271956,9189.634494581363,15390.90958665713
2024-04-15,20338.988666092446,17334.752267170657,23534.45046722827
2024-04-16,21187.166487454404,18295.990357422186,24356.778413101583
2024-04-17,20367.19548912126,17199.53291057528,23612.063148566176
2024-04-18,21421.440811708544,18020.45146318524,24778.362404528638
2024-04-19,22256.992240358213,19096.46174974766,25277.048813978603
2024-04-20,16683.640210581958,13508.101906407392,19670.67888877367
2024-04-21,12222.956469390741,9226.754043534196,15232.550040516322
2024-04-22,20354.0989692179,17309.25200658834,23559.284444095363
2024-04-23,21202.27007256234,18215.36334884567,24354.08410786967
2024-04-24,20382.292356222282,17329.853688056006,23613.799938738004
2024-04-25,21436.53096078572,18264.06527677801,24463.347935975282
2024-04-26,22272.07567144758,19149.84336816538,25501.462681714886
2024-04-27,16698.716923655535,13386.146509905771,19882.684130473135
2024-04-28,12238.02646446422,9076.339656808172,15301.045499558131
2024-04-29,20369.16224625603,17226.245762908922,23533.594765073718
2024-04-30,21217.33334962826,17858.78327139236,24548.463148963612
2024-05-01,20397.355633280717,17146.85362264144,23440.90733132727
2024-05-02,21451.59423785809,18348.543342938156,24794.261941203364
2024-05-03,22287.138948496864,19251.74239018066,25335.177937857665
2024-05-04,16713.780200706435,13448.41330813937,19624.70430829008
2024-05-05,12253.08974152628,9026.568861264805,15347.236999008486
2024-05-06,20384.22552332185,17146.32006333719,23486.54058855662
2024-05-07,21232.396626685088,18171.593859816156,24375.89772039555
2024-05-08,20412.41891033915,17245.170327923337,23632.649309856104
2024-05-09,21466.582564186825,18175.67744648741,24591.791803931163
2024-05-10,22302.05232410314,19135.44698659163,25692.81213955162
2024-05-11,16728.61862560627,13424.193244114578,19887.60741357223
2024-05-12,12267.853215673282,9137.655834431622,15522.441338021781
2024-05-13,20398.914046743033,17330.052546952196,23489.791065149166
2024-05-14,21247.010199376604,17925.86296721823,24237.1932036359
2024-05-15,20426.95753230238,17371.956815058555,23570.58884410291
2024-05-16,21481.121186143446,18244.43222190509,24409.705568580885
2024-05-17,22316.59094606559,19173.47587335974,25438.467295723804
2024-05-18,16743.157247555817,13748.377720785189,19885.477967376646
2024-05-19,12282.391837633988,9188.44811186673,15266.37197276456
2024-05-20,20413.4526687075,17174.6826021651,23536.331738418645
2024-05-21,21261.548821332075,18297.651482855726,24546.66307762258
2024-05-22,20441.49615426383,17373.30140727756,23564.700804265605
2024-05-23,21495.659808099586,18616.972560084385,24530.02247862464
2024-05-24,22331.129568013523,19356.419271580005,25723.807881216577
2024-05-25,16757.695867459854,13551.180641213587,19862.703647188562
2024-05-26,12296.930455469597,9177.671304610692,15354.887242890609
2024-05-27,20427.991284474338,17228.66672413028,23536.36187950402
2024-05-28,21276.08743506041,17959.022642867596,24331.229941477744
2024-05-29,20456.034765943143,17278.195367300723,23572.53840342664
2024-05-30,21510.198417722466,18425.006722721064,24725.343825183867
2024-05-31,22345.668175578485,19234.150235522913,25953.694592494307
2024-06-01,16772.234475011912,13919.79064003687,20205.379491324908
2024-06-02,12311.469063032815,9379.474722207253,15102.660303424365
2024-06-03,20442.52989204132,17375.184119172438,23649.677055178458
2024-06-04,21290.62604262567,18175.997952726815,24284.618687586044
2024-06-05,20470.57337349658,17456.59221413526,23605.781824185557
2024-06-06,21524.737025288556,18111.55666738846,24599.091105969284
2024-06-07,22360.206783149566,19540.253348575527,25691.700234865246
2024-06-08,16786.773082563966,13731.77598175793,19890.055437564064
2024-06-09,12326.00767059893,9195.383948400486,15411.284047367968
2024-06-10,20457.068497287863,17310.983203955715,23652.789442604786
2024-06-11,21305.164645543613,18276.855144667436,24586.124272773428
2024-06-12,20485.111974100484,17416.17017480298,23653.447686595242
2024-06-13,21539.275623574566,18687.16151346934,24524.08146265967
2024-06-14,22374.745379114425,19174.877316853203,25712.632678827526
2024-06-15,16801.31167620718,13713.470745724515,19858.283877353246
2024-06-16,12340.546261919108,9292.305109700077,15573.520750562451
2024-06-17,20471.607088614295,17377.575077795904,23764.81789710849
2024-06-18,21319.70323687055,17983.307499403054,24421.979569282572
2024-06-19,20499.650565419935,17333.161347743153,23650.991745552627
2024-06-20,21553.814214893082,18472.095735950083,24745.223184765087
2024-06-21,22389.28397043199,19395.94731965038,25608.269466228798
2024-06-22,16815.850267519098,13804.77815013833,19966.937444455125
2024-06-23,12355.084853233562,9319.263822100811,15308.691622850214
2024-06-24,20486.14567994073,17382.488982597246,23568.63274962269
2024-06-25,21334.241828188395,18352.999985232305,24666.656817779905
2024-06-26,20514.18915662678,17667.592834233867,23649.700876361545
2024-06-27,21568.352805988958,18522.050650055884,24679.89067858576
2024-06-28,22403.82256139328,19348.758670736686,25545.91555811545
2024-06-29,16830.38885839685,13619.34569218224,19795.61607276196
2024-06-30,12369.62344396285,9312.238437482889,15168.781729711172
2024-07-01,20500.684270555026,17431.826684495758,23724.37366003017
2024-07-02,21348.78041867858,18272.88452906063,24197.82217007433
2024-07-03,20528.72774712108,17566.47220096548,23495.90276111757
2024-07-04,21582.89139646177,18326.445551466993,24632.536783301017
2024-07-05,22418.36115187954,19226.330904156133,25525.76560593398
2024-07-06,16844.927448877464,13703.513701575888,20223.64049372873
2024-07-07,12384.162034457531,9420.506081821819,15465.746031746896
2024-07-08,20515.222861049744,17480.78103508041,23773.67683578566
2024-07-09,21363.319009177852,18330.352378488664,24312.079752058668
2024-07-10,20543.266337603076,17428.54156142322,23587.49037875917
2024-07-11,21597.429986956424,18613.60191049747,24798.92047698819
2024-07-12,22432.8997425701,19120.82445893683,25619.544665958187
2024-07-13,16859.466039757805,13666.213281095013,19826.006192773828
2024-07-14,12398.70062554333,9234.209422771512,15590.614073114742
2024-07-15,20529.761452306575,17482.548361384186,23606.650341134926
2024-07-16,21377.85760065324,18152.049158501515,24586.306185054167
2024-07-17,20557.804929279628,17540.916623953148,23678.408284563055
2024-07-18,21611.968578822925,18642.734270444264,24728.637552595963
2024-07-19,22447.438334428392,19246.786855249935,25654.74017242198
2024-07-20,16874.004631652937,13743.977114352949,19876.67759253714
2024-07-21,12413.239217411492,9310.019912442438,15413.41385259572
2024-07-22,20544.300044180993,17655.316315062304,23732.871265164667
2024-07-23,21392.39619251907,18067.62229693697,24579.578166119194
2024-07-24,20572.34352114706,17215.467211654675,23639.07698193016
2024-07-25,21626.507170689423,18313.045748039352,24828.40179282744
2024-07-26,22461.976926314583,19148.112060958378,25563.692472127277
2024-07-27,16888.543223518478,13815.826963939035,20013.77557788451
2024-07-28,12427.77780928546,9225.011285876433,15475.424107505994
2024-07-29,20558.838636521712,17211.792854985495,23634.286685066967
2024-07-30,21406.93478532032,18291.231134289697,24534.336074797462
2024-07-31,20586.88211441655,17442.846673041186,23854.362826256453
2024-08-01,21641.045764434366,18571.977298133497,24774.575900606585
2024-08-02,22476.515520502333,19418.99065422177,25786.533728601862
2024-08-03,16903.08181817373,14008.769910441946,20024.118346168034
2024-08-04,12442.31640441776,9503.077914048381,15464.069113976379
2024-08-05,20573.377231657778,17536.612899826094,23850.37146869452
2024-08-06,21421.473380447387,18130.511470077752,24832.41662084849
2024-08-07,20601.420709545222,17326.642342803978,23805.07854345603
2024-08-08,21655.5843595621,18450.025213513996,24670.039375871776
2024-08-09,22491.054115636376,19475.94361043059,25555.6933083252
2024-08-10,16917.62041330051,13690.81222100284,20039.908737434962
2024-08-11,12456.854999538531,9280.66216728945,15631.333415680627
2024-08-12,20587.91582676574,17483.362996417192,23784.69733600043
2024-08-13,21436.011975581736,18449.82913488599,24439.23971740345
2024-08-14,20615.95930459028,17486.764397676085,23797.847027120668
2024-08-15,21670.122954517745,18292.651536431815,24783.147281106507
2024-08-16,22505.592710507244,19314.896242279283,25589.07576954329
2024-08-17,16932.15900806259,13774.486283486363,20139.986770707812
2024-08-18,12471.393594222007,9248.362330745911,15501.654012590248
2024-08-19,20602.454421362803,17346.285955526582,23675.14478411656
2024-08-20,21450.550570080446,18416.848580804137,24567.243109898816
2024-08-21,20630.4978990906,17367.24827527031,23766.228418625877
2024-08-22,21684.66154901017,18661.350607433847,24530.86377539626
2024-08-23,22520.131305005674,19174.5458207867,25626.114775808954
2024-08-24,16946.697602566648,14013.188174531015,19990.959499203862
2024-08-25,12485.93218872885,9489.584341314921,15619.900354375994
2024-08-26,20616.993015870506,17382.981143118526,23532.846529029463
2024-08-27,21465.089164588248,18309.97754355969,24592.744389884643
2024-08-28,20645.03649359706,17517.177679375418,23684.75993176268
2024-08-29,21699.200143516984,18519.194810840945,24844.649514356726
2024-08-30,22534.66989996276,19376.971312437723,25550.928101115576
2024-08-31,16961.236197976745,13664.869197190419,20159.623038334397
2024-09-01,12500.47078460877,9386.116520077698,15674.65354058074
2024-09-02,20631.531612212846,17419.33439517388,23722.0148682777
2024-09-03,21479.627761383883,18187.21986986476,24346.91914017846
2024-09-04,20659.575090843173,17478.93692313241,23835.916720679765
2024-09-05,21713.73874123441,18650.866452030623,24745.03880843595
2024-09-06,22549.20849767905,19659.130073408265,25689.89635142322
2024-09-07,16975.77479571536,13863.924012921603,20316.54235584564
2024-09-08,12515.00938231179,9384.874080388938,15516.434529440034
2024-09-09,20646.070209930745,17435.573098435638,23667.635997202335
2024-09-10,21494.166359096842,18600.886337835593,24685.068783791216
2024-09-11,20674.113688560246,17588.1464582973,23757.79234807253
2024-09-12,21728.27733893744,18602.968446859642,24874.954884282874
