ds,yhat,yhat_lower,yhat_upper
2024-01-01,14263.427961555522,12142.88100968366,16403.376597059498
2024-01-02,14740.84506786844,12629.017695691704,16958.441984137444
2024-01-03,14670.597451390402,12464.504514332526,16919.988420545524
2024-01-04,14746.821522583163,12657.524502764012,17122.866320691348
2024-01-05,15265.436498335235,13243.311928725705,17541.69439106826
2024-01-06,11745.915068431326,9611.96072128213,14031.989570795302
2024-01-07,8765.886186823987,6725.514245076569,11073.03646534986
2024-01-08,14332.09266786755,11945.734038841745,16687.865190192835
2024-01-09,14809.50977419522,12628.082144111479,16966.270581517765
2024-01-10,14739.262157710966,12509.132681322293,16913.562419137514
2024-01-11,14815.486228906788,12621.255398243988,16943.91618111085
2024-01-12,15334.101204664976,13115.163424481398,17483.837186689172
2024-01-13,11814.57977477442,9536.094570592868,14164.095561413948
2024-01-14,8834.550893154312,6826.983840352062,10879.926698066125
2024-01-15,14400.757374197608,12137.7096730277,16704.843828198475
2024-01-16,14878.174480521997,12827.57147292395,17184.1281714856
2024-01-17,14807.926864040499,12556.76982010659,17159.026475918643
2024-01-18,14884.15093478054,12695.782136463371,17084.756924401616
2024-01-19,15402.765910083352,13056.458130424406,17445.264855458576
2024-01-20,11883.244479731813,9561.97025602217,13953.500813118219
2024-01-21,8903.21559765594,6779.474994316692,11091.061689456337
2024-01-22,14469.422078249256,12305.901862330931,16723.29374887503
2024-01-23,14946.839184112418,12634.337729617775,17025.87627801142
2024-01-24,14876.591567179214,12389.338159939563,17097.901477645693
2024-01-25,14952.815637914391,12786.2975501937,17291.75462801607
2024-01-26,15471.43061321733,13274.327887235491,17566.45765383234
2024-01-27,11951.909182866479,9979.913588275911,14093.737608823605
2024-01-28,8971.880300796493,6816.893205401502,11111.690020243655
2024-01-29,14538.086781371507,12331.09865350885,16766.743089951717
2024-01-30,15015.503887247154,12943.936834659684,17269.867883165945
2024-01-31,14945.256270314485,12743.695940644346,17134.433612413894
2024-02-01,15021.480341057855,12723.672230894766,17224.715607138085
2024-02-02,15540.095316351304,13554.387158967962,17821.560609090917
2024-02-03,12020.573886133498,9902.179235035524,14245.310944519626
2024-02-04,9040.545004201416,6833.286477086639,11207.796791347144
2024-02-05,14606.751484923396,12517.924383777867,16920.633388184408
2024-02-06,15084.168590933496,12951.66366411016,17299.84442287903
2024-02-07,15013.920974136434,12873.32797198998,17262.80134883487
2024-02-08,15090.145045015714,13068.85765805987,17280.571645850872
2024-02-09,15608.76002045532,13402.554667927276,17734.088757857713
2024-02-10,12089.23859022453,9853.13070225543,14251.292991272805
2024-02-11,9109.209708300332,6895.781911768302,11397.442453984902
2024-02-12,14675.416189025427,12461.48980424582,16815.681742657256
2024-02-13,15152.833295031847,12961.889772917348,17239.33661670602
2024-02-14,15082.585678237536,12883.540360583407,17170.2356586953
2024-02-15,15158.809749116723,13058.367980900577,17292.01603335315
2024-02-16,15677.424724556631,13346.402795427346,17866.896586484272
2024-02-17,12157.903294320542,10051.394984389495,14362.59857147288
2024-02-18,9177.874412399244,7010.787190674891,11290.790990232785
2024-02-19,14744.080893126207,12658.07117446576,16905.29315169216
2024-02-20,15221.497999131674,13246.441166742825,17427.616515090365
2024-02-21,15151.250382337295,12930.87367513252,17205.748083617284
