ds,yhat,yhat_lower,yhat_upper
2024-01-01,4275.244545357349,3172.7636283705274,5364.834539842397
2024-01-02,4389.912103174385,3332.2832516027793,5450.24904623113
2024-01-03,4370.454507065318,3287.6992670439595,5458.958955577889
2024-01-04,4451.976879850547,3387.491370093145,5489.874170707949
2024-01-05,4687.708001783783,3667.1857403962167,5762.113096572395
2024-01-06,3262.7328112080127,2182.6815149543468,4329.132055341411
2024-01-07,2316.597216047818,1334.693171972367,3351.9827878767346
2024-01-08,4290.292404847092,3201.4183643643764,5329.446491198083
2024-01-09,4404.959962669107,3428.492015773696,5490.671525711489
2024-01-10,4385.502366558357,3402.798843903528,5428.133963792428
2024-01-11,4467.024739344484,3420.179833047759,5544.709968568709
2024-01-12,4702.755861279553,3650.1509799460546,5785.629191807007
2024-01-13,3277.780670708804,2200.3097318036994,4376.883982600847
2024-01-14,2331.645075544132,1217.0969914000686,3422.0141659671663
2024-01-15,4305.340264343153,3228.371467201096,5414.707470192482
2024-01-16,4420.00782216383,3310.4212582238197,5440.626622043952
2024-01-17,4400.550226054031,3329.622296049434,5402.756862421547
2024-01-18,4482.0725986754,3448.4905811867316,5526.395211296151
2024-01-19,4717.803720445542,3607.588148710839,5791.388915135396
2024-01-20,3292.828529708139,2200.588536265267,4418.630705947772
2024-01-21,2346.6929343784154,1365.607086871594,3374.4989525904575
2024-01-22,4320.3881230147645,3261.0578198567623,5373.416904486908
2024-01-23,4435.055680668706,3263.150534132902,5481.37270427511
2024-01-24,4415.598084395065,3365.8283438316175,5458.606182338754
2024-01-25,4497.120457015109,3427.730008657184,5577.766945420581
2024-01-26,4732.851578785036,3618.9033517202656,5778.039198515444
2024-01-27,3307.876388047913,2225.711018032708,4308.43989437077
2024-01-28,2361.7407927205013,1294.0162778187646,3366.5923909667163
2024-01-29,4335.43598135028,3231.645202766401,5409.358678859258
2024-01-30,4450.103539008694,3405.4605101544385,5497.582743759087
2024-01-31,4430.645942735193,3411.779976727862,5523.712450233561
2024-02-01,4512.168315357343,3404.992617054286,5530.380182761752
2024-02-02,4747.899437124529,3676.0326491432575,5717.118665385861
2024-02-03,3322.9242459368047,2243.141491547744,4463.725950384014
2024-02-04,2376.7886501602634,1314.7123465318962,3431.6241206801283
2024-02-05,4350.483838344523,3188.7964875209427,5481.178243735271
2024-02-06,4465.1513955529435,3397.7332811996653,5509.416500448207
2024-02-07,4445.693798830016,3431.9617362080085,5547.297281178182
2024-02-08,4527.216171002686,3524.377775197827,5613.9094004325125
2024-02-09,4762.947292324083,3630.787896637927,5822.937270866166
2024-02-10,3337.9721011313304,2315.1560913191643,4382.16781390173
2024-02-11,2391.8365053576863,1363.8130350215065,3408.808995363514
2024-02-12,4365.531693543333,3266.814226193085,5386.880414258385
2024-02-13,4480.199250750011,3498.949225108436,5517.71544212759
2024-02-14,4460.741654028036,3379.911214787043,5566.845008677495
2024-02-15,4542.264026200836,3534.3043907355527,5577.659349726403
2024-02-16,4777.995147522196,3731.056808632126,5838.127962255518
2024-02-17,3353.019956327679,2245.4660634455627,4469.426260895873
2024-02-18,2406.884360555109,1294.9767416195386,3478.8775140601233
2024-02-19,4380.579548167171,3354.408690731044,5428.624231495569
2024-02-20,4495.247104799933,3509.104007038499,5503.083473355452
2024-02-21,4475.789507503568,3438.949177437589,5554.411621155931
2024-02-22,4557.31187910047,3528.069284117639,5638.065104117096
2024-02-23,4793.042999845406,3706.790848523437,5924.959421758876
2024-02-24,3368.067808079053,2303.36619766609,4379.432478794561
2024-02-25,2421.9322117304305,1388.524879354496,3545.400890190091
2024-02-26,4395.627399346439,3385.8027560741443,5384.672310375767
2024-02-27,4510.294955977357,3498.3885436360497,5613.982349124043
2024-02-28,4490.837358680721,3455.8515238598,5562.733197655661
2024-02-29,4572.359730279482,3493.77961465053,5648.738157389357
2024-03-01,4808.090851024383,3821.0770279991248,5914.005721720554
2024-03-02,3383.115659263054,2291.1873617358992,4427.097551765611
