ds,yhat,yhat_lower,yhat_upper
2024-01-01,6106.153303469909,5123.781689288101,7188.264198856992
2024-01-02,6311.659609964107,5294.233245677477,7257.784590690839
2024-01-03,6101.273341788453,5104.020500231371,7048.748881820771
2024-01-04,6385.897088059577,5439.620684615164,7361.010920275469
2024-01-05,6520.8855684009,5543.705806662117,7486.275823219546
2024-01-06,4722.120986396305,3785.892013767101,5668.3081811359
2024-01-07,3918.928293924908,2902.404988440316,4897.228948884325
2024-01-08,6159.661597464088,5187.03737500454,7083.065355859813
2024-01-09,6365.167903963855,5341.110720976219,7378.74907290377
2024-01-10,6154.7816357870015,5136.046552732354,7120.812996845441
2024-01-11,6439.405382059048,5471.62699847821,7354.3347282224595
2024-01-12,6574.39386240133,5612.084231856827,7594.3286688695935
2024-01-13,4775.629280402962,3769.7880760217295,5661.597949314879
2024-01-14,3972.436587926489,3009.894059589743,4928.123683634469
2024-01-15,6213.169891465475,5185.6674047869055,7177.12008896496
2024-01-16,6418.6761979636,5568.623732604517,7436.635425464924
2024-01-17,6208.289929787695,5237.061979834895,7197.67967520126
2024-01-18,6492.913676073187,5525.035746441964,7492.878654923563
2024-01-19,6627.90215642804,5638.164119957948,7569.3024780303795
2024-01-20,4829.137574441322,3842.8205848446605,5765.998390363727
2024-01-21,4025.944881978579,3099.8000456648856,5082.389499793683
2024-01-22,6266.678185532562,5354.35193208971,7188.506912180486
2024-01-23,6472.184492041783,5603.786239060578,7524.856188248312
2024-01-24,6261.798223880037,5300.918883258406,7244.923917338915
2024-01-25,6546.421970164638,5524.888449386413,7452.53883281112
2024-01-26,6681.410450518768,5662.439473870828,7538.531126176545
2024-01-27,4882.645868532241,3938.0590375151914,5890.86073653191
2024-01-28,4079.453176072138,3129.8599843952575,5147.9360152167355
2024-01-29,6320.186479618719,5359.267455946675,7257.992350667591
2024-01-30,6525.692786133105,5539.480934028797,7525.217973545708
2024-01-31,6315.306517971637,5458.636779332784,7212.1762730692735
2024-02-01,6599.930264257084,5718.279859144498,7636.799449326099
2024-02-02,6734.918744609497,5649.2206745648855,7711.828095516409
2024-02-03,4936.154162469947,3954.1461277437434,5859.562091430991
2024-02-04,4132.961469856902,3202.6916621947453,5111.240341978534
2024-02-05,6373.6947732566005,5323.026784015092,7373.794353895873
2024-02-06,6579.201079617977,5691.1545007909435,7546.752788579845
2024-02-07,6368.81481130467,5406.832320387317,7328.908532839377
2024-02-08,6653.438557438252,5633.910562138545,7633.291616395834
2024-02-09,6788.42703764301,5829.073214752133,7710.907190291361
2024-02-10,4989.66245549737,4045.7195286106617,6011.331245765683
2024-02-11,4186.469762887442,3140.2968076978295,5139.833245075641
2024-02-12,6427.203066288316,5464.104221299869,7392.476592703915
2024-02-13,6632.709372647706,5597.637541179329,7531.654298907328
2024-02-14,6422.323104335347,5421.14506589606,7442.634500141794
2024-02-15,6706.946850469236,5780.082702568484,7705.89259129919
2024-02-16,6841.935330673425,5873.015073476388,7826.186525285667
2024-02-17,5043.170748526294,4052.4159211631872,6044.484011691806
2024-02-18,4239.978055917981,3237.282869584457,5118.2416023135565
2024-02-19,6480.711358452377,5519.479849011376,7466.061201036727
2024-02-20,6686.217663945406,5742.094491665702,7643.890863832958
2024-02-21,6475.831394765124,5554.711092109145,7425.819344837533
2024-02-22,6760.4551400308255,5745.283359515458,7720.891203240364
2024-02-23,6895.443619365643,5960.318721088647,7849.147203879944
2024-02-24,5096.679036353419,4134.511409154022,6099.363932106703
2024-02-25,4293.486342875411,3283.3352048523425,5275.511572524233
2024-02-26,6534.21964541498,5587.854149865391,7525.49448796536
2024-02-27,6739.725950905966,5760.197729362282,7674.974755355037
2024-02-28,6529.3396817256325,5523.317264040168,7535.854935777747
2024-02-29,6813.963426993042,5891.252311241079,7782.5546657197265
2024-03-01,6948.95190632729,5923.520834979175,7842.911217262975
2024-03-02,5150.187323321293,4112.064401847151,6078.097256959989
2024-03-03,4346.994629837183,3410.621824031029,5393.9686399758475
2024-03-04,6587.72793237724,5633.720278929834,7623.7058584231145
2024-03-05,6793.234237867333,5785.098145423157,7802.331428624547
2024-03-06,6582.8479643682385,5599.079843984716,7545.28378862777
2024-03-07,6867.47170531735,5911.624271689089,7781.289109964939
2024-03-08,7002.46018033578,6070.885560122815,8062.631449358781
2024-03-09,5203.695593011314,4248.887867239201,6176.274159389709
2024-03-10,4400.502895214184,3392.180433558182,5391.987487432605
2024-03-11,6641.236193436891,5664.530931464765,7639.272742785302
2024-03-12,6846.742494607782,5786.877794391383,7823.857932993328
2024-03-13,6636.356221110038,5661.058979214197,7570.07324320703
2024-03-14,6920.979962059455,5959.292018460666,7927.294290540991
2024-03-15,7055.968437077316,6068.242312195802,8021.163274659273
2024-03-16,5257.203849752861,4309.223167055536,6242.853940464177
2024-03-17,4454.011151954822,3524.9616204654703,5377.858707171601
2024-03-18,6694.744450172176,5748.900311619862,7645.023813532299
2024-03-19,6900.250751348633,5947.632937313777,7859.195266699685
2024-03-20,6689.864477851836,5659.497984515415,7695.945765741351
2024-03-21,6974.488218800032,5934.3185559986005,7947.138860373235
2024-03-22,7109.4759883653,6222.6881901336665,7994.408166488611
2024-03-23,5310.7106955953805,4296.921119904339,6270.584589206127
2024-03-24,4507.517292341896,3517.1002897338667,5447.828804938707
2024-03-25,6748.249885107187,5692.578325688312,7693.879627721916
2024-03-26,6953.75548082973,6003.977795209308,7946.263507173201
2024-03-27,6743.36850188134,5792.258815553016,7719.249721618709
2024-03-28,7027.991537380573,6074.196497536624,7972.010549361618
2024-03-29,7162.979306946842,6293.640449732128,8146.440463754095
2024-03-30,5364.214014173835,4468.885070087071,6372.495830609684
2024-03-31,4561.020610921487,3601.5889045753,5574.801791688691
2024-04-01,6801.753203686241,5831.945543629021,7737.514946192052
2024-04-02,7007.258799409793,6060.244139539799,7929.904513177617
2024-04-03,6796.871820460788,5846.63230678008,7753.54854618106
2024-04-04,7081.494855958056,6137.290365747597,8024.333655283923
2024-04-05,7216.482625523603,6155.149357880895,8147.196303121817
2024-04-06,5417.717332749286,4460.879951590845,6413.139916922441
2024-04-07,4612.812999484117,3607.214417401653,5540.674285455054
2024-04-08,6851.834662234112,5887.563917073559,7800.675186175187
2024-04-09,7055.629327939742,6164.966849400677,8108.173606576811
2024-04-10,6843.531418973603,5926.29567841606,7825.301285432958
2024-04-11,7126.443524455858,6140.389800995978,8151.047951345051
2024-04-12,7259.7203640047455,6367.404476598103,8152.671517150573
2024-04-13,5459.244141214684,4466.848794622587,6445.097903285856
2024-04-14,4654.339807947811,3699.393710681534,5579.632121515364
2024-04-15,6893.361470701612,5863.036474683697,7876.594595272028
2024-04-16,7097.156136405947,6114.162103998564,8092.307897369635
2024-04-17,6885.058227440754,5873.5206086213675,7866.939054064396
2024-04-18,7167.970332923315,6164.909829030224,8145.058421711047
2024-04-19,7301.247172474735,6334.424552484476,8263.630214423722
2024-04-20,5500.7709496800835,4503.537062602375,6412.337546223834
2024-04-21,4695.866616413801,3710.851417213598,5666.664236046616
2024-04-22,6934.888279169113,5979.058951239643,7979.639134835031
2024-04-23,7135.147119206408,6128.911567729993,8185.5847204763895
2024-04-24,6919.513384576155,5962.270566730609,7914.252555483888
2024-04-25,7198.889664389639,6215.197903896539,8182.581388823398
2024-04-26,7328.630678280268,6358.497565852505,8295.005911550088
2024-04-27,5524.618629818789,4521.874620975099,6423.374537525569
2024-04-28,4716.178470889806,3734.4045322771963,5701.371510537358
2024-04-29,6951.664307972724,6031.401654367057,7929.108687093608
2024-04-30,7151.923148017144,6093.338690100184,8077.955060099893
2024-05-01,6936.289413384864,5878.14513450343,7894.381162161731
2024-05-02,7215.665693201254,6313.21860989561,8164.5210780260695
2024-05-03,7345.406707086423,6397.449242815132,8290.12458271774
2024-05-04,5541.394658625316,4531.499007876667,6514.163789963085
2024-05-05,4732.954499699449,3703.4560621117666,5726.58337150198
2024-05-06,6968.440336782854,5989.927284162122,7913.773100482604
2024-05-07,7168.699176825574,6202.06438336743,8186.241427322137
2024-05-08,6953.065442193572,5912.076847605846,7973.555425143453
2024-05-09,7228.087916141287,6292.503383366934,8319.595536682386
2024-05-10,7353.475124158888,6391.85715719625,8299.644125026849
2024-05-11,5545.109269835481,4566.71665426773,6585.862069774367
2024-05-12,4732.315305034988,3732.1639020395287,5799.689266342743
2024-05-13,6963.447336251043,5942.043777285241,7890.769215687155
2024-05-14,7159.352370423657,6283.166590961613,8094.408409982737
2024-05-15,6939.364829923673,5957.762815839714,7812.370373987954
2024-05-16,7214.387303869631,6332.253554756288,8143.569364593258
