ds,yhat,yhat_lower,yhat_upper
2024-01-01,21703.882494820653,17598.589030834584,26103.445562382196
2024-01-02,22595.694598882874,18340.266233270755,26792.906732867425
2024-01-03,22149.42606665285,18314.810773016492,26192.781583113752
2024-01-04,22482.42138743923,18116.060809082326,26562.10577071734
2024-01-05,23184.92664489052,19133.456348315813,27145.67745402227
2024-01-06,16404.32702558853,12057.584629120787,20366.60750816724
2024-01-07,11705.372262616102,7394.392587976928,15789.6972434338
2024-01-08,21742.538944419193,17578.98978934477,25852.41125872969
2024-01-09,22634.351048507546,18426.732107183034,26725.68323493906
2024-01-10,22188.082516268052,18012.215074974538,26312.026142374212
2024-01-11,22521.077837059485,18481.404342586728,26673.118750544596
2024-01-12,23223.58309451977,18908.65718273795,27316.657291392243
2024-01-13,16442.9834752425,12342.934066965201,20618.115057686296
2024-01-14,11744.028712247726,7622.232507617957,15820.479462283378
2024-01-15,21781.195394050206,17798.849338762604,25697.07070164457
2024-01-16,22673.00749813221,18514.199555003222,27076.421800639368
2024-01-17,22226.738965897363,17956.57131947745,26196.181245891185
2024-01-18,22559.734273214694,18215.637991135747,26665.005533087835
2024-01-19,23262.23951720031,19110.839315368194,27409.83888148466
2024-01-20,16481.63988444018,12474.51500336566,20433.519043174918
2024-01-21,11782.6851079718,7817.554664471673,15970.33807932284
2024-01-22,21819.851776309453,17828.051138441428,25964.893680388235
2024-01-23,22711.663866907376,18507.77332792737,26793.43296412258
2024-01-24,22265.395321204876,18182.666507986636,26416.920063860813
2024-01-25,22598.390628514484,18638.649471133216,26568.813061620927
2024-01-26,23300.89587249938,19177.700598568375,27465.607839015007
2024-01-27,16520.296239740455,12375.06726479806,20665.797482419068
2024-01-28,11821.34146328296,7691.641734345397,16031.146420494506
2024-01-29,21858.508131587536,17453.598269825885,26142.47467747358
2024-01-30,22750.320222208185,18388.689652326906,26864.193331062233
2024-01-31,22304.05167650667,18168.949727683415,26616.92006948138
2024-02-01,22637.046983828208,18277.73978263558,26639.553639891914
2024-02-02,23339.552227798442,19187.544631151075,27277.790316239472
2024-02-03,16558.95259191973,12494.450630335212,20490.703319402248
2024-02-04,11859.99781234803,8288.766619669404,15869.442660338842
2024-02-05,21897.164477558792,17986.479692765355,26260.48975795728
2024-02-06,22788.976565061253,18937.198658205816,27066.723341781166
2024-02-07,22342.70801624454,18097.271297700725,26076.60928524656
2024-02-08,22675.703320451285,18295.541285699903,26561.75647226699
2024-02-09,23378.20856132542,19148.02242380097,27281.097518332335
2024-02-10,16597.608925422293,12274.04681376134,20546.054023247703
2024-02-11,11898.654145864622,7832.892925777785,16295.125366609254
2024-02-12,21935.82081108077,17706.64124855428,25926.010934338887
2024-02-13,22827.63289857596,18468.10505563496,26965.24402328031
2024-02-14,22381.364349763888,18259.929244137395,26563.0926294029
2024-02-15,22714.359653970885,18642.050780627447,27110.116035538038
2024-02-16,23416.864894844708,19309.16454068504,27489.005370528368
2024-02-17,16636.265258933072,12093.110738501966,20562.79964936994
2024-02-18,11937.310479381218,7791.244064341505,16220.288192514212
2024-02-19,21974.477137788428,17641.68415121527,25979.238587520373
2024-02-20,22866.289218471287,18603.840521450602,26919.26173593011
2024-02-21,22420.020662845858,18449.08583139038,26631.831373710553
2024-02-22,22753.01596023134,18553.741229050025,26710.12226053652
2024-02-23,23455.52119428225,19221.33474201303,27679.86588608227
2024-02-24,16674.92155156908,12839.209265068244,20722.918864693638
2024-02-25,11975.966765195135,8088.637479320852,16178.687002112301
2024-02-26,22013.13342362225,17890.050560928692,25819.624632578423
2024-02-27,22904.945504295374,18548.840793743137,27059.561723424693
2024-02-28,22458.676948669596,18210.934137782864,26473.638817877025
2024-02-29,22791.672246063714,18528.200845370044,26869.596542678224
2024-03-01,23494.177480114315,19579.454212839402,27637.154852499087
2024-03-02,16713.577837425873,12646.166056737562,20649.942742626165
2024-03-03,12014.623051024502,7667.866375628343,16141.61751725595
2024-03-04,22051.789709455148,18026.710012062133,26319.920034683084
2024-03-05,22943.601790126253,18668.948001778404,27155.95181399032
2024-03-06,22497.333203991024,18135.605576098187,26666.22121130126
2024-03-07,22830.32847088891,18648.053423542,26911.312054746984
2024-03-08,23532.833674446876,19282.146422185822,27974.107663281942
2024-03-09,16752.23400125484,12747.84177760132,20703.44499244572
2024-03-10,12053.279184375977,7994.796806371649,16251.301788518804
2024-03-11,22090.44581230941,18143.528073234473,26481.321765315817
2024-03-12,22982.257862474195,19065.446682922542,27116.8815631546
2024-03-13,22535.989276347005,18413.896820212623,26653.994207737924
2024-03-14,22868.98454324514,18581.372959171065,27252.37751510346
2024-03-15,23571.489746802796,19548.894318655468,27693.34042553055
2024-03-16,16790.89007361046,12477.507504975712,20806.067665504124
2024-03-17,12091.935256724124,8070.640654985092,15954.273970834833
2024-03-18,22129.101884634627,18029.57459917508,26320.874102383106
2024-03-19,23020.913934825534,18763.02767111037,27460.417371354477
2024-03-20,22574.64534870298,18523.517893589247,26878.046662485216
2024-03-21,22907.640615592056,18796.282690949545,27123.95610794021
2024-03-22,23607.89576333823,19353.749597558566,27631.21989529529
2024-03-23,16825.046034361374,12836.239262252559,21040.114176829902
2024-03-24,12123.841161650142,7904.38789184406,16121.59313684452
2024-03-25,22158.75773374927,18008.978193800744,26299.376434606616
2024-03-26,23048.319728119684,18865.606923943516,26820.194291110503
2024-03-27,22599.801086187363,18534.451652831536,26781.32853144462
2024-03-28,22930.546297282297,18578.969875757997,26739.25744016771
2024-03-29,23630.801445026536,19450.337278983687,27730.297321316615
2024-03-30,16847.951716041684,12805.460277272618,21256.870500530807
