ds,yhat,yhat_lower,yhat_upper
2024-01-01,16282.991742436723,12477.653961426375,20055.319413590612
2024-01-02,17247.013244423393,13269.644397484553,20932.593426229098
2024-01-03,16498.471961309482,12723.267124673659,20345.93359338997
2024-01-04,17033.209867618138,13374.9882561605,20758.894636712175
2024-01-05,16026.934099122585,12267.008530423433,19744.151540593684
2024-01-06,6898.495711181963,3106.2925547819477,10672.146162207078
2024-01-07,4760.059893860534,1002.3418546698473,8227.964688427106
2024-01-08,16296.796688384396,12735.465847122605,20145.41686262351
2024-01-09,17260.818190398186,13506.95857485293,20924.06992951764
2024-01-10,16512.276907279393,12977.446025965948,20614.019111871006
2024-01-11,17047.014813590853,13469.11126167376,20518.71505770471
2024-01-12,16040.739045099599,12138.484295591883,19560.807243343723
2024-01-13,6912.30065718673,3001.8129800219585,10781.208679943767
2024-01-14,4773.864839845783,1004.2060290943953,8209.643128633423
2024-01-15,16310.601634367436,12725.139673552658,20019.00108355311
2024-01-16,17274.623136372982,13429.091510087563,21324.08476861964
2024-01-17,16526.081853258445,12867.252949253434,20351.289220155762
2024-01-18,17060.819759532387,13253.751203961065,20543.707859940263
2024-01-19,16054.5439910003,12265.653934409705,19568.58278065519
2024-01-20,6926.105603044074,3137.3939433104247,10538.888992286851
2024-01-21,4787.669785667616,1067.3307632151414,8673.19827996864
2024-01-22,16324.40658015971,12115.31409063381,19895.771606022536
2024-01-23,17288.428082117593,13335.310372895814,20796.933311362984
2024-01-24,16539.886798969015,12589.080857399462,20156.26290946735
2024-01-25,17074.624705238028,13574.793536746838,20760.70641508741
2024-01-26,16068.348936702247,12391.831899105464,20262.268229361332
2024-01-27,6939.910548748806,3048.849183752282,11006.563040836336
2024-01-28,4801.474731385793,1258.0739713838193,8692.884372312526
2024-01-29,16338.21152584031,12789.413174063395,20017.496955522616
2024-01-30,17302.23302782405,13667.531006982881,21013.49964522553
2024-01-31,16553.69174467642,12579.988373709617,20250.05874210552
2024-02-01,17088.42965095355,13422.368811143859,20572.891892711723
2024-02-02,16082.153882404193,12149.476426589204,20025.257195748796
2024-02-03,6953.715494616544,3482.4484535088955,10626.610354102042
2024-02-04,4815.27967741202,1080.144480449157,8608.424942571357
2024-02-05,16352.016472065312,12582.995798598511,19739.196246154992
2024-02-06,17316.03797421355,13535.9668511492,21125.219114849824
2024-02-07,16567.496691236047,12580.777994155473,20199.386929278906
2024-02-08,17102.23459768185,13322.948866009065,21180.496293235086
2024-02-09,16095.9588293282,12356.004516147343,19892.04119680773
2024-02-10,6967.520441506937,3419.852753052331,10636.631706122871
2024-02-11,4829.084624317895,1138.4100081190788,8530.209546325423
2024-02-12,16365.821418976677,12394.258920758974,20187.78655174627
2024-02-13,17329.842921114367,13502.649476883149,21011.336636418244
2024-02-14,16581.30163814113,12896.934172025778,20316.555045880963
2024-02-15,17116.039544587566,13316.318434842333,21002.318568322928
2024-02-16,16109.76377623124,12661.16808156296,19587.70518610609
2024-02-17,6981.325388404767,3184.9097543195644,10700.595662310208
2024-02-18,4842.889571223768,991.2475263463488,8513.707652441024
2024-02-19,16379.626365326596,12672.356026295713,19822.923146147023
2024-02-20,17343.647866910243,13802.290176783214,21059.136230398766
2024-02-21,16595.106583375655,12666.40194512294,20433.905143496864
2024-02-22,17129.844489258903,13457.946479528744,20942.420116871406
2024-02-23,16123.568720334035,12396.95293187673,19637.096321011446
2024-02-24,6995.130331961494,3288.90700306248,10823.440956334784
2024-02-25,4856.694514204255,1445.541828195745,8567.938725886534
2024-02-26,16393.43130833771,12600.973726615488,20184.64814643713
2024-02-27,17357.452809911847,13891.737548941808,21273.195444324654
2024-02-28,16608.9115263768,12687.739179658807,20425.5757356903
2024-02-29,17143.649432266666,13436.708725100218,20827.43220314827
2024-03-01,16137.37366333912,12474.898313664811,19714.23017502374
2024-03-02,7008.935274994337,3187.960699976636,10680.478137773094
2024-03-03,4870.49945721218,1116.2789234510706,8417.359186184143
2024-03-04,16407.236251346527,12744.30667213013,20105.60244203567
