ds,yhat,yhat_lower,yhat_upper
2024-01-01,2655.5807688074347,2172.7088177790247,3170.4833982908485
2024-01-02,2626.7259788228616,2148.7935831993864,3113.592835313719
2024-01-03,2566.9537975423664,2081.543921759839,3032.784285809516
2024-01-04,2666.950236644595,2217.00280251627,3183.2699320420847
2024-01-05,3232.205221033711,2736.8774930588124,3685.527052238476
2024-01-06,3146.6546376751203,2660.9057957398445,3637.5602622156343
2024-01-07,2525.19584568795,2050.197002514702,3038.969800382359
2024-01-08,2679.3437008784085,2187.413411088732,3139.3727724977416
2024-01-09,2650.4889108945445,2153.9130786763108,3156.4591433013557
2024-01-10,2590.7167296135062,2087.9909329926045,3069.5771778189805
2024-01-11,2690.7131687162773,2199.2211232176605,3147.0968224235644
2024-01-12,3255.96815310611,2771.806403795098,3716.837184690479
2024-01-13,3170.4175697486703,2658.231576384263,3658.885248578447
2024-01-14,2548.9587777596926,2061.9772088819263,3036.1905200947995
2024-01-15,2703.106632950315,2201.1807971832936,3203.600077942044
2024-01-16,2674.251842966227,2181.0874836872545,3156.6612081079916
2024-01-17,2614.4796616854096,2115.209681082463,3124.148583939378
2024-01-18,2714.476100761922,2212.5280382450437,3208.8994270641147
2024-01-19,3279.731085125366,2794.9184091343755,3804.560005771168
2024-01-20,3194.180501740405,2668.895471467335,3641.4339656252623
2024-01-21,2572.7217097244634,2082.0319637137763,3069.8290470388333
2024-01-22,2726.869564889366,2226.481564020184,3228.4305001852827
2024-01-23,2698.0147748783306,2182.0520250049644,3194.8663933004736
2024-01-24,2638.242593571509,2112.2571031100547,3133.0380624656104
2024-01-25,2738.239032647607,2263.2784606878813,3266.8458348893087
2024-01-26,3303.494017011184,2816.6328699777832,3788.3691829744666
2024-01-27,3217.9434336258564,2731.4732753508733,3704.62486876665
2024-01-28,2596.484641610208,2072.0767809925555,3113.4344317800583
2024-01-29,2750.632496774342,2291.388803489453,3292.9459212324273
2024-01-30,2721.777706763862,2225.7452996298916,3217.1660052368998
2024-01-31,2662.0055254570334,2193.9263355754924,3146.5412296512877
2024-02-01,2762.0019645327916,2288.457079668052,3247.719118202881
2024-02-02,3327.256948897003,2813.195280550855,3839.7213666998346
