ds,yhat,yhat_lower,yhat_upper
2024-01-01,5172.986975042704,4218.471671260535,6144.106881598526
2024-01-02,5443.220009277758,4530.894912338894,6408.508557794618
2024-01-03,5297.275968681281,4305.808911346994,6254.031327803032
2024-01-04,5431.832385793896,4417.3114355407715,6385.348996887811
2024-01-05,5565.136231904639,4573.5113571648135,6507.1297121798925
2024-01-06,3472.5285679296267,2456.268763287298,4470.387257381599
2024-01-07,2463.2227156934428,1482.449490678135,3401.2026300211837
2024-01-08,5183.775793808501,4155.058572756555,6125.0710426735395
2024-01-09,5454.0088280504515,4428.769746114499,6415.979086454783
2024-01-10,5308.064787452246,4258.625777992943,6363.330479928034
2024-01-11,5442.6212045658895,4480.2591285232775,6468.858478267156
2024-01-12,5575.925050678314,4647.570443273547,6611.431463579124
2024-01-13,3483.31738671039,2471.707962409923,4435.301659816422
2024-01-14,2474.0115344683873,1562.0756460846217,3502.1841480573003
2024-01-15,5194.564612583138,4138.611549123691,6156.0267632592595
2024-01-16,5464.797646823145,4486.710350298517,6451.979289558071
2024-01-17,5318.853606226026,4336.1099608770555,6276.587974434817
2024-01-18,5453.410023384304,4455.87575861007,6501.065268986231
2024-01-19,5586.713869540709,4555.747852071851,6635.207295855969
2024-01-20,3494.1062056152196,2576.290947220405,4569.815212338843
2024-01-21,2484.800353417852,1477.6225967288797,3421.628208005763
2024-01-22,5205.353431579581,4232.326410447544,6211.313691727202
2024-01-23,5475.586465861525,4521.2211985416025,6455.846771474037
2024-01-24,5329.642425310112,4326.456288744475,6356.474522183511
2024-01-25,5464.198842466826,4520.122866557732,6428.542435780436
2024-01-26,5597.50268862261,4654.688821703763,6579.014985629414
2024-01-27,3504.8950246974937,2501.556372538247,4407.045745184116
2024-01-28,2495.5891725033234,1542.8139983375547,3491.658547658972
2024-01-29,5216.142250655905,4340.657549220137,6245.3914692697845
2024-01-30,5486.375284944268,4488.827843643033,6420.652442908938
2024-01-31,5340.431244393011,4392.345319767398,6403.523478505761
2024-02-01,5474.9876615518,4523.7424014773605,6497.19275628991
2024-02-02,5608.291507704509,4569.877948365381,6697.117229827777
2024-02-03,3515.683843735222,2530.650237583302,4491.9682241413675
2024-02-04,2506.377991497427,1513.2955430736963,3548.9095354116785
2024-02-05,5226.931069613156,4237.736936619642,6277.439276326825
2024-02-06,5497.164103857664,4544.50779318779,6528.297056201706
2024-02-07,5351.22006326363,4307.956669464306,6262.001492516324
2024-02-08,5485.776480379584,4497.7557331562575,6496.507521238096
2024-02-09,5619.080326494789,4648.906550149946,6509.979016199345
2024-02-10,3526.4726625182147,2548.193406600839,4527.12816715297
2024-02-11,2517.1668102842436,1539.2893516589413,3488.2479114272196
2024-02-12,5237.719888401674,4245.821802662278,6192.778575226153
2024-02-13,5507.952922643692,4561.790192792078,6539.925680573869
2024-02-14,5362.008882050745,4420.80744156221,6437.707777739556
2024-02-15,5496.565299166972,4502.810396314647,6417.923616226234
2024-02-16,5629.869145281797,4656.42918031017,6633.831078791269
2024-02-17,3537.261481303296,2546.1280924305684,4518.142981622593
2024-02-18,2527.9556290710607,1567.813843604394,3471.181383783099
2024-02-19,5248.5087061714885,4287.19475510554,6243.9480365906975
2024-02-20,5518.741739396278,4563.920025971954,6571.619183092273
2024-02-21,5372.797697785024,4355.563578505637,6409.911866574392
2024-02-22,5507.35411388185,4464.3475592293935,6530.20524515779
2024-02-23,5640.65795897614,4706.165579649681,6599.430756001436
2024-02-24,3548.0502939827015,2560.1618398594987,4491.241697882679
2024-02-25,2538.7444407295957,1600.7595864411708,3510.2808605189794
2024-02-26,5259.297517836172,4281.550750304261,6280.252806459678
2024-02-27,5529.530551058539,4487.341725938254,6498.907367423592
2024-02-28,5383.586509447218,4380.271015184794,6378.549810238921
2024-02-29,5518.142925545951,4558.2423556054055,6462.234798105119
2024-03-01,5651.446770639861,4675.923351834635,6629.656089580905
2024-03-02,3558.839105653511,2514.80171073266,4576.219538959491
2024-03-03,2549.5332523931243,1610.7278636749954,3526.24527796221
2024-03-04,5270.086329500311,4213.427841061118,6263.072599816745
2024-03-05,5540.319362721759,4592.193082458876,6531.535346923504
2024-03-06,5394.375318639493,4443.473839237359,6342.858447842513
2024-03-07,5528.931732268853,4541.671476342092,6452.831329261364
2024-03-08,5662.235574895071,4649.616569679264,6659.474320676591
