ds,yhat,yhat_lower,yhat_upper
2024-01-01,38711.0501078015,30258.7816379138,46529.86549323364
2024-01-02,41423.459890883205,32992.343087627494,49134.33533826905
2024-01-03,43525.91116939737,35429.819684206625,52555.15387705747
2024-01-04,46563.67478074359,37722.17746904938,55066.675827122934
2024-01-05,47337.50554422253,38430.54939456639,56151.88629529451
2024-01-06,33204.48876923416,24614.79620673757,41426.439071746965
2024-01-07,24225.385163999483,15576.294325140743,31932.902282077903
2024-01-08,38883.844345847865,30121.241369788844,47291.37584574197
2024-01-09,41596.25412897152,32591.434475736783,50019.94617250713
2024-01-10,43698.705407474874,35140.67232366696,52498.738866107255
2024-01-11,46736.46901882628,38317.20471276232,55765.79473916031
2024-01-12,47510.29978231425,39378.052386751784,56187.943811079276
2024-01-13,33377.28300737718,24833.23739950985,41636.1520068561
2024-01-14,24398.1794020971,15773.31306269384,32799.61738669751
2024-01-15,39056.638583945445,29886.92215599046,47941.86977684719
2024-01-16,41769.048367059855,33592.586740794315,50545.42178441922
2024-01-17,43871.49964557033,35367.0546892381,52121.42727384431
2024-01-18,46909.26325510384,38132.04974657128,55955.56705534159
2024-01-19,47683.094016770214,38357.7860051526,56154.574059950566
2024-01-20,33550.07724000237,25271.442080688146,42591.02732299702
2024-01-21,24570.973632906273,16098.625125475053,32679.61133807917
2024-01-22,39229.43281295364,30772.392029098708,47749.211320589166
2024-01-23,41941.84259423747,34098.47847870302,50352.39066369586
2024-01-24,44044.293870926835,35327.965493742595,52555.589735095404
2024-01-25,47082.057480461386,39170.88740561745,55109.77425801701
2024-01-26,47855.8882421228,39363.980838384974,56700.243240393895
2024-01-27,33722.87146535605,25617.182168802115,42159.05676955663
2024-01-28,24743.767858278738,15095.141116166615,32833.648751662695
2024-01-29,39402.227038274854,30917.11608569831,47802.44816730781
2024-01-30,42114.6368195972,33787.168541521445,50133.143366209355
2024-01-31,44217.08809628816,36000.926998285984,52656.00655946688
2024-02-01,47254.851705830224,38416.01596479621,56052.32260958002
2024-02-02,48028.68246747537,39177.69016382152,56197.946672660255
2024-02-03,33895.66568899519,25938.099902860195,42755.98856055663
2024-02-04,24916.562080219697,16630.93988203876,33569.21635808342
2024-02-05,39575.021258538254,31255.09659180547,48360.73589146314
2024-02-06,42287.43103815205,33229.127916942954,50302.89859525436
2024-02-07,44389.88231313908,35588.43500862914,51875.96510806428
2024-02-08,47427.64592097529,38895.05991509077,56022.437905803454
2024-02-09,48201.47668095047,39902.417064175715,56196.91352103401
2024-02-10,34068.45990242184,25158.344291574096,42680.35273301175
2024-02-11,25089.35629366913,15832.22841656498,33355.75906220168
2024-02-12,39747.81547199891,31497.578826873058,48191.18128465333
2024-02-13,42460.225251600656,34379.99368154551,50992.69654415249
2024-02-14,44562.676526594834,35733.085894050404,52969.43900051169
2024-02-15,47600.44013443101,38750.76760600101,55792.96151907808
2024-02-16,48374.27089440248,40218.93003766485,57188.38627752149
2024-02-17,34241.25411586096,25625.313200881206,43378.012027962184
