ds,yhat,yhat_lower,yhat_upper
2024-01-01,17846.838564740832,14644.308290141873,20903.66746092494
2024-01-02,18551.318373962262,15389.072984475359,21826.417221669166
2024-01-03,18213.058490730036,14883.719858915734,21405.440753252875
2024-01-04,18649.072876643495,15506.314030705256,21879.801846613318
2024-01-05,18729.669599469224,15705.233339203121,22033.742374219102
2024-01-06,11731.008290118194,8596.893648654554,15001.952055210382
2024-01-07,8804.037878939149,5663.283949683885,12113.00553574112
2024-01-08,17863.57750858027,14821.804888796141,21132.973735250358
2024-01-09,18568.057317823845,15520.926540882554,21954.339731652515
2024-01-10,18229.79743458618,15155.23348689704,21390.74355610848
2024-01-11,18665.811820502655,15382.15069917401,21680.61331429851
2024-01-12,18746.408543333862,15493.141442708806,21692.80457735797
2024-01-13,11747.747234005608,8453.733645161827,14818.791024854698
2024-01-14,8820.776822808555,5684.403935334413,12034.051633832185
2024-01-15,17880.316452448234,14639.231835320592,21191.226601999908
2024-01-16,18584.796261685427,15307.293986550962,21761.84130036559
2024-01-17,18246.53637845153,15174.459353242823,21548.610580776334
2024-01-18,18682.550763904117,15502.985979556175,21700.65489565409
2024-01-19,18763.14748626952,15697.56783024111,21739.187854774158
2024-01-20,11764.486176470862,8725.485026143107,15070.34465081405
2024-01-21,8837.515764810136,5784.19619492168,11956.785160113404
2024-01-22,17897.055393993738,14578.550956692963,20695.247837283678
2024-01-23,18601.535202758565,15447.292803411066,21750.96508850746
2024-01-24,18263.275319063905,14799.694321924972,21370.33139994971
2024-01-25,18699.28970451183,15559.225003006934,21813.510377639803
2024-01-26,18779.88642687508,15724.175194656105,22037.55325629151
2024-01-27,11781.225117078146,8736.190726667375,15164.373705127126
2024-01-28,8854.254705428095,5373.79056391649,11834.357151341157
2024-01-29,17913.794334581733,14684.251433502197,21183.403077785144
2024-01-30,18618.2741433672,15293.417136766651,21872.979899362563
2024-01-31,18280.0142596732,15142.516334144211,21170.041335417613
2024-02-01,18716.0286451286,15346.99442091348,21942.143920447957
2024-02-02,18796.625367480632,15713.711686378598,22113.517734493154
2024-02-03,11797.964052877189,8376.12410658003,14843.004037620462
2024-02-04,8870.993636420708,5999.9131726753285,12140.823751828675
2024-02-05,17930.533260792552,14846.70146912832,21066.826498336013
2024-02-06,18635.013064772287,15541.127297212706,21826.20851710764
2024-02-07,18296.75317627618,15107.375393842001,21211.715089833615
2024-02-08,18732.767556928728,15765.236781830828,21735.26665416377
2024-02-09,18813.364274497224,15600.743866380642,22143.358816526386
2024-02-10,11814.702959868653,8813.636007824503,15044.94645182334
2024-02-11,8887.732543424892,5591.642862630518,11875.585834107982
2024-02-12,17947.272167802126,14771.465873183788,21227.754704468985
2024-02-13,18651.751971773574,15365.996080442681,21619.455416900404
2024-02-14,18313.49208328123,15051.215162350407,21303.5673141517
2024-02-15,18749.506463934387,15616.706268501544,21895.860761253458
2024-02-16,18830.10318150157,15675.092487151243,22247.38185520333
2024-02-17,11831.441866867091,8534.240757149048,14975.92401525214
2024-02-18,8904.471450429079,5842.31516268894,12179.61033502486
2024-02-19,17964.011074059377,14866.100912203516,21246.399127332923
2024-02-20,18668.49087728394,15619.920460337731,21722.199566273506
2024-02-21,18330.23098804075,15025.364448881875,21328.233261460064
2024-02-22,18766.245367939206,15750.656293710113,21901.595662753887
2024-02-23,18846.84208474808,15828.558788922206,22113.4743789355
2024-02-24,11848.18076937445,8582.822877221884,14977.261022154631
2024-02-25,8921.210352175784,5909.740570423673,12039.520373991614
2024-02-26,17980.74997582746,14931.823945278762,21204.45660401948
2024-02-27,18685.229779044144,15709.333702119004,21842.507571182505
2024-02-28,18346.969889800086,15047.613934831312,21397.17945962461
2024-02-29,18782.984269705277,15571.54283450765,21747.842916228594
2024-03-01,18863.58098651284,15585.891140517955,22212.65862467099
2024-03-02,11864.919671161984,8706.296836568567,15043.02007554641
2024-03-03,8937.949253940382,5788.062868888898,12203.863132860144
2024-03-04,17997.48887759364,14753.717029808,21338.462477900135
2024-03-05,18701.968680807346,15348.92009375401,21643.52518428568
2024-03-06,18363.708441675786,15172.19489408628,21412.47659894624
2024-03-07,18799.7224716989,15551.867166447415,22080.127945029668
2024-03-08,18880.318838628275,15464.649763160443,22253.57860476935
2024-03-09,11881.657173391612,8544.287176005877,15225.311936144179
2024-03-10,8954.686406307093,5828.954560167035,12088.438853378053
2024-03-11,18014.22568007835,14624.600898237768,21041.22421830669
2024-03-12,18718.70513340362,15315.67300429195,21688.30129229057
2024-03-13,18380.444894277316,15263.975914793322,21723.053842902933
