ds,yhat,yhat_lower,yhat_upper
2024-01-01,16555.29558876303,13957.865021344982,19181.19156427801
2024-01-02,17139.864151317186,14549.084214380035,19745.133446118823
2024-01-03,16847.001324524907,14240.50921569559,19401.869205627754
2024-01-04,17128.34371518721,14677.531963724576,19742.310596604337
2024-01-05,17594.0497953393,15195.109809223815,20162.155332409497
2024-01-06,12944.957008872703,10239.12649207273,15522.849687026926
2024-01-07,9773.60003831748,7100.7617671440275,12095.50727400056
2024-01-08,16625.923542848726,14144.77540374228,19108.53910662345
2024-01-09,17210.49210542059,14649.895001640965,19860.266847190916
2024-01-10,16917.62927862193,14403.401765551544,19304.660954098916
2024-01-11,17198.971669287654,14697.263999432467,19784.331150634258
2024-01-12,17664.6777494458,15090.811197803432,20065.660385772833
2024-01-13,13015.584962996118,10524.92884642954,15542.82862811056
2024-01-14,9844.22799242566,7332.8030348002685,12263.256419020181
2024-01-15,16696.551496956454,14299.648903322124,19214.694833073583
2024-01-16,17281.120059524004,14637.778012430872,19544.77263235819
2024-01-17,16988.257232728545,14645.363950389476,19674.487860111534
2024-01-18,17269.599620843823,14879.0165454761,19937.093546755357
2024-01-19,17735.30569845109,15171.477667561856,20230.03688018475
2024-01-20,13086.212909445047,10429.50903875934,15436.706971388037
2024-01-21,9914.855936324544,7476.867136019209,12562.746243828065
2024-01-22,16767.179438311166,14279.53294962191,19446.466833131202
2024-01-23,17351.74799832148,14819.51578910268,19863.585800158304
2024-01-24,17058.88516897986,14430.17928839994,19786.8507731356
2024-01-25,17340.227557090053,14843.450936868314,19775.980208945803
2024-01-26,17805.93363469677,15116.299871694779,20538.538397101816
2024-01-27,13156.840845691566,10530.396834591837,15848.640127981222
2024-01-28,9985.483872578508,7168.929006227443,12363.02281418327
2024-01-29,16837.807374542648,14334.985435376864,19484.91229654241
2024-01-30,17422.375934568354,14790.049850041967,19909.726260619525
2024-01-31,17129.513105227463,14605.477104312846,19648.498986027753
2024-02-01,17410.855493345636,14993.952860026175,20065.60647445504
2024-02-02,17876.561570942442,15396.845596299909,20460.471470402223
2024-02-03,13227.468781703805,10537.24298770482,15808.740207991357
2024-02-04,10056.111808360954,7568.979079116078,12652.976315712085
2024-02-05,16908.43531010942,14372.623269053358,19431.446356890832
2024-02-06,17493.00386990273,14919.939579538328,19956.103275798767
2024-02-07,17200.14104033154,14728.051582521537,19772.209245888913
2024-02-08,17481.483428219635,14986.352770258489,20056.894717635158
2024-02-09,17947.189505599235,15422.574435004002,20380.214792658597
2024-02-10,13298.096716343813,11021.960047534847,15848.718438349864
2024-02-11,10126.739743010537,7626.904349791615,12625.327594477161
2024-02-12,16979.063244762616,14325.141151190614,19503.142092888185
2024-02-13,17563.631804550983,14979.29211403768,20141.905054928346
2024-02-14,17270.768974983002,14959.903784436427,19862.589591535907
2024-02-15,17552.11136287126,15055.382797800257,19852.904227875908
2024-02-16,18017.817440250583,15421.774382633183,20467.499846613093
2024-02-17,13368.724650989396,10879.011262111157,15713.535346505912
2024-02-18,10197.367677660124,7653.1734986591455,12882.430784400376
2024-02-19,17049.691163752304,14478.733524772779,19323.059793888984
2024-02-20,17634.259707878588,15061.675681547922,20202.04930362737
2024-02-21,17341.396862647674,14813.63277718169,19890.312227767656
2024-02-22,17622.7392348675,15002.466160868922,20070.949870419096
2024-02-23,18088.445296577403,15606.00498256044,20417.98029934864
2024-02-24,13439.352491661402,10939.523482130317,15957.782886189969
2024-02-25,10267.995502663201,7643.107934930226,12642.761573492904
2024-02-26,17120.31898876904,14117.957448231162,19605.360693175477
2024-02-27,17704.887532888686,15106.276811751815,20293.16912801524
2024-02-28,17412.024687657417,14927.128699179106,20058.84779238945
2024-02-29,17693.367059883276,15299.748746087498,20327.11801562262
2024-03-01,18159.073121592904,15612.82614622562,20592.59802416729
2024-03-02,13509.980316693822,10979.890329276455,16191.83455670184
