ds,yhat,yhat_lower,yhat_upper
2024-01-01,4153.236986576822,3602.150589724466,4716.966875309961
2024-01-02,4176.588347543307,3641.0033629852974,4716.706030045247
2024-01-03,4153.730763631314,3648.4085044961794,4676.39315890293
2024-01-04,4243.833525549081,3651.611114157456,4791.481658452111
2024-01-05,4938.550329825119,4385.339111663917,5469.925749183487
2024-01-06,4068.2278442889965,3511.5241914939684,4619.456637455304
2024-01-07,3459.6747654333676,2904.480240874124,4000.5031555025607
2024-01-08,4182.310045857507,3626.743745935452,4757.151399811186
2024-01-09,4205.661406825894,3640.699891662682,4794.573789722695
2024-01-10,4182.803822914041,3632.844787500338,4734.442008893304
2024-01-11,4272.906584832073,3678.839131045592,4832.005300095414
2024-01-12,4967.623389108617,4397.87745423664,5502.292231312894
2024-01-13,4097.300903575619,3547.816485735488,4695.253582253671
2024-01-14,3488.747824717175,2953.907915034259,4045.0003833560622
2024-01-15,4211.383105141108,3654.7161200681894,4757.33883727061
2024-01-16,4234.734466108481,3736.0629653423416,4823.370534317812
2024-01-17,4211.876882196861,3696.568932082932,4794.957052590037
2024-01-18,4301.979644003723,3779.7041471704197,4826.821739853111
2024-01-19,4996.69644816832,4426.545851692314,5553.946736745609
2024-01-20,4126.373962522286,3617.2198334483137,4679.930381197382
2024-01-21,3517.8208835511136,3012.359093985544,4087.489960545819
2024-01-22,4240.456163865226,3659.3840340801817,4798.449308444127
2024-01-23,4263.807524720157,3754.831544218208,4813.802011712147
2024-01-24,4240.9499406968225,3697.785634522636,4782.15425323982
2024-01-25,4331.052702503436,3716.7098180186395,4871.695755646352
2024-01-26,5025.76950666759,4517.392581764358,5538.947285988274
2024-01-27,4155.447021021367,3624.2714989568676,4728.882535579983
2024-01-28,3546.893942051642,3001.017653874875,4107.044857421483
2024-01-29,4269.529222362633,3664.3641447700807,4818.205223081107
2024-01-30,4292.880583219936,3750.4970307886956,4848.71427224655
2024-01-31,4270.022999196318,3688.945279723826,4839.702015031249
2024-02-01,4360.125761001775,3852.4657812105615,4909.263205837752
2024-02-02,5054.842565166859,4487.418830034765,5601.496666151814
2024-02-03,4184.520079664122,3604.0573633747745,4708.937735959935
2024-02-04,3575.967000840382,3009.789287878488,4170.858862702385
2024-02-05,4298.602281296567,3760.5897240800223,4862.240581238362
2024-02-06,4321.953642298585,3824.2235592968373,4862.496324017441
2024-02-07,4299.096058419987,3762.9502730642353,4880.2640309328535
2024-02-08,4389.198820370496,3808.671170534747,4948.605815297632
2024-02-09,5083.915624680549,4506.487991634506,5673.180745397528
2024-02-10,4213.593139175884,3679.5549937047663,4809.835934263096
2024-02-11,3605.040060353613,3050.253659613352,4153.444606181834
2024-02-12,4327.675340811626,3784.044873824985,4892.854184596244
2024-02-13,4351.026701811735,3811.414298439931,4909.914839128288
2024-02-14,4328.169117933368,3781.455805983762,4903.77326724341
2024-02-15,4418.271879884606,3853.631513987004,4978.439211394977
2024-02-16,5112.98868419461,4542.703595687671,5652.64824276966
2024-02-17,4242.666198688807,3667.917848659118,4751.544760021935
2024-02-18,3634.113119866844,3111.418677304963,4199.26022429501
2024-02-19,4356.748400269431,3805.557747836021,4907.454214924837
2024-02-20,4380.099761214914,3822.325745352448,4925.3153120845
2024-02-21,4357.242177280354,3817.047073317819,4883.0172016556935
2024-02-22,4447.344939176298,3899.2943501528703,5030.4971982475145
2024-02-23,5142.06174342944,4576.34323440355,5683.355040873601
2024-02-24,4271.739257868931,3720.06315434611,4816.713520760578
2024-02-25,3663.1861789914933,3092.824401752336,4219.2367877812985
2024-02-26,4385.821459395333,3818.0634528417954,4974.530625213623
2024-02-27,4409.172820340272,3849.6706696597516,4965.315264701499
2024-02-28,4386.315236405848,3843.8208498523645,4965.310436095436
2024-02-29,4476.417998302144,3917.4537187055003,5023.879078955078
2024-03-01,5171.134802555238,4615.580095238316,5738.68782993071
2024-03-02,4300.812316997854,3757.725219288866,4883.285000980606
2024-03-03,3692.2592381164604,3156.493376423244,4237.341154920936
2024-03-04,4414.894518520341,3842.3988679102995,4992.939075329773
2024-03-05,4438.245879464688,3852.2526006913176,4985.58087001667
2024-03-06,4415.3882955023755,3872.765732760861,4964.646134130261
2024-03-07,4505.491057367952,3925.377884069591,5046.764325848484
2024-03-08,5200.207861594581,4666.13454336497,5769.893032563928
2024-03-09,4329.885376007348,3784.1596986841755,4904.703144621741
2024-03-10,3721.3322971000616,3208.8849537585165,4320.867590881087
2024-03-11,4443.967577475236,3883.1807456694705,4966.470979710986
2024-03-12,4467.318938390539,3929.5528485064588,5028.5911251134385
2024-03-13,4444.461354427986,3888.504652160368,5014.4288269604385
2024-03-14,4534.56411629429,3947.5020260052147,5090.682467299738
2024-03-15,5229.280920520871,4699.837166754122,5741.78828324182
2024-03-16,4358.958434933658,3812.433134736611,4910.87137331929
2024-03-17,3750.4053560243815,3203.8424307836563,4314.952038112304
2024-03-18,4473.040636398714,3928.13642309463,4995.927046649032
2024-03-19,4496.391997315918,3951.637214710736,5037.129171527615
2024-03-20,4473.534413353598,3878.852222039727,5053.57527632317
2024-03-21,4563.637175220075,4009.3736999560774,5095.742460551536
2024-03-22,5258.121490173303,4717.092374165491,5821.833165633071
2024-03-23,4387.566515316097,3846.293435872371,4944.696901473013
2024-03-24,3778.7809471322557,3199.6369032436846,4337.444218663366
2024-03-25,4501.183738233474,3913.936061606554,5054.932757865803
2024-03-26,4524.302609877226,3935.2326333702777,5074.244670966842
2024-03-27,4501.212536641714,3949.4590153645963,5041.703227848267
2024-03-28,4591.082809236607,4057.322185312907,5145.649653200211
2024-03-29,5285.567124188863,4713.395629162343,5831.448953486455
2024-03-30,4415.012149332049,3841.5202770363053,4958.1515790531
2024-03-31,3806.2265811484963,3253.3651405436517,4376.533814184035
2024-04-01,4528.629372248616,3995.342039290521,5112.37474141361
2024-04-02,4551.748243892737,3980.369694586824,5096.432281634587
2024-04-03,4528.658170657434,4016.334889594528,5076.971971971551
2024-04-04,4618.528443252035,4087.5165018088815,5249.108449012682
2024-04-05,5313.012758203844,4777.412690541581,5848.737534237022
2024-04-06,4442.4577833456815,3890.2207350149697,5030.898537805812
2024-04-07,3832.645655469374,3300.8328966659124,4383.567803027087
2024-04-08,4554.021886877099,4025.336656960084,5090.4672889677495
2024-04-09,4576.11419882509,4009.1999046818373,5088.205073823091
2024-04-10,4551.997565895703,4005.3279966583405,5082.391829179301
2024-04-11,4640.841278796345,4117.834176885209,5205.594336297117
2024-04-12,5334.299034053487,4738.453999942921,5862.264613818202
2024-04-13,4462.717499500913,3922.1908886902347,5049.350226569195
2024-04-14,3852.9053716257345,3295.0462028070815,4401.129864221416
2024-04-15,4574.281603032679,4015.7636379660826,5108.66982145195
2024-04-16,4596.373914980549,4008.83776720838,5162.167366152001
2024-04-17,4572.257282051395,4021.822035394053,5146.857634974426
2024-04-18,4661.100994952762,4098.168925650087,5177.575707235878
2024-04-19,5354.558750209485,4825.688338510434,5901.9794951271915
2024-04-20,4482.977215656143,3926.2762993832002,5004.5795906302865
2024-04-21,3873.165087780135,3336.095517928914,4441.850007649431
2024-04-22,4594.541319188259,4035.796176389032,5136.440825478074
2024-04-23,4615.362892003012,4091.2402084390465,5150.170715391221
2024-04-24,4589.975519940108,4057.2283735452847,5148.318362990773
2024-04-25,4677.548493705195,4126.033382445157,5226.93481204848
2024-04-26,5369.7355098319895,4754.25846432371,5926.851883821183
2024-04-27,4496.883236144044,3922.7902747712837,5023.112998379698
2024-04-28,3885.8003691360163,3341.2390380207016,4431.841865035596
2024-04-29,4605.905861408448,4061.9872476336395,5146.202882284196
2024-04-30,4626.7274342251685,4057.075697840194,5224.693001953857
2024-05-01,4601.340062161492,4058.4539087843737,5144.245560029234
2024-05-02,4688.9130359279025,4142.1211317654115,5268.878849028079
2024-05-03,5381.100052052196,4821.841326007436,5922.534959531816
2024-05-04,4508.2477783638515,3939.1005154621316,5059.25761970301
2024-05-05,3897.164911357292,3341.439075248321,4456.0582053554535
2024-05-06,4617.2704036297655,4068.732104247928,5152.1680264162405
2024-05-07,4638.091976446835,4095.623960413712,5166.710011979747
2024-05-08,4612.704604382874,4040.1278997949557,5152.273135002597
2024-05-09,4699.2880931933305,4120.0754960823515,5267.401180394725
2024-05-10,5390.485624361952,4840.769004565511,5946.236003934907
2024-05-11,4516.643865720557,3937.9400323746063,5105.586116086718
2024-05-12,3904.5715137538677,3330.1133183775823,4461.78633702046
2024-05-13,4623.687521071994,4085.6425115078296,5179.947945522392
2024-05-14,4643.51960893051,4111.006754325702,5228.144079118197
2024-05-15,4617.142751911076,3994.7071665480175,5175.781533946786
2024-05-16,4703.726240719776,4141.050613553611,5269.466095376332
2024-05-17,5394.923771890832,4864.489865911071,5928.357795750519
2024-05-18,4521.082013247138,3972.2173431161277,5048.241089112645
2024-05-19,3909.009661281917,3335.0442881554663,4464.186325045059
2024-05-20,4628.125668600083,4086.6460113668395,5178.027423006412
2024-05-21,4647.95775645895,4121.674909290232,5194.53191570071
2024-05-22,4621.5808994396975,4070.1959976627595,5193.606872815067
2024-05-23,4708.16438824815,4142.122305452349,5283.519507800463
2024-05-24,5399.361919417812,4832.420681875491,5933.395954764575
2024-05-25,4525.191065216277,3999.6128775225343,5078.556204466779
2024-05-26,3912.7896176901263,3362.9882674717087,4469.280153091731
2024-05-27,4631.576529446867,4060.1881652582815,5142.727531502773
2024-05-28,4651.079521748346,4120.5472180128045,5195.360612856743
2024-05-29,4624.3735691690945,4061.6838869205944,5158.12002754295
2024-05-30,4710.627962418513,4186.505335568966,5284.5934114634665
2024-05-31,5401.496398028365,4830.3748469806105,5968.212091500286
2024-06-01,4527.325543824532,3988.068228735832,5098.297678787274
2024-06-02,3914.9240962998483,3364.2638939841804,4457.711337340645
2024-06-03,4633.711008056632,4123.253282901391,5179.519104965911
2024-06-04,4653.214000357519,4068.196523867185,5181.452920811522
2024-06-05,4626.508047778878,4058.8020939648927,5198.159794343145
2024-06-06,4712.762441029113,4138.310977324559,5286.678351075434
2024-06-07,5403.6308766385455,4848.4084951052,5933.523550233614
2024-06-08,4529.460022432787,3980.5351786843535,5091.104682120127
2024-06-09,3917.0585749107104,3362.252310568164,4461.896979460778
2024-06-10,4635.845486743423,4070.3086764473023,5172.467050729272
2024-06-11,4655.348479119901,4115.032098110964,5195.702533689424
2024-06-12,4628.642526617577,4102.631119418161,5199.006927172792
2024-06-13,4714.896919944252,4165.703968754199,5318.810684412316
2024-06-14,5405.765355629772,4840.590246952618,5923.0631432780265
2024-06-15,4531.594501500167,3960.5039407741606,5075.518497068632
2024-06-16,3919.193054052235,3348.888638545821,4496.120635748955
2024-06-17,4637.979965887022,4080.6764526565594,5165.891257800376
2024-06-18,4657.482958263446,4100.756853648794,5195.706821800305
2024-06-19,4630.777005760348,4064.0546287922107,5182.349045465118
2024-06-20,4717.031399087242,4180.850235932891,5262.876717663026
2024-06-21,5407.899834772315,4860.32413088836,5942.983170930783
2024-06-22,4533.728980641364,3982.346195224133,5060.985860458707
2024-06-23,3921.327533195721,3367.573594147607,4492.723827918086
2024-06-24,4640.114445030621,4094.3768259750736,5240.0775898651345
2024-06-25,4659.6174374065,4126.392693009142,5218.480496488211
2024-06-26,4632.911485118797,4083.6982644037303,5189.089601613164
2024-06-27,4719.165878662603,4134.292848559071,5273.706885500841
2024-06-28,5410.034314561759,4860.22792919859,5967.709037004251
2024-06-29,4535.863460651673,4003.750809563376,5036.90223002572
2024-06-30,3923.462013416548,3343.343122172882,4481.026424628802
2024-07-01,4642.248925467122,4058.3577822943457,5193.3072513596
2024-07-02,4661.751918058513,4114.209192700149,5163.295192221654
2024-07-03,4635.045965771042,4089.7069786720886,5210.1743536123595
2024-07-04,4721.3003593119865,4166.119747742017,5282.667583088259
2024-07-05,5412.168795213731,4872.4284481031555,5950.103392396323
2024-07-06,4537.997941302297,3978.306715033716,5120.630931094853
2024-07-07,3925.5964940697795,3351.2520548589587,4516.97041461779
2024-07-08,4644.383406121042,4059.4704288486014,5189.069868178499
2024-07-09,4663.886398711015,4111.690568878699,5226.341744522525
2024-07-10,4637.180446423195,4075.5188195683822,5165.957383200379
2024-07-11,4723.434839964956,4182.040787969979,5273.754551774709
2024-07-12,5414.303275876721,4864.639776167539,5972.467202446077
2024-07-13,4540.132421974217,3995.1373567574583,5128.918797280236
2024-07-14,3927.7309747532163,3393.133166456429,4499.755059989831
2024-07-15,4646.517886810533,4099.954159749585,5188.208688816162
2024-07-16,4666.0208794133705,4111.509489973234,5244.427126979743
2024-07-17,4639.31492713585,4100.581635308833,5175.4417115698425
2024-07-18,4725.569320687854,4224.321363229921,5251.730907510811
2024-07-19,5416.437756598224,4852.656000266164,5975.393340809608
2024-07-20,4542.266902700743,3984.3447559864544,5056.161411655361
2024-07-21,3929.86545547465,3390.8390022508365,4491.271860144493
2024-07-22,4648.6523675340395,4133.530143135962,5215.7069147684015
2024-07-23,4668.155360136332,4094.0732855269107,5177.870831286664
2024-07-24,4641.449407858528,4072.2146563724555,5181.376483264317
2024-07-25,4727.703801410752,4209.332302520876,5289.929153990108
2024-07-26,5418.572237322205,4923.270992809287,5986.744384350996
2024-07-27,4544.401383423007,3971.573575981848,5133.509641341656
2024-07-28,3931.9999361983614,3391.9737815085787,4490.849260132962
2024-07-29,4650.786876123436,4109.851994831587,5211.312161339266
2024-07-30,4670.2898965923905,4119.281657579013,5253.814573563482
2024-07-31,4643.583972182022,4073.50529279278,5156.1406778033
