ds,yhat,yhat_lower,yhat_upper
2024-01-01,4430.623786074772,3539.516840939285,5302.4622181327
2024-01-02,4680.4531423392355,3748.017599417313,5571.486648529967
2024-01-03,4574.130831812498,3703.3683765649594,5423.89053189722
2024-01-04,4654.946345085484,3677.721826868379,5437.766034688295
2024-01-05,4797.785415879367,3907.2205482195823,5696.282528787982
2024-01-06,2929.3606034488002,2026.7832670338448,3848.682223878754
2024-01-07,2048.444053463376,1124.009395744367,2883.522031773991
2024-01-08,4456.361457434995,3584.696422559779,5284.348644292113
2024-01-09,4706.190813705571,3781.4062786786617,5569.269719533046
2024-01-10,4599.868503177372,3710.9473537790127,5509.747666359711
2024-01-11,4680.6840164512105,3724.949894194102,5596.601598940447
2024-01-12,4823.5230872466045,3921.2529502990383,5761.228879833222
2024-01-13,2955.0982748223023,2020.0314974665212,3904.5880683232403
2024-01-14,2074.1817248317784,1142.2762539656549,2997.122330225644
2024-01-15,4482.099128803092,3608.071176606691,5383.362380469561
2024-01-16,4731.928485071904,3802.3175779424346,5614.861328188087
2024-01-17,4625.606174544628,3693.168140929477,5552.720075903241
2024-01-18,4706.421635737912,3805.291706713732,5532.934443059606
2024-01-19,4849.260654452179,3910.9421914228024,5705.6062794201935
2024-01-20,2980.8357899453267,2098.5887692118135,3918.2324663147965
2024-01-21,2099.9191878740794,1205.1360124538496,3013.226688062366
2024-01-22,4507.836539767027,3604.3411751484437,5415.854179408388
2024-01-23,4757.66584395291,3866.711920061234,5681.583561855306
2024-01-24,4651.34348134596,3755.4652411946536,5568.785551855842
2024-01-25,4732.158942537813,3839.9263210407357,5613.47218628894
2024-01-26,4874.997961251524,3910.070930311831,5807.762154306274
2024-01-27,3006.5730967450236,2086.4701097006264,3858.7938742451493
2024-01-28,2125.656494676659,1187.6622028985964,2988.7302777539307
2024-01-29,4533.573846561426,3669.7968111433875,5380.230205937373
2024-01-30,4783.403150753083,3949.6178332186537,5654.661923339979
2024-01-31,4677.0807881462,3769.566975956614,5552.864400032945
2024-02-01,4757.896249339897,3833.709203678213,5635.50190205962
2024-02-02,4900.735268050872,4054.617327770137,5739.159209519402
2024-02-03,3032.310403295145,2159.859334193678,3995.5565159500834
2024-02-04,2151.3938009781386,1265.7971002202335,3122.7417120013656
2024-02-05,4559.311152620138,3678.129329992295,5430.961603569917
2024-02-06,4809.140456562958,3883.8498601136166,5704.1772556485985
2024-02-07,4702.818093708147,3841.878420556475,5573.064553034814
2024-02-08,4783.633554653847,3871.3527573563174,5709.341667644853
2024-02-09,4926.472573121523,4043.7057556183754,5826.50373417088
2024-02-10,3058.047708359314,2192.544253301469,3997.314935225198
2024-02-11,2177.1311060457188,1327.809307257019,3137.061377355891
2024-02-12,4585.048457689382,3659.3335848872302,5503.028520952195
2024-02-13,4834.877761629858,3916.6692147489716,5741.1214289393765
2024-02-14,4728.555398775966,3770.9597885283097,5605.848213219317
2024-02-15,4809.3708597219465,3886.848590344676,5668.239117924488
2024-02-16,4952.2098781893255,4064.4706593363285,5835.776724788513
2024-02-17,3083.7850134254004,2123.3390831811284,3979.8545792784544
2024-02-18,2202.8684111133007,1212.533384542484,3100.8097062309607
2024-02-19,4610.785753504373,3756.2281455016237,5519.056551587331
2024-02-20,4860.615048192103,3957.8194068011594,5715.238953983137
2024-02-21,4754.292676084525,3894.0395282439495,5621.087716016809
2024-02-22,4835.108127775889,3955.3252002344966,5747.957813774426
2024-02-23,4977.947136987559,4023.863889701345,5886.788498020104
2024-02-24,3109.5222629729647,2232.6000266316846,4036.7469344918736
2024-02-25,2228.6056514048787,1350.5507344168557,3182.750189678417
2024-02-26,4636.522993801426,3711.8900601519067,5540.6284073096695
2024-02-27,4886.352288487058,4044.921106311017,5835.5517005379
2024-02-28,4780.029916379448,3899.9300229490605,5701.004839443957
2024-02-29,4860.84536807238,3990.8586655076556,5761.81941675983
2024-03-01,5003.684377283754,4099.010483824358,5876.334829632489
2024-03-02,3135.2595032754225,2251.333671005912,4035.759648766828
2024-03-03,2254.3428917008514,1362.93657439592,3148.2970689771782
2024-03-04,4662.260234097896,3775.8257597369698,5615.364462521787
2024-03-05,4912.089528782686,4015.6902798882516,5819.043351812809
2024-03-06,4805.564112481048,3975.1345581375485,5714.00072192388
2024-03-07,4886.176519981167,3949.7973290416735,5733.749825736483
2024-03-08,5028.812485001188,4143.564110364934,5881.165883021227
2024-03-09,3160.184566799059,2347.056689141304,4109.619580519508
2024-03-10,2279.064911037055,1424.3268209480236,3225.121584401384
2024-03-11,4686.779209241561,3755.3610693131322,5547.530456095087
2024-03-12,4936.405459732022,3982.7145296911353,5793.949550861416
2024-03-13,4829.880043431642,3958.965546534184,5734.782417242074
2024-03-14,4910.49245093204,3986.844500189113,5800.137789794943
2024-03-15,5053.1284159517645,4145.5123491994,5954.557310023537
2024-03-16,3184.5004977498356,2286.6619732371855,4116.187180428823
2024-03-17,2303.380841986022,1422.6101796199243,3184.8583419746415
2024-03-18,4711.095140185123,3761.78033283289,5627.682578763783
2024-03-19,4960.721390681695,4013.3772292773524,5853.6514927919
2024-03-20,4854.195974382235,3941.825123656828,5792.217748082905
2024-03-21,4934.808381881105,4056.6113925770755,5866.106013530141
2024-03-22,5076.980366621988,4183.21937338647,5933.13693564595
2024-03-23,3207.888468148186,2335.332144256232,4113.515944410603
2024-03-24,2326.3048321029046,1434.2618354171273,3113.7041261573318
2024-03-25,4733.5551500234105,3896.336615649774,5645.157615384271
2024-03-26,4982.717420239596,4073.173302979852,5907.945387107574
2024-03-27,4875.728023661918,3948.6297802848594,5762.879779025809
2024-03-28,4955.876450885777,4071.674461951513,5818.310900164391
2024-03-29,5098.048435627404,4187.330701390099,6035.774622433023
2024-03-30,3228.9565371509552,2339.3199757920024,4146.847716974917
2024-03-31,2347.372901106637,1471.7028283846448,3260.9923479205345
2024-04-01,4754.623219026254,3887.2676269435233,5642.124794324459
2024-04-02,5003.7854892431205,4039.6036539505158,5899.384526388843
2024-04-03,4896.796092665596,3947.5540847819775,5759.911643020607
2024-04-04,4976.944519886833,4117.577371983901,5830.76109310169
2024-04-05,5119.116504627907,4236.159647264202,6034.010048015735
2024-04-06,3250.024606149891,2373.3411438071935,4132.5491832601865
2024-04-07,2367.9132376946427,1484.927314066014,3249.4592679396624
2024-04-08,4774.63582320158,3894.44844647074,5694.021908285512
2024-04-09,5023.270361001758,4185.823868293857,5926.517896720131
2024-04-10,4915.753232008431,4049.603388495153,5793.171411058768
2024-04-11,4995.373926816178,4062.01263905438,5883.211944002795
2024-04-12,5137.018179142352,4231.137685136902,5978.492303606906
2024-04-13,3267.3985482503444,2339.3241135865096,4133.352937528717
2024-04-14,2385.287179793584,1501.328460440529,3289.8619056638945
2024-04-15,4792.009765304026,3850.56117977275,5703.7033148811315
2024-04-16,5040.644303103025,4159.60116690173,5904.4119670554965
2024-04-17,4933.1271741106175,4044.1270125579076,5773.8928745718895
2024-04-18,5012.747868918645,4118.529152719118,5873.967271668572
2024-04-19,5154.39212124737,4274.95808094463,6053.283489224938
2024-04-20,3284.772490350798,2414.220776798268,4198.935248917201
2024-04-21,2402.6611218941453,1552.5904857329713,3325.6511495964337
2024-04-22,4809.383707406471,3850.2158545804377,5758.729407701248
2024-04-23,5057.603293979651,4126.8062741659605,5935.27302968062
2024-04-24,4949.67121376301,4013.0218763257903,5862.705922398664
2024-04-25,5028.876957343154,4078.708724005919,5934.4365435821355
2024-04-26,5170.10625845233,4270.801863533669,6097.940909584685
2024-04-27,3300.0716763297373,2338.645543725098,4241.244301540423
2024-04-28,2417.545356651664,1570.9812393955788,3340.710230591002
2024-04-29,4823.8529909320905,3937.1850190178,5724.941236497324
2024-04-30,5072.07257751232,4146.128875974107,5932.04410545566
2024-05-01,4964.140497293887,4054.4337948154057,5886.903119338327
2024-05-02,5043.3462408773075,4092.675713826227,5868.672439604413
2024-05-03,5184.575541980247,4331.73896103258,6032.013370855281
2024-05-04,3314.5409598581555,2421.8171903946504,4173.143795113196
2024-05-05,2432.0146401834936,1545.4729284674102,3331.938084151208
2024-05-06,4838.322274464416,3939.0852663961427,5792.7391870831
2024-05-07,5086.541861043131,4158.287745394453,6033.798979958541
2024-05-08,4978.609780824764,4087.104591522521,5864.844610093208
2024-05-09,5057.613503946094,4150.666458009734,5948.210422932478
2024-05-10,5198.640784588792,4254.0297597810195,6130.35843947959
2024-05-11,3328.4041820112093,2368.6052296745165,4258.171333970774
2024-05-12,2445.6758418683094,1527.1791396910414,3338.871934490317
2024-05-13,4851.781455689143,3975.15431929714,5698.879545741659
2024-05-14,5099.799021804098,4200.47274928304,6021.32197260482
2024-05-15,4991.66492112456,4065.7440894779384,5952.41410686115
2024-05-16,5070.668644244736,4144.877827125876,5938.88296043487
2024-05-17,5211.695924888571,4310.255540157389,6037.294649254853
2024-05-18,3341.459322307356,2483.413792240623,4253.501220581542
2024-05-19,2458.730982167868,1590.0464844432865,3292.7244299807585
2024-05-20,4864.836595989198,4024.2099855968668,5737.029107463025
2024-05-21,5112.854162102636,4155.884045584008,5955.848054862527
2024-05-22,5004.72006142426,4086.093051736458,5880.892810930803
2024-05-23,5083.723784543005,4198.3563968482185,5973.710199103237
2024-05-24,5224.7510651842185,4339.854204445222,6094.108812230146
2024-05-25,3354.5144278450216,2470.3091950979187,4298.41113249597
2024-05-26,2471.7860529384016,1541.403170721066,3364.9296436071004
2024-05-27,4877.8916319950185,3959.158963729414,5739.520597939061
2024-05-28,5125.9091633519165,4243.343511800979,6131.994655905664
2024-05-29,5017.775027912482,4145.710671115542,5940.847024220953
2024-05-30,5096.778716269191,4214.226917408272,5972.769114475515
2024-05-31,5237.805962147793,4394.704089970896,6131.386461153119
2024-06-01,3367.569324804964,2419.8392384195927,4251.558150634292
2024-06-02,2484.8409499017544,1534.2614369664393,3416.0407243032687
2024-06-03,4890.946528958869,4057.5482049115744,5825.48309763841
2024-06-04,5138.9640603149255,4240.62080555225,6051.139212079485
2024-06-05,5030.829924873694,4166.3245654916545,5931.139168321882
2024-06-06,5109.833613233062,4185.687975712539,6010.615516846034
2024-06-07,5250.860859114216,4364.451359905187,6181.239365931552
2024-06-08,3380.6242217649046,2508.2414598713367,4310.302084628043
2024-06-09,2497.895846866495,1622.8327463521755,3400.044708307372
2024-06-10,4904.001425946266,4003.672205910166,5787.4383411634135
