ds,yhat,yhat_lower,yhat_upper
2024-01-01,56873.612443771104,51062.75551130666,62114.419360202875
2024-01-02,57457.41259441789,52007.197200316645,62907.53522985955
2024-01-03,57826.91303150153,52514.69657936208,63381.61325574847
2024-01-04,58670.17204108285,53222.99880470934,63905.49346039153
2024-01-05,64390.48949369419,58965.01431449074,70004.8649008884
2024-01-06,60607.05931477251,55328.2895660203,65877.99871948942
2024-01-07,45364.12208971886,39996.26847803888,50409.32783451688
2024-01-08,57126.1733220552,51471.69073220245,62509.22628098926
2024-01-09,57709.97347273955,52301.19638219806,62801.10342600529
2024-01-10,58079.47390979316,52851.172507069394,63474.85496380378
2024-01-11,58922.73291938988,53872.86709957369,64281.44672639965
2024-01-12,64643.050372030004,58938.632217842016,69836.97487082798
2024-01-13,60859.6201931389,55484.50017405119,66073.26146159343
2024-01-14,45616.68296804062,40575.368267243226,51033.61052797023
2024-01-15,57378.734200380524,51944.01036091075,62496.93747289902
2024-01-16,57962.53435106121,53246.178602395565,63313.66501089098
2024-01-17,58332.03478812483,52953.08780762372,63353.38878200596
2024-01-18,59175.293796028476,53546.59356359935,64842.07847840117
2024-01-19,64895.61124698338,59732.1297389034,69992.55426351819
2024-01-20,61112.1810663776,56418.035937279994,66830.0694020424
2024-01-21,45869.24383958499,40840.30125992977,51061.48587385435
2024-01-22,57631.29507024974,52409.61131438085,63104.45209423719
2024-01-23,58215.095219222276,52568.505851622016,63296.022146425246
2024-01-24,58584.59565461181,53495.42482478535,64079.80400145409
2024-01-25,59427.85466249695,53586.441211545796,64790.08998909325
2024-01-26,65148.17211345959,59994.5349432111,70551.16434945494
2024-01-27,61364.741932851415,56083.02525716365,66664.93744472951
2024-01-28,46121.8047060682,40750.407098830394,51463.4049029691
2024-01-29,57883.85593669528,52523.92291900474,63435.40149920513
2024-01-30,58467.65608569211,52976.85588600297,63351.325155807215
2024-01-31,58837.1565210849,53922.670451278376,64032.063071399956
2024-02-01,59680.415529001286,54336.13185708527,65252.759566280525
2024-02-02,65400.73297993579,59785.99857944788,71050.41955673973
2024-02-03,61617.30279500023,56237.42232243309,66744.75642398185
2024-02-04,46374.36556393537,41348.05440641775,51277.921958806066
2024-02-05,58136.41679025643,53006.78687439986,63587.32553464602
2024-02-06,58720.216934935845,53408.840367299366,64312.2690140182
2024-02-07,59089.717366008794,53405.83893268841,64257.1363681906
2024-02-08,59932.976369610704,54746.35336764397,65663.94956878114
2024-02-09,65653.29381623855,60480.28188524826,71448.86321872662
2024-02-10,61869.86363129,56480.128878355514,67098.12685258235
2024-02-11,46626.92640024342,41269.11972367135,52226.665806572746
2024-02-12,58388.97762657042,53255.25736536619,63982.97739432702
2024-02-13,58972.777771250054,53744.25132448846,64443.851654128164
2024-02-14,59342.27820233301,54133.288477717826,64858.6022855037
2024-02-15,60185.53720593308,54835.739770858214,65229.66929947053
2024-02-16,65905.85465256692,60378.46384258282,71243.42836596101
2024-02-17,62122.424467594916,56985.252698932374,67545.52063994655
2024-02-18,46879.487236551475,41130.97377844041,52165.43334999749
2024-02-19,58641.53845998864,53412.66881723174,63742.24179004159
2024-02-20,59225.33860175766,53918.91177985962,64513.18643721416
2024-02-21,59594.83902994658,54003.216400227386,64896.720708023095
2024-02-22,60438.09803061847,55053.36978243503,65881.4372631392
2024-02-23,66158.41547433544,60585.70753292073,71288.4458343365
2024-02-24,62374.98528647856,57153.1840297777,67774.2914192174
2024-02-25,47132.04805254462,41440.21760963251,52283.24277979408
2024-02-26,58894.09927598169,53715.11970350758,63988.52684969007
2024-02-27,59477.89941773378,53815.67469393154,64335.16430371963
2024-02-28,59847.39984591983,54713.23965064464,65085.361339517935
2024-02-29,60690.658846616025,55378.36532627901,65657.37797658508
2024-03-01,66410.976290339,61147.22944950898,71881.3390522239
2024-03-02,62627.54610251268,57402.500947598586,68270.07132997378
2024-03-03,47384.60886852785,41936.73134087882,52341.091867271636
2024-03-04,59146.66009197864,53972.32000329569,64564.460562101005
2024-03-05,59730.46023373644,54318.80166171672,65641.74083222641
2024-03-06,60091.9069289515,55151.59661482029,65567.05983901417
2024-03-07,60927.11219672566,55012.70158289898,66142.17068933259
2024-03-08,66639.3759075384,61385.30012904974,72692.77506593439
2024-03-09,62847.89198676686,57701.3335854312,68536.348667138
2024-03-10,47596.90101987889,42560.291425329284,52999.88861245931
2024-03-11,59350.89851040556,53917.7714184403,64592.98255394439
2024-03-12,59926.644919218736,54975.22334207146,65338.291522768995
2024-03-13,60288.09161445707,54853.746571533164,65645.99708655174
2024-03-14,61123.2968822294,56139.340948244506,66898.99353243462
2024-03-15,66835.56059304813,61502.33098148766,71804.28445288115
2024-03-16,63044.07667226828,57831.098759489556,68677.95126538354
2024-03-17,47793.08570536204,42497.146172247245,53207.10536465225
2024-03-18,59547.08319586356,54149.34488808284,64625.25883111524
2024-03-19,60122.829604714294,55076.5111192272,65374.24818767705
2024-03-20,60484.276299962636,55029.456505056485,65790.4709394454
2024-03-21,61319.481567710325,56271.07507672067,66715.65994509758
2024-03-22,67018.21336260291,61382.77827920097,72205.0021127203
2024-03-23,63213.197525925694,57870.68310154819,68498.90792082688
2024-03-24,47948.67464305611,42372.5361934323,52977.67379965987
2024-03-25,59689.14021762733,54416.55628444778,65034.84161443323
2024-03-26,60251.35471052726,54841.155939758275,65498.88479251426
2024-03-27,60599.269489845006,55221.517182674084,65815.30723198767
2024-03-28,61420.94284169979,56142.19665756933,66380.89049964213
2024-03-29,67119.67463654999,61469.74597229641,72674.97687582516
2024-03-30,63314.65879989007,58104.56873349298,68593.43595250878
2024-03-31,48050.13591701472,42582.36657800094,53337.105857827664
2024-04-01,59790.60149159341,54350.98104691201,64865.15530678012
2024-04-02,60352.81598449953,55072.56335331635,65900.6934331102
2024-04-03,60700.73076382741,55504.773017421576,66052.58537709131
2024-04-04,61522.40411564367,56185.4676305239,66816.41953671332
2024-04-05,67221.1359105016,61761.388092187815,72846.9595197992
2024-04-06,63416.12007382414,57996.98827315282,68700.16711726214
2024-04-07,48137.61155706788,43254.113280655954,53460.970287712946
2024-04-08,59864.09149775329,54740.137553551605,64700.82808330642
2024-04-09,60412.320356760436,55406.804544538914,65623.84304456209
2024-04-10,60746.24950215909,55229.20447883336,66077.05052338206
2024-04-11,61553.93722009154,56428.14396547466,66524.26570482738
2024-04-12,67238.68338105798,62269.21409785493,72580.07916949742
2024-04-13,63419.68191047894,58083.25990589084,68902.39780544136
2024-04-14,48141.17339374196,42894.71365787061,53482.642582348846
2024-04-15,59867.65333442494,54574.408791122274,64783.55484193423
2024-04-16,60415.88219342452,55069.775717504905,65736.53008524324
2024-04-17,60749.811338833184,55522.44598677558,66077.56068348249
2024-04-18,61557.499056763794,56626.14733013069,67157.88464083218
2024-04-19,67242.24521771065,61628.58711872075,72538.78242698596
2024-04-20,63423.24374713373,57799.102769212375,69294.83672266958
2024-04-21,48144.73523039365,42986.56352201663,53694.788757102004
2024-04-22,59871.215171096585,54497.41766377075,65052.81989915138
2024-04-23,60408.78123775383,54814.56232624163,65608.97934358314
2024-04-24,60732.047590844224,55507.85009099796,66353.37602129648
2024-04-25,61529.07251641618,56120.08757090069,66640.9357728415
2024-04-26,67203.15588510284,61964.702650317726,72439.18179792895
2024-04-27,63373.49162218096,58412.22202493546,68880.42456012506
2024-04-28,48084.32031312875,42741.047790356235,53753.85186410247
2024-04-29,59800.13746146863,54500.98286086622,65069.42859539057
2024-04-30,60337.7035281678,55082.22726242496,65647.46517123813
