ds,yhat,yhat_lower,yhat_upper
2024-01-01,12206.432058992368,10218.661083635945,14214.888042459466
2024-01-02,12753.941761006618,10713.327915645661,14791.445657719401
2024-01-03,12623.921583762074,10425.56291044762,14654.144194647411
2024-01-04,12932.028105194595,10883.637396017204,14946.353683187439
2024-01-05,12910.23759777711,10897.558888568454,15009.993428209782
2024-01-06,9657.490178568694,7716.160300012553,11755.580841729896
2024-01-07,7745.691984188788,5573.677606680423,9816.125625151817
2024-01-08,12289.84519147443,10278.761877049323,14321.783578485387
2024-01-09,12837.3548935006,10814.04042535354,14939.457518049481
2024-01-10,12707.334716252131,10493.161003817026,14824.501511365776
2024-01-11,13015.441237686691,10988.142370190459,14907.206123001763
2024-01-12,12993.650730272495,10958.44440287544,15042.798053087548
2024-01-13,9740.90331107572,7690.126952158803,11887.851686205673
2024-01-14,7829.105116685721,5828.802493715578,9950.692972227702
2024-01-15,12373.258323971175,10395.048548149141,14396.452150781804
2024-01-16,12920.768025994581,10775.276339061535,14937.763224618446
2024-01-17,12790.747848748135,10708.809401034117,14765.551439886985
2024-01-18,13098.85436994514,11021.73979422975,15197.269143325117
2024-01-19,13077.063862292905,10997.940537374408,15056.931215136414
2024-01-20,9824.316442855306,7815.346224659454,11936.772098792708
2024-01-21,7912.518248228811,5875.997392597302,9981.412428412248
2024-01-22,12456.671455280484,10481.746269643003,14491.38270771772
2024-01-23,13004.181157062123,11015.290476425298,14918.557460536516
2024-01-24,12874.160979580503,10843.56349228265,14831.52491858738
2024-01-25,13182.26750077483,11131.961746941917,15135.015244525248
2024-01-26,13160.476993121938,10967.44765478143,15183.335089035581
2024-01-27,9907.729573684948,7739.171920306013,12030.589972384374
2024-01-28,7995.931379063339,5745.755872957474,9937.526632605855
2024-01-29,12540.084586100136,10428.651745963449,14512.43724431524
2024-01-30,13087.594287892185,11031.894612727996,15105.339875823016
2024-01-31,12957.574110411126,10908.787841742964,14980.320300939398
2024-02-01,13265.68063161032,11133.506186652485,15402.667091689224
2024-02-02,13243.89012395097,11256.979523030117,15310.351177893457
2024-02-03,9991.142704084456,7856.778363084295,11960.687875814234
2024-02-04,8079.344509034447,5864.625083528134,10001.547579121123
2024-02-05,12623.49771565364,10478.367154827161,14728.453780373451
2024-02-06,13171.007417016299,11048.216091129316,15058.430544792842
2024-02-07,13040.987239107426,10864.030504644294,15023.473233494225
2024-02-08,13349.093759878822,11144.314123392976,15338.501086931134
2024-02-09,13327.303251801233,11102.831597997267,15294.457951370476
