ds,yhat,yhat_lower,yhat_upper
2024-01-01,32387.75714068373,27249.9514251073,37615.81307592849
2024-01-02,33766.433832664385,28377.524043386456,39037.37595515264
2024-01-03,33083.564008839094,27998.53519761157,38252.644862757305
2024-01-04,33833.71296159161,28379.93432704365,39128.82262769246
2024-01-05,34858.10774455189,29721.20828653704,40123.670600863115
2024-01-06,25124.906988983745,20123.49827804522,30615.424143966993
2024-01-07,18368.13887265254,13304.839042836487,23491.337450080056
2024-01-08,32453.409834961127,27709.359021156433,37891.18940456689
2024-01-09,33832.08652697881,28304.80168062982,38896.57450294682
2024-01-10,33149.21670314043,28390.422251852844,38359.71145092656
2024-01-11,33899.36565590017,29033.342981366157,39335.129577946886
2024-01-12,34923.760438872414,29790.813460563208,40628.70536069049
2024-01-13,25190.559683340187,20057.425842543584,30132.859486360325
2024-01-14,18433.79156697645,13348.078002379892,23013.798578760994
2024-01-15,32519.06252928446,27362.1656728781,37731.844623272904
2024-01-16,33897.73922129323,28339.649867330845,39055.94170356069
2024-01-17,33214.86939746137,28234.34523405928,38511.12100505919
2024-01-18,33965.018349210826,28272.29039780109,39067.63479985058
2024-01-19,34989.41313117149,29743.220720247806,40456.08866853612
2024-01-20,25256.212374616607,19811.790322781653,30560.22593371317
2024-01-21,18499.444257243813,13112.289392871964,23387.039221094205
2024-01-22,32584.715218554156,27445.968340882373,38066.22700814634
2024-01-23,33963.39190953847,28375.03023602365,39129.51136426529
2024-01-24,33280.52208470496,28055.144524064453,38525.10654821148
2024-01-25,34030.6710364443,28915.439957379807,39285.13538061231
2024-01-26,35055.0658184036,29951.8793903867,40143.687665202895
2024-01-27,25321.865061850116,20248.03573901396,30400.121758818103
2024-01-28,18565.09694449264,13094.95300153035,24051.59480733156
2024-01-29,32650.367905756466,27732.582521785724,37920.799145539844
2024-01-30,34029.044596772976,29356.690928041568,39521.21119581039
2024-01-31,33346.174771941005,28192.077337677645,38328.15910703353
2024-02-01,34096.32372369573,29075.531139651568,39203.906876670415
2024-02-02,35120.71850563572,30157.179398744433,40138.213192132825
2024-02-03,25387.517749702984,19834.419237102782,30746.83388305189
2024-02-04,18630.749632974213,13443.326874210221,23935.828338044
2024-02-05,32716.020594895213,27517.138254367535,37977.62368129413
2024-02-06,34094.697286534465,29178.532553855985,39137.8140337315
2024-02-07,33411.82746232975,28440.850185248,38673.556108074576
2024-02-08,34161.97641471242,29006.92175207769,39404.41693805743
2024-02-09,35186.3711973064,29991.96795638136,40185.499381416696
2024-02-10,25453.17044133907,20320.744691373566,30509.91650663258
2024-02-11,18696.40232462997,13839.902063972642,24225.606895207966
2024-02-12,32781.673286558325,27188.81066480497,37724.80870366915
2024-02-13,34160.34997818756,29194.480754490516,39449.69958972189
2024-02-14,33477.48015398936,28338.503230692044,38514.80511516696
2024-02-15,34227.629106372486,28847.375152596785,39604.27284657414
2024-02-16,35252.023888965596,29919.697276813156,40417.77969892578
2024-02-17,25518.823132986334,20225.703098935133,30567.19141523437
2024-02-18,18762.055016285736,13514.649632269242,24133.197069245925
2024-02-19,32847.325978352645,27817.831997260684,37823.73340387638
2024-02-20,34226.00267011528,28507.182617585368,39502.52338927642
2024-02-21,33543.13284604924,28281.533657127064,38686.97166197195
2024-02-22,34293.2817985534,28936.1413601072,39417.89573143192
2024-02-23,35317.676581265245,29706.229060387283,40754.71161388409
2024-02-24,25584.475825434132,20767.151405483284,30823.060107991812
2024-02-25,18827.707708853944,13712.188090350213,24080.625267800544
2024-02-26,32912.9786709486,27737.607446765203,38168.292490788575
2024-02-27,34291.6553626975,28956.176198583016,39273.326047241535
2024-02-28,33608.785538630735,28426.898346203106,39215.32672972329
2024-02-29,34358.93449114741,29175.870179073583,39951.203403199936
2024-03-01,35383.3292738584,30218.2095093608,40475.81617947671
2024-03-02,25650.128518063197,20107.181290241682,30469.966943730007
2024-03-03,18893.360401443657,13334.015478944664,23898.196699368447
2024-03-04,32978.63136354344,27698.965174688004,37897.77735414894
2024-03-05,34357.308055289366,29404.040034343314,39711.676625605374
2024-03-06,33674.43821487538,28172.199194620065,38904.5602956942
2024-03-07,34424.58715106226,28991.057136092084,39602.07598351083
2024-03-08,35448.9819174503,29963.60637810719,40692.663742219425
2024-03-09,25715.781145316018,20954.346758143012,31121.567092969242
2024-03-10,18959.013012393665,13695.039559791703,24301.188080726934
2024-03-11,33044.28395816356,28207.032994948615,38556.092148984775
2024-03-12,34422.96063356646,29261.946199441438,39474.22872843563
2024-03-13,33740.090793163814,28271.5145388568,39121.40737690043
2024-03-14,34490.239729351146,29637.37892503804,39855.6751933138
2024-03-15,35514.63449573832,30242.646714155188,40361.306269724955
2024-03-16,25781.43372360328,21034.875697077478,30926.43985794968
2024-03-17,19024.665590671422,13610.036819457579,24330.20808109983
2024-03-18,33109.936536408444,28583.45485613348,38548.7389891471
2024-03-19,34488.61321184837,29404.822675609696,39614.8901149895
2024-03-20,33805.74337145225,28405.375016831076,38710.7042216615
2024-03-21,34555.89230762719,29191.652768398202,40019.55704075939
2024-03-22,35576.4316644921,30039.6632994869,40798.13442653385
2024-03-23,25839.375482874202,20534.208463191248,31399.25890774801
2024-03-24,19078.751940400078,13423.966093576937,24207.438313930583
2024-03-25,33160.16747661561,28031.16812810728,38372.78735513972
2024-03-26,34534.98874252088,29274.741399549977,40087.54506063376
2024-03-27,33848.26349260538,28536.896703875045,39165.23397731793
2024-03-28,34594.5570192825,29516.07807905445,39881.74066123322
2024-03-29,35615.096376145186,30693.94520215486,41094.64491840074
2024-03-30,25878.040194515055,20550.492532784054,31172.87756078739
2024-03-31,19117.416652045067,13773.92322016401,24723.58520969178
2024-04-01,33198.83218825891,28066.270745452646,38260.98244611462
2024-04-02,34573.65345416899,29586.475681259595,39841.3247910831
2024-04-03,33886.92820425493,28722.38186838743,38958.312097478796
2024-04-04,34633.22173091213,29380.224514283076,39569.858039586456
2024-04-05,35653.761087773455,30202.041588781092,41079.88890705307
2024-04-06,25916.70490613355,21332.062662048505,30862.419935920025
2024-04-07,19152.039759290208,13982.249009309598,24283.25926810437
2024-04-08,33229.41369111837,28350.046458015375,38401.22043553795
2024-04-09,34600.19335262541,29917.467825533746,39965.759837550686
2024-04-10,33909.426498305234,28496.74171474789,38727.727385831866
2024-04-11,34651.67842057662,29333.66310807001,39980.88439311359
2024-04-12,35668.17617304357,30644.182229187667,41194.37071813867
2024-04-13,25927.07838701203,20404.91216383056,31343.889291761156
2024-04-14,19162.413240162492,14209.569674802628,24769.529947853534
2024-04-15,33239.787172010474,27991.726539629144,38584.2769071219
2024-04-16,34610.566833509714,29235.30801581001,39596.96221773102
2024-04-17,33919.79997919606,28658.976230927718,39164.8797303619
2024-04-18,34662.051901467894,29484.55504680245,40198.52931468462
2024-04-19,35678.54965394546,30298.704469206972,40974.964346858374
2024-04-20,25937.451867890508,20856.70567227944,31338.626441131648
2024-04-21,19172.78672104264,14116.41447552699,24651.15869097408
2024-04-22,33250.160652902574,28229.025512890104,38350.61477632465
2024-04-23,34619.84680073859,29325.307396572625,39671.29970913508
2024-04-24,33927.98643277588,28909.441861349984,39093.58134961541
2024-04-25,34669.144841373985,29546.77985798267,39844.22025113447
2024-04-26,35684.549080233475,30278.963692842335,40824.63292599861
2024-04-27,25942.357780515988,20790.794160979698,31396.052656376225
2024-04-28,19176.599120032846,13691.19877580266,24802.496841543565
2024-04-29,33252.87953819677,27822.77761630884,38488.94954861717
2024-04-30,34622.5656860765,29415.716421133886,39960.86040451106
2024-05-01,33930.705318102715,28576.210490329504,38853.28148005855
2024-05-02,34671.86372672391,29967.32156442586,40117.65725689551
2024-05-03,35687.26796554304,30655.28100534241,40725.81845128325
2024-05-04,25945.076665829103,20831.690756605156,31204.151962744254
2024-05-05,19179.318005365636,14273.632500920183,24000.726520323682
2024-05-06,33255.5984235347,27993.794801906195,38422.06728100351
2024-05-07,34625.2845714018,29367.43868213294,39947.57992290306
2024-05-08,33933.42420342955,28570.593354028926,39080.29904792567
2024-05-09,34674.5825892545,29487.532557523875,40348.70600069049
2024-05-10,35689.98680529194,30353.482353769406,40642.570755813045
2024-05-11,25947.79548282026,20861.388638725788,31376.34317341398
2024-05-12,19182.03679952378,13943.959482168473,24001.040384844477
2024-05-13,33258.31719490652,28123.484193885048,38396.96679105154
2024-05-14,34628.00331997477,29289.204609945216,39983.53486454766
2024-05-15,33936.14292921055,28634.30267470244,39122.65578453883
2024-05-16,34677.30131502824,29783.808760466043,39977.698211403556
2024-05-17,35692.70553107253,30676.812467776163,40363.243226227976
2024-05-18,25950.514208577726,20549.8878916182,31231.145435042312
2024-05-19,19184.75552530093,14229.400716553422,24463.83630672659
2024-05-20,33261.03592068881,28276.629885488834,38454.56568635684
2024-05-21,34630.72204574442,29390.532029153517,39548.5534046029
2024-05-22,33938.86165498929,29020.89991256608,39023.7017451505
2024-05-23,34680.02004079686,29230.39792240564,40083.05019770242
2024-05-24,35695.42425682646,30652.64302202586,40730.73163912882
2024-05-25,25953.23274828121,20743.327388162223,31513.035097940283
2024-05-26,19187.47387890386,14154.945205061926,24317.037159137613
2024-05-27,33263.75408819719,28091.92590303189,38475.4526942017
2024-05-28,34633.44002720865,29483.08191462937,39849.88131773053
2024-05-29,33941.579450388504,28464.05695739331,39046.094490932934
2024-05-30,34682.737650120165,29076.93610265595,40116.35649134461
2024-05-31,35698.14168007255,30761.355628872654,41096.06951371376
2024-06-01,25955.950171504188,20687.949386703483,31228.637155623073
2024-06-02,19190.191302146508,13750.204848921445,24287.36136191792
2024-06-03,33266.47151144497,28329.942075298102,38570.43727913791
2024-06-04,34636.15745045346,29643.27976789095,39952.842399985624
2024-06-05,33944.2968736154,28893.45376841546,39112.36364139909
2024-06-06,34685.45507336712,29795.855818784046,40176.66873301968
2024-06-07,35700.85910333013,30623.090407396594,41036.25228158165
2024-06-08,25958.66759472716,20525.241882665076,31399.152958655224
2024-06-09,19192.90872539598,14301.799517713907,24135.11873130189
2024-06-10,33269.18891714812,27976.31442863446,38517.77221352809
2024-06-11,34638.874838597134,29725.27016707488,39983.81984775679
2024-06-12,33947.01424422241,28610.015972586072,38918.67988503294
2024-06-13,34688.172426431105,29767.22487535439,40004.04433347372
2024-06-14,35703.57643884751,30402.1456486241,40583.32421349137
2024-06-15,25961.38491269805,20687.682902261862,30736.20545205333
2024-06-16,19195.62602581162,14301.962639726358,24158.351519402648
2024-06-17,33271.90621757683,27908.88032195303,38305.584839250754
2024-06-18,34641.59213902472,29334.716622770575,39858.23416455357
2024-06-19,33949.73154463891,28853.02745116015,38976.809250993785
2024-06-20,34690.889726845024,29627.185291997437,39830.646764091536
2024-06-21,35706.29373926007,30588.584090055265,40763.16998943101
2024-06-22,25964.102213100836,20744.363618582487,31316.396169577652
2024-06-23,19198.34332621939,13909.32950081839,24463.317643420025
2024-06-24,33274.62351800552,27995.612339327137,38660.52764432034
2024-06-25,34644.309439439676,29518.862663325282,40146.018510644324
2024-06-26,33952.44884468983,28669.69647304611,38992.700199728664
2024-06-27,34693.60702653384,29654.743813168843,39900.58162393427
2024-06-28,35709.011038546465,30130.237533619165,40795.36948901857
2024-06-29,25966.81951207226,20879.946301256958,31201.805583959904
2024-06-30,19201.06062476489,13861.805541217012,24495.590986922267
2024-07-01,33277.34081618076,28517.323766600344,38686.10107768
2024-07-02,34647.026737231725,29792.024252180945,40225.56944473159
2024-07-03,33955.1661424884,28794.79999988604,39406.59371681335
2024-07-04,34696.324324299465,29447.89429724121,40164.29336177619
2024-07-05,35711.72833633128,30653.571856912557,41086.420411080064
2024-07-06,25969.536809847297,20499.28981253232,31287.886899409743
2024-07-07,19203.777922566427,13733.04988037785,24146.37553339908
2024-07-08,33280.05811398283,28043.615181854246,38451.77434806012
2024-07-09,34649.74403503639,29142.833125563866,39753.6383157021
2024-07-10,33957.88344026735,28894.60756285106,39482.082866299
2024-07-11,34699.041622098484,29683.41310513332,40084.739288947516
2024-07-12,35714.445634569565,30478.228862026335,40767.32063139779
2024-07-13,25972.254108513782,20828.28169377155,31197.485655109485
2024-07-14,19206.49522168837,13997.232255280383,24721.35477848306
2024-07-15,33282.775413497286,28496.51795300313,38181.51732133498
2024-07-16,34652.46133502912,29395.463241346828,39987.64536591883
2024-07-17,33960.60074070674,28717.369969586995,39087.71621923988
2024-07-18,34701.758922965615,29576.45446090341,40036.7419606809
2024-07-19,35717.16293542201,30570.6501820681,41052.171373835416
2024-07-20,25974.971409428807,20735.228253085945,31179.38238400846
2024-07-21,19209.212522557224,14258.491393814447,24792.06566293778
2024-07-22,33285.492714379194,28136.896006169038,38404.2813902071
2024-07-23,34655.17863589729,29734.097754647464,39832.64206361477
2024-07-24,33963.31804157646,28945.34790649723,39361.50000985666
2024-07-25,34704.47622383275,29593.537447834024,40001.481337515725
2024-07-26,35719.88023632594,31174.483365447588,40766.33324733115
2024-07-27,25977.68871029598,20944.82373014173,31342.89170243006
2024-07-28,19211.929823439707,14300.935349837384,24444.241404337445
2024-07-29,33288.210016875106,28206.586101109773,38678.225388182946
2024-07-30,34657.89594000052,29518.632523613374,40280.21297242527
2024-07-31,33966.035347299054,28430.20547406266,38916.292301165566
2024-08-01,34707.193531186014,29313.734541961232,40080.744871627416
2024-08-02,35722.59754525396,30262.3429959987,40597.97255070843
2024-08-03,25980.40602084266,20506.521236799294,31226.96757108848
2024-08-04,19214.647135621177,14012.85378263416,23875.099896465374
2024-08-05,33290.92732906171,28269.78826802029,38326.60189454514
2024-08-06,34660.613252174495,29567.796698317605,39901.859304681595
2024-08-07,33968.75265947457,28319.78211014078,39040.48554616794
2024-08-08,34709.91084335895,29118.669235418114,39705.34267678332
2024-08-09,35725.31485743886,30966.19700735259,40692.533098836015
2024-08-10,25983.123333015636,21046.780769093406,31451.327445987692
2024-08-11,19217.36444778114,14464.246556272657,24516.647940710132
2024-08-12,33293.6446412057,28379.356501253187,38627.343540796304
2024-08-13,34663.33056435812,29462.75176001075,39584.037762552536
2024-08-14,33971.470001752656,28895.27645611121,39022.39005967368
2024-08-15,34712.62821573024,29035.344954381188,40253.92803841119
2024-08-16,35728.03225991354,30053.178798333,41303.773740685174
2024-08-17,25985.84076554847,20937.747822791924,31144.394185180674
