ds,yhat,yhat_lower,yhat_upper
2024-01-01,123630.2761502487,101946.34148119357,147177.52755647906
2024-01-02,132453.88936509527,111401.08942449918,157608.74767132904
2024-01-03,131581.0261110648,108601.10570626918,152051.6851388641
2024-01-04,136618.79105349837,114412.05787231628,158315.90852186133
2024-01-05,148039.65730664192,125971.606480902,169414.5384985138
2024-01-06,124281.36719032525,103525.33383655066,148986.19998028438
2024-01-07,84649.04068058432,62521.52066875057,108118.51655548406
2024-01-08,124026.83375259758,101169.00669500603,146379.2522780343
2024-01-09,132850.4469675761,111385.51081930562,155291.1187250678
2024-01-10,131977.58371347803,109268.8533404444,154288.90594472116
2024-01-11,137015.3486559495,114338.45172737568,158899.12178642614
2024-01-12,148436.2149091473,126913.72648833776,172059.80133467316
2024-01-13,124677.92479295684,101527.03452288358,147341.56029588456
2024-01-14,85045.59828307027,62738.31042435864,105575.25026773529
2024-01-15,124423.39135509718,101795.34601373783,145864.20769918986
2024-01-16,133247.00457005692,110607.18821889734,153773.8991086198
2024-01-17,132374.14131598084,110050.80342282864,155373.36199742663
2024-01-18,137411.90625813245,116502.36376490479,158804.03499129228
2024-01-19,148832.77251101378,126298.67206451486,171473.682256187
2024-01-20,125074.48239444717,101605.41429864691,147767.26751182097
2024-01-21,85442.1558842491,63574.972444575134,108374.29191678806
2024-01-22,124819.94895599941,102738.83124166023,148351.12591291088
2024-01-23,133643.56217059147,110448.09675782188,156073.83253967576
2024-01-24,132770.69891623495,110689.21539563111,155225.49342227727
2024-01-25,137808.46385834727,116478.02233397463,161357.71968419457
2024-01-26,149229.3301112352,126409.43626827715,171559.25097095166
2024-01-27,125471.03999465966,103265.93365281109,149125.9576398493
2024-01-28,85838.71348449873,64226.575081703544,108337.74721571385
2024-01-29,125216.50655611198,102801.09694131678,146525.4957675028
2024-01-30,134040.11977080657,109763.09965763213,158007.58451722327
2024-01-31,133167.25651645666,111552.59559019555,156101.5078788298
2024-02-01,138205.0214586243,115916.50818882349,160866.31655932247
2024-02-02,149625.88771145666,126836.21403470852,171721.07905589868
2024-02-03,125867.5975922866,103754.10287094636,147698.25190315212
2024-02-04,86235.27107962879,65363.25467711174,108574.62370932617
2024-02-05,125613.06414873069,104077.94658065292,146578.33223386412
2024-02-06,134436.67736084736,112578.83068443365,158333.42459965526
2024-02-07,133563.81410392374,111284.67469505747,155909.26721258534
2024-02-08,138601.57904353354,114774.7096085164,161066.63158044792
2024-02-09,150022.44529385187,127845.66764462748,172618.57585804968
2024-02-10,126264.15517460801,103045.55302830631,148291.83870976337
2024-02-11,86631.8286620073,64107.13832926304,109433.0098298198
2024-02-12,126009.62173112927,103826.08790861543,149829.89062461705
2024-02-13,134833.23494323535,113650.24955782833,156153.94717071796
2024-02-14,133960.3716863337,110835.41356979054,156097.02784264222
2024-02-15,138998.13662594312,116466.31524181353,161386.5885159359
2024-02-16,150419.00287626445,128604.44696652016,172072.52034425508
2024-02-17,126660.71275696396,104281.3123167895,148370.50106209161
2024-02-18,87028.38624438582,63351.64921245634,107704.42132510357
2024-02-19,126406.1793051355,105268.70566083022,149326.8593536694
2024-02-20,135229.79250880575,114934.99417363197,156804.89268782357
2024-02-21,134356.9292435175,111546.09058664297,157341.43714688023
2024-02-22,139394.69417466648,118272.7811241746,162371.93843950462
2024-02-23,150815.56041653804,129309.33832108183,174956.26816750737
2024-02-24,127057.27028886745,103838.88053579404,149659.49660518277
2024-02-25,87424.94376790005,64014.03993571211,109462.14563922865
2024-02-26,126802.7368286811,102203.85337171935,149760.49199978006
2024-02-27,135626.35003230316,113430.16756499084,157105.46669553412
2024-02-28,134753.4867670091,111739.62031377888,156648.2166274641
2024-02-29,139791.2516982149,119064.34261819751,162333.4249597596
2024-03-01,151212.11794008943,128477.65046565289,173874.84913188187
2024-03-02,127453.82781254507,105508.35748642108,148911.30923689628
