ds,yhat,yhat_lower,yhat_upper
2024-01-01,4173.918581477374,3405.615858238637,4928.610664696873
2024-01-02,4281.736142508418,3499.245552661567,4981.931896475529
2024-01-03,4194.296438864317,3428.397905360668,4898.1910532896845
2024-01-04,4312.6658447429445,3575.1088465387097,5071.075574856271
2024-01-05,4350.547589064586,3617.276607398218,5088.782241025404
2024-01-06,3039.5553226869424,2330.231188736344,3750.4351143652034
2024-01-07,2365.620552929634,1685.1883778039773,3123.466173586832
2024-01-08,4199.703265229761,3471.2964918347247,4939.568791089306
2024-01-09,4307.520826265271,3541.100628304287,5058.92005314473
2024-01-10,4220.08112261977,3466.6768281351483,4891.75345572817
2024-01-11,4338.450528499175,3660.2052188632315,5022.034923814473
2024-01-12,4376.332272822142,3654.2265692716596,5136.983770455766
2024-01-13,3065.340006448963,2323.9718820955327,3838.616269483307
2024-01-14,2391.40523668792,1636.6613767222952,3056.0555120377985
2024-01-15,4225.487948987811,3422.4845215932296,4960.999969311738
2024-01-16,4333.3055100221245,3612.4048841208396,5011.708930192587
2024-01-17,4245.865806377487,3546.2432036820255,4958.448493863357
2024-01-18,4364.235212099385,3577.2577746370885,5100.552849722052
2024-01-19,4402.116956264591,3670.4114308252324,5137.766697013128
2024-01-20,3091.124689732546,2363.686165350849,3842.25008775052
2024-01-21,2417.189919814191,1717.3582621334883,3144.382750924486
2024-01-22,4251.272631958096,3552.245423049521,4943.5914983356415
2024-01-23,4359.090192833153,3635.3397671951393,5098.03405067442
2024-01-24,4271.650489031912,3509.170745475942,5022.172803419572
2024-01-25,4390.019894752742,3691.203261286914,5107.974932587663
2024-01-26,4427.901638917645,3733.077521903256,5156.525365220117
2024-01-27,3116.909372385917,2371.792116070839,3862.5803461201294
2024-01-28,2442.974602469604,1680.9895386035248,3214.010755520367
2024-01-29,4277.057314607611,3576.656830906799,4974.915294323536
2024-01-30,4384.874875486628,3644.7824003032515,5084.349669082104
2024-01-31,4297.435171685625,3574.95413605755,5057.222519272987
2024-02-01,4415.804577408266,3678.22846317155,5184.879576460552
2024-02-02,4453.686321570699,3740.4664532244933,5226.700810800912
2024-02-03,3142.694055083813,2361.90437763628,3851.9775425007792
2024-02-04,2468.7592852125763,1739.159634765615,3131.096787869073
2024-02-05,4302.841997400361,3567.0005615458963,5033.448527452165
2024-02-06,4410.659558324332,3583.362799464109,5175.593722339897
2024-02-07,4323.219854568992,3534.5715728513387,5034.507385666243
2024-02-08,4441.589260337207,3713.4381819212194,5105.683655023372
2024-02-09,4479.471004548985,3807.5858773740174,5193.436241082332
2024-02-10,3168.4787380572925,2435.2735230660314,3943.888818009854
2024-02-11,2494.543968188603,1765.0667065650528,3223.8899531079237
2024-02-12,4328.626680377272,3667.7910104362995,5095.757138103362
2024-02-13,4436.444241299826,3692.5691506851344,5173.04189614951
2024-02-14,4349.00453754535,3636.870591174416,5075.442458786561
2024-02-15,4467.373943313611,3729.512966738339,5221.605721631528
2024-02-16,4505.255687525182,3796.747428623851,5236.693837564137
2024-02-17,3194.263421032177,2465.921914511489,3907.7919855234954
2024-02-18,2520.3286511646293,1834.2742039277618,3287.9693334880762
2024-02-19,4354.411363253904,3633.4371861693494,5085.156429953261
2024-02-20,4462.228924076926,3737.736656544748,5189.117282309198
2024-02-21,4374.789220222182,3605.1269517309393,5096.31589636772
2024-02-22,4493.158625889114,3767.1959704056644,5259.2539647497915
2024-02-23,4531.040369998908,3836.749314117286,5258.373467009075
2024-02-24,3220.0481034080076,2537.784656483054,3946.079970241087
2024-02-25,2546.1133334383576,1807.252590798101,3340.4794715345556
2024-02-26,4380.1960455316985,3679.432659671519,5092.833084242839
2024-02-27,4488.013606353018,3751.261719735801,5280.064659845051
2024-02-28,4400.573902498092,3637.8544744537303,5127.568216234801
2024-02-29,4518.943308166622,3764.2971218089137,5179.1287990153
2024-03-01,4556.82505227621,3835.841659128803,5278.775458643089
2024-03-02,3245.832785689775,2493.553592211472,3952.013323053257
2024-03-03,2571.8980157154883,1803.6634163537656,3368.98452429166
2024-03-04,4405.980727809277,3675.8562311029777,5117.420817967911
2024-03-05,4513.798288630123,3768.9852306990542,5201.601132426884
2024-03-06,4426.356622436102,3704.6271892566397,5178.02958171533
2024-03-07,4544.724065767319,3805.0370987019933,5312.658180248132
2024-03-08,4582.603847540314,3949.5591346759015,5367.831650072853
2024-03-09,3271.6096186156,2513.2648777187223,3958.9003021810577
2024-03-10,2597.672886307573,1815.0007444189393,3294.306263701855
2024-03-11,4431.753636063936,3673.4229108762174,5181.139468784163
2024-03-12,4539.569234545891,3821.662108702622,5332.014141498784
2024-03-13,4452.12756835324,3739.7554840519256,5162.764431045856
2024-03-14,4570.495011684503,3830.624669417024,5297.120233996099
2024-03-15,4608.37479345729,3861.344797195234,5385.553323143684
2024-03-16,3297.3805645326693,2617.8368416579406,4096.4582914653365
2024-03-17,2623.4438322234773,1859.4651155733181,3365.8173423362264
2024-03-18,4457.524581975744,3725.2222027512676,5174.928817720706
2024-03-19,4565.340180462165,3846.416010243627,5280.115719417897
2024-03-20,4477.898514270378,3786.539129434139,5221.01254198383
2024-03-21,4596.265957600153,3855.7966698943305,5379.1633564362855
2024-03-22,4633.436770715665,3936.4977006416316,5366.417944631982
2024-03-23,3321.7335731387625,2537.074717888098,4003.163702976221
2024-03-24,2647.0878721702675,1933.6144866856293,3372.0951865433576
2024-03-25,4480.459653265328,3771.6950443045803,5258.931873513045
2024-03-26,4587.566283093073,3774.2968292627834,5311.76383087264
2024-03-27,4499.415648244552,3763.4823812399663,5198.9550626455875
2024-03-28,4617.074122920066,3929.1648217151196,5359.162431072399
2024-03-29,4654.244936035926,3954.3733971723427,5376.1541013089345
2024-03-30,3342.5417384570264,2605.6057523135637,4114.98170420844
2024-03-31,2667.89603748917,1968.8538536224842,3377.734716647475
2024-04-01,4501.267818583774,3803.301446146845,5234.804635391985
2024-04-02,4608.374448412337,3908.6438215670314,5342.964291981052
2024-04-03,4520.223813563596,3805.7950553085902,5254.211083203698
2024-04-04,4637.882288236911,3888.772268586123,5359.525487503476
2024-04-05,4675.053101352468,3948.824987452391,5413.126926191214
2024-04-06,3363.34990377248,2576.1697564397077,4133.068898701835
2024-04-07,2687.501527805178,1970.0605899930654,3400.5502943079964
2024-04-08,4519.670633898675,3748.364304010597,5259.421776052947
2024-04-09,4625.574588723832,3892.3005006200237,5393.047506370595
2024-04-10,4536.221278871698,3731.747732859369,5234.237271541441
2024-04-11,4652.6770785437975,3867.7774779412953,5383.670829812358
2024-04-12,4688.645216657057,4016.1373177031364,5427.188790325132
2024-04-13,3375.7393440753945,2674.0118802835696,4128.539720573818
2024-04-14,2699.8909681067335,1922.7336839780726,3454.83765482916
2024-04-15,4532.060074203178,3785.8013932862027,5251.786589893781
2024-04-16,4637.9640290273555,3915.899033110999,5339.4382351742
2024-04-17,4548.610719176087,3821.741869195679,5316.414150892892
2024-04-18,4665.066518848232,3950.863162973474,5376.721477819751
2024-04-19,4701.034656963373,3974.010922054693,5470.52501888045
2024-04-20,3388.1287843783093,2697.7844371771034,4137.021743335377
2024-04-21,2712.28040840989,2008.3917541547457,3451.8076818191926
2024-04-22,4544.449514507681,3857.9856664423714,5273.07846899123
2024-04-23,4649.032704682964,3842.15994797859,5400.262306060516
2024-04-24,4558.358630184523,3810.101815694106,5326.214784976366
2024-04-25,4673.49366520647,3928.7867337108482,5441.268331681112
2024-04-26,4708.14103867796,3984.1663401722612,5403.38421785319
2024-04-27,3393.914401444172,2681.1244240542765,4155.629281855063
2024-04-28,2716.745260830385,1934.5077650815424,3503.518598934893
2024-04-29,4547.593602275087,3825.9174208731097,5335.870279637551
2024-04-30,4652.176792455905,3885.2748511395125,5352.339216027009
2024-05-01,4561.502717955907,3846.514265211293,5308.515678017743
2024-05-02,4676.637752980565,3916.259161864281,5419.396709193872
2024-05-03,4711.2851264470555,3950.0945434702376,5380.516599416463
2024-05-04,3397.0584892138086,2631.0287127279335,4168.219589366932
2024-05-05,2719.889348602568,2014.5917488886696,3433.8198108968413
2024-05-06,4550.7376900477175,3817.004067428424,5260.442844284931
2024-05-07,4655.320880227053,3946.6493988653633,5423.382938129977
2024-05-08,4564.646805727293,3832.579623156297,5259.042774571519
2024-05-09,4678.68199103765,3907.8614137598915,5446.664518836475
2024-05-10,4712.229514791523,4022.3256155708377,5457.776300804981
2024-05-11,3396.9030278487962,2687.541905135737,4147.387532713075
2024-05-12,2718.634037518976,1940.9597047159039,3455.2388989818205
2024-05-13,4548.3825292510655,3833.0199236980056,5345.41038280953
2024-05-14,4651.865869715547,3922.0296107676454,5401.135849477812
2024-05-15,4560.091945502199,3823.299028035482,5292.156116364386
2024-05-16,4674.127130811703,3887.1773799623443,5380.283283193973
2024-05-17,4707.674654566268,3938.9243263945878,5351.944394824558
2024-05-18,3392.348167620825,2671.3513704559323,4095.4474765764853
2024-05-19,2714.079177293551,2031.0219643734763,3492.112717315826
2024-05-20,4543.827669026086,3805.363121276491,5281.576235703464
2024-05-21,4647.3110094890835,3940.880456589771,5337.946139867365
2024-05-22,4555.537085276686,3787.780189820124,5252.728283873934
2024-05-23,4669.572270585123,3906.530828122524,5410.204206226903
2024-05-24,4703.119794337754,3931.409641450722,5445.719486589175
2024-05-25,3387.1301865135906,2650.663215790506,4141.451278547863
2024-05-26,2708.19807530058,1946.219702318402,3402.1798897598187
2024-05-27,4537.2834461494485,3724.638690718977,5256.012143516096
2024-05-28,4640.103665734334,3941.06311713619,5379.367336860554
2024-05-29,4547.666620641235,3816.176335470322,5254.148377530078
2024-05-30,4661.038685067645,3927.8299918578605,5401.253240043104
2024-05-31,4693.9230879379975,3933.4807983847513,5441.615437626056
2024-06-01,3377.9334801111154,2608.3218361016297,4102.176647147921
2024-06-02,2699.001368900652,2044.1827066720277,3414.905815087105
2024-06-03,4528.086739749967,3795.2270176540305,5241.8947934864245
2024-06-04,4630.906959334381,3926.044335419122,5363.174092060094
2024-06-05,4538.4699142393765,3751.9886229800027,5284.98003712644
2024-06-06,4651.841978668095,3903.3895189932086,5397.291152034228
2024-06-07,4684.726381540329,3992.9325944425045,5453.732217125278
2024-06-08,3368.736773708642,2660.7064435632587,4128.171598943979
2024-06-09,2689.8046625016264,1892.9840567156562,3445.554309844122
2024-06-10,4518.8867603005065,3748.9469577043255,5259.484065348146
2024-06-11,4621.703706833018,3857.631242067091,5359.927637210339
2024-06-12,4529.2633886887625,3765.5430667023306,5248.283782445403
2024-06-13,4642.63218006775,3940.643817117468,5411.685140053121
2024-06-14,4675.513309889578,3934.986111317135,5399.180954471379
2024-06-15,3359.520429007782,2630.8298054577504,4107.749665765048
2024-06-16,2680.585044749403,1979.434131456912,3399.763292453083
2024-06-17,4509.66714254985,3754.7577102131504,5208.106996725768
2024-06-18,4612.484089082453,3899.281948986327,5329.692884793055
2024-06-19,4520.0437709366415,3795.03079198973,5295.243416321902
2024-06-20,4633.412562315273,3846.6218737497616,5360.654058984754
2024-06-21,4666.293692136796,3903.662957522227,5403.353051716973
2024-06-22,3350.3008112539133,2623.3906091971253,4099.133743613796
2024-06-23,2671.365426995581,1968.6029621771156,3409.5271459140386
2024-06-24,4500.447524799193,3782.0932637013034,5303.810971493877
2024-06-25,4603.264471330094,3893.7370992017795,5320.009358437056
2024-06-26,4510.824153050669,3780.391574932961,5218.984476402585
2024-06-27,4624.192944295896,3887.669707284076,5359.995271132515
2024-06-28,4657.074073979068,3995.8575740172187,5383.161399064065
2024-06-29,3341.0811929687025,2629.5064083206144,4123.843853086382
2024-06-30,2662.1458085693457,1952.5451258481107,3424.0157946956797
2024-07-01,4491.227906238423,3755.5681762886243,5184.059017307009
2024-07-02,4594.044852633363,3893.66140945674,5372.311113388236
2024-07-03,4501.604534354802,3769.9401491031604,5252.068583458152
2024-07-04,4614.973325596109,3900.766030305674,5363.801260813068
2024-07-05,4647.854455281409,3885.8435214702827,5365.506070931877
2024-07-06,3331.8615742699562,2551.123984081167,4046.5485863903978
2024-07-07,2652.926189874048,1890.6746815398392,3361.3775154448545
2024-07-08,4482.008287543108,3758.9949715596504,5176.3859122224385
2024-07-09,4584.825233938426,3901.696414194492,5344.6869313464795
2024-07-10,4492.384915656672,3777.4809965030004,5296.127423195376
2024-07-11,4605.753706900287,3863.970640741176,5343.626733852426
2024-07-12,4638.634836763538,3904.8350264125097,5298.780744023347
2024-07-13,3322.6419559289293,2608.050700174226,4029.096111284865
