ds,yhat,yhat_lower,yhat_upper
2024-01-01,32915.82343619376,28106.95016750117,37800.54122056851
2024-01-02,34297.11530123559,28889.223777984076,39322.323727387906
2024-01-03,34059.49619764061,28990.161284889815,38906.509096707305
2024-01-04,34583.72272819248,29219.003111225757,39785.09715402244
2024-01-05,36839.93704511917,31854.057050036477,41816.74409476097
2024-01-06,28405.114178448257,23516.176080445377,33450.3017943797
2024-01-07,19995.97099923603,15022.449450383252,25301.905092888013
2024-01-08,33047.87013484109,27831.294537694237,38177.10795301547
2024-01-09,34429.16199991922,29481.287554176135,39701.05746184018
2024-01-10,34191.542896308725,29105.55307174264,39450.50505178139
2024-01-11,34715.76942686882,29730.93795391942,39795.657377835894
2024-01-12,36971.983743810524,32126.66943657958,41834.71506263146
2024-01-13,28537.160877173897,23142.54914320032,33466.264095031234
2024-01-14,20128.01769792727,15124.795692157244,25568.826089741466
2024-01-15,33179.91683353256,28143.292944344208,38179.36640409451
2024-01-16,34561.208698602844,29566.855039474132,39925.278507437266
2024-01-17,34323.589594998935,29085.289192329437,39573.01890154785
2024-01-18,34847.81612520174,29984.99130050675,39794.361938366696
2024-01-19,37104.03044178654,31844.712522315902,42213.007163301416
2024-01-20,28669.207574778124,23804.271645273126,33953.95954627079
2024-01-21,20260.064395173496,15197.276827803757,25651.46946563359
2024-01-22,33311.96353043569,28341.052188583257,38655.13793223062
2024-01-23,34693.25539513479,29890.61636458155,39994.679493322335
2024-01-24,34455.63629118319,29621.143461686876,39481.160079683206
2024-01-25,34979.86282137441,29312.24762501728,40465.96595934256
2024-01-26,37236.07713795961,32049.68757844403,42624.02397222603
2024-01-27,28801.254270951686,23777.858839930774,34301.309258685855
2024-01-28,20392.11109136106,14947.257469059388,25612.361516379373
2024-01-29,33444.010226579354,28455.72194003007,38816.287272562695
2024-01-30,34825.30209130907,29602.839071929626,40162.62587398024
2024-01-31,34587.682987358676,29460.436485068443,39936.63846685455
2024-02-01,35111.909517567365,30091.387261394862,40092.040084929235
2024-02-02,37368.123834132675,31960.469724064507,42529.83173691994
2024-02-03,28933.300966111114,23764.2810596495,34460.88295979444
2024-02-04,20524.157785523992,15447.964289591751,26013.289688667075
2024-02-05,33576.056919760216,28484.44082141766,38509.4492739878
2024-02-06,34957.34878348088,29507.996711136508,40192.69584335265
2024-02-07,34719.72967852399,29888.77443852821,39733.40883261021
2024-02-08,35243.95620772783,30188.932112983486,40066.09166859468
2024-02-09,37500.17052330913,32615.681649236052,42900.86978107104
2024-02-10,29065.34765525834,23886.811068679854,34079.12294123505
2024-02-11,20656.204474690145,15468.295400684206,25785.788998299657
2024-02-12,33708.10360893461,28569.792719988312,38910.73650935048
2024-02-13,35089.39547264658,30038.81558068853,40146.60389403612
2024-02-14,34851.776367696286,29530.660111245958,40177.71308079008
2024-02-15,35376.00289690049,30046.789545685057,40654.42286627683
2024-02-16,37632.21721248256,32680.28898565992,42991.14506113334
2024-02-17,29197.39434441765,24026.891149105642,34334.806445148264
2024-02-18,20788.251163856294,15925.322571808714,25840.128777305395
2024-02-19,33840.15029414606,28410.72811834009,39435.9982814157
2024-02-20,35221.4421538949,30283.812261504496,40255.488008831686
2024-02-21,34983.82304498477,29964.887007180147,40278.17093152745
2024-02-22,35508.04957021383,30259.38020950341,41104.336947545286
2024-02-23,37764.26388182042,32393.122544797454,42810.75493923383
2024-02-24,29329.441009809343,24107.675128766296,34579.791356011476
2024-02-25,20920.29782528016,15950.791632942171,25685.08532085137
2024-02-26,33972.19695559071,28748.385272621006,39142.131191333654
2024-02-27,35353.48881532604,30346.981856470193,40824.50896674416
2024-02-28,35115.86970641482,29897.867685709025,40325.78003054928
2024-02-29,35640.096231657604,30287.168693301595,41152.81827266867
2024-03-01,37896.31054326496,32709.928876026424,43717.80098026859
2024-03-02,29461.487671288167,24089.287959932626,34424.10666988741
2024-03-03,21052.34448671741,15678.989776540106,26631.489815291578
2024-03-04,34104.24361703454,28884.602588728405,39731.59373490885
2024-03-05,35485.53547676852,30604.902102593314,40705.658648795485
2024-03-06,35244.311537700465,30395.523527218695,40408.93160942043
2024-03-07,35764.93323280763,30910.389699073086,40885.46728513473
2024-03-08,38017.54271428792,32506.790347842205,43404.49632593027
2024-03-09,29579.115012163864,24761.975127524092,35066.55914979559
2024-03-10,21166.366997483547,15956.912246332042,26575.687564324424
2024-03-11,34214.661297665254,28760.708732337695,39215.30800483162
2024-03-12,35592.34832725006,30647.873777425062,40756.47181902874
2024-03-13,35351.124388194265,30140.554512174138,39939.25000135594
2024-03-14,35871.7460833018,30865.222180390087,40850.92495345205
2024-03-15,38124.355564782854,32951.787470742485,43066.48289634624
2024-03-16,29685.927862656765,24591.033360984122,34686.27915572686
2024-03-17,21273.179847964027,15954.42731059437,26511.498070976562
2024-03-18,34321.47414811618,28947.702283033912,39681.18645446841
2024-03-19,35699.16117773726,30528.986371004354,40877.59252006694
2024-03-20,35457.93723868806,30416.531892500265,40506.90504980697
2024-03-21,35978.55893378172,30361.53067930729,41646.4153701112
2024-03-22,38224.6997283321,32649.073775844412,43126.593610979515
2024-03-23,29779.80333931175,24767.566387572915,34744.07110625017
2024-03-24,21360.58663766562,16159.057992766833,26356.79491198267
2024-03-25,34402.41225088692,29013.53565000494,39621.6173978523
2024-03-26,35773.63059356342,30612.01532787978,40732.85492006
2024-03-27,35525.93796758435,30267.80026163036,40915.22093621525
2024-03-28,36040.09097577259,31005.66234632894,41208.410850914865
2024-03-29,38286.23177031252,33068.147248414796,43695.584419984516
2024-03-30,29841.335381287125,24966.596325206734,35294.40833741228
2024-03-31,21422.118679642917,16166.118264765477,27025.474629504715
2024-04-01,34463.94429286362,29677.290626676644,39615.03158058633
2024-04-02,35835.16263554392,30894.094613316338,41028.59423919589
2024-04-03,35587.47000956938,31085.164002271318,41013.87717206621
2024-04-04,36101.62301773499,30709.68184881764,41406.03714095338
2024-04-05,38347.76381227532,33115.692969119365,43787.314081773264
2024-04-06,29902.867423238327,25105.278760721583,35338.6856396084
2024-04-07,21476.43304698057,16174.461130364996,26460.83966450083
2024-04-08,34511.040985577034,29167.50051557043,39772.991991993906
2024-04-09,35875.041653616194,30778.804702742756,41001.856997460236
2024-04-10,35620.13135299367,30339.679442664736,40744.87236032214
2024-04-11,36127.066686535036,30789.281777805427,41169.5529108975
2024-04-12,38365.9898064433,33612.05798592348,43610.33029494573
2024-04-13,29913.87574277432,24728.44711069128,35511.9954645447
2024-04-14,21487.441366517178,16585.934928041297,25969.514915074535
2024-04-15,34522.04930512644,29243.64649191319,39820.46073145193
2024-04-16,35886.04997315858,30209.868507925676,41049.43371806245
2024-04-17,35631.13967254264,30635.878858574935,40737.460738937
2024-04-18,36138.075006084386,31107.45062114751,41798.12391904174
2024-04-19,38376.99812599643,33003.002571448706,43486.83476471091
2024-04-20,29924.88406231031,25306.118162147985,35200.164973676765
2024-04-21,21498.449686052845,16786.708206984204,26886.929519864894
2024-04-22,34533.05762467584,29230.637890745027,39944.92001175352
2024-04-23,35891.00863050426,30829.738499092025,40899.61201573807
2024-04-24,35630.048667698495,30512.44788070412,41124.89739994536
2024-04-25,36130.93433902396,31363.89248394429,41548.06821684169
2024-04-26,38363.80779678241,33111.56512237645,43263.355042682524
2024-04-27,29905.644070891118,24736.7917843488,34809.98557414773
2024-04-28,21473.160032456624,16260.835415998588,26869.181734812126
2024-04-29,34501.71830884553,29494.00297373846,39797.20442378386
2024-04-30,35859.669314714556,30937.696764595432,41362.3386328303
2024-05-01,35598.70935189917,30419.129553494335,40588.68043103617
2024-05-02,36099.59502325029,31131.20346776153,41689.42420705861
2024-05-03,38332.46848096605,32968.77771173558,43955.0983845179
2024-05-04,29874.304755077777,24754.288333528322,35076.10082913395
2024-05-05,21441.8207166622,16560.13498164993,26619.49757966884
2024-05-06,34470.378993057675,29163.60850800802,39571.841851633326
2024-05-07,35828.32999891402,30532.177179962073,41125.08740475361
2024-05-08,35567.37003609984,30385.381893535236,40378.249020523406
2024-05-09,36066.05931136607,30808.99843385903,41287.148505665355
2024-05-10,38296.73637301477,32888.01111500101,43430.304478648744
2024-05-11,29836.376251078713,24703.416430721325,35315.360185686615
2024-05-12,21401.695816539497,16284.006134771398,27032.723389488754
2024-05-13,34428.057696861135,29571.50152879077,39558.70509188285
2024-05-14,35783.81230663239,30531.567431723677,40733.94250987416
2024-05-15,35520.65594773706,30379.990829274164,40563.68128240946
2024-05-16,36019.34522299547,31290.813748708653,41083.291315104754
2024-05-17,38250.02228465313,33147.50405297365,43723.51982138996
2024-05-18,29789.66216269087,24738.813005594297,34905.1979963129
2024-05-19,21354.981728170576,15691.347138300298,26500.03012222027
2024-05-20,34381.343608498784,29222.31240391849,39328.494030778245
2024-05-21,35737.09821825736,30404.62958103519,40837.07179366151
2024-05-22,35473.941859372,30239.565527587416,40552.270470858246
2024-05-23,35972.63113461882,30808.42764228239,41311.957446188186
2024-05-24,38203.308196262275,33145.24748414102,43016.97368521001
2024-05-25,29742.948067766905,24737.2031818707,35052.611530336966
2024-05-26,21308.26762666767,15802.021231999328,26535.941619613295
2024-05-27,34334.629500412244,28968.150536557543,39455.23561623698
2024-05-28,35690.38410364115,30643.72801207496,41045.565649825694
2024-05-29,35427.22773820775,30648.573684102044,40553.096243665444
2024-05-30,35925.91700689466,30325.624355477503,40928.936897222724
2024-05-31,38156.59406197858,32983.54916753804,43514.25577064771
2024-06-01,29696.233933456995,24236.25090071944,34934.32790281388
2024-06-02,21261.553492376697,16255.998646814396,26827.537464874807
2024-06-03,34287.91536612785,28987.05330026028,39056.72965264821
2024-06-04,35643.66996935539,30661.498510888578,40773.880911289954
2024-06-05,35380.51360390082,30491.96709694471,40848.628013964786
2024-06-06,35879.20287261019,30650.263705399924,41482.001790003815
2024-06-07,38109.8799276979,32813.35825223684,43040.07244723159
2024-06-08,29649.519799147092,24701.986087406607,34984.09035959378
2024-06-09,21214.839358092882,16004.479845064778,26152.03282586058
2024-06-10,34241.20123216835,29324.550743614174,39470.498202347386
2024-06-11,35596.95583570646,30423.649026952568,40420.304009688225
2024-06-12,35333.79947058594,30250.322563477137,40190.876559374665
2024-06-13,35832.48873962206,30711.520604518155,40739.2230179613
2024-06-14,38063.16579503461,33056.25642792815,43222.537223443
2024-06-15,29602.805666805845,24354.77940224899,34890.01036782354
2024-06-16,21168.12522606331,15783.516446981253,26299.331321165322
2024-06-17,34194.48710015335,29097.858875414688,39619.323869221334
2024-06-18,35550.241703688764,30275.95840080146,40598.07282840947
2024-06-19,35287.08533855862,29873.254197894646,40920.54224046489
2024-06-20,35785.77460759192,30231.1977386208,40621.8031525339
2024-06-21,38016.45166300488,32600.660282125114,43148.16570206625
2024-06-22,29556.091534764513,24450.000279548327,35027.37329978588
2024-06-23,21121.41109403468,16103.417126103272,25993.193090289
2024-06-24,34147.772968138335,28737.928398431864,39364.4763226732
2024-06-25,35503.527571660234,30110.439535938196,40697.15331518007
2024-06-26,35240.3712066822,30156.015924102725,40382.83703827917
2024-06-27,35739.06047586994,30571.750734385074,41033.961595358676
2024-06-28,37969.737531394654,32533.637967362072,43048.06865039145
2024-06-29,29509.377403355116,24234.607221453844,34764.35638074165
2024-06-30,21074.696962711452,16149.470171108062,26439.945484170647
2024-07-01,34101.05883696152,29116.63005939088,39034.86622976748
2024-07-02,35456.81344061624,30343.207006900655,40617.54473765751
2024-07-03,35193.65707564479,30112.373865647434,40214.33633157006
2024-07-04,35692.34634479624,30411.665025570008,40673.682021475994
2024-07-05,37923.02340034378,32690.746023491178,43055.49768768966
2024-07-06,29462.66327229264,24623.97328601973,34930.62254363764
2024-07-07,21027.98283167507,15866.471838620631,25871.016425657413
2024-07-08,34054.34470592621,29181.010607852575,38897.6607669872
2024-07-09,35410.09930958308,30538.58089891012,40528.369204308394
2024-07-10,35146.94294458529,30076.230172164396,40043.833856372345
2024-07-11,35645.63221375921,30511.962936999054,40643.86488231227
2024-07-12,37876.30928167767,32500.819358820685,42542.571123035224
2024-07-13,29415.94916598256,24406.12289856771,34450.18307025888
2024-07-14,20981.26873774916,15565.155776390713,25898.05075327285
2024-07-15,34007.63062432571,28900.53946417582,39221.36093250014
2024-07-16,35363.38524038985,30206.096637528433,40684.861154340775
2024-07-17,35100.228887768804,30086.88733150567,40031.28904870671
2024-07-18,35598.918169299,30341.07508242951,40654.296449116104
2024-07-19,37829.595237203255,32964.13904909299,43366.160725720765
2024-07-20,29369.23512157166,24368.424702426324,34843.32729188193
2024-07-21,20934.55469328951,15794.71084953753,25573.35078808919
2024-07-22,33960.916579880635,28660.57935940215,39161.58249078369
2024-07-23,35316.67119593125,30218.795215140268,40659.1570078915
2024-07-24,35053.514843311415,29887.90017876793,40197.0504022024
2024-07-25,35552.2041248388,30231.850200061268,40649.02376332373
2024-07-26,37782.88119277568,32701.779505963692,42976.35133236447
2024-07-27,29322.521077112342,24632.339922308616,34523.78436371727
2024-07-28,20887.840648844198,15841.877491660047,26300.0568085805
2024-07-29,33914.20253579816,28947.505662811178,38983.4625540494
2024-07-30,35269.95715220519,29684.315801062996,40470.582947426556
2024-07-31,35006.80079995308,30122.189067869833,40243.90553951732
2024-08-01,35505.49008186079,30059.97060287549,40926.904293057036
2024-08-02,37736.167150118425,32452.11922235723,42805.94295590572
2024-08-03,29275.807034821515,24399.743806654766,34123.59294834812
2024-08-04,20841.12660693573,15333.34905295633,26057.093282409944
2024-08-05,33867.48849389626,28688.067301109677,38873.93981236693
2024-08-06,35223.243110290605,30415.273408620502,40714.45151055361
2024-08-07,34960.0867580397,29817.310265031487,39952.049053326096
2024-08-08,35458.77603994459,30257.00683611654,40801.97991420955
2024-08-09,37689.45310821724,32544.73053555707,43039.299645460735
2024-08-10,29229.09299290621,24242.830435682023,34254.615078577845
2024-08-11,20794.412565013863,15394.171711897347,26175.02457551271
2024-08-12,33820.77445195272,28708.615895543982,39076.66795865632
2024-08-13,35176.52906838736,29847.90153085298,40137.28131567095
2024-08-14,34915.115890412475,29590.85170280346,40315.13500334796
2024-08-15,35415.548346592834,30332.105468169804,40292.11920223595
2024-08-16,37647.968589144366,32196.281554916517,43342.70033723943
2024-08-17,29189.35164807921,23959.767391182333,34740.7298607945
2024-08-18,20756.41439448089,15831.62794243893,25678.942574748526
