ds,yhat,yhat_lower,yhat_upper
2024-01-01,23779.30814711246,19504.73357058989,28128.095303433576
2024-01-02,27028.78783595355,22540.441923398914,31500.164040148517
2024-01-03,26534.944206170338,21931.940032191975,31126.46757466995
2024-01-04,28002.940320227524,23189.843005661067,32037.894952871982
2024-01-05,30085.709733280666,25623.910888602015,34924.81395020015
2024-01-06,27247.369413104974,22467.69371944836,31631.648868242748
2024-01-07,18711.487798557813,14162.26693801535,23273.90105437227
2024-01-08,23909.994065224466,19588.057172363955,28606.646684056424
2024-01-09,27159.473754090603,22387.290086153815,31754.665795771132
2024-01-10,26665.630124293722,22487.20985584541,31456.14351784913
2024-01-11,28133.626238359087,23782.62426850109,33111.94951878363
2024-01-12,30216.39565141958,25554.33652070575,34688.496579321836
2024-01-13,27378.055331267416,22863.22692783683,32147.07059896827
2024-01-14,18842.17371668996,14258.221444092032,23146.989028915945
2024-01-15,24040.6799833627,19817.722201589575,28664.066935518338
2024-01-16,27290.15967222766,22669.607887216844,32154.161342719093
2024-01-17,26796.316042438026,22676.754324136713,31102.19290679587
2024-01-18,28264.312156507836,23758.219342237255,33010.322924747714
2024-01-19,30347.08156957292,25863.38584071845,35046.10024335431
2024-01-20,27508.74124941563,23009.160531440226,32375.25793920736
2024-01-21,18972.859634848355,14548.415988510887,23412.691192134644
2024-01-22,24171.365901529785,19746.476929460136,28659.488983489002
2024-01-23,27420.845590391415,22441.463773080082,32123.60109411882
2024-01-24,26927.001960609818,22165.702970102724,31539.89737555442
2024-01-25,28394.998074673058,24013.40575180077,33017.129932084004
2024-01-26,30477.76748773992,26025.500748484377,35082.522116463864
2024-01-27,27639.427167578262,23339.645857101885,32319.068280495045
2024-01-28,19103.545553014155,14727.939644074439,23734.520045145495
2024-01-29,24302.051819675446,19763.619561174517,28888.691185831605
2024-01-30,27551.531508555174,22815.363878309032,31910.46453942238
2024-01-31,27057.687877590804,22393.255096537745,31715.11301834943
2024-02-01,28525.683990476675,23695.688102559514,33179.2907286575
2024-02-02,30608.45340235459,25919.13061507176,34991.74105677765
2024-02-03,27770.113081001982,23457.47990671961,31979.979642639908
2024-02-04,19234.231465268735,15057.754712085227,23701.725738852936
2024-02-05,24432.73773074715,19764.38722184809,28806.463678391206
2024-02-06,27682.217418437118,23010.519617864276,32278.046861795294
2024-02-07,27188.37378746714,22934.962203318548,31802.196687183707
2024-02-08,28656.369900353136,24116.110005876224,32886.576116628145
2024-02-09,30739.13931223216,26163.517126997387,35021.44658593986
2024-02-10,27900.798990873365,23745.326186181566,32403.276139627385
2024-02-11,19364.917375146877,14615.71478897205,23812.51829693558
2024-02-12,24563.423640625806,20306.543903717647,29130.542729671546
2024-02-13,27812.903328319062,23182.723785003043,32034.43660353837
2024-02-14,27319.05969735152,22924.094614831447,31606.68530190819
2024-02-15,28787.055810640428,24039.35666439643,33167.25006848856
2024-02-16,30869.82522292251,26391.324867270458,35298.05367665765
2024-02-17,28031.484901957047,23717.010418223334,32232.31573736557
2024-02-18,19495.603286638092,15122.01906660154,23806.13042125905
2024-02-19,24694.109552529757,20095.381151954174,28829.810963201333
2024-02-20,27943.589240615227,23526.82851049275,32744.069085460258
2024-02-21,27449.745610058802,22922.70466586669,31817.31462388099
2024-02-22,28917.74172333978,24488.32253713902,33403.58194784072
2024-02-23,31000.511135618064,26462.039599032392,35690.35709245445
2024-02-24,28162.170814653808,23663.959467098117,32846.31842214424
2024-02-25,19626.289199347346,15304.07769648908,24356.41741045454
2024-02-26,24824.795465235777,20196.61473424573,29268.814106459256
2024-02-27,28074.275153313116,23489.232671162812,32700.81744859107
2024-02-28,27580.43152275667,22752.144040718453,32139.73608128094
2024-02-29,29048.427636046697,24332.422982780477,33715.496076956144
2024-03-01,31131.197047659294,26201.703580023976,35698.86241909217
2024-03-02,28292.856726053113,24074.46010520367,32561.477917521082
2024-03-03,19756.975110051982,15358.70966204682,24120.527319607543
2024-03-04,24955.481375284406,20382.98359190557,29542.52620880953
2024-03-05,28204.961062697577,23664.553993385718,32767.565999953385
2024-03-06,27711.117431455048,22718.39799753886,32261.219200899053
2024-03-07,29179.113544079282,24935.929864024027,33734.76758649299
2024-03-08,31261.88295570216,26664.34960226838,36078.59803337067
2024-03-09,28423.542634089135,23685.268252668557,32946.943177818415
2024-03-10,19887.661018093655,15220.908645586309,24550.881319632488
2024-03-11,25086.16728333217,20775.195494390788,29783.503440697896
2024-03-12,28335.64697073721,23483.338860462696,32995.366436485696
2024-03-13,27841.803339504073,23705.96588929979,32306.941966357885
2024-03-14,29309.799452127936,24940.12184475721,33948.542281986745
2024-03-15,31392.568863750606,26940.305452729488,35863.425836410024
2024-03-16,28550.953614422524,24017.13663391374,32985.83762373726
2024-03-17,20011.797070722358,15389.621261800325,24487.02434773502
2024-03-18,25207.028408230923,20262.036123904672,29550.3710490837
2024-03-19,28453.233167953418,23822.49727857127,32779.79812987427
2024-03-20,27956.114609015134,23374.369351608046,32435.78530857222
2024-03-21,29420.83579392348,24828.615169686604,33928.615040246135
2024-03-22,31500.33027784033,26975.834307384248,35930.38902226566
2024-03-23,28658.715028538874,23855.563851647727,33063.58259068585
2024-03-24,20119.558484810877,15436.519688209544,24480.989857816592
2024-03-25,25314.78982232554,20530.82291480207,29754.535271770477
2024-03-26,28560.994582039908,23818.219436372274,33276.82484111504
2024-03-27,28063.87602310296,23751.88339052358,32809.18121112876
2024-03-28,29528.597208026556,24740.571659134497,33875.767362759776
2024-03-29,31608.091691929392,26621.602366297324,36018.52127687012
2024-03-30,28761.752076742116,24197.249333685024,33310.795448488956
2024-03-31,20217.871167130215,15892.693465029102,24943.91755732953
2024-04-01,25408.37813877083,20626.514628903147,29952.755557270502
2024-04-02,28649.858532596492,23934.302264253598,33168.95278504958
2024-04-03,28148.015607782534,23300.21897877908,32503.395096112246
2024-04-04,29608.012426806912,25201.741325567444,34565.71087321893
2024-04-05,31682.78254482693,26963.87353197115,36011.06224089316
2024-04-06,28836.4429296328,24146.99885697955,33435.834408186325
2024-04-07,20292.562020027653,15461.075217347061,24668.596573829385
2024-04-08,25483.068991668788,21118.530790194858,30096.94112931606
2024-04-09,28724.54938549774,24413.300316442033,33526.888745411125
2024-04-10,28222.706460670113,23700.74776537297,32662.71575221052
2024-04-11,29682.703279702673,25138.15514545826,34011.93309223499
2024-04-12,31757.473397724458,27377.18479502859,36388.13009156888
2024-04-13,28911.133782525976,24550.729752942927,33619.32196111414
2024-04-14,20363.04762774262,16070.238040693155,25008.480709522944
2024-04-15,25549.34935419651,20955.633033888666,30238.84908076639
