ds,yhat,yhat_lower,yhat_upper
2024-01-01,105455.04050278118,83024.63113593264,127900.7009986996
2024-01-02,113868.71580619231,90450.86948743367,136789.59868159602
2024-01-03,114095.26815219242,90938.2052197909,135484.4709710402
2024-01-04,120876.84555846274,95832.1565250668,142435.06034985645
2024-01-05,122089.49076946841,97689.97458500913,144439.98033181034
2024-01-06,72243.19238053453,48516.381845714684,94244.58951925486
2024-01-07,53487.94001764592,29881.439704715132,74691.46092523538
2024-01-08,105532.89836336947,82165.31201710615,128880.13011292262
2024-01-09,113946.57366691776,91414.77455530723,137681.09139636034
2024-01-10,114173.1260129011,91984.69556171203,135866.1523283347
2024-01-11,120954.7034191836,97800.07929464961,145053.37825594345
2024-01-12,122167.34863020305,99631.67818876791,144680.45425209746
2024-01-13,72321.05024143378,50613.76994833704,94677.38137123887
2024-01-14,53565.797878417274,30980.2272009721,77139.21668323096
2024-01-15,105610.75622413548,82454.58764270015,128220.67434137277
2024-01-16,114024.43152764317,90425.89436330144,136589.59082889656
2024-01-17,114250.98387364455,91582.5708741938,137326.61657144022
2024-01-18,121032.56126229027,99098.92736095378,143245.92524520354
2024-01-19,122245.20645564828,99369.95632046396,143800.24529885763
2024-01-20,72398.90804920258,50149.5778605004,96400.12308399857
2024-01-21,53643.65566855063,29602.522461085344,75709.88560013793
2024-01-22,105688.6139966779,82032.13185463115,129607.0649591843
2024-01-23,114102.2892824996,90807.75962900097,138829.81488638656
2024-01-24,114328.84161085798,90367.04550271435,134936.849095482
2024-01-25,121110.41899949816,97936.92888498437,143366.61425478573
2024-01-26,122323.06419283229,99728.13612124916,146259.0458381212
2024-01-27,72476.76578639253,49689.021887707786,95932.06676848917
2024-01-28,53721.513405809026,29771.069593440247,76073.35385582525
2024-01-29,105766.47173375322,84744.94986589112,129996.32884109479
2024-01-30,114180.14701971128,89828.07991895075,137588.99528527333
2024-01-31,114406.69934807108,89740.72213850405,136775.32198740882
2024-02-01,121188.27673671856,98618.74627057475,143876.55542041702
2024-02-02,122400.9219300163,98880.41963264674,145643.6131496829
2024-02-03,72554.62352016111,49971.15196091368,95184.69685275739
2024-02-04,53799.37113616822,30909.827518324637,76977.57907231832
2024-02-05,105844.3294608381,81115.31801739079,128244.43263146565
2024-02-06,114258.00474338757,91504.0345905586,138266.15680133572
2024-02-07,114484.55706836395,91600.66684658037,139282.45098176785
2024-02-08,121266.13445362219,98774.69418354453,144804.8598907291
2024-02-09,122478.77964364705,99306.51002159299,146303.30881584578
2024-02-10,72632.48123362547,50174.03330133764,95411.84359581198
2024-02-11,53877.22884970874,30335.28197666998,76087.34537946359
2024-02-12,105922.18717441884,82980.63635672534,129421.40231653306
2024-02-13,114335.86245691172,91236.0083428147,136699.3195398462
2024-02-14,114562.41478190613,92467.46970140895,137102.79416723803
2024-02-15,121343.99216717233,96081.35749564477,143937.51229383503
2024-02-16,122556.63735718044,98451.71848460732,144263.84705458453
2024-02-17,72710.33894712714,49072.53645012695,95627.0777467435
2024-02-18,53955.08656324928,31301.755532179293,76587.60014634315
2024-02-19,106000.04431023952,83234.76124456695,128743.20884847808
2024-02-20,114413.7190150064,92570.76699974864,136685.92164252125
2024-02-21,114640.27076226419,91762.57782384902,139473.90973220248
2024-02-22,121421.84756977978,99363.55461499072,145769.45619727173
2024-02-23,122634.49218199833,97970.41474239243,145329.96030741115
2024-02-24,72788.19319426057,50270.54822493241,94718.15786839345
2024-02-25,54032.940232592024,30892.854572498825,78360.7619374533
2024-02-26,106077.89797970798,82554.23650566196,128896.75543576787
2024-02-27,114491.57268443353,90028.4225392684,139292.50914296537
2024-02-28,114718.12443167568,92499.90572483624,138260.27453652042
2024-02-29,121499.70123923363,98784.10707557615,144504.71669271984
2024-03-01,122712.34585143544,98770.20786243922,144073.24513063484
2024-03-02,72866.04686386228,50500.774893168,96481.70766303816
2024-03-03,54110.793902036225,32190.465157258022,78490.06558258354
2024-03-04,106155.75164916043,82434.0675850493,129529.93946569253
2024-03-05,114569.42635386219,91790.52177539028,138119.24368551563
