ds,yhat,yhat_lower,yhat_upper
2024-01-01,4221.77671487118,3533.8891912343843,4878.389906759641
2024-01-02,4291.4732736593,3593.049769716042,4959.982756987688
2024-01-03,4262.240213270498,3568.137955499747,4932.449558844444
2024-01-04,4332.733452494149,3692.1559069848063,5042.409686896385
2024-01-05,4403.660063443668,3746.701355029276,5059.392417848641
2024-01-06,3245.110094487842,2592.7502576484535,3932.180347836059
2024-01-07,2405.3024992345345,1743.026848725256,3048.0052400575823
2024-01-08,4236.264541352691,3546.5972195068707,4939.711365803715
2024-01-09,4305.961100145339,3601.2944547469538,4954.927099749415
2024-01-10,4276.728039754607,3586.5301187849896,4926.390957427153
2024-01-11,4347.221278979201,3695.584244833891,4985.620220201334
2024-01-12,4418.147889930612,3747.7088745278493,5062.926268950872
2024-01-13,3259.597920978949,2628.612796662578,3918.8464595613636
2024-01-14,2419.790325721826,1729.9688696673416,3075.1486769244216
2024-01-15,4250.752367839781,3616.140116238538,4878.382577003447
2024-01-16,4320.448926631377,3658.3277600131064,4985.9488986138385
2024-01-17,4291.215866241632,3619.3133444695404,4960.584133078237
2024-01-18,4361.709105582592,3717.021733127542,5021.753830251329
2024-01-19,4432.635716650499,3795.11330019917,5113.208428800903
2024-01-20,3274.0857478137336,2627.616575005219,3914.455843837834
2024-01-21,2434.2781526731515,1740.6565425633978,3076.4365618345805
2024-01-22,4265.240194909224,3596.433645422928,4916.487107384317
2024-01-23,4334.936753815482,3677.9916332000394,4997.999247472197
2024-01-24,4305.703693543359,3668.881772960246,4977.678622042751
2024-01-25,4376.196932882939,3764.238003594032,5064.420543866042
2024-01-26,4447.123543950828,3755.204471674188,5094.665213850458
2024-01-27,3288.573575114401,2636.9981476638004,3983.99283539204
2024-01-28,2448.7659799757375,1727.009521407462,3098.496319377079
2024-01-29,4279.728022206029,3624.7586000606793,4928.066156466212
2024-01-30,4349.424581116058,3661.9904166141437,5017.01718283804
2024-01-31,4320.191520844221,3645.402613993346,4998.1307113514285
2024-02-01,4390.684760186473,3726.472691098787,5067.685126821754
2024-02-02,4461.611371251158,3857.9558202999597,5095.814533878276
2024-02-03,3303.0614027460188,2639.5091051069066,3952.6995498010615
2024-02-04,2463.2538079395727,1787.557272764537,3120.78778643228
2024-02-05,4294.21585050589,3642.287946776052,4909.709561115627
2024-02-06,4363.912409747481,3743.110085464001,5020.961702429273
2024-02-07,4334.679349807695,3671.8533273580997,4976.553886666102
2024-02-08,4405.172589481954,3701.591548693983,5076.714811540979
2024-02-09,4476.099200882374,3792.0016248219854,5139.341158899462
2024-02-10,3317.5492323727713,2623.9450567119966,4034.910435249306
2024-02-11,2477.7416375688917,1820.970094507417,3128.2613894592623
2024-02-12,4308.703680136025,3648.1207638509163,4912.689640914226
2024-02-13,4378.400239376473,3715.10865921589,5035.207778710916
2024-02-14,4349.1671794376725,3696.0491764866097,5046.498152058669
2024-02-15,4419.660419111828,3717.0320055877155,5085.269079529657
2024-02-16,4490.587030512272,3835.2890918243725,5157.74573492768
2024-02-17,3332.037062001097,2650.685911894416,3996.1089364071545
2024-02-18,2492.2294671982127,1868.3679203780705,3135.298228008036
2024-02-19,4323.19150946474,3612.52184019748,5037.658528144187
2024-02-20,4392.888068404039,3738.769800121678,5040.12597208584
2024-02-21,4363.655008163945,3668.880589453789,5016.606842645466
2024-02-22,4434.148247534891,3751.4760122397315,5160.751882789903
2024-02-23,4505.074858632173,3835.766712750078,5173.122996552707
2024-02-24,3346.5248898220107,2676.781229258403,3959.3270263787026
2024-02-25,2506.7172947160134,1822.321529131314,3191.2433666177867
2024-02-26,4337.679336986135,3689.7862416853236,5012.163646524654
2024-02-27,4407.375895923625,3778.537060566075,5063.482721415243
2024-02-28,4378.142835683224,3664.994281221765,5083.370221183844
2024-02-29,4448.636075056117,3801.5558037905516,5161.866780220384
2024-03-01,4519.562686153424,3868.380314315304,5170.379130918108
2024-03-02,3361.0127173474225,2745.591934501649,4035.253467835661
2024-03-03,2521.2051222366854,1853.3171429248519,3181.3972283751486
2024-03-04,4352.167164507438,3772.475067849437,5015.030087292151
2024-03-05,4421.863723444726,3723.3799544117182,5093.893480617811
2024-03-06,4392.6306622516195,3739.875733817289,5086.748796251586
2024-03-07,4463.123900674886,3831.566670445075,5167.659612805054
2024-03-08,4534.050510822707,3886.127872009366,5174.9094351011345
2024-03-09,3375.500541065453,2692.8904740014204,4017.1983532291947
2024-03-10,2535.6929450081884,1868.8923884075573,3231.080998347631
2024-03-11,4366.654986328722,3718.99386175803,5048.262455864704
2024-03-12,4436.351544314182,3799.2917601614595,5056.310415442599
2024-03-13,4407.118483122819,3744.8659980962057,5127.740795627672
2024-03-14,4477.611721545982,3774.9421745490704,5186.067109063419
2024-03-15,4548.538331693827,3874.862599815001,5201.893770355999
2024-03-16,3389.9883619365737,2704.6602877137984,4024.170456691934
2024-03-17,2550.180765877807,1876.855488184043,3244.5687585774044
2024-03-18,4381.142807194407,3722.1469720728674,5055.908560364244
2024-03-19,4450.839365184396,3782.4666205953,5132.2134060944445
2024-03-20,4421.60630399402,3730.861772497529,5003.985665382217
2024-03-21,4492.099542415209,3845.4091326253233,5150.662913583292
2024-03-22,4562.578170947102,3884.8315018596713,5249.528814076761
2024-03-23,3403.5802195784113,2723.0927324993345,4038.718777940857
2024-03-24,2563.3246419014645,1829.3414910450385,3208.3433755043548
2024-03-25,4393.838701601929,3727.2016767771497,5065.546532728896
2024-03-26,4463.087277974172,3822.059827785851,5110.825200902928
2024-03-27,4433.406235168145,3721.4544642760225,5069.654174979477
2024-03-28,4503.45149197662,3851.456201613837,5177.412660973391
2024-03-29,4573.930120507986,3838.5493523802884,5206.773199894363
2024-03-30,3414.932169137978,2719.1972275572716,4059.515304814859
2024-03-31,2574.676591461377,1889.2636672463263,3241.8685134574202
2024-04-01,4405.190651161548,3752.7372242469582,5033.131663600747
2024-04-02,4474.4392275346345,3761.2090066996852,5108.169548651811
2024-04-03,4444.758184728655,3837.996479219375,5082.880332075183
2024-04-04,4514.803441534294,3814.7624364370463,5121.897710765437
2024-04-05,4585.282070065643,3914.7740181637905,5232.915857689874
2024-04-06,3426.2841186943997,2756.700814499652,4063.414129801817
2024-04-07,2585.603747509608,1872.9890341705345,3270.6613844448557
2024-04-08,4415.693013699837,3752.175421418173,5091.449750882699
2024-04-09,4484.5167965610235,3824.060854964718,5143.421967195276
2024-04-10,4454.410960242359,3810.693659338269,5122.133463006243
2024-04-11,4524.031423538182,3840.2131184693144,5193.546449349322
2024-04-12,4594.085258558758,3925.3668726878586,5264.546336006888
2024-04-13,3434.6625136770954,2757.0983166060223,4127.366842457954
2024-04-14,2593.9821424913507,1900.473518620293,3259.478483711531
2024-04-15,4424.071408684158,3796.6305362040384,5112.821601117446
2024-04-16,4492.895191544385,3812.9430349643394,5189.088000790063
2024-04-17,4462.789355226706,3811.648050821653,5086.697145536331
2024-04-18,4532.409818522427,3848.4953405150504,5205.892219131135
2024-04-19,4602.463653544344,3931.737410803567,5242.744598609325
2024-04-20,3443.040908659791,2796.1343035556038,4138.3180476335165
2024-04-21,2602.3605374741164,1947.7350711205409,3249.088328442495
2024-04-22,4432.449803668478,3786.4985882292394,5148.175552242504
2024-04-23,4501.259287446829,3802.645598319766,5203.74134426802
2024-04-24,4471.139152049277,3836.435529576213,5114.971170427284
2024-04-25,4540.745316261902,3897.229809007193,5213.2680198576045
2024-04-26,4610.784852207974,3952.561759475851,5250.3442157043555
2024-04-27,3451.3478082416896,2788.919418036474,4091.567645207349
2024-04-28,2610.653137977774,1974.4068568792254,3294.964077691042
2024-04-29,4440.728105086288,3756.108691343071,5068.680459215503
2024-04-30,4509.53758887012,3876.626209649857,5176.5312384844265
2024-05-01,4479.417453471052,3807.444285844514,5136.372527738211
2024-05-02,4549.023617686898,3850.901449298907,5221.2354458974705
2024-05-03,4619.063153627307,4009.8767682013577,5274.559548065892
2024-05-04,3459.6261096616972,2759.4790799787957,4176.009960660534
2024-05-05,2618.9314394003486,1905.75160538497,3320.1455073466627
2024-05-06,4449.006406509493,3750.0949838422807,5100.65091581495
2024-05-07,4517.815890291608,3808.7838634283885,5157.120469216536
2024-05-08,4487.695754892828,3840.4506079011567,5154.303473962364
2024-05-09,4557.301918912032,3929.915007828071,5227.35551211755
2024-05-10,4627.341454658204,3969.8946986371225,5284.741932087218
2024-05-11,3467.9044105006296,2845.5646878923294,4095.9497905160774
2024-05-12,2627.2097400384137,1957.341856598889,3306.339345512969
2024-05-13,4457.284706952247,3760.6023044184826,5122.403810904166
2024-05-14,4526.094190537849,3847.6920379061485,5216.511687330292
2024-05-15,4495.974054943168,3820.8133224722355,5192.392770677468
2024-05-16,4565.580218961717,3939.405877286974,5244.659699178018
2024-05-17,4635.619754708466,3931.4991723967423,5274.37104168639
2024-05-18,3476.182710547747,2790.844738557615,4136.656844865305
2024-05-19,2635.4880400880975,2001.743086213432,3299.6560188062285
2024-05-20,4465.563007002561,3773.700867709203,5094.880740495681
2024-05-21,4534.3724905864465,3821.442182100046,5214.879740977353
2024-05-22,4504.252354992916,3844.986380734968,5173.414693357556
2024-05-23,4573.858519010086,3936.1483543742984,5207.259244618654
2024-05-24,4643.898054754908,3918.9280398377978,5272.361863009256
2024-05-25,3484.4610104005883,2854.1314459080404,4102.911651635932
2024-05-26,2643.76633974007,1964.2775839780447,3320.595359727925
2024-05-27,4473.841306455129,3816.0345376982787,5149.475912154494
2024-05-28,4542.650789845365,3865.5302975442405,5205.54828491617
2024-05-29,4512.530654056158,3860.9694978438542,5200.303429147134
2024-05-30,4582.136817875804,3893.3545218914364,5212.411246967762
2024-05-31,4652.1763534232305,3999.1523394339642,5313.7007499258925
2024-06-01,3492.7393090657674,2831.598957947197,4138.970686865423
2024-06-02,2652.044638407815,1971.3278031216341,3287.3178184973635
2024-06-03,4482.119605123505,3837.6316374040052,5153.8299794073055
2024-06-04,4550.929088513541,3941.1817017613253,5199.945134303278
2024-06-05,4520.808952721647,3772.9815264010467,5203.742040810856
2024-06-06,4590.415116544104,3876.1393379955084,5224.205554629971
2024-06-07,4660.4546520928725,3985.218407011906,5348.340403215752
2024-06-08,3501.017607730946,2806.668591074103,4226.990978726411
2024-06-09,2660.322937076485,1978.3366919090033,3376.04083576886
2024-06-10,4490.397903799054,3811.8474331087987,5133.594569927917
2024-06-11,4559.207387194361,3957.9290444806343,5242.100500595046
2024-06-12,4529.087251410699,3855.292401969903,5208.453892068871
2024-06-13,4598.693415240725,3904.757977859039,5265.424902455971
2024-06-14,4668.732950796598,4017.8218533429044,5318.23397125183
2024-06-15,3509.295906441753,2778.7928569823293,4131.132671084609
2024-06-16,2668.60123579287,2036.212874559979,3320.325297218487
2024-06-17,4498.6762025170865,3876.1542503223363,5116.065135631778
2024-06-18,4567.485685912386,3907.4512421074714,5224.305340813473
2024-06-19,4537.365550127207,3860.39248211161,5168.636550268378
2024-06-20,4606.971713956718,3943.755090907094,5274.5501593199315
2024-06-21,4677.011249512575,4013.493611232653,5305.357616364247
2024-06-22,3517.5742051564944,2879.0993675701516,4180.410662161431
2024-06-23,2676.87953450823,2052.5507576711107,3387.627967685236
2024-06-24,4506.954501235117,3879.592909001549,5149.697807205207
2024-06-25,4575.763984628607,3916.0562843606367,5223.868352861919
2024-06-26,4545.643848955727,3890.370690061596,5241.042177510836
2024-06-27,4615.250012897557,3942.7451365334537,5248.743135891689
2024-06-28,4685.289548560211,4036.226932709474,5382.110337700169
2024-06-29,3525.852504322329,2864.492489498441,4251.868096640438
2024-06-30,2685.1578337783067,1997.779228279075,3343.1993243267593
2024-07-01,4515.232800616379,3834.1837322963333,5221.2855637226785
2024-07-02,4584.042284119463,3883.541485648104,5250.36446953728
2024-07-03,4553.922148447568,3892.3505058780042,5223.328375081677
2024-07-04,4623.528312385005,3960.358342032738,5258.0076635857295
2024-07-05,4693.567848050064,4012.034127563079,5369.598802630488
2024-07-06,3534.1308038109464,2848.9823355176945,4212.826461914772
2024-07-07,2693.4361332704148,2027.1584825770415,3340.0010706478
2024-07-08,4523.511100108378,3810.239532112746,5165.713430037112
2024-07-09,4592.3205836121215,3934.923442704385,5220.522059619265
2024-07-10,4562.200447936495,3912.9549989427314,5244.797048796615
2024-07-11,4631.806611876744,3920.2804068630708,5285.5945951204185
2024-07-12,4701.846147875312,4034.6230450464145,5365.1487552318995
2024-07-13,3542.40910396811,2868.192726817453,4229.199241698131
2024-07-14,2701.7144337629825,2021.5694224831025,3345.158837459646
2024-07-15,4531.789400928559,3875.3434670784463,5240.309770900146
2024-07-16,4600.598884770411,3914.9019786941294,5211.336624452147
2024-07-17,4570.478749429257,3887.0226679904144,5215.480183826929
2024-07-18,4640.084913701019,3948.341776991026,5375.8955736734515
2024-07-19,4710.1244496976615,4074.8019959776284,5373.491674093035
2024-07-20,3550.68740579844,2913.8594762129346,4259.5003381823235
2024-07-21,2709.99273558765,2042.9857648421703,3339.64467112308
2024-07-22,4540.067702754873,3833.7054945896784,5165.649438192469
2024-07-23,4608.877186594916,3950.787219960132,5254.756470835771
2024-07-24,4578.757051254048,3892.3154225585763,5183.346694642665
2024-07-25,4648.363215525294,3961.486993359779,5343.842055767034
2024-07-26,4718.402751527058,4055.3112536869708,5371.640159982694
2024-07-27,3558.965707623036,2880.2839199072646,4228.640345707354
2024-07-28,2718.2710374141643,2042.031280884614,3371.004826265344
2024-07-29,4548.3460103954885,3871.7395635969656,5174.58787297196
2024-07-30,4617.155500048965,3939.093727709314,5283.287521755944
2024-07-31,4587.0353705228845,3960.2256750412876,5226.735835449962
2024-08-01,4656.641540610884,3995.1180432691694,5320.538597343398
2024-08-02,4726.681082421375,4027.3150857621977,5420.85403948484
2024-08-03,3567.244044332423,2893.0874553725303,4220.5994110931015
2024-08-04,2726.5493799405112,2064.2377237784217,3338.053012716466
2024-08-05,4556.624352922467,3876.6707518730136,5233.648948274169
2024-08-06,4625.433842574227,3985.9713056863397,5309.245508061927
2024-08-07,4595.313713048431,3943.2610723154785,5246.9914985826
2024-08-08,4664.919883135916,4008.0580395608854,5334.833829500365
2024-08-09,4734.959424948302,4079.847264699672,5406.335691732773
2024-08-10,3575.522386857777,2935.017125999885,4261.809497892523
2024-08-11,2734.827722463988,2112.164205414564,3347.1616541819567
2024-08-12,4564.902695444142,3882.645776104547,5218.828790219664
2024-08-13,4633.712185101004,3995.013003416021,5292.43117445925
2024-08-14,4604.07537100492,3934.575204553994,5245.945893408387
2024-08-15,4674.164856521782,4029.608357367114,5365.9722428327495
2024-08-16,4744.687713764993,4079.9443123571123,5354.9932603267625
2024-08-17,3585.733991099486,2928.0764093817834,4259.418314512289
2024-08-18,2745.5226421377465,2052.666204331362,3408.8490003715556
2024-08-19,4576.080930548106,3915.4280587054154,5263.926955615201
2024-08-20,4645.373735632641,3952.455190916148,5332.014901796122
2024-08-21,4615.736921536843,3948.926223754945,5252.744770783231
2024-08-22,4685.826407052638,3992.4105662109196,5389.892082121574
2024-08-23,4756.349264296382,4092.202337609019,5442.798629054124
2024-08-24,3597.3955416327867,2949.7612864068046,4292.727926496661
2024-08-25,2757.1841926713923,2056.4392280757697,3423.119133301047
2024-08-26,4587.742481081459,3919.841264445859,5267.652427419859
2024-08-27,4657.03528616608,4021.775652310409,5314.04273535082
2024-08-28,4627.398472070223,3932.4910700388245,5318.496605478389
2024-08-29,4697.487957585914,4017.0851378346706,5319.8756454705235
2024-08-30,4768.38992474331,4066.076627321627,5368.6564740239055
2024-08-31,3609.8153119940184,2967.06954192732,4279.5823727410725
2024-09-01,2769.9830729507285,2097.1652132272225,3413.8610546026316
2024-09-02,4600.920471276962,3972.201124957453,5294.131863518407
2024-09-03,4670.592386276162,4008.369095109465,5304.094094601075
2024-09-04,4641.334682093914,3977.7159371611856,5287.1528606896445
2024-09-05,4711.803277527954,4032.5639844207926,5318.658036944491
2024-09-06,4782.705244685376,4130.673243208874,5395.47673454048
2024-09-07,3624.1306319402447,2954.1741206733286,4322.891762530208
2024-09-08,2784.2983928893436,2124.7798890958065,3415.904786562835
2024-09-09,4615.235791219173,3988.686815833902,5299.783035219201
2024-09-10,4684.907706217321,4043.398009888087,5369.004079178388
2024-09-11,4655.650002036059,4031.946055959209,5363.816287458823
2024-09-12,4726.1185974675755,4079.064301186053,5377.332490780015
2024-09-13,4797.02056462744,4115.456556773301,5398.704283331314
2024-09-14,3638.4459518807375,2932.627286178022,4315.095947482654
