ds,yhat,yhat_lower,yhat_upper
2024-01-01,36951.2451102937,30856.508998285884,42893.49809420388
2024-01-02,38517.04197837303,32273.894784082266,44251.44171128967
2024-01-03,37814.443763433235,31776.050959759323,43593.95165363583
2024-01-04,38576.856961547186,32712.30978695578,44589.04856270215
2024-01-05,39640.577492831435,33808.90773596402,45561.32250971067
2024-01-06,28952.021361437182,23377.29184617082,35238.30487744435
2024-01-07,21377.12012214146,15774.169032533233,27388.637402448017
2024-01-08,37058.5429189294,31164.186926914448,42934.15954095671
2024-01-09,38624.33978705009,32353.114936576345,44570.88973712824
2024-01-10,37921.74157209531,32072.586088392934,43574.47721675539
2024-01-11,38684.15477021736,32861.60079572752,44462.774955931716
2024-01-12,39747.875301515305,33762.46167197872,45477.95373743708
2024-01-13,29059.31917016066,23235.72970642165,34781.663664081934
2024-01-14,21484.41793082886,15876.241045670247,27069.852900580645
2024-01-15,37165.84072761622,31284.06543768241,43061.036062751446
2024-01-16,38731.637595727145,32715.03879535784,44762.81129398423
2024-01-17,38029.03938077964,32390.61178950858,43883.931155051105
2024-01-18,38791.45257685179,32660.682492451273,44750.71834645326
2024-01-19,39855.173106098715,33901.084959491316,45515.39968487705
2024-01-20,29166.61697268049,23516.072588938667,34931.26856156248
2024-01-21,21591.715731300308,16144.743775682306,27314.86695025573
2024-01-22,37273.13852605189,31600.071744794535,43527.555718583135
2024-01-23,38838.93539209725,32894.93592132806,44462.72946522077
2024-01-24,38136.33717510979,32374.42012977347,44322.69139431609
2024-01-25,38898.75037117036,33113.146697034565,44992.8544020328
2024-01-26,39962.470900416025,34349.342340404866,45333.72727939495
2024-01-27,29273.914766999405,23668.159389686843,35168.24238668174
2024-01-28,21699.01352563611,16249.086643926283,27668.03319057405
2024-01-29,37380.436320336004,31611.24193048657,43230.23404399454
2024-01-30,38946.23318641713,32664.75473929814,44715.61093398637
2024-01-31,38243.6349694314,32632.45579388257,43611.35928256709
2024-02-01,39006.04816550998,33234.53303666915,44894.30538725185
2024-02-02,40069.768694733335,34571.543598054974,46165.7507592651
2024-02-03,29381.212559772615,23589.900077546085,34992.91380149961
2024-02-04,21806.31131687425,15585.355709426374,27658.999990598248
2024-02-05,37487.73411007046,31521.659419346186,42964.546814923444
2024-02-06,39053.53097460967,33337.94136239971,44799.30933031957
2024-02-07,38350.93275608686,32117.383098231938,43971.561060974105
2024-02-08,39113.34595062918,33647.60265064865,45274.86602326467
2024-02-09,40177.06647834546,33823.67222977524,46019.453412354305
2024-02-10,29488.51034334645,23666.36558327657,35585.52419449222
2024-02-11,21913.609100469926,15718.30868553068,27801.074485145626
2024-02-12,37595.031893674146,31532.145882669643,43270.51805562022
2024-02-13,39160.82875820253,33228.8732387005,45241.617872513016
2024-02-14,38458.230539687,32565.627878574658,44375.76871395689
2024-02-15,39220.64373422964,33364.73067266387,45264.12418073699
2024-02-16,40284.36426194513,33878.63644347886,46389.3272520095
2024-02-17,29595.808126932767,23673.011691257838,35532.12402118786
2024-02-18,22020.906884065604,16405.99507379217,27465.1822584771
2024-02-19,37702.329677622256,31916.602458720354,43613.843434828195
2024-02-20,39268.12654249681,33321.20174706056,44883.75212551593
2024-02-21,38565.528324326835,32920.78911907791,43997.941600926984
2024-02-22,39327.94151920187,33367.84588873135,44720.68305716987
2024-02-23,40391.66204724769,34532.299976996306,46382.43502255951
2024-02-24,29703.10591259847,23519.59392598547,35605.25279757502
2024-02-25,22128.204670063547,16667.46459793237,27695.581330098517
2024-02-26,37809.62746365082,32323.983343114436,43263.66787761769
2024-02-27,39375.424328510024,33286.393095575004,45244.63030015203
2024-02-28,38672.82611033919,32637.594056918748,44672.27052336884
2024-02-29,39435.239305228286,33435.09077285,45447.506502433454
2024-03-01,40498.959833273315,34150.767875567086,46414.6740911101
2024-03-02,29810.40369866369,24275.186665587287,35918.1243139115
2024-03-03,22235.502456085174,16734.825075025306,27781.26559038161
2024-03-04,37916.92524967831,31692.18025136394,43551.709770213325
2024-03-05,39482.722114534416,34274.3322138418,45266.54646881487
2024-03-06,38780.10805860922,32985.15866827181,44731.57154646922
2024-03-07,39542.5054157647,33911.26882407633,45433.68441047271
2024-03-08,40606.21010608261,34567.87770999312,46312.75148341108
2024-03-09,29917.638133728342,24311.205419444992,35901.351555090376
2024-03-10,22342.7210534454,16401.676639274643,28354.870492760358
2024-03-11,38024.12800930416,32031.325988871424,43548.97650699467
2024-03-12,39589.90903641114,33724.81261636427,44974.60904405036
2024-03-13,38887.29498049882,32833.91796032927,44360.60529924401
2024-03-14,39649.69233765461,33388.36293071898,45027.68777090055
2024-03-15,40713.39702797173,34868.661792864244,46508.48206515884
2024-03-16,30024.825055616588,24302.54030950055,35963.77310931405
2024-03-17,22449.90797532301,16651.304231531158,28383.560115399712
2024-03-18,38131.31493114512,32450.530168732203,43882.38978569279
