ds,yhat,yhat_lower,yhat_upper
2024-01-01,23302.463003507568,17934.756760932687,28255.683068537503
2024-01-02,24360.265179803944,19319.60850730349,29517.108297721705
2024-01-03,23750.628521215694,18617.087783970073,28603.893375055206
2024-01-04,24322.340025320176,19694.913693265342,29650.123175049313
2024-01-05,24668.18495585261,19591.14838127809,30197.14161943581
2024-01-06,15708.92255702294,10657.42032406751,20458.12478824582
2024-01-07,11511.630328973313,6379.12378614096,16097.834680198685
2024-01-08,23429.78138070203,18369.251047228758,28133.760010298894
2024-01-09,24487.583557028138,19707.788711344725,29535.15527691333
2024-01-10,23877.946898432063,18746.885584608197,29103.71692789673
2024-01-11,24449.658402541027,19534.246909109246,29350.98473873338
2024-01-12,24795.503333081022,19575.132022433645,29756.175954961403
2024-01-13,15836.24093428145,10666.623611243922,20668.694409332296
2024-01-14,11638.948706207293,7020.646609081759,16699.576204629193
2024-01-15,23557.099757934528,18582.788958727313,28704.42532099469
2024-01-16,24614.901934252324,19409.388282460844,29559.30117686866
2024-01-17,24005.26527566117,19125.586326094508,29229.97461507406
2024-01-18,24576.976780340592,19636.791544522628,29692.836196697437
2024-01-19,24922.821711448578,20347.286445809834,30340.59540898852
2024-01-20,15963.559313210368,11081.810906565677,20967.66967296699
2024-01-21,11766.267085707115,6711.831344121189,16658.714118782493
2024-01-22,23684.41813801488,18464.10562058542,28900.489392221847
2024-01-23,24742.2203148916,19733.202340348984,29652.0298875471
2024-01-24,24132.58365687593,19191.097792395307,29028.598532897973
2024-01-25,24704.29516154845,19617.623259431413,30016.80867224062
2024-01-26,25050.140092653895,19800.46578689882,30272.686352002045
2024-01-27,16090.87769441758,11109.749633052215,20930.36081216436
2024-01-28,11893.585466928098,6918.987612536616,16981.3603984144
2024-01-29,23811.73651919635,18681.905565294,28940.974475205072
2024-01-30,24869.538696100455,19451.34037358148,29843.00488145936
2024-01-31,24259.902038085667,19585.149455038256,29522.270527536642
2024-02-01,24831.613542768227,19898.095004701932,29369.7986341133
2024-02-02,25177.45847385921,20022.50235065435,30095.76749355963
2024-02-03,16218.196076247066,11197.780850743558,21301.019143401365
2024-02-04,12020.903849383081,7359.181638481193,16891.263347675882
2024-02-05,23939.05490230769,18654.052159677038,28988.411336057132
2024-02-06,24996.857079836976,20109.910909861595,29858.08956141263
2024-02-07,24387.220422452065,19342.2279123439,28900.838123599773
2024-02-08,24958.93192776407,20524.654409004477,30122.20416623934
2024-02-09,25304.776859508554,20211.314005968557,30396.357409171596
2024-02-10,16345.514461864532,11274.277960339052,21507.63582715226
2024-02-11,12148.22223501716,7023.040399414433,17150.60955301808
2024-02-12,24066.373287948656,19179.485525028398,29305.953125829943
2024-02-13,25124.175465467484,20140.69475305523,29966.181933089854
2024-02-14,24514.538808087495,19309.59774721826,29703.668917575385
2024-02-15,25086.25031340039,19984.82764347836,29813.747992921653
2024-02-16,25432.095245143286,20457.77525393244,30556.64282610108
2024-02-17,16472.83284749106,11468.82466659125,21490.714264338618
2024-02-18,12275.540620651236,7343.973964657191,17516.112599219738
2024-02-19,24193.69167326725,19051.67907488022,28819.983669358226
2024-02-20,25251.4938504698,20029.938294542946,30310.298113843222
2024-02-21,24641.85719276873,19708.583023095325,29778.7099885529
2024-02-22,25213.568697755298,20038.664181879656,29890.470678696394
2024-02-23,25559.413629167495,20391.682682205213,30883.423078445303
2024-02-24,16600.15123120919,11635.031869059074,21686.276918613083
2024-02-25,12402.859004036418,7302.142018761996,17084.79126234829
2024-02-26,24321.01005667961,19466.01724333255,29113.69594473798
2024-02-27,25378.812233871515,20371.34485025288,30653.298681887587
2024-02-28,24769.175576169975,19739.816716458245,29543.217395256204
2024-02-29,25340.887081165158,20456.73402324891,30200.523088951733
2024-03-01,25686.732012575772,20516.709136185178,30404.880983393283
2024-03-02,16727.46961464757,12080.98845928781,21662.940345923667
2024-03-03,12530.177387444035,7398.074803199989,17932.694161639854
2024-03-04,24448.328440089812,19498.094020217963,29778.681020698426
2024-03-05,25506.13061727791,20873.643482635376,30817.116023368748
2024-03-06,24894.46501068871,19864.519630496674,30080.75268087796
2024-03-07,25464.14756680453,20645.917931996104,30537.280440894454
2024-03-08,25807.963549341475,20877.973893737835,30591.688621200345
2024-03-09,16846.672202528614,11710.254195921105,21689.23967335873
2024-03-10,12647.35102647043,7794.423908152481,17485.9262217921
2024-03-11,24563.47313023723,19850.71804135544,29731.874476557346
2024-03-12,25619.246358537195,20840.323320946114,30585.853925277508
2024-03-13,25007.580751955258,20200.688329222266,30151.0465679368
2024-03-14,25577.263308071964,20524.022602683686,30927.897646449906
2024-03-15,25921.079290607326,20464.912501776897,30774.54247152652
2024-03-16,16959.787943795312,11816.475607932636,22010.966911672407
2024-03-17,12760.4667677294,7560.299283865118,17718.750794581207
2024-03-18,24676.58887146913,20008.633733183644,29862.331846639532
2024-03-19,25732.36209979882,20782.751211730163,31020.467014216418
2024-03-20,25120.6964932218,19625.893310505377,30269.941967358092
2024-03-21,25690.37904933025,20509.22437992148,30398.36950879062
2024-03-22,26029.626245518255,21339.7613064169,30887.217159942185
2024-03-23,17063.76611239256,11880.269656093134,22386.795603707793
2024-03-24,12859.876149966352,7620.489794003747,17726.14986916284
2024-03-25,24771.429467359776,19496.849233881898,29671.091437246992
2024-03-26,25822.633909334,21017.043479437692,30931.975292353643
2024-03-27,25206.39951641305,20189.21391718378,30362.232270945213
2024-03-28,25771.51328619308,20823.089985127808,30615.61602269885
2024-03-29,26110.760482384965,21318.885324683793,31447.686541259955
2024-03-30,17144.900349245516,11872.664409099458,22266.005547303368
2024-03-31,12941.01038682402,8265.45319342906,17871.54540489267
2024-04-01,24852.563704213808,19783.388304495053,30177.47401550294
2024-04-02,25903.768146192164,20877.980831308123,30835.508785305865
2024-04-03,25287.53375327087,20744.604965958148,30819.96086220819
2024-04-04,25852.64752303762,20467.90062162411,31114.006285943324
2024-04-05,26191.89471922697,21405.744452283096,31028.052192545
2024-04-06,17226.03458608035,12241.86820701331,22462.44058362395
2024-04-07,13017.07433650216,8165.340592594882,18328.521259658217
2024-04-08,24923.557366725523,20026.534970489887,29905.986340223855
2024-04-09,25969.691521520115,20761.502668348898,31258.627155984617
2024-04-10,25348.386841417687,20445.70583910797,30773.68705801281
2024-04-11,25908.430324015622,21205.772004735514,31186.706410959305
2024-04-12,26242.607233029128,20987.949418071516,31139.56998068221
2024-04-13,17271.6768127111,12185.249226022228,22371.95055902154
2024-04-14,13062.716563124239,8015.735833303265,18039.30598226052
2024-04-15,24969.19959336641,19847.56865338809,30352.756925859638
2024-04-16,26015.33374815485,21019.336474111373,31023.326787145303
2024-04-17,25394.02906805734,20462.74142773134,30395.351868255497
2024-04-18,25954.07255065616,20735.435978487916,31087.986752010816
2024-04-19,26288.24945968269,21262.119680087802,31280.146466563245
2024-04-20,17317.319039341844,12241.957337558755,22217.49065849829
2024-04-21,13108.358789756317,8140.745051211608,18128.63135517701
2024-04-22,25014.841820007292,20488.595756109764,29970.125493323856
2024-04-23,26056.763868232854,21183.631773344932,31220.11465692912
2024-04-24,25431.247081581856,20067.681585442584,30495.514076545787
2024-04-25,25987.078457608903,20957.9127945743,31265.04548118472
2024-04-26,26317.043260104118,21397.432530369417,30960.26950245663
2024-04-27,17341.90073320068,12438.16330573356,22430.650713254872
2024-04-28,13128.728377074534,8039.861838348422,17945.877768773655
2024-04-29,25030.999300733773,19898.924657056694,30527.641356674034
2024-04-30,26072.92134899485,21472.522370542574,31027.0011909923
2024-05-01,25447.40456233446,20381.86328095027,30812.992513698035
2024-05-02,26003.235938377904,21169.254585231945,30814.716988511984
2024-05-03,26333.200740842192,21005.52775843092,31043.939915589926
2024-05-04,17358.05821394169,12524.915161326178,22779.968662665786
2024-05-05,13144.88585783216,7903.109536347603,17861.199584913793
2024-05-06,25047.156781493977,19979.665379849066,30232.489141140795
2024-05-07,26089.078829746562,21019.2887789083,31220.43696299796
2024-05-08,25463.562043087055,20360.36319398081,30642.67090717372
2024-05-09,26016.973878723642,20911.814606791904,31259.055340636587
