ds,yhat,yhat_lower,yhat_upper
2024-01-01,18618.107105563733,15833.243822105444,21478.633464671006
2024-01-02,19824.865976604167,16823.779143212865,22816.22642758553
2024-01-03,20108.891215562133,16886.503574923838,22953.2675495604
2024-01-04,21134.41113873829,18243.77495729591,24282.473895616222
2024-01-05,23892.662507844823,20777.80072434099,26844.966345488017
2024-01-06,21746.428617108235,18868.886358085736,24651.612738640426
2024-01-07,15426.050937575963,12319.916437557422,18494.92926547169
2024-01-08,18756.88692855055,15486.419822181131,21876.551039979535
2024-01-09,19963.645799605405,16836.056958773937,22747.615766759634
2024-01-10,20247.671038554727,17447.592942475556,23463.252608228726
2024-01-11,21273.190961736076,18531.15338709409,24265.518705557886
2024-01-12,24031.442330849794,21002.394967034295,26855.10426837944
2024-01-13,21885.208440128932,18712.648267900815,24844.487746867697
2024-01-14,15564.830760575878,12673.876912894708,18554.074736658833
2024-01-15,18895.666751553177,16156.449442370977,21921.15335492686
2024-01-16,20102.425622606646,17341.138954193164,23158.454606863976
2024-01-17,20386.45086155842,17443.48367508837,23314.6802155108
2024-01-18,21411.970787627743,18280.790798149268,24660.260374536927
2024-01-19,24170.222159629862,21271.59969090402,27140.87014756063
2024-01-20,22023.988271788166,18966.55300548841,25192.98785505429
2024-01-21,15703.610595122514,12555.701445441899,18367.914701738653
2024-01-22,19034.44658899356,16241.482809899237,21916.234801558265
2024-01-23,20241.20546292952,17024.85464823002,22998.26223022944
2024-01-24,20525.230704772686,17586.90701280533,23298.58008880141
2024-01-25,21550.750630838393,18317.97470942258,24387.195288415638
2024-01-26,24309.002002841848,21170.826354353816,27330.240274760356
2024-01-27,22162.76811499761,19349.02017489933,25219.12813517291
2024-01-28,15842.390438335296,12957.001460607029,18803.5297077388
2024-01-29,19173.226432193234,16382.866120118744,22151.185258314053
2024-01-30,20379.985306139948,17433.744819919124,23502.56345377388
2024-01-31,20664.010547983693,17587.424243491838,23697.70159427093
2024-02-01,21689.5304740533,18662.885234701087,24663.252475024645
2024-02-02,24447.781846053833,21510.464921927072,27566.917539225
2024-02-03,22301.54795554604,19281.73419049074,25466.299661448513
2024-02-04,15981.170276240602,13112.486588084721,19095.538803937077
2024-02-05,19312.0062674394,16223.000302943214,22381.573855368133
2024-02-06,20518.765138726852,17564.11498229624,23392.58653547227
2024-02-07,20802.790377910707,17817.703852111346,23978.99457584957
2024-02-08,21828.310301323152,18648.775565631026,24640.57927529266
2024-02-09,24586.56167066574,21646.02231928914,27834.184158029388
2024-02-10,22440.327780153682,19655.670775162835,25434.322047474605
2024-02-11,16119.950100854052,13187.592042997552,19170.06812834504
2024-02-12,19450.78609205623,16246.873973324098,22506.025872304413
2024-02-13,20657.544963343367,17683.77512274222,23739.707552285065
2024-02-14,20941.570202529678,17899.59900473933,23921.095631568773
2024-02-15,21967.09012594254,18890.599767624997,25246.196938978006
2024-02-16,24725.341495285982,21963.586499731126,27824.844094368982
2024-02-17,22579.107604765537,19741.85869424771,25699.00538195443
2024-02-18,16258.729925467502,13340.119094726797,19427.29195477572
2024-02-19,19589.565913666014,16777.328668315466,22595.261714861736
2024-02-20,20796.324781939275,17675.87954100213,23756.85041714703
2024-02-21,21080.35001812106,17937.262387081842,23996.184853088762
2024-02-22,22105.869938518827,18991.927736301088,25033.667074396115
2024-02-23,24864.121304848548,21737.665192613895,27673.718166721537
2024-02-24,22717.887411322226,19873.02975559044,25704.595293889426
2024-02-25,16397.509729024452,13466.228650868909,19474.025765489263
2024-02-26,19728.345717219545,16621.794665111975,22839.160100164674
2024-02-27,20935.10458548775,18002.331532052358,23812.109370078222
2024-02-28,21219.129821667826,18217.889020146515,23998.482926528613
2024-02-29,22244.64974207385,19224.032617516154,25362.177243113805
2024-03-01,25002.90110840443,22313.282624600575,28101.54330388687
2024-03-02,22856.66721489383,19723.114710663984,25981.355666565316
2024-03-03,16536.289532573537,13537.466792546678,19553.86517132039
2024-03-04,19867.125520774156,17025.750248110795,22877.595757563467
2024-03-05,21073.88438904357,18170.782256715735,24077.57836820012
2024-03-06,21357.909542883364,18496.128268635413,24242.36925267971
2024-03-07,22383.429380958223,19288.906647665648,25128.58391309068
2024-03-08,25141.68066497057,22271.52583939903,28154.99060492481
2024-03-09,22995.44668912525,19932.323585308684,26080.145522977175
2024-03-10,16675.06892448455,13960.103792240658,19525.360456595623
2024-03-11,20005.904830359912,17122.23796567383,22814.304245578183
2024-03-12,21212.663616296308,18143.219751055003,24204.633277549212
2024-03-13,21496.688770142235,18411.54757620038,24529.7731928559
2024-03-14,22522.20860821751,19375.902218522697,25296.001299362957
2024-03-15,25280.459892230716,22291.36179248782,28094.85665360277
2024-03-16,23134.22591638122,20199.434331916098,26117.392078307203
2024-03-17,16813.848151736154,13670.868716954174,19805.43001290423
2024-03-18,20144.684057601902,16951.134537402115,23126.69842041884
2024-03-19,21351.44284355272,18398.315128806018,24304.276478933025
2024-03-20,21635.4679974011,18767.258004075677,24668.65044823897
2024-03-21,22660.987835470467,19933.31217906485,25993.945048378853
2024-03-22,25412.077589255925,22415.776763683305,28624.793308619635
2024-03-23,23258.682083194708,20346.172927002972,26431.024174090366
2024-03-24,16931.142788303994,13952.69758820729,19922.09347283654
2024-03-25,20254.817163943368,17238.822138406973,23096.61107789198
2024-03-26,21454.414419660035,18233.73712801394,24618.84604551359
2024-03-27,21731.27804327991,18699.52757454015,24604.23928531241
2024-03-28,22749.636351132493,19689.909526085466,25684.934425691525
2024-03-29,25500.72610490414,22574.58231678752,28544.74717873796
2024-03-30,23347.33059884709,20471.046585977383,26525.891524107883
2024-03-31,17019.7913039555,14112.84325688323,20108.386633537633
2024-04-01,20343.465679598656,17479.85639217016,23340.664584807815
2024-04-02,21543.062935314316,18610.29400081734,24275.55809423288
2024-04-03,21819.926558938456,18716.28616731403,24668.157084832063
2024-04-04,22838.284866781865,19906.364438535926,25682.906262647095
2024-04-05,25589.374620554845,22602.41897971582,28675.295607868244
2024-04-06,23435.97911449104,20621.755889470995,26294.550077173844
2024-04-07,17100.170031776575,13969.952334857446,20066.814920688095
2024-04-08,20415.574619594423,17315.358970181056,23277.117388733746
2024-04-09,21606.90208748109,18802.010265564775,24380.811247512975
2024-04-10,21875.495923267892,18909.72057831913,24723.99723305594
2024-04-11,22885.584443287808,19805.746369669636,25881.346790095056
