ds,yhat,yhat_lower,yhat_upper
2024-01-01,12479.951151956911,10012.132114869451,14824.691160648264
2024-01-02,13024.233126512114,10551.52646718742,15478.001944681691
2024-01-03,12818.654892131739,10398.386621525342,15241.009435449922
2024-01-04,14225.633051983259,11926.294674890889,16744.765269066196
2024-01-05,12787.610212742478,10268.179364085825,15289.723504747286
2024-01-06,7998.56475610182,5778.720836610095,10414.396128477201
2024-01-07,6659.081281535568,4216.788484923504,9009.446765847862
2024-01-08,12544.972859592173,10121.260795251947,15101.682383129237
2024-01-09,13089.25483416134,10633.898668929221,15509.084489065963
2024-01-10,12883.676599777345,10556.623307093088,15216.93249871311
2024-01-11,14290.65475963091,12017.142185088212,16635.617901875015
2024-01-12,12852.631920391239,10659.78751326112,15333.231821048968
2024-01-13,8063.5864637664,5686.8169298798775,10596.486286336256
2024-01-14,6724.102989188244,4164.081142229869,9125.034421581531
2024-01-15,12609.99456724448,10219.293691369423,15148.586552804887
2024-01-16,13154.276541810568,10480.6809499077,15657.126496315128
2024-01-17,12948.698307429671,10475.913844536362,15431.582299994892
2024-01-18,14355.676467731682,11978.588401795278,16692.407296357796
2024-01-19,12917.653628938795,10582.569009186742,15419.770281604891
2024-01-20,8128.608172761272,5585.666770021958,10533.270745986825
2024-01-21,6789.124698636862,4390.769747927275,9390.640254850745
2024-01-22,12675.016277143772,10384.670159211337,15035.850306364542
2024-01-23,13219.29825215385,10773.26858006033,15543.788297972427
2024-01-24,13013.72001822261,10470.01588327078,15263.519015910812
2024-01-25,14420.698178525112,11879.913803935118,16819.099720392434
2024-01-26,12982.675339729984,10505.071771950554,15437.275507505658
2024-01-27,8193.629883553733,5704.205787703552,10611.614613632624
2024-01-28,6854.146409435318,4587.1325619682275,9337.09105157765
2024-01-29,12740.037987924814,10373.090202557092,15237.065777231719
2024-01-30,13284.31996294653,10743.325437422554,15797.867237874776
2024-01-31,13078.741729017356,10776.745454577102,15570.613733376213
2024-02-01,14485.719889323525,12162.661632031928,16964.4050856157
2024-02-02,13047.697050521172,10600.937290556161,15525.81714290939
2024-02-03,8258.65159429831,5790.170081907522,10660.643702567351
2024-02-04,6919.168120127293,4471.541897380205,9240.4536514861
2024-02-05,12805.059698587043,10431.389087539766,15273.326600871238
2024-02-06,13349.341673559276,10829.41169315196,15777.1493280734
2024-02-07,13143.763439584276,10772.90951505112,15607.735696469077
2024-02-08,14550.741599843563,12164.496441594047,17035.31825715371
2024-02-09,13112.718761011198,10860.104231376183,15378.597073768964
2024-02-10,8323.673304769496,5908.755081246414,10732.199450776028
2024-02-11,6984.189830605971,4325.472584534395,9348.264448443988
2024-02-12,12870.081409065335,10468.05660054578,15335.693208744038
2024-02-13,13414.36338403533,10988.085235666576,15857.536067289364
2024-02-14,13208.785150063424,10767.69393202604,15776.557006784964
2024-02-15,14615.763310321761,12230.342927686484,17006.75702453076
2024-02-16,13177.740471486784,10651.612087842086,15670.97173874181
2024-02-17,8388.695015243,5977.227283797807,10857.9378918049
2024-02-18,7049.211541084645,4734.666837093295,9394.596052090208
2024-02-19,12935.103119529342,10588.21424674111,15487.970608689198
