ds,yhat,yhat_lower,yhat_upper
2024-01-01,20097.07291551195,12949.080720523672,26977.328821041436
2024-01-02,20884.531759327398,14021.496200241601,27563.037598321327
2024-01-03,20218.768323474855,13475.328978071751,26751.39423376204
2024-01-04,20940.641449144438,14793.549069435128,28073.98488935717
2024-01-05,21410.927481382514,14835.87938174456,28139.34067210003
2024-01-06,11031.580227477276,4734.710552686904,18133.735491527783
2024-01-07,6106.995788521188,-753.880834647712,12750.622010518357
2024-01-08,20115.648235748587,13155.693765241003,27102.066248450275
2024-01-09,20903.107079597932,14158.574076152181,27516.943953739345
2024-01-10,20237.34364373586,13908.69958841362,26971.33223216062
2024-01-11,20959.21676941083,14449.584714053244,28187.96088014999
2024-01-12,21429.50280165859,14891.882892451456,27960.184620683936
2024-01-13,11050.155547787806,4210.404670875066,17443.866446764503
2024-01-14,6125.571108803575,-328.29438590260787,13414.435576998001
2024-01-15,20134.22355602879,13279.168831775567,26791.412826621938
2024-01-16,20921.682399868467,14348.838578963141,27545.478030132912
2024-01-17,20255.918964012686,13866.77164878138,27998.973643083606
2024-01-18,20977.79208815796,14837.06838185399,27365.747102957033
2024-01-19,21448.078118873556,14455.081959779121,28243.3332434201
2024-01-20,11068.730863462337,4464.603550961939,17773.908220377103
2024-01-21,6144.146422948599,-372.4219439273087,12489.928065666616
2024-01-22,20152.798868656228,13503.5383477883,26967.252301440272
2024-01-23,20940.257710952712,14345.78886406383,28178.058299616026
2024-01-24,20274.494273573226,13315.956807940962,27030.833481980826
2024-01-25,20996.36739771048,14138.468741005056,27422.68612043885
2024-01-26,21466.653428423342,14712.82685622628,28155.377501436604
2024-01-27,11087.306173014651,4432.254793860906,18254.34826006965
2024-01-28,6162.721732517113,-331.6654211932322,13373.374346340854
2024-01-29,20171.37417817899,13402.073336067875,27271.397415609565
2024-01-30,20958.833020506398,13821.118152263243,27782.78820325333
2024-01-31,20293.069583128265,13893.426246598816,27361.293725898104
2024-02-01,21014.94270727814,14269.335192507333,27961.008104025866
