ds,yhat,yhat_lower,yhat_upper
2024-01-01,42196.65336905863,31943.77895961192,52355.07018033375
2024-01-02,44913.29528134797,34679.30222699887,53838.76343159071
2024-01-03,43393.94520173978,32834.608830341196,53779.4886491403
2024-01-04,44703.07014492823,34776.510747743196,54720.18379561929
2024-01-05,44073.68175996151,33879.72086601226,54216.99244875391
2024-01-06,17816.826164071503,7301.871764620619,28204.098244315086
2024-01-07,11575.562185867962,1615.0555897932884,21240.683397899018
2024-01-08,42224.333193954226,32095.91504636277,52997.060230570496
2024-01-09,44940.975106316066,34271.28751623631,55552.02601094206
2024-01-10,43421.6250266993,32600.124001404605,54100.5825961411
2024-01-11,44730.74996989361,33864.006705009975,54742.745758054436
2024-01-12,44101.36158493707,33984.64482634012,53767.02446534938
2024-01-13,17844.505989126294,7327.780844358404,28188.633626391835
2024-01-14,11603.242010867234,1725.54295764903,22172.923171384762
2024-01-15,42252.01301894664,32121.337253304057,52752.33983475904
2024-01-16,44968.65493128417,35422.81469519044,55381.558644708915
2024-01-17,43449.30485167769,33019.667934391626,52882.323391249025
2024-01-18,44758.42979501268,34089.6763209124,54779.269773929766
2024-01-19,44129.041410185135,33931.82745396882,55072.74564590237
2024-01-20,17872.185814495482,8168.338616163866,28333.415527121226
2024-01-21,11630.921836375568,1847.5843681745994,21967.42069986426
2024-01-22,42279.69284462033,32150.231544387072,51967.83558877995
2024-01-23,44996.33475707022,34881.423079042586,54777.604710087384
2024-01-24,43476.98467760817,33415.532753528285,53470.928581065986
2024-01-25,44786.10962093182,35379.5066262312,54801.25263051963
2024-01-26,44156.72123609249,33455.32919997514,53725.95618002581
2024-01-27,17899.865640409684,7120.712258182825,28673.23096012004
2024-01-28,11658.601662328616,1454.400605776549,21063.14329757694
2024-01-29,42307.37267046971,32352.62133696915,52102.77788654742
2024-01-30,45024.01458299252,34326.966393410105,55933.56856051057
2024-01-31,43504.664503530905,33227.57562844715,53912.93925571602
2024-02-01,44813.78944686841,34517.118471416,55097.40549362001
2024-02-02,44184.401061999844,33423.04993883219,53933.667077122685
2024-02-03,17927.545460108824,7861.575033223321,28648.714306076694
2024-02-04,11686.281475807005,1294.3148165834154,21946.77492008437
2024-02-05,42335.05247782702,31553.611234023552,53157.13577497439
2024-02-06,45051.694384142844,35196.40113635544,54482.011517444604
2024-02-07,43532.3442984892,32901.38951396404,53654.64897412355
2024-02-08,44841.46923563023,34926.421151183764,55150.149576077514
2024-02-09,44212.08084463369,34215.58633877945,55020.691900916056
2024-02-10,17955.22524265063,7484.780384904169,27730.456070493692
2024-02-11,11713.96125839185,1841.202038323741,22695.402884368163
2024-02-12,42362.732260433215,32813.810699578775,52358.250957376455
2024-02-13,45079.37416671449,34618.9758332793,55396.86749561346
2024-02-14,43560.02408107115,33064.58763556722,53355.95535684311
2024-02-15,44869.14901821661,34660.1601892571,54597.482603767145
2024-02-16,44239.76062721281,34489.620125589936,55539.59274577564
2024-02-17,17982.905025214604,7648.0599257587955,27365.63720786219
2024-02-18,11741.641040976698,1392.3788313665325,21572.70419142675
2024-02-19,42390.41124823247,31878.37348714556,52501.6549353787
2024-02-20,45107.05235973693,34668.146769486855,55386.134129941645
2024-02-21,43587.70147929361,33682.405344565865,54104.76493513776
2024-02-22,44896.82562163956,34458.15151149092,54651.52635780169
2024-02-23,44267.4364358155,34607.944722246815,54709.84525894757
2024-02-24,18010.580039059634,7882.612889856981,28119.440154569358
2024-02-25,11769.315259985193,1046.5742662528253,22489.480943781848
2024-02-26,42418.085467323,31355.098566427525,51926.02089064723
2024-02-27,45134.72657880357,35169.125861038556,55917.77975019872
2024-02-28,43615.37569835899,33457.55428077727,54236.30489868419
2024-02-29,44924.49984072049,34070.49140773393,55020.32923470225
