ds,yhat,yhat_lower,yhat_upper
2024-01-01,2846.422276717928,2392.4662239077525,3279.1313014182147
2024-01-02,2895.809816754951,2432.909676144499,3298.421338573578
2024-01-03,2866.857515830497,2424.89332183836,3309.8094745205717
2024-01-04,2918.2450257202718,2456.557970530398,3346.1866385190274
2024-01-05,3085.7108145395414,2674.307032674892,3523.849585317222
2024-01-06,2331.700110395277,1923.4274258679645,2767.3418141080765
2024-01-07,1738.8033514852864,1295.4719150207725,2175.4306325087396
2024-01-08,2860.0474078624557,2412.778700019579,3282.416117783489
2024-01-09,2909.434947902319,2503.225529927139,3342.896488277667
2024-01-10,2880.482646976756,2473.9772140092605,3306.0813273835893
2024-01-11,2931.870156867136,2494.6560051006572,3392.0094062028893
2024-01-12,3099.3359456875746,2640.312665136767,3522.6077202372967
2024-01-13,2345.325241546101,1919.0615786786982,2791.6636669281434
2024-01-14,1752.4284826334933,1295.8258452635312,2188.8309739484853
2024-01-15,2873.6725390105507,2423.911797080611,3285.101241914314
2024-01-16,2923.060079049687,2493.351520689987,3357.9934519831186
2024-01-17,2894.1077781247072,2445.444819722741,3328.792461689681
2024-01-18,2945.495288082595,2537.523282359433,3384.5136817370626
2024-01-19,3112.9610769705096,2680.5684150668776,3560.6259226510983
2024-01-20,2358.950372895398,1916.3849807068916,2786.697722320674
2024-01-21,1766.053614050159,1365.4154692232219,2216.5649149694573
2024-01-22,2887.297670495899,2421.939608273901,3281.0150854846397
2024-01-23,2936.6852106013807,2535.0362440620484,3380.4215406539042
2024-01-24,2907.732909744588,2481.977036221716,3359.636691250457
2024-01-25,2959.120419701615,2498.421713782957,3416.2568975114655
2024-01-26,3126.5862085894814,2683.3386450804956,3563.8877207558876
2024-01-27,2372.5755045144983,1903.4682544912018,2803.286762009255
2024-01-28,1779.6787456705215,1306.3770236140867,2231.564847596466
2024-01-29,2900.9228021125828,2470.1701714716596,3346.3882112042816
2024-01-30,2950.310342220525,2508.3889721145238,3368.0232755333277
2024-01-31,2921.358041363849,2508.439088767201,3355.138111848492
2024-02-01,2972.7455513222085,2546.3151671598957,3390.6413058326075
2024-02-02,3140.2113402084537,2720.193202176984,3590.009736930137
2024-02-03,2386.200636156674,1926.216924775615,2825.6956595545053
2024-02-04,1793.3038773369321,1359.5188889215538,2229.8277170923016
2024-02-05,2914.5479338050422,2495.8582611638662,3347.470917796972
2024-02-06,2963.935473936543,2550.7552453232965,3390.603350897989
2024-02-07,2934.983173103728,2485.312641541986,3375.3109673648305
2024-02-08,2986.37068308597,2555.9843638410066,3430.694303958512
2024-02-09,3153.8364719980373,2711.430257075563,3606.2158419967573
2024-02-10,2399.825767943591,1960.4173613020878,2833.108984881263
2024-02-11,1806.9290091254875,1366.5241019575192,2250.339027243907
2024-02-12,2928.17306559432,2505.32490552727,3383.5042599594244
2024-02-13,2977.5606057249315,2553.9417833353514,3429.557094901969
2024-02-14,2948.6083048927,2493.0340361768835,3397.5010195624577
2024-02-15,2999.9958148749993,2585.4421275772665,3441.528247866341
2024-02-16,3167.4616037870915,2750.965793909438,3580.334317959076
2024-02-17,2413.450899731556,1984.0278736997097,2830.5634604201578
2024-02-18,1820.5541409140426,1369.976852843376,2267.751635045244
2024-02-19,2941.798197402162,2488.997653545813,3372.6907961205316
2024-02-20,2991.1857375518052,2563.440244917883,3399.234781963382
2024-02-21,2962.233436738336,2522.371249384019,3347.430964335142
2024-02-22,3013.620946738436,2579.3536218422087,3463.6584483511006
2024-02-23,3181.086735668151,2756.1322858205185,3624.4840630672625
2024-02-24,2427.07603163285,2023.2904396962779,2845.4455505003957
2024-02-25,1834.1792728332885,1386.714274976205,2274.446707327733
2024-02-26,2955.423329323495,2510.2162546633676,3394.645304452934
