ds,yhat,yhat_lower,yhat_upper
2024-01-01,3749.6605202196174,2721.8481301524466,4655.046082869037
2024-01-02,4134.923933416076,3147.5894172930466,5217.828554009224
2024-01-03,4105.024666210131,3106.989009448872,5018.693460925099
2024-01-04,4082.567224820674,3126.530414271496,5102.710717562422
2024-01-05,4196.238054138181,3179.8751684991685,5202.832931568619
2024-01-06,3545.2393657736257,2537.4218794659746,4505.96562324021
2024-01-07,4475.389028491896,3478.9723296416228,5438.6409222898965
2024-01-08,3780.9308142444315,2769.2614707459365,4768.630235925794
2024-01-09,4166.194227439497,3133.2593088543435,5143.136348082124
2024-01-10,4136.294960237436,3146.57177140059,5122.440052543964
2024-01-11,4113.837518846373,3122.305485045996,5093.45852828504
2024-01-12,4227.508348160472,3290.386915828057,5207.804784545267
2024-01-13,3576.509659796775,2563.0132331320597,4555.444895018037
2024-01-14,4506.6593225161705,3507.4669736837454,5484.64172711837
2024-01-15,3812.2011082685344,2795.141038358059,4762.839074143964
2024-01-16,4197.464521462918,3164.9782497968567,5164.99751423238
2024-01-17,4167.565254259485,3192.4537099108893,5152.059046063405
2024-01-18,4145.107812867752,3182.1022950818938,5085.427034498239
2024-01-19,4258.778642179078,3241.2776344801428,5200.175790287144
2024-01-20,3607.779953815085,2633.7598499303695,4644.185200249737
2024-01-21,4537.929616532398,3545.42333624507,5587.881985486242
2024-01-22,3843.47140228342,2730.1032806188555,4811.003786632318
2024-01-23,4228.734815477537,3223.8460745708844,5128.205487178166
2024-01-24,4198.835548270297,3275.6322786786895,5170.505560288292
2024-01-25,4176.378106880547,3107.6717159794225,5163.412028928269
2024-01-26,4290.048936190303,3361.365231211826,5243.935223403884
2024-01-27,3639.0502478260214,2589.6752045492162,4683.866288119983
2024-01-28,4569.19991054377,3515.677408391216,5599.948390316954
2024-01-29,3874.741696295331,2779.626909407306,4853.650432873284
2024-01-30,4260.005109490313,3285.0220923127436,5190.961189824051
2024-01-31,4230.105842282071,3259.7079463576943,5262.582808325982
2024-02-01,4207.648400886563,3184.199361682614,5217.664010938255
2024-02-02,4321.319230201529,3295.0656663187665,5404.662853235429
2024-02-03,3670.320541910045,2633.0836830921403,4685.363782813371
2024-02-04,4600.470204698705,3504.5707494328212,5613.71655771237
2024-02-05,3906.0119905218535,2894.5512325228888,4844.540707870233
2024-02-06,4291.2754037898485,3375.6582138263752,5412.943303665004
2024-02-07,4261.376136655116,3298.1403817002247,5231.626171992221
2024-02-08,4238.918695332885,3253.657051286906,5297.474067499941
2024-02-09,4352.5895247196,3355.406631137533,5302.852322282927
2024-02-10,3701.5908364275956,2715.508746146103,4781.300310955777
2024-02-11,4631.740499215521,3708.7282549142406,5712.009179376345
2024-02-12,3937.282285040274,2927.6664008483167,4885.676741613713
2024-02-13,4322.545698306148,3351.89490865339,5355.241118336183
2024-02-14,4292.646431170043,3347.7728043207344,5202.349407903412
2024-02-15,4270.188989848984,3269.2484831664315,5236.819043708351
2024-02-16,4383.859819234769,3343.264652090636,5375.560525021859
2024-02-17,3732.8611309443127,2796.366991477153,4788.203406523867
2024-02-18,4663.010793732336,3671.645400828867,5732.956207880486
2024-02-19,3968.5525797214286,3049.6774339041494,4953.852852016267
2024-02-20,4353.815993153503,3378.0082097934564,5379.065108888003
2024-02-21,4323.916726181811,3347.9311396247194,5354.13357012095
2024-02-22,4301.459285030017,3270.458225349655,5278.727422590863
2024-02-23,4415.130114581683,3413.891488609434,5371.8851374901105
2024-02-24,3764.131426454716,2806.3565724315013,4801.02772528192
2024-02-25,4694.281089407843,3660.6079249283,5695.767378563543
2024-02-26,3999.822875397708,3032.1470584109743,4941.764950509089
2024-02-27,4385.086288831358,3391.5676206987955,5443.789706356315
2024-02-28,4355.187021860332,3344.9113968200613,5310.5744033922765
2024-02-29,4332.729580705414,3260.11067383119,5424.9017595857495
2024-03-01,4446.400410256151,3506.758902699405,5425.240354861509
2024-03-02,3795.401722130041,2723.115970267761,4784.483128943173
2024-03-03,4725.551385083957,3715.7819321403163,5708.773584942218
2024-03-04,4031.0931710725467,3015.5883190879413,5021.940102822583
2024-03-05,4416.356584504698,3450.0458405309023,5354.521311655947
2024-03-06,4386.442195545898,3433.864614707454,5461.6295137736415
2024-03-07,4363.969632393639,3395.8138872184636,5375.63427842933
2024-03-08,4477.625339950714,3459.081493102628,5485.302952272922
2024-03-09,3826.6115298312325,2844.678085382859,4900.051561058078
2024-03-10,4756.746070790836,3775.6443647570404,5682.955444518907
2024-03-11,4062.2727347853397,3075.123532414027,5105.18377976429
2024-03-12,4447.521026225154,3472.450699691608,5390.3825700795105
2024-03-13,4417.606637262723,3399.3390283594053,5441.084157723329
2024-03-14,4395.1340741116355,3437.5789109027533,5435.576715258561
2024-03-15,4508.789781667782,3430.516804772046,5503.606963905472
2024-03-16,3857.7759715490156,2829.943405394949,4852.133610290358
2024-03-17,4787.910512509213,3805.200688515102,5885.253583079403
2024-03-18,4093.437176504929,3045.9214046851616,5030.194638106846
2024-03-19,4478.685467943351,3469.659903563703,5511.654574656001
2024-03-20,4448.771078979548,3398.1924164648294,5488.2220493013265
2024-03-21,4426.298515832111,3497.092159812101,5450.0419124924365
2024-03-22,4539.231774341468,3451.4405373210707,5518.490215543113
2024-03-23,3887.4955151773347,2833.8955804141997,4878.830930806088
2024-03-24,4816.907607092606,3832.6384256624806,5842.82731479094
2024-03-25,4121.711822042932,3118.151196799714,5132.0529419204195
2024-03-26,4506.23766443771,3560.160760786016,5499.8228084870125
2024-03-27,4475.600826427686,3431.1902206665923,5452.694293094826
2024-03-28,4452.405814231096,3515.644457553001,5446.979483684959
2024-03-29,4565.339072744903,3597.821651624544,5568.732656295092
2024-03-30,3913.6028135785846,2908.4170653126507,5014.304096055846
2024-03-31,4843.014905495122,3792.126066067073,5856.819870430645
2024-04-01,4147.819120443836,3172.9771779523726,5074.016718804902
