ds,yhat,yhat_lower,yhat_upper
2024-01-01,18366.581646126917,15631.870423261087,21122.350099366548
2024-01-02,18784.904998725724,16094.944797112461,21471.328250632905
2024-01-03,18551.601115104677,15900.053355755008,21249.669574174084
2024-01-04,19048.946968686865,16400.654133379085,21644.270169844513
2024-01-05,19578.654682255055,17049.26850041709,22388.868704188495
2024-01-06,15126.774783222061,12620.960843820021,17797.21326498561
2024-01-07,11856.971767048562,9301.226952655023,14836.85371146985
2024-01-08,18433.97202449643,15645.268992319958,21033.049052932984
2024-01-09,18852.29537711204,16243.946120040235,21462.71629892063
2024-01-10,18618.991493484496,15928.469222212228,21241.08557678551
2024-01-11,19116.337347070224,16397.892275559443,21690.059969848204
2024-01-12,19646.045060644494,16973.382729651483,22170.975880552218
2024-01-13,15194.165161628029,12577.377793996788,17819.954688879716
2024-01-14,11924.362145439289,9298.98062795085,14675.999564013919
2024-01-15,18501.362402886745,15998.347611669147,21500.520360657072
2024-01-16,18919.68575549835,16382.892580841797,21733.6590540318
2024-01-17,18686.38187187423,15905.182495131465,21307.53343529344
2024-01-18,19183.727724107528,16539.32592776697,21745.471411424285
2024-01-19,19713.435436329037,16978.921549732557,22525.179863396603
2024-01-20,15261.55553595431,12498.982324463512,17793.282180740327
2024-01-21,11991.75251841377,9221.931872816938,14675.32067062393
2024-01-22,18568.752774514807,16097.727555456024,21154.69140838787
2024-01-23,18987.076125767417,16471.109259348505,21604.74993181468
2024-01-24,18753.772240794875,16104.810186565763,21508.51100265525
2024-01-25,19251.118093023735,16637.209735746084,21956.428140417866
2024-01-26,19780.825805244753,17185.03752781687,22457.112278818244
2024-01-27,15328.94590487079,12653.98270432814,17943.075420010406
2024-01-28,12059.142887337337,9376.093159575914,14662.767618316857
2024-01-29,18636.143143417165,15916.646998943865,21423.643240839003
2024-01-30,19054.466494684024,16416.488672943797,21759.818649329718
2024-01-31,18821.162609712494,16339.889145929876,21444.621864179873
2024-02-01,19318.508461948957,16759.54796332077,22047.03367140449
2024-02-02,19848.216174160483,17119.92621194245,22403.565723186708
2024-02-03,15396.336273724002,12814.02690442365,18056.756523845605
2024-02-04,12126.53325613219,9675.636516005165,14669.461698708788
2024-02-05,18703.53351216644,16048.890698041216,21400.908440771196
2024-02-06,19121.85686337184,16451.70452287077,21867.126511999337
2024-02-07,18888.552978340926,16079.667387476262,21638.912489757826
2024-02-08,19385.89883051814,16446.517868776038,22141.555206784975
2024-02-09,19915.606542682806,17243.01095788407,22677.626511950268
2024-02-10,15463.72664223019,12648.73977398364,18023.955633680212
2024-02-11,12193.923624647672,9492.735178380251,14732.006914134743
2024-02-12,18770.923880685114,15840.908777726745,21323.26426691511
2024-02-13,19189.247231886133,16704.916909520667,22029.19514643935
2024-02-14,18955.943346858647,16118.549334636657,21451.421966092254
2024-02-15,19453.289199035873,16974.437472839425,22065.113506461854
2024-02-16,19982.99691120022,17223.536029054034,22502.89711289666
2024-02-17,15531.117010741804,12854.499228284974,18231.992612804894
2024-02-18,12261.31399316316,9576.509474476894,15031.626114953768
2024-02-19,18838.314249099178,16075.352565425366,21528.666015049715
2024-02-20,19256.637600196675,16658.67946786803,21772.240990584964
2024-02-21,19023.33371506479,16358.029613637695,21575.82030066216
2024-02-22,19520.67956713179,17085.576358142833,22339.500106255527
2024-02-23,20050.38727918524,17520.90341543329,22933.27812453206
2024-02-24,15598.507378630275,13032.350399035759,18093.094645857087
2024-02-25,12328.704360941825,9655.001883362402,15195.151333855702
2024-02-26,18905.704616890478,16307.857262687308,21480.81511771469
2024-02-27,19324.027967981427,16511.155775635212,22063.65666550318
2024-02-28,19090.724082848614,16386.6810178959,21669.244464931468
2024-02-29,19588.06993492253,16953.35181753927,22102.690073231854
2024-03-01,20117.777646975665,17540.83592334834,22649.160169693474
2024-03-02,15665.897746437233,12916.512177093535,18342.08573656451
2024-03-03,12396.094728730313,9600.979409949025,14942.622789134391
2024-03-04,18973.094984681404,16203.380278012923,21552.35535476466
2024-03-05,19391.41833577127,16890.192633981835,22136.460049681413
2024-03-06,19158.05266112672,16508.328302002206,21769.921648025414
2024-03-07,19655.336723697725,16916.992950678916,22315.451976971148
2024-03-08,20184.982646251457,17630.831553817523,22900.178833737828
2024-03-09,15733.040956205661,13077.803668040622,18417.41933025401
2024-03-10,12463.176149008574,9779.691972968141,15182.612081931069
2024-03-11,19040.11461545657,16350.528999165523,21908.34229443619
2024-03-12,19458.3761770372,16780.67358071979,22058.95429285251
2024-03-13,19225.010502398614,16663.971656288173,21936.51660277745
2024-03-14,19722.294564969638,17050.31068118292,22443.485940517432
2024-03-15,20251.940487523058,17640.93075410756,22766.687368824267
2024-03-16,15799.998797476885,13299.475698942268,18513.00382164458
2024-03-17,12530.133990275015,9817.249435362839,15081.275236920885
2024-03-18,19107.07245670824,16521.89248770417,21726.8177243915
2024-03-19,19525.334018305668,17006.71574715516,22361.972841518378
2024-03-20,19291.96834367051,16867.477917285807,22100.890981682893
2024-03-21,19789.25240623516,17089.51051706051,22506.872814797058
2024-03-22,20314.812683673154,17574.505310117278,22840.586611368755
2024-03-23,15858.785348529706,13103.326437042702,18645.448856304258
2024-03-24,12584.834896203083,9937.383067178745,15403.115299518453
2024-03-25,19157.687717520956,16525.783682853056,21904.316009150683
2024-03-26,19571.863633996894,16799.423065929055,22245.502060346767
2024-03-27,19334.412314247806,16648.00747129748,22006.692868775368
2024-03-28,19827.610731708883,17074.342342401564,22522.350123777444
2024-03-29,20353.171009145073,17613.742046244563,23120.744060652538
2024-03-30,15897.143673996346,13244.289830489624,18612.221453435042
2024-03-31,12623.193221671383,9892.605444057488,15170.67977140782
2024-04-01,19196.04604298847,16667.302830707788,21893.517221359612
2024-04-02,19610.221959467293,17046.500502420335,22341.95993686643
2024-04-03,19372.770639718143,16535.905228454598,21908.183914556812
2024-04-04,19865.96905716982,17197.522466186354,22595.737395791155
2024-04-05,20391.52933460553,17535.998757839167,23019.80594361503
2024-04-06,15935.50199945213,13210.135270897139,18629.732793911364
2024-04-07,12656.299137779693,9965.468296907366,15318.729914253798
2024-04-08,19223.899549743197,16445.291564439736,21874.14544841578
2024-04-09,19632.823056860867,17101.870866537873,22319.15012687037
2024-04-10,19390.119327748445,16528.238849470366,22169.68883519075
2024-04-11,19878.065335846895,17117.376905857072,22662.964872357115
2024-04-12,20398.37320392535,17711.146393228086,23109.68857133505
2024-04-13,15937.093459415928,13206.418421690447,18480.31696350795
2024-04-14,12657.890597740758,10094.266330988285,15285.250166810793
2024-04-15,19225.491009713303,16401.55491058777,21878.070310461564
2024-04-16,19634.414516827346,16940.42500917347,22445.86534849062
2024-04-17,19391.710787718348,16498.86975057429,22116.66733070511
2024-04-18,19879.656795816816,17273.59549189946,22749.76510909665
2024-04-19,20399.964663899857,17740.870335811316,22971.295802810066
2024-04-20,15938.684919379728,13421.934459118344,18520.499086653715
2024-04-21,12659.482057705212,9952.23831921176,15246.093946403988
2024-04-22,19227.082469683413,16731.483329451232,21870.559048217598
2024-04-23,19632.345566541284,17032.005024125247,22442.560264780255
2024-04-24,19385.981427183287,16617.355418406096,21937.567529183765
2024-04-25,19870.26702502018,16997.226950093704,22486.351231316406
2024-04-26,20386.914482869463,17868.75683481198,22923.74229462765
2024-04-27,15921.974328093529,13233.803071869763,18755.977216309515
2024-04-28,12639.111056176102,9973.904188979292,15312.408318017657
2024-04-29,19203.05105788347,16577.973080627027,21751.279203675775
2024-04-30,19608.314154761727,16831.519814262352,22146.038054734265
2024-05-01,19361.95001539823,16652.53899708252,21984.699681039307
2024-05-02,19846.2356132465,17073.553750707382,22585.28195795242
2024-05-03,20362.88307107595,17665.813377622908,23042.138323239273
2024-05-04,15897.9429163019,13310.971602294496,18638.58482466549
2024-05-05,12615.079644393772,10157.464094595854,15454.680166361268
2024-05-06,19179.019646103574,16626.824422049707,21872.657077856395
2024-05-07,19584.28274297566,16834.26143687094,22330.52129672955
2024-05-08,19337.918603613172,16708.42465214577,22071.700390131875
2024-05-09,19821.819049937214,17326.036897370795,22617.452253741303
2024-05-10,20338.081356249935,17803.018221127295,23151.33337453851
2024-05-11,15872.75604996961,13191.455711408098,18452.354409623862
2024-05-12,12589.50762652021,9775.82530732553,15233.879417372367
2024-05-13,19153.06247671039,16532.635796209146,21803.29148953909
2024-05-14,19557.940422057833,16764.079255237055,22324.657147510934
2024-05-15,19311.19113117341,16674.167606353174,22143.08282156883
2024-05-16,19795.091577493702,17124.415879863755,22456.517596549584
2024-05-17,20311.35388380988,17720.816129638788,22697.719585475756
2024-05-18,15846.02857751832,13108.354683526139,18448.559110647424
2024-05-19,12562.780154078218,9827.415710628233,15182.66169121072
2024-05-20,19126.335004270833,16407.9868854935,21849.014621016562
2024-05-21,19531.21294961211,16875.198880583423,22200.58664828862
2024-05-22,19284.463658731718,16797.705927481686,21935.813479755758
2024-05-23,19768.36410504757,17022.69076954354,22390.78025388034
2024-05-24,20284.626411356705,17689.30573083669,22906.416379208807
2024-05-25,15819.278882275288,13212.205375099411,18564.93477284125
2024-05-26,12536.008236021207,9746.066757006594,15295.862283096616
2024-05-27,19099.54086340306,16319.674938554454,21836.07771490189
2024-05-28,19504.396585955987,16944.422627486492,22436.218421044072
2024-05-29,19257.625072278963,16535.39149576552,21994.729227143747
2024-05-30,19741.503295792238,16792.37298895991,22522.262448867736
2024-05-31,20257.743379298456,17740.488568578498,23071.117199620916
2024-06-01,15792.395850205805,12973.757577136628,18295.923541593063
2024-06-02,12509.125203961017,9858.557312887197,15207.412869241787
2024-06-03,19072.657831345303,16490.224404496737,21888.29398037452
2024-06-04,19477.513553897148,16974.9188172507,22177.202830444177
2024-06-05,19230.742040211084,16656.115668494087,21813.506008832668
2024-06-06,19714.620263734298,17045.675139975803,22500.275379927596
2024-06-07,20230.860347245103,17525.19238584157,22752.0266164493
2024-06-08,15765.51281813632,13141.196164395327,18437.32519789338
2024-06-09,12482.242171904054,9773.386066175304,15199.15718909133
2024-06-10,19045.77476783204,16450.45391123591,21692.913342935077
2024-06-11,19450.630458921445,16769.841266568685,22103.830603378105
