ds,yhat,yhat_lower,yhat_upper
2024-01-01,90369.71286611812,75790.33713725243,105244.92801831478
2024-01-02,94002.5847312597,78345.62737968192,108666.55771509856
2024-01-03,92839.22211266505,77539.71987774293,107818.92150325346
2024-01-04,95010.69877364676,80981.87541945571,110317.6318701531
2024-01-05,99269.59948641571,84345.16356440638,114479.99428437167
2024-01-06,73323.55340070908,58786.332320121095,88629.72168771047
2024-01-07,53604.38629048089,39751.08241974718,67804.59067280541
2024-01-08,90514.84788576624,75682.94819347438,105950.70898616477
2024-01-09,94147.71975100633,78942.44316139964,109837.58399223961
2024-01-10,92984.35713237616,77846.58202067834,107947.12604730854
2024-01-11,95155.83379337747,79662.5094439895,110089.31835345674
2024-01-12,99414.73450618026,84441.1706391788,115463.25637041462
2024-01-13,73468.68842057118,58345.82257632177,88373.19562650741
2024-01-14,53749.52131025241,38444.67726934028,67136.52200697016
2024-01-15,90659.98290553651,76369.03582984168,105260.66897401652
2024-01-16,94292.85477075297,80181.21452058954,108412.51021266136
2024-01-17,93129.49215214033,78022.41077113662,109216.15590520576
2024-01-18,95300.96881308928,80702.53868871657,110271.20691370181
2024-01-19,99559.86952583648,83118.31812596107,114525.63697732956
2024-01-20,73613.82344013912,58310.67975891494,88349.6501601562
2024-01-21,53894.6563297681,38574.33366085063,68396.50556607057
2024-01-22,90805.11792503591,76550.98952450619,106854.90550501292
2024-01-23,94437.98979016196,79934.4285958402,108969.50883799816
2024-01-24,93274.62717151821,77555.6276737751,107960.27847853683
2024-01-25,95446.10383244079,80423.28664872346,110650.12312535291
2024-01-26,99705.00454518484,84398.98838122762,114779.09106332735
2024-01-27,73758.95845949036,58700.46069107983,89151.66062969482
2024-01-28,54039.791349160405,39270.54455010314,69178.84812468899
2024-01-29,90950.25294430483,76441.15791759398,106263.41775874978
2024-01-30,94583.1248095168,79836.79579899395,109512.14508907142
2024-01-31,93419.76219087665,79312.65765790091,108887.01680795853
2024-02-01,95591.23885183893,79946.37355476058,111204.72794525659
2024-02-02,99850.13956453318,84960.98181566407,115443.16449806638
2024-02-03,73904.0933361017,58214.25697285656,88647.38669938948
2024-02-04,54184.92608306549,39511.52964685326,68936.13850841451
2024-02-05,91095.3875355665,76426.77157707633,106446.95249021803
2024-02-06,94728.25925805018,79657.86356547398,110504.2828597034
2024-02-07,93564.89649669251,78754.90003123744,108281.96833080053
2024-02-08,95736.37301493937,80436.22884679117,111539.77192906477
2024-02-09,99995.2735849838,85241.60539891715,115794.87829670274
2024-02-10,74049.22735646198,58806.6416078365,89332.77697874865
2024-02-11,54330.06010347867,39411.901579016565,70085.67119294818
2024-02-12,91240.52155600187,77069.91370995813,106547.71225573392
2024-02-13,94873.39327845804,79654.21798289493,110418.49622527753
2024-02-14,93710.03051711792,78709.93782329769,107873.37473158838
2024-02-15,95881.50703536658,80190.32359567749,111272.31441546977
2024-02-16,100140.40760540958,85446.48100404184,115530.42179949845
2024-02-17,74194.36137685366,59537.87560930056,89793.84087145269
2024-02-18,54475.19412389185,39361.01889121438,69669.5985496173
2024-02-19,91385.65546618975,75712.81220281545,105623.70392268385
2024-02-20,95018.52707840542,79222.54885976951,109719.49448112078
2024-02-21,93855.16420682416,78824.89476644066,109408.26092660616
2024-02-22,96026.64061479962,81068.03852324118,111223.29863802037
2024-02-23,100285.54107456275,84767.72174040956,115616.13272591059
2024-02-24,74339.49473580695,59235.58729334736,89935.74838413083
2024-02-25,54620.327372576256,38686.97273389125,68669.4995231036
2024-02-26,91530.78871494315,76314.43618171035,106756.43350660753
2024-02-27,95163.66032712258,79821.33788852679,110663.3615853057
2024-02-28,94000.2974555378,79507.02992597994,110273.36914396088
2024-02-29,96171.77386354869,81163.02170707272,111627.92461995826
2024-03-01,100430.6743233104,85094.71213943411,114784.6818426806
2024-03-02,74484.62798465218,58595.279928656,89292.35646638813
2024-03-03,54765.46062131133,39953.89061747609,69607.62201644303
2024-03-04,91675.92196369266,76580.7741506061,106416.25932196854
2024-03-05,95308.7935758649,79495.47537593309,109568.75730428309
2024-03-06,94145.27335495227,79659.03024107384,109595.11623860504
2024-03-07,96316.59241367914,81185.14109548304,110533.15879619979
2024-03-08,100575.33552418185,86031.69711847349,116124.5537133344
2024-03-09,74629.1318362154,59831.51550341925,89313.26523985213
2024-03-10,54909.80712366727,40376.45030515072,70314.83085073944
2024-03-11,91820.11111676761,77341.95108669298,107289.95860158747
2024-03-12,95452.82537962389,79991.8349585685,110354.44925590036
2024-03-13,94289.3051587414,78734.08422194979,108754.94571407238
2024-03-14,96460.62421747009,81922.05920161703,111900.27887566201
2024-03-15,100719.36732797135,85296.30001377688,115872.50374548798
2024-03-16,74773.16364000217,59351.761163839576,90340.81832982224
2024-03-17,55053.8389274246,39171.7057120754,69403.85765603247
2024-03-18,91964.14292044067,77037.29426665654,106701.5059953655
2024-03-19,95596.85718339546,80453.08935870473,110976.0961644015
2024-03-20,94433.33696253053,78502.39463475859,108382.41551279312
2024-03-21,96604.65602122576,81096.1829714571,111529.85758274932
2024-03-22,100852.78189399121,86932.16618140411,116127.01852951932
2024-03-23,74895.96096839255,60400.56064787267,90580.11476192375
2024-03-24,55166.01901802307,40292.70186838862,71074.87253936761
2024-03-25,92065.70577330524,76890.5728898835,106408.47689833016
2024-03-26,95687.80279849112,80968.59276025635,110706.16405226407
2024-03-27,94513.6653398971,79535.41385561865,109629.24912586201
2024-03-28,96674.36716092327,80429.4464825914,110998.90316606853
2024-03-29,100922.49303367686,86206.10251731018,115878.8030302281
2024-03-30,74965.67210805064,60317.650938085564,89934.67308671062
2024-03-31,55235.73015769086,42148.86454289392,70765.26796508144
2024-04-01,92135.41691296789,77773.51207413677,107289.57004050257
2024-04-02,95757.51393816559,80747.91130198662,111173.84742340478
2024-04-03,94583.37647957703,79897.45856417587,109057.34135280404
2024-04-04,96744.07830055025,82208.72055540697,112372.65847545645
2024-04-05,100992.2041733007,86217.64444565414,115885.41904643948
2024-04-06,75035.38324764596,60592.66653425656,91019.9173353455
2024-04-07,55298.51998736736,40869.49074228195,70226.06800358607
2024-04-08,92191.28543269489,77277.54255314736,107532.41425155965
2024-04-09,95806.46114789334,79870.370549053,110332.51234642965
2024-04-10,94625.4023792975,79160.28495316446,110127.29215706012
2024-04-11,96779.18289031865,81392.38481709956,111087.85458316488
2024-04-12,101020.38745309426,85825.90889309096,116863.76116115777
2024-04-13,75056.64521747068,60394.65196867742,89752.9343622043
2024-04-14,55319.78195718252,41110.359028291925,70605.7049835775
2024-04-15,92212.54740255556,76929.39934377707,107000.58210197282
2024-04-16,95827.72311773425,82137.26036251153,110311.95671806886
2024-04-17,94646.66434915595,79225.84298304918,109396.12196786853
2024-04-18,96800.44486017892,81690.29863435503,111463.14261763428
2024-04-19,101041.64942297792,85016.36482286705,115543.18593432053
2024-04-20,75077.9071872954,59823.634598976176,90924.06783113597
2024-04-21,55341.04392700918,40210.97185414859,70767.9143348283
