ds,yhat,yhat_lower,yhat_upper
2024-01-01,180776.53567883966,156200.47919780732,204835.49414179428
2024-01-02,180357.44403482368,154748.83382996364,207619.36250402904
2024-01-03,178259.6373441889,152809.9683281742,204140.586124947
2024-01-04,188335.45700841254,163659.6838650032,212212.93249651487
2024-01-05,212270.0752398353,188994.3249415849,238782.16678370436
2024-01-06,165828.23362588987,143338.52650431707,190101.48060217415
2024-01-07,133141.4466549241,109432.29348087865,156609.05286490498
2024-01-08,181742.54356500498,156341.90303123312,207009.59274310645
2024-01-09,181323.4519211079,158276.18518838417,204102.95891789626
2024-01-10,179225.64523045282,153619.10773833847,203336.87665299853
2024-01-11,189301.46489470138,166435.2173493262,215629.00914441023
2024-01-12,213236.08312615962,188721.9603643844,238142.09055280904
2024-01-13,166794.24151238461,143856.49014256595,190955.78488661477
2024-01-14,134107.45454126335,109814.99730855931,160371.87798242416
2024-01-15,182708.55145133578,158385.62241420298,206132.67369208258
2024-01-16,182289.45980739212,157359.6016324117,207042.20211668612
2024-01-17,180191.65311676316,156908.56481899912,205440.6165220953
2024-01-18,190267.4727713268,164663.34282507186,214804.12691810756
2024-01-19,214202.09099307077,190997.75181859307,240629.3327160128
2024-01-20,167760.24936953065,144921.07374590816,193728.3319225062
2024-01-21,135073.4623886858,112211.56992435754,159935.32953622172
2024-01-22,183674.55928913335,158145.0637949973,206765.1938904048
2024-01-23,183255.4676354381,156757.99100572593,206757.28481377027
2024-01-24,181157.66093511716,157278.97466435353,205030.7943581206
2024-01-25,191233.48058966929,166927.52753262935,215225.52948703474
2024-01-26,215168.09881139395,190052.26163872733,240942.78906804064
2024-01-27,168726.25718785016,145035.33231482547,194673.95902338217
2024-01-28,136039.47020707862,112647.1496383428,158434.42541917443
2024-01-29,184640.56710735237,160318.94851985536,209459.9867016411
2024-01-30,184221.47545377747,158375.51359907247,207969.53418045983
2024-01-31,182123.66875345793,158660.52197415844,207701.97029359438
2024-02-01,192199.48840799055,166462.0664085266,217724.8752203728
2024-02-02,216134.10662971716,194515.79358232656,240911.2746977532
2024-02-03,169692.26494309356,144070.57724976382,194488.66825005275
2024-02-04,137005.4778993325,112363.70078395464,161480.70019235014
2024-02-05,185606.57473664894,161631.84167607198,211167.76319701923
2024-02-06,185187.4830200328,160714.20993544115,209678.85525152553
2024-02-07,183089.67625669556,157469.39129782774,207659.62726190686
2024-02-08,193165.4958482092,168906.45028301206,216632.72212277557
2024-02-09,217100.11400696635,193937.61351640022,240302.21956102416
2024-02-10,170658.27232021317,144793.82858892932,195006.4887214297
2024-02-11,137971.4852765358,115086.21883445866,164195.77594380642
2024-02-12,186572.58211391483,163680.21769361084,209778.49284103722
2024-02-13,186153.49039722627,161992.20964070765,212031.00206407864
2024-02-14,184055.68363391512,160093.37192472306,208794.47343905285
2024-02-15,194131.50322545052,170233.8988111134,217648.64454595093
2024-02-16,218066.12138419994,193047.6582579397,243169.04130879362
2024-02-17,171624.2796973883,145586.1029954285,196437.69860606873
2024-02-18,138937.49265373911,112930.62830944393,165005.29016289552
2024-02-19,187538.58948695345,161492.23698457607,210695.4524211038
2024-02-20,187119.49776612528,163499.14913604493,211549.07926928523
2024-02-21,185021.69099860833,160600.34070780323,209895.51508801852
2024-02-22,195097.5105859468,170352.65958977156,219812.49751501353
2024-02-23,219032.12874044667,193276.30193730808,245456.63959999953
2024-02-24,172590.28704951075,147950.7877599013,198355.30145253523
2024-02-25,139903.50000166177,116230.14701266366,163793.06057227103
2024-02-26,188504.5968349653,163810.4546206261,213066.46263612836
2024-02-27,188085.5051140921,162851.57313770495,212383.28838875578
2024-02-28,185987.6983465666,162058.60513789975,211503.81121046655
2024-02-29,196063.51793395999,171930.164566307,221915.7337037602
2024-03-01,219998.13608845216,194944.06469070772,245817.7344589058
2024-03-02,173556.29439768667,147795.87674311575,198114.91654219365
2024-03-03,140869.50734963696,118521.32965826122,165093.54445110413
2024-03-04,189470.60418295124,166263.55722123725,213600.74898074594
2024-03-05,189051.51246205595,165138.0124951321,214323.2477074512
2024-03-06,186929.0851941581,163065.11740927934,211016.8972476617
2024-03-07,196980.284281115,172896.31335639543,219397.68909900682
2024-03-08,220890.28193534203,196846.02101857445,246627.2683225948
2024-03-09,174423.81974416383,149808.49962357187,199276.21624556344
2024-03-10,141712.4121958894,116065.46225960493,167061.81057486715
2024-03-11,190288.88852884163,165459.40217782382,214144.39282728598
2024-03-12,189845.1763075477,165033.74021058116,215077.1558528344
2024-03-13,187722.7490396744,163449.90673409353,211785.12730582783
2024-03-14,197773.94812665312,172632.4887704203,221926.0940165288
2024-03-15,221683.94578087243,198843.5236673868,245990.5209400606
2024-03-16,175217.48358969123,151762.9751926975,201107.35445489796
2024-03-17,142506.07604134432,119398.09650645005,168112.2184186117
2024-03-18,191082.55237421297,166002.65770489967,215822.51015677376
2024-03-19,190638.84015303795,167148.67794970496,216754.39758164936
2024-03-20,188516.41288519077,163622.62852468019,211542.01700395547
2024-03-21,198567.6119721479,175599.87537137946,224237.16810995573
2024-03-22,222432.48009413923,198242.37090018895,246619.62334576494
2024-03-23,175920.88837091898,152818.9191860106,200855.6587125847
2024-03-24,143164.3512902633,120878.24972925999,166545.15242677738
2024-03-25,191695.69809091467,166546.62122576768,215467.93475170166
2024-03-26,191206.85633748586,165733.96759672835,216828.47037752546
2024-03-27,189039.29953743133,165762.79734232524,214321.3258295232
2024-03-28,199045.36909226797,172795.59789433042,224220.71625048993
2024-03-29,222910.23721422386,197090.94572628266,248277.94642639408
2024-03-30,176398.645490985,152237.83778032984,200962.80391094147
2024-03-31,143642.1084103472,120171.53634604209,169802.17017495717
2024-04-01,192173.45521096417,166779.2399135392,214799.04459520328
2024-04-02,191684.61345756968,166492.63152737444,215304.40841860662
2024-04-03,189517.05665749955,164426.42661087812,214300.35816076488
2024-04-04,199523.12621230143,176159.29834051293,224337.75864905346
2024-04-05,223387.9943342381,199310.92134541736,249978.61522518515
2024-04-06,176876.40261094007,152915.1931230975,199559.09517915276
2024-04-07,144075.4802323578,120238.34627316071,168303.63533133193
2024-04-08,192562.4417350093,167911.4212062622,216603.8351498555
2024-04-09,192029.2146835143,168063.04987110404,216935.7937503076
2024-04-10,189817.2725853958,164850.75113412554,214728.40212648181
2024-04-11,199778.95684219443,174221.85295113723,224323.5177904397
2024-04-12,223599.43966608378,196887.61607884313,249082.8055794315
2024-04-13,177043.46264475398,151413.2181071424,201205.70333643715
2024-04-14,144242.54026619252,119767.39865760492,169081.40597649183
2024-04-15,192729.50176886216,168918.64617840855,217758.4559657424
2024-04-16,192196.27471734656,167212.65686823736,215226.80509743313
2024-04-17,189984.33261925416,165300.52283846957,214080.8305199554
2024-04-18,199946.01687607457,176238.94584164626,224451.82704079733
2024-04-19,223766.4996999718,200489.02742332948,250492.49253967006
2024-04-20,177210.52267856794,151675.9921730676,201076.06512217154
2024-04-21,144409.60029998954,119560.79980461576,168131.15669860886
2024-04-22,192896.56180271512,168793.90410778197,217459.77481037573
2024-04-23,192334.25203231006,168514.8921949025,216028.7664872632
2024-04-24,190093.2272153487,163674.62247979184,215076.59103380595
2024-04-25,200025.8287531495,176040.31527072258,225268.68460580948
2024-04-26,223817.22885836294,199653.85217075032,249178.32630945803
2024-04-27,177232.1691180303,153048.06312477292,201713.43074535436
2024-04-28,144402.16402065492,120217.34060994194,170167.13459496578
2024-04-29,192860.04280436217,170549.8436605324,216808.71618668214
2024-04-30,192297.73303410652,165697.50911422705,216314.27428469868
2024-05-01,190056.70821709168,166231.89440061033,215783.2847609388
2024-05-02,199989.30975498067,174392.9648957159,224066.20453124458
2024-05-03,223780.70986003347,197093.61285839244,246646.56052752928
2024-05-04,177195.65011969648,152567.92661592344,201690.0124316505
2024-05-05,144365.6450224048,119542.72131260448,170083.76272802893
2024-05-06,192823.52380612283,166370.0253078354,217524.67606333958
2024-05-07,192261.21403584807,167909.66159696248,217746.75749541752
2024-05-08,190020.18921883465,164777.7664027121,213921.29217660136
2024-05-09,199947.28649654964,173888.0518740631,223889.2506666503
2024-05-10,223733.18234146238,197818.5734254606,248889.32618781395
2024-05-11,177142.61834112016,152897.0648176072,202243.51723773777
2024-05-12,144307.10898345208,118702.08168926141,171505.96760881704
2024-05-13,192759.48350705698,169116.93728622174,215245.62488270068
2024-05-14,192191.66947653267,167137.21705706403,216239.76922961336
2024-05-15,189945.1403993712,164229.685839076,212660.52829559692
2024-05-16,199872.2376770002,174896.34726876524,223126.4915865535
2024-05-17,223658.13352201297,199026.02118228102,247740.07688021896
2024-05-18,177067.56952155675,151865.271903344,201118.47765465704
2024-05-19,144232.06016397238,119727.3873671403,169397.84248454467
2024-05-20,192684.4346875881,168954.0976213614,216666.19781573358
2024-05-21,192116.6206570446,167812.81151924105,215840.17506809894
2024-05-22,189870.09157989774,165668.63015744436,214164.27325567513
2024-05-23,199797.18885751523,174117.07612249735,224743.40738453937
2024-05-24,223583.08470245387,199091.0739337548,248141.93516905696
2024-05-25,176992.52060897008,152546.81256771652,202568.44744375235
2024-05-26,144157.01115817158,118410.70766665037,168204.83484410727
2024-05-27,192609.38558857684,167598.1851753654,216859.46862899757
2024-05-28,192041.57146501952,167503.6330056986,215345.2113056652
2024-05-29,189795.04229476297,166268.51028592113,213524.41127698554
2024-05-30,199722.13947926796,176315.39152689607,225555.0032467986
2024-05-31,223508.03523106466,199369.24568291326,248786.29455121266
2024-06-01,176917.47113746687,151164.5268248375,201777.98303646644
2024-06-02,144081.96168675204,120467.12174907436,168159.6367978618
2024-06-03,192534.33611716807,167967.2405122085,216247.98550028616
2024-06-04,191966.52199358866,168175.41932069467,217984.6712489866
2024-06-05,189719.9928233133,165453.7423858846,216136.1218989435
2024-06-06,199647.09000788647,174627.19667321703,224414.88883756608
2024-06-07,223432.98575969104,198923.32817648555,247615.43273035195
2024-06-08,176842.4216659637,153206.29269958724,202478.44650581796
2024-06-09,144006.9122153777,120236.32175923538,169229.81881999914
2024-06-10,192459.28663395933,168322.89635566337,215785.14441333627
2024-06-11,191891.47249850893,167524.4112345706,216714.8049149014
2024-06-12,189644.94331642234,164659.81360897204,213694.6349412869
2024-06-13,199572.04048920132,174913.5004760144,224477.1633279458
2024-06-14,223357.93622917222,198048.72501760646,246512.3494283683
2024-06-15,176767.37212361593,151059.2364374925,200203.3239931027
2024-06-16,143931.86266113157,118867.43929942639,167750.53003124354
2024-06-17,192384.237079795,169075.23547773052,219846.24077762465
2024-06-18,191816.4229443546,167541.03135029497,216737.7945976505
2024-06-19,189569.89376221443,166246.68224549957,213959.35007081958
2024-06-20,199496.99093499506,173248.40574924962,223262.55914572204
2024-06-21,223282.88667494676,200175.02106855347,249005.3960139167
2024-06-22,176692.3225693313,151918.2104767627,200487.61996751447
2024-06-23,143856.81310692325,119263.80546077792,168546.715677124
2024-06-24,192309.18752563072,170439.00600859392,217233.01590795646
2024-06-25,191741.37339014525,165645.37851433735,216583.9892415975
2024-06-26,189494.8441931254,166688.58036208912,213667.74393536436
2024-06-27,199421.94135106678,173521.96622756807,222597.2605624711
2024-06-28,223207.83707600832,197011.14389343397,249383.83691720077
2024-06-29,176617.27295576927,151811.24733539674,200702.3828514838
2024-06-30,143781.7634782007,118121.27024388978,169435.74496917657
2024-07-01,192234.13788201462,167190.58010216942,214883.11946093148
2024-07-02,191666.32373160427,166540.48825643864,215660.62887821542
2024-07-03,189419.79453461053,164934.2601618266,214241.7229924395
2024-07-04,199346.89169237931,173959.90416865592,223554.945225832
2024-07-05,223132.78741745258,197238.7228600048,246270.39411632033
2024-07-06,176542.2232971544,153494.5646695402,200837.35204106144
2024-07-07,143706.71381971473,119713.47894702812,169082.98906154776
2024-07-08,192159.08822354604,167185.98164704544,217071.34746106784
