ds,yhat,yhat_lower,yhat_upper
2024-01-01,6278.964830469324,5151.177573116595,7408.184658058571
2024-01-02,6519.7582283860165,5337.862371866083,7671.622247730205
2024-01-03,6363.242377338548,5269.288422438161,7589.0290928099785
2024-01-04,6539.093944391487,5358.548082285603,7788.758494356598
2024-01-05,6690.706229065359,5545.7747812893185,7922.330105488987
2024-01-06,4300.007337567377,3104.8497817446973,5487.735998388802
2024-01-07,3436.4851250099377,2274.6350114173997,4596.27029133186
2024-01-08,6312.096885203007,5159.632972464546,7449.000590064021
2024-01-09,6552.890283126676,5331.074366336232,7779.220463623293
2024-01-10,6396.374432078024,5219.336121260319,7601.901632869731
2024-01-11,6572.225999131791,5365.431241788611,7723.772456084164
2024-01-12,6723.838283806989,5558.646261729421,7889.594458133929
2024-01-13,4333.13939231668,3154.947002847703,5517.8271593167465
2024-01-14,3469.617179753364,2402.782034924943,4605.670917483675
2024-01-15,6345.228939945917,5159.305163073622,7482.631412523273
2024-01-16,6586.022337867335,5397.65132287675,7774.0205565464275
2024-01-17,6429.5064868197605,5234.9500273377025,7571.83176089597
2024-01-18,6605.358053921382,5399.722125134912,7754.528532599191
2024-01-19,6756.970338643406,5659.015463289354,7962.426402626956
2024-01-20,4366.27144719868,3257.2952131495167,5557.0026305808
2024-01-21,3502.7492346829354,2369.020426186139,4674.3112389527
2024-01-22,6378.360994925795,5231.385917012346,7662.438753326504
2024-01-23,6619.154392892214,5481.0973244279485,7868.503364093857
2024-01-24,6462.638541893071,5320.507905988267,7609.597405624712
2024-01-25,6638.490108993443,5459.124575999669,7761.417474948365
2024-01-26,6790.10239371451,5633.505108701676,7971.974948543961
2024-01-27,4399.403502270256,3251.8895335690236,5504.103929200466
2024-01-28,3535.8812897581174,2345.941833869978,4663.032958251679
2024-01-29,6411.493049991236,5245.0098961871345,7615.516955157908
2024-01-30,6652.286447964487,5402.000824273933,7919.639186502208
2024-01-31,6495.770596965434,5423.235441123387,7657.621815363056
2024-02-01,6671.622164067159,5556.109294840093,7794.710319256987
2024-02-02,6823.234448785614,5682.932548696395,8084.801580097254
2024-02-03,4432.535556732853,3323.8788505785433,5598.599904029802
2024-02-04,3569.013343612198,2460.819384917436,4749.4459774046445
2024-02-05,6444.625103244752,5165.902550022198,7500.583179235151
2024-02-06,6685.418500609866,5524.268158618605,7887.231348361422
2024-02-07,6528.902649004001,5420.3496155849325,7750.039626750929
2024-02-08,6704.754215498664,5634.585808211858,7855.352603498848
2024-02-09,6856.3664996158395,5646.482545722973,7968.985484540649
2024-02-10,4465.667607554897,3328.9048516975176,5622.465203802382
2024-02-11,3602.1453944383506,2495.996734292097,4745.686487482308
2024-02-12,6477.757154072975,5330.152453039182,7678.857083902744
2024-02-13,6718.550551434966,5448.235692812255,7908.236451118541
2024-02-14,6562.034699830179,5396.833244328155,7758.392925324996
2024-02-15,6737.886266325302,5584.639008625325,7824.66059799844
2024-02-16,6889.498550441912,5716.058453317731,8071.790194495052
2024-02-17,4498.799658379158,3347.6038152821516,5648.486364404128
2024-02-18,3635.277445264504,2457.7775601915937,4790.608343385564
2024-02-19,6510.889204689765,5354.435808576994,7667.116877088988
2024-02-20,6751.682601842942,5523.805590031621,7971.84120628287
2024-02-21,6595.166750027291,5393.596644592512,7730.6630727691445
2024-02-22,6771.018316311293,5580.30814787693,7801.88852151908
2024-02-23,6922.630600214975,5794.049781553264,8104.733528550001
2024-02-24,4531.931707945285,3317.6109559971596,5744.499073097026
2024-02-25,3668.4094946169657,2472.243016542458,4754.643912082468
2024-02-26,6544.021254049294,5469.499580210122,7775.841746764338
2024-02-27,6784.8146512000785,5634.648478922068,7976.720879359136
