ds,yhat,yhat_lower,yhat_upper
2024-01-01,16094.259906960322,13838.584037738448,18277.028605059517
2024-01-02,16077.997276962065,13589.937727557599,18406.244985841207
2024-01-03,16204.839407783425,14018.371890364871,18697.98322064154
2024-01-04,16280.203851639857,13968.761666091315,18406.551119820924
2024-01-05,18063.957906209696,15716.533787155126,20350.549700287273
2024-01-06,15545.934615843142,13367.082197762242,18008.07292871428
2024-01-07,12612.69431948669,10310.818273272946,14944.94743733783
2024-01-08,16193.277753245511,13992.790125291946,18463.957626811407
2024-01-09,16177.015123256653,13758.204218046185,18489.648535530243
2024-01-10,16303.857254074035,14055.068139479747,18634.950461801112
2024-01-11,16379.221697932802,13957.358731585256,18741.786618639344
2024-01-12,18162.975752508144,15937.651730321328,20402.137032832474
2024-01-13,15644.952462151725,13443.202658868211,17781.60316428122
2024-01-14,12711.712165784582,10369.339903674021,15050.406290844574
2024-01-15,16292.295599542895,14024.27099108369,18716.186377811344
2024-01-16,16276.03296955124,14214.20895963204,18509.355474310665
2024-01-17,16402.875100370693,14184.829219097746,18880.967055464826
2024-01-18,16478.23954392898,14349.32462922233,18647.436207079845
2024-01-19,18261.99359820381,15897.241518676838,20592.11509671272
2024-01-20,15743.970307540705,13548.373632667952,18009.76694099712
2024-01-21,12810.730010869736,10298.969707941973,15108.07250008843
2024-01-22,16391.313444333347,14105.94931455707,18528.242883520943
2024-01-23,16375.050814036678,14308.086053577743,18814.34112724444
2024-01-24,16501.892944557374,14213.159745308512,18847.279786471714
2024-01-25,16577.25738811222,14386.89899028854,18996.57825362696
2024-01-26,18361.011442387247,16035.778014955446,20626.95552503701
2024-01-27,15842.988151724141,13715.624968690805,18289.798797625783
2024-01-28,12909.74785505792,10533.065102146931,15237.571644929865
2024-01-29,16490.33128850883,14148.97290862522,18762.921300824604
2024-01-30,16474.068658220735,13944.24039868667,18681.85921821592
2024-01-31,16600.910788741297,14265.181424138398,19058.894110971236
2024-02-01,16676.275232299995,14398.70552803271,19015.185750486355
2024-02-02,18460.02928657068,16322.502050114073,20720.670095179954
2024-02-03,15942.005996281117,13631.087759622547,18256.15796326644
2024-02-04,13008.765699997854,10817.153916441122,15177.567531954966
2024-02-05,16589.349133830412,14326.549011284604,18911.120508526303
2024-02-06,16573.086503919534,14326.340992403151,18827.46574440713
2024-02-07,16699.928634817625,14574.045254307577,19029.707916087114
2024-02-08,16775.29307875411,14317.751689272865,19156.55622373033
2024-02-09,18559.04713340608,16326.957855819739,21034.09988134576
2024-02-10,16041.023843108973,13698.16918444146,18315.113675541776
2024-02-11,13107.7835468318,10682.5852720747,15121.321341311408
2024-02-12,16688.366980668987,14335.349238029165,18909.367638082862
2024-02-13,16672.104350753772,14234.45281934608,19043.518346389665
2024-02-14,16798.94648165393,14624.131926856551,19023.508753168346
2024-02-15,16874.310925591333,14525.36762339525,19195.43857216763
2024-02-16,18658.064980244177,16265.056450264481,21112.962274380465
2024-02-17,16140.041689941763,13760.101046551314,18326.215577387768
2024-02-18,13206.801393665748,10955.978425579353,15504.19468669595
2024-02-19,16787.384827422386,14651.231351659631,19030.732926447923
2024-02-20,16771.122197426143,14617.671004789096,19121.822236368727
2024-02-21,16897.96432824394,14669.334437248648,19232.170631025612
2024-02-22,16973.328772095534,14753.303011533848,19326.78455677421
2024-02-23,18757.082826661175,16496.355002967535,21140.21011118957
2024-02-24,16239.059536281973,14029.532198728799,18656.52210759398
2024-02-25,13305.8192399234,11064.892210615986,15562.719123676843
2024-02-26,16886.40267368474,14546.769881576327,19213.65554357886
2024-02-27,16870.14004368487,14656.235995347553,19251.751208801667
2024-02-28,16996.982174502275,14773.952608065083,19331.62201727977
2024-02-29,17072.346618358064,14687.777235305657,19509.212364240993
2024-03-01,18856.100672924586,16504.743991454972,21134.807316224145
2024-03-02,16338.07738255552,13961.692521384692,18656.923550428153
2024-03-03,13404.837086182662,11199.46636125567,15809.516080218753
2024-03-04,16985.420519945554,14797.286037320055,19479.847068004765
2024-03-05,16969.157889945243,14904.042701703953,19280.823228875703
2024-03-06,17096.000012383152,14808.447373330626,19376.161738081395
2024-03-07,17171.36444786188,14940.809113786445,19525.860750159438
2024-03-08,18955.118494058603,16660.917371555104,21335.230149263363
2024-03-09,16437.095195309907,14043.974143533014,18656.60080370143
2024-03-10,13503.854890572038,11117.784137186132,15896.71170343848
2024-03-11,17084.438315959727,14821.524360340434,19487.811526085414
2024-03-12,17068.1756775811,14641.985384720796,19269.575390322465
2024-03-13,17195.017800021906,14822.518219930282,19639.173000939427
2024-03-14,17270.382235501547,14984.247182783249,19573.509165507658
2024-03-15,19054.136281699142,16835.842656947178,21375.275116965946
