ds,yhat,yhat_lower,yhat_upper
2024-01-01,42681.407863221924,32111.968376760462,53325.77579726639
2024-01-02,45993.46306760458,35631.30327957481,56427.58025212441
2024-01-03,44616.209484437604,34579.090565071165,54750.50701732924
2024-01-04,45733.060847062785,35425.47434409139,55753.25816406356
2024-01-05,45382.02826263558,34885.21852891011,55863.92243918183
2024-01-06,24495.12365868706,14235.289267889011,35128.69987884144
2024-01-07,28187.52853707929,17371.57592364851,39840.93380824921
2024-01-08,42715.038417415686,32834.652988960595,53010.14307067229
2024-01-09,46027.093621831016,35771.18225950294,56694.490056053655
2024-01-10,44649.84003868619,33912.95649659196,54598.79755478905
2024-01-11,45766.6914013037,35640.34717121409,56369.60893699757
2024-01-12,45415.658816858726,34597.23650825184,55802.27011233698
2024-01-13,24528.754212963482,14541.869135554498,35515.20877645891
2024-01-14,28221.159091332156,17606.347229921343,38992.81074607284
2024-01-15,42748.6689716619,32308.441510208362,53069.86086344043
2024-01-16,46060.72417605743,35864.87130928083,56346.213775781594
2024-01-17,44683.47059291064,34218.23792604261,54289.05363843014
2024-01-18,45800.32195532136,34874.67208174609,56230.73224954036
2024-01-19,45449.289370647755,34417.29746127711,55772.17644123323
2024-01-20,24562.3847665379,14350.08846891089,34669.066884893815
2024-01-21,28254.789644690467,17782.28035988451,39100.19100104818
2024-01-22,42782.2995248228,31390.47324672683,53354.184017071006
2024-01-23,46094.35472899702,35165.44382003442,55581.80618123448
2024-01-24,44717.10114562385,34475.1310518782,54520.92583121194
2024-01-25,45833.952508042836,35684.04084481688,56469.88980320435
2024-01-26,45482.9199233506,34915.8073868661,55924.51760084181
2024-01-27,24596.015319244078,14905.574006982446,34912.3359985359
2024-01-28,28288.420197423893,18154.30273160968,38538.67589383983
2024-01-29,42815.930077497134,32807.771910819865,53354.22598646248
2024-01-30,46127.98528171954,35579.91622482446,56420.75630609636
2024-01-31,44750.731698340926,35383.98013167589,54190.13203308139
2024-02-01,45867.58306072885,35987.5274049014,56946.71955217642
2024-02-02,45516.55047605345,34407.49050684331,56133.01290607501
2024-02-03,24629.645871062825,14080.886552845543,35417.734185935245
2024-02-04,28322.0507483318,17982.132669021474,39177.751786571396
2024-02-05,42849.560627569066,32962.02506686883,53249.857658967674
2024-02-06,46161.61583090797,35160.54633475093,56729.42657892473
2024-02-07,44784.36224665982,33891.56635537086,55790.89671302788
2024-02-08,45901.213608172504,36008.81582882367,55846.912415948886
2024-02-09,45550.18102265712,34635.46334407465,56478.737576361236
2024-02-10,24663.276417603753,14985.552031696512,35483.509701440285
2024-02-11,28355.681294894603,17793.336334210086,38646.31049065445
2024-02-12,42883.1911741543,32481.504558989072,53702.85438129664
2024-02-13,46195.246377457486,34905.881739184566,56697.16507638742
2024-02-14,44817.992793207355,35071.29497049642,55166.916976857065
2024-02-15,45934.844154730294,35674.390618819736,56167.67751866931
2024-02-16,45583.81156920336,35312.36076232938,55593.177150051655
2024-02-17,24696.906964152462,14017.283168259339,35178.83477522316
2024-02-18,28389.311841457416,18338.807166829156,39179.928466213794
2024-02-19,42916.8217188447,31671.26186366695,52832.19391678525
2024-02-20,46228.876920298135,35882.99378916243,56543.726254226756
2024-02-21,44851.62333416592,34404.3931376141,54349.07539849402
2024-02-22,45968.47469384235,35771.50761298359,56258.58574522928
2024-02-23,45617.442106432914,35425.87716338593,55764.607615138586
2024-02-24,24730.537499523216,14645.4082641226,35229.334834914844
2024-02-25,28422.94237492619,17972.244079891974,38726.338603244934
2024-02-26,42950.452252373056,31962.7796064508,53415.816688765495
2024-02-27,46262.50745382225,36360.46080433029,56794.62870392001
2024-02-28,44885.253867692794,34296.10902089286,55041.76408347345
2024-02-29,46002.10522735921,35374.56025528994,56178.702524986475
2024-03-01,45651.07263993822,35421.370393053294,56252.75323101819
