ds,yhat,yhat_lower,yhat_upper
2024-01-01,49950.807161114375,42104.61785596818,57851.24175367332
2024-01-02,51458.79713595867,43753.30743344522,59649.98085294707
2024-01-03,51299.78801793326,43544.21761321155,59174.41579273669
2024-01-04,51821.59993369794,43768.75166799647,59694.66938701744
2024-01-05,56431.27026553129,48439.739124684114,63680.64963375969
2024-01-06,39706.22798873451,31636.372437992988,47637.71192706021
2024-01-07,30390.480677764182,22510.136363376598,37642.77301168866
2024-01-08,49920.246794633385,41575.130105603996,57812.48715684148
2024-01-09,51428.23676952748,42813.79367127571,59368.00944050106
2024-01-10,51269.2276514923,43447.07572844131,58809.36768041901
2024-01-11,51791.03956726357,43563.7548686011,59304.75514538277
2024-01-12,56400.70989911169,48576.9618985697,63676.120561984135
2024-01-13,39675.667622371206,31601.942842423654,47396.91569966128
2024-01-14,30359.920311353333,22748.11074003468,38443.14058274344
2024-01-15,49889.68642821886,42389.74847529821,57655.67648098706
2024-01-16,51397.6764030963,42966.706174473475,59311.185832507814
2024-01-17,51238.66728506863,43074.492571925184,59390.64703197912
2024-01-18,51760.4792013823,44028.61250294852,59864.511410504856
2024-01-19,56370.14953376654,48591.35763854533,64617.63419043059
2024-01-20,39645.107257545285,31362.80052042123,47138.45895212472
2024-01-21,30329.359947058878,22438.267150547897,38070.82144507672
2024-01-22,49859.126064490476,42244.49862306686,57731.16450205309
2024-01-23,51367.11603988878,43027.24557332859,58871.88687641048
2024-01-24,51208.10692240606,43389.74731639094,58914.01869978524
2024-01-25,51729.91883870852,44232.11477990831,59390.121723874356
2024-01-26,56339.58917108756,48589.496164022894,64174.20848596682
2024-01-27,39614.54689486828,32028.677559621767,47109.75820396354
2024-01-28,30298.79958440863,22888.017280553566,38346.04942170667
2024-01-29,49828.56570177008,42365.262587289915,57028.94911678708
2024-01-30,51336.555677218494,43336.640050898015,59511.92514791067
2024-01-31,51177.54655973434,43418.20218710174,58493.06621647966
2024-02-01,51699.35847604616,44534.42328800415,59211.69130865508
2024-02-02,56309.02880840858,48719.72113366197,63988.77828102933
2024-02-03,39583.98653230936,31788.422275420442,47221.384933824265
2024-02-04,30268.239221989403,22243.12127722746,38617.92415312736
2024-02-05,49798.00533952152,42109.53936273958,57361.553784450574
2024-02-06,51305.99531510065,43330.15811423942,59152.21017514861
2024-02-07,51146.98619775356,43316.69415578125,58971.378427922195
2024-02-08,51668.798114201505,43931.30572676381,59517.9853716961
2024-02-09,56278.46844673185,48420.47025829629,63723.22854341119
2024-02-10,39553.426170579565,31702.154902792936,47230.54286169781
2024-02-11,30237.678860290216,22628.455479653716,37649.92599998302
2024-02-12,49767.4449778441,41971.559011498306,57328.14049488469
2024-02-13,51275.43495339738,43592.229477240566,59111.29300745885
2024-02-14,51116.4258360578,42862.646496952715,59114.30125040871
2024-02-15,51638.237752510926,43299.88684151651,59886.30217839033
2024-02-16,56247.90808504016,48490.994233813035,63405.74874077606
