ds,yhat,yhat_lower,yhat_upper
2024-01-01,40466.06695341232,33688.2470451313,46800.42459107245
2024-01-02,42143.88830833672,35915.53658756183,48840.875376009164
2024-01-03,41306.98009152158,35081.234486541,47659.29941679761
2024-01-04,42403.34266948786,36031.20529687124,48636.498069122696
2024-01-05,43366.54030584499,36436.507462085734,49839.847407745154
2024-01-06,31962.2363363982,25562.24018431136,38541.52333516074
2024-01-07,23607.75372844321,16807.366286285764,30013.290638615545
2024-01-08,40648.188532839384,33865.33168406244,47198.29351138101
2024-01-09,42326.00988780872,35801.33254080932,48451.81950777781
2024-01-10,41489.101670976575,35272.47277395863,47976.7761993953
2024-01-11,42585.46424895209,35647.17965595397,48697.181959187044
2024-01-12,43548.66188532413,37257.90705164044,49863.61436354462
2024-01-13,32144.357915920333,26110.440990850988,38485.405796856314
2024-01-14,23789.87530792575,17266.302614299002,30323.40218241817
2024-01-15,40830.3101123216,33721.68695639349,47443.62132537175
2024-01-16,42508.13146728074,36112.94784450807,48771.92407044808
2024-01-17,41671.22325045682,35367.29420944871,48019.51292556059
2024-01-18,42767.58582813195,35974.40027768503,49553.07496766318
2024-01-19,43730.783464202585,37324.708143440905,50426.68418101954
2024-01-20,32326.479494483952,26150.973936376053,39270.70766163043
2024-01-21,23971.996886191962,17662.27284858902,30465.226121623626
2024-01-22,41012.43169030208,34891.989827517944,47165.22814532839
2024-01-23,42690.25304494388,36495.64616473776,49363.450306127816
2024-01-24,41853.344827830944,34978.106915893855,48734.00326437941
2024-01-25,42949.70740549377,36410.15856993731,49254.78736456471
2024-01-26,43912.905041563194,37404.20659481736,50176.5439291713
2024-01-27,32508.601071846188,25676.348888054647,39444.58325771667
2024-01-28,24154.118463572086,16971.145988200253,30605.262946405404
2024-01-29,41194.553267626725,34541.759106208025,47595.384585198924
2024-01-30,42872.37462230667,36621.463277654635,49186.30187010573
2024-01-31,42035.46640519614,35800.13123644042,48547.791415729946
2024-02-01,43131.82898287893,36807.456169171564,49512.64717737866
2024-02-02,44095.026618923795,37379.10917053364,50697.31568431017
2024-02-03,32690.722645426904,26012.58681059809,38695.1689057261
2024-02-04,24336.240033382237,17618.93919856494,30704.048131745207
2024-02-05,41376.67483370086,35190.14198393582,47305.86461387912
2024-02-06,43054.49618460256,36570.232896028276,49244.288134279566
2024-02-07,42217.58796371921,35779.76017770526,48632.38573283461
2024-02-08,43313.950537630204,37006.803416247625,49795.07190270769
2024-02-09,44277.148169935266,37433.08277162612,50407.6120025928
2024-02-10,32872.84419639707,26809.227057750733,39515.11970530472
2024-02-11,24518.36158437591,18140.206501421955,30925.398605841463
2024-02-12,41558.79638470206,35081.06744223689,47804.00682722688
2024-02-13,43236.61773559319,36903.7102036308,49418.798721899526
2024-02-14,42399.709514718066,35817.926794892715,48914.081881380414
2024-02-15,43496.072088629015,37165.53666675496,49895.04660201315
2024-02-16,44459.26972093303,38553.16088487331,50867.668979720096
2024-02-17,33054.965747380345,26761.080861152364,39489.10441306963
2024-02-18,24700.48313536959,17999.065009734117,31631.884498462157
2024-02-19,41740.91792760413,35233.65372852533,48175.911956687436
2024-02-20,43418.73927039614,37093.54304107887,49847.54824985655
2024-02-21,42581.831041421785,36207.42292203111,49197.83192978938
2024-02-22,43678.193607218345,36931.298875442444,49978.81919324088
2024-02-23,44641.39123140664,38280.48010419951,51324.35566686492
2024-02-24,33237.087249773336,26767.82999670793,39390.8243031851
2024-02-25,24882.60462964896,18076.68836794068,31004.98629596468
2024-02-26,41923.03942191629,35080.32415709858,48558.300005967096
2024-02-27,43600.86076469129,37026.12307764442,49603.2367352948
2024-02-28,42763.95253571566,36232.68397015369,49121.869931114874
