ds,yhat,yhat_lower,yhat_upper
2024-01-01,14643.829441842752,11739.863812801415,17687.31648706161
2024-01-02,15652.666742026273,12795.373234426123,18672.367751313264
2024-01-03,15250.139145779698,12318.491628956983,18191.24154861564
2024-01-04,15726.761347668104,12916.495498078495,18802.22695166083
2024-01-05,16223.264199141151,13162.848636405424,19341.9989895294
2024-01-06,10591.98797351671,7513.844421979589,13534.471054701984
2024-01-07,8150.486783721248,4979.29118077973,11218.110719917046
2024-01-08,14647.081986386576,11815.598888009303,17508.002103807798
2024-01-09,15655.919286587372,12764.722126042177,18662.050463313553
2024-01-10,15253.391690337992,12296.816487010354,18194.203712370432
2024-01-11,15730.013892228504,12811.277513973748,18884.790464076985
2024-01-12,16226.516743704085,13285.968792311001,19262.347481595934
2024-01-13,10595.240518098783,7502.429734201787,13377.617239081525
2024-01-14,8153.739328287977,5268.474609807065,11440.869824281932
2024-01-15,14650.33453095281,11596.689660030439,17625.525652729568
2024-01-16,15659.17183114847,12673.579789714664,18514.309968039473
2024-01-17,15256.644234901187,12297.391415375916,18515.81347376526
2024-01-18,15733.266435925238,12594.100201722176,18612.718993273833
2024-01-19,16229.769286531566,13282.73396454796,19115.738443587
2024-01-20,10598.493060054156,7714.981397174316,13561.253716962747
2024-01-21,8156.991869376564,5235.548123905619,10975.663681324784
2024-01-22,14653.587071180411,11688.332958463116,17770.99742360413
2024-01-23,15662.424370502855,12656.96443192436,18575.13774577922
2024-01-24,15259.896773390332,12379.23324914163,18308.443073628878
2024-01-25,15736.518974411556,12717.320968833072,18593.52911288453
2024-01-26,16233.021825015552,13181.641903854977,19031.193181275594
2024-01-27,10601.74559853863,7757.021397866457,13552.678452335269
2024-01-28,8160.244407869208,5394.891042784805,10853.021210742783
2024-01-29,14656.839609650155,11705.614351984706,17454.982627543966
2024-01-30,15665.676908989515,12683.838928278317,18338.74866905737
2024-01-31,15263.149311876994,12575.080575233094,18258.206572333722
2024-02-01,15739.771512900232,12949.22655121641,18808.934178988322
2024-02-02,16236.27436349954,13339.738529044487,19095.372959975328
2024-02-03,10604.998137305514,7571.609202896127,13732.376632551246
2024-02-04,8163.496946920473,5178.540033176447,11028.36100181452
2024-02-05,14660.092149001863,11881.835619863932,17693.996929298013
2024-02-06,15668.929448625018,12827.283341622342,18704.05684102931
2024-02-07,15266.401851799263,12532.711738680471,18257.200044186266
2024-02-08,15743.02405310928,12825.349524113655,18810.858455522248
2024-02-09,16239.526904007565,13239.648257577985,19281.352839145035
2024-02-10,10608.250677795131,7827.357129731772,13571.063191863537
2024-02-11,8166.749487419351,5170.828011724218,11064.724165471198
2024-02-12,14663.344689505675,11551.14576719351,17525.389951596244
2024-02-13,15672.181989121884,12697.318297035568,18539.097629769687
2024-02-14,15269.654392298227,12450.058176429682,18167.475489970555
2024-02-15,15746.27659360951,12654.630756835722,18536.952760387452
2024-02-16,16242.77944450627,13395.260947769666,19291.235116875567
2024-02-17,10611.503218289454,7579.523980607182,13609.344514172166
2024-02-18,8170.002027918229,5166.986171006381,11451.280359006725
2024-02-19,14666.597230605845,11706.252789551414,17902.042657545997
2024-02-20,15675.43453082276,12788.842835097448,18532.09260560171
2024-02-21,15272.906934597127,12458.90766413283,18415.57691982693
2024-02-22,15749.529136505595,12924.129707358932,18811.007583794686
2024-02-23,16246.031987995135,13083.561648105038,19306.827534044136
2024-02-24,10614.75576238365,7705.389690184721,13651.920680323292
2024-02-25,8173.254572604951,5217.198368396457,11133.099575949587
2024-02-26,14669.849775307699,11834.626152192079,17725.931476349386
2024-02-27,15678.687075519123,12586.561053594012,18781.769278590742
2024-02-28,15276.159479293523,12224.96846013118,18329.508352581146
2024-02-29,15752.781681205674,12576.77812539854,18657.013014099874
2024-03-01,16249.28453269369,13447.028211876664,19321.457533160403
2024-03-02,10618.008307101343,7850.627902218845,13516.538349585344
2024-03-03,8176.507117303681,5013.393441446235,11079.937212452356
2024-03-04,14673.102320007743,11698.140462371959,17592.712957061307
2024-03-05,15681.939620216195,12846.549662018093,18651.6326465861
2024-03-06,15279.412023705134,12291.750175983634,18188.005788915605
2024-03-07,15756.034225331328,12764.64059629415,18640.62186636792
2024-03-08,16252.537076540479,13263.815560597623,19313.275694664968
2024-03-09,10621.260850661605,7630.308557728681,13542.140956757525
2024-03-10,8179.7596605945255,5347.62580703423,11282.631324199232
2024-03-11,14676.354863015795,11509.238529421275,17609.83715403139
2024-03-12,15685.192162936455,12731.34277488092,18710.79574923907
2024-03-13,15282.66456642785,12431.206000265283,18411.638234162507
2024-03-14,15759.28676805531,12822.078757669611,18525.14153000983
2024-03-15,16255.78961926293,13174.338076152251,19487.46729338375
2024-03-16,10624.513393384386,7694.389416609489,13418.423279608329
2024-03-17,8183.012203313538,5219.967447119659,11040.816248713749
2024-03-18,14679.607405719136,11700.553707621431,17584.488432269998
2024-03-19,15688.444705657073,12677.268609184426,18690.126716649855
2024-03-20,15285.917109150561,12254.071266548823,18536.29838660274
2024-03-21,15762.539310775232,12824.224932011995,18825.4795473167
2024-03-22,16258.362143096057,13402.115139350468,19222.922646092233
2024-03-23,10626.405898352346,7546.2197973736575,13604.970739949711
2024-03-24,8184.224689386397,5411.592929198858,11259.28055565427
2024-03-25,14680.139872907042,11788.094533116624,17559.491430515733
2024-03-26,15688.297153955027,12824.348982448233,18692.119692464592
2024-03-27,15285.089538564052,12389.25369211513,18271.904509370903
2024-03-28,15761.031721312036,12548.433584159022,18756.498951985384
2024-03-29,16256.854553636598,13329.639708252871,19018.863046909224
2024-03-30,10624.898308883894,7596.50845541585,13540.448403575143
2024-03-31,8182.717099921408,5338.755623322249,11363.723433566965
2024-04-01,14678.632283439749,11817.197585117787,17721.281235771785
2024-04-02,15686.789564488816,12823.587266481509,18607.576791867712
2024-04-03,15283.581949098014,12473.203822006266,18232.871301014817
2024-04-04,15759.52413184072,12815.570408780066,18745.968191083564
2024-04-05,16255.34696416295,13100.147619018926,19026.69254565805
2024-04-06,10623.390719406023,7676.37291218683,13756.937218718553
2024-04-07,8179.7252449547905,5256.401042497322,11123.576307334286
2024-04-08,14674.156162980058,11607.57452358623,17646.652365791306
2024-04-09,15680.82917852417,12755.713961446847,18632.528753873306
2024-04-10,15276.137297632558,12412.361895315957,18093.55480056125
2024-04-11,15750.595214879362,12748.55200453783,18689.744999992807
2024-04-12,16244.933781701253,13249.683223868196,19141.157144786444
2024-04-13,10611.493271446801,7554.409597418056,13509.793107610234
2024-04-14,8167.827796991736,5168.689951133308,11080.266522262013
2024-04-15,14662.258715026712,11723.929008232124,17577.118778297623
2024-04-16,15668.931730567498,12668.071405841218,18426.207892941587
2024-04-17,15264.239849677982,12214.762981897475,18249.486328580795
2024-04-18,15738.69776692605,12770.582366052176,18702.621760440983
2024-04-19,16233.03633375574,13173.911187827545,19091.084709669973
2024-04-20,10599.595823487583,7746.175872363616,13708.492717737048
2024-04-21,8155.930349033459,5247.073350491791,11117.253574576704
2024-04-22,14650.361267073366,11468.01776588633,17571.099254902016
2024-04-23,15656.97431416226,12666.999594324247,18613.66002340018
2024-04-24,15252.22246482454,12418.463801714155,18334.13930756409
2024-04-25,15726.620413614235,12808.574829914454,18816.10684251757
2024-04-26,16220.899012008076,13444.150963123311,19189.593158509302
2024-04-27,10587.39853328733,7618.307504624349,13477.56445615888
2024-04-28,8143.673090393171,5148.536823075311,11185.468874710496
2024-04-29,14638.044039963776,11574.397177756453,17771.235883825895
2024-04-30,15644.657087072186,12860.622196709977,18499.175216762625
2024-05-01,15239.90523773006,12258.95288577693,18204.04567412594
2024-05-02,15714.303186527533,12888.499070762984,18419.160218911533
2024-05-03,16208.581784906055,13011.983451983637,19305.085550809832
2024-05-04,10575.081306185957,7559.275866169592,13330.306383078298
2024-05-05,8131.35586330106,5339.883910219397,11282.917420667216
2024-05-06,14625.72681287298,11597.24878225466,17629.54865036759
2024-05-07,15632.339859977707,12545.931960458603,18662.456209959462
2024-05-08,15227.588010635582,12075.42591759356,18286.65228765321
2024-05-09,15701.98487594056,12863.840749850373,18846.96168414306
2024-05-10,16196.262390829464,13257.48470189333,19214.649543976735
2024-05-11,10562.760828636354,7407.481573237572,13572.814276786818
2024-05-12,8119.03430224034,4951.824137209456,11275.434543190366
2024-05-13,14613.404168325042,11822.168406297573,17259.803510569964
2024-05-14,15620.01613193103,12834.22304944544,18727.00771428336
2024-05-15,15215.263199098496,12026.264476637121,18110.02210020683
2024-05-16,15689.660064398975,12820.154763878005,18645.41115434316
2024-05-17,16183.937579292116,13339.803122200994,19005.777459729212
2024-05-18,10550.436017089916,7576.953563416419,13647.326481624155
2024-05-19,8106.709490703168,5256.558439094744,11240.551170932076
2024-05-20,14601.079356789185,11856.097750512125,17648.47521405895
2024-05-21,15607.691320391494,12758.349114638526,18742.53446063798
2024-05-22,15202.93838756144,12159.093532479586,17842.788509244536
2024-05-23,15677.335252859091,12487.737161270192,18496.234014749218
2024-05-24,16171.612767745037,13122.533355531774,19157.64613426901
2024-05-25,10538.111204226807,7698.014225724718,13587.67871122362
2024-05-26,8094.384676501812,5141.951999446436,10989.429299516725
2024-05-27,14588.75454125446,11739.014446833424,17692.856962256
2024-05-28,15595.366503547597,12648.925523970556,18573.168074744302
2024-05-29,15190.613569393909,12228.856145805874,18278.96888886217
2024-05-30,15665.01043336674,12649.136635684168,18838.231454113073
2024-05-31,16159.28794692507,13102.08437421722,19252.194898748992
2024-06-01,10525.786383397752,7615.649962181765,13388.338677866981
2024-06-02,8082.059855682017,5132.6208450202,10665.65151710049
2024-06-03,14576.429720435981,11643.17685639773,17672.34157864857
2024-06-04,15583.041682726149,12753.2820260887,18500.607350372244
2024-06-05,15178.2887485693,12298.871960842189,18117.959490315043
2024-06-06,15652.6856125483,12800.395806194332,18644.883627970965
2024-06-07,16146.963126114428,13203.24579637886,19125.48538173459
2024-06-08,10513.461562568695,7536.858367393588,13609.519238401046
2024-06-09,8069.735034865841,5101.3438729982845,11202.424572586242
2024-06-10,14564.104899419333,11350.757196374438,17314.565918227006
2024-06-11,15570.716861504028,12408.224912277297,18294.413868785454
2024-06-12,15165.963927149687,11896.746899338232,18011.938899134566
2024-06-13,15640.360790929937,12625.707706254678,18320.42844700479
2024-06-14,16134.638304294558,13194.533252429948,19074.15461459861
2024-06-15,10501.136740549175,7422.31240301889,13547.478212462123
2024-06-16,8057.410212642574,5114.343075566694,10980.195764159465
2024-06-17,14551.780077202804,11369.396481035123,17624.3820341134
2024-06-18,15558.392039286417,12666.13150667866,18521.020161656885
2024-06-19,15153.639104927668,12234.884168643219,18143.910000249416
2024-06-20,15628.035968707578,12686.973572931303,18591.473755995234
2024-06-21,16122.313482069865,13288.045384373278,19087.06713780546
2024-06-22,10488.811918320263,7550.481817175327,13497.707890400843
2024-06-23,8045.0853904145315,4834.895866842386,10902.188686252048
2024-06-24,14539.455254986278,11348.379707554466,17642.88534490406
2024-06-25,15546.0672170644,12326.044535789808,18250.4075943668
2024-06-26,15141.314282809124,12302.726883937083,18147.81025558012
2024-06-27,15615.71114669538,12825.920252659882,18642.697985696064
2024-06-28,16109.988660148236,13138.78344556999,18883.87388820162
2024-06-29,10476.48709652836,7772.274690457472,13555.940392646502
2024-06-30,8032.760568699981,5241.242379813518,10917.775438258941
2024-07-01,14527.13043337406,11686.494139632277,17336.14940887813
2024-07-02,15533.742395549876,12591.833306357015,18527.561277587985
2024-07-03,15128.989461296698,12126.768857204963,17898.106556703195
2024-07-04,15603.386325170331,12565.337161710155,18624.69056625044
2024-07-05,16097.663838630682,13080.45067226041,19028.962715997994
2024-07-06,10464.162275006585,7744.383728045198,13589.29942968467
2024-07-07,8020.435747191084,5113.721377455795,11017.716781580462
2024-07-08,14514.805611866484,11487.810191697323,17627.23476728626
2024-07-09,15521.417574039759,12441.826735059778,18581.40273718576
2024-07-10,15116.664639779367,11939.411487027384,17963.31902590043
2024-07-11,15591.061503659173,12710.193304364928,18573.461735621433
2024-07-12,16085.339017296867,13234.513502636757,19009.83000992995
2024-07-13,10451.837453847264,7604.272452594015,13381.849857347295
2024-07-14,8008.110926218808,5169.668669603794,11114.77354344326
2024-07-15,14502.480791048367,11510.247318076852,17406.56645450854
2024-07-16,15509.0927534196,12389.987648388465,18487.897700307345
2024-07-17,15104.339819340177,12432.386060328603,18163.05003121316
2024-07-18,15578.736683396062,12703.83796011175,18664.05038538383
2024-07-19,16073.014197026558,12916.781326751618,19010.336312083145
2024-07-20,10439.512633605826,7613.820613539864,13294.345926361017
2024-07-21,7995.7861059547895,4946.274882602504,10833.644709092658
2024-07-22,14490.15597079109,11666.191656232644,17336.900531891297
2024-07-23,15496.76793315683,12699.451371385752,18690.96926828551
2024-07-24,15092.014999077412,12287.540765279535,17850.04508737713
2024-07-25,15566.411863132947,12450.062253703798,18668.1840411479
2024-07-26,16060.68937678017,13099.595848556763,19040.56243614937
2024-07-27,10427.187813340868,7357.055867610764,13261.71707461047
2024-07-28,7983.461285698001,4741.667230470191,10998.32050170578
2024-07-29,14477.831151186205,11720.535888525292,17393.24531896697
2024-07-30,15484.443114202824,12711.49153440531,18623.24103847791
2024-07-31,15079.690180779739,12264.39895957407,18186.035181628402
2024-08-01,15554.087045494778,12631.734861424102,18519.452819977643
2024-08-02,16048.364559780883,13106.686749827344,19218.116318389697
2024-08-03,10414.862996996428,7462.035144584141,13494.784448406126
2024-08-04,7971.136470017035,5103.728766274201,10928.778182185299
2024-08-05,14465.50633550655,11443.836548558344,17594.950687606753
2024-08-06,15472.11829851949,12540.599275820554,18464.822313410587
2024-08-07,15067.365365096406,12169.304589873407,17876.735625200723
2024-08-08,15541.762229811098,12543.08653481922,18417.535048241447
2024-08-09,16036.039744099739,12850.328575020148,18956.798861583124
2024-08-10,10402.538181310902,7569.161435182698,13552.543461627685
2024-08-11,7958.8116543240585,4795.29135316341,10797.370508850494
