ds,yhat,yhat_lower,yhat_upper
2024-01-01,18222.972086366102,14159.66550788201,21848.64371497986
2024-01-02,19089.98265111359,15274.279553871995,22945.560653980076
2024-01-03,18588.11415784516,14545.053479316843,22143.09647491911
2024-01-04,19064.15398624344,15243.994482882803,22933.044721135073
2024-01-05,19135.4507941055,15339.025449357669,23205.158275776525
2024-01-06,9180.370271842152,5021.751644327084,12961.893742332388
2024-01-07,6900.227548218287,2974.751188183574,10614.915539235646
2024-01-08,18224.45494824244,14207.752396423934,22319.93428920564
2024-01-09,19091.465513016316,15025.150035597142,23091.328024448056
2024-01-10,18589.597019745437,14835.694965118584,22550.634948031762
2024-01-11,19065.636848145616,14913.72255293088,22871.17352331514
2024-01-12,19136.933656011366,15505.901423154863,23439.194497513625
2024-01-13,9181.853133777695,5127.36619004402,13043.714054396876
2024-01-14,6901.710410133244,3134.6789554055317,10859.238180185928
2024-01-15,18225.937810154523,14290.851118178438,22024.36538916946
2024-01-16,19092.94837491904,15212.45659546018,23127.78235217808
2024-01-17,18591.079881651945,14447.127206557712,22302.733480814888
2024-01-18,19067.119711278723,15409.30361982772,22908.492058224572
2024-01-19,19138.416520366405,15503.544010462954,23004.981480101553
2024-01-20,9183.335999351577,5400.222704621722,13293.233263385506
2024-01-21,6903.193276932019,3261.319076077577,11007.083459037329
2024-01-22,18227.42067818954,14486.101094367068,22140.861194987112
2024-01-23,19094.431244170024,15388.673912253991,23135.84548531866
2024-01-24,18592.562752130096,14583.217673184949,22497.98842568638
2024-01-25,19068.60258175301,15287.460441676161,22951.06323862153
2024-01-26,19139.899390836053,15314.693219871055,22824.204411210376
2024-01-27,9184.818869823805,5193.0259016995715,13033.552978040729
2024-01-28,6904.676147419083,2746.9129306391355,10874.488346528507
2024-01-29,18228.903548637987,14046.113931220194,22235.480105863087
2024-01-30,19095.91411464559,15086.355910546008,23005.367277911784
2024-01-31,18594.045622605594,14613.460178594154,22466.412959737485
2024-02-01,19070.085452232594,14771.707685138403,22781.438091781296
2024-02-02,19141.382261305705,15196.800691097704,22845.557768561175
2024-02-03,9186.30174072117,5173.816219109653,13260.719508051157
2024-02-04,6906.159018740229,3010.3476950900995,11111.799328067451
2024-02-05,18230.386420419105,14429.136432527639,22203.18146877504
2024-02-06,19097.396986855587,14816.063731773858,22835.998430018975
2024-02-07,18595.528495250044,14825.022613513993,22620.31258086752
2024-02-08,19071.568325309614,15263.853346720112,23068.873223434646
2024-02-09,19142.865134840227,15443.664591549064,22985.003369888625
2024-02-10,9187.784614221273,4985.298416941906,13240.209951206709
2024-02-11,6907.641892256555,2892.0515232515463,10772.089437386685
2024-02-12,18231.869293944263,14292.92134926329,22088.73217934371
2024-02-13,19098.87986036695,15147.45377528103,22938.090340901617
2024-02-14,18597.011368765186,14740.1392355913,22648.62381846426
2024-02-15,19073.05119882677,15022.148248363941,23097.82007511204
2024-02-16,19144.348008354726,15459.380026426386,22928.100467795328
2024-02-17,9189.267487730027,5265.3338581722555,13198.765442400387
2024-02-18,6909.124765772882,2951.208646648887,10932.652538633814
2024-02-19,18233.35216711296,14292.439058923179,22282.545241625376
2024-02-20,19100.362733192444,15250.207018828507,23137.09809464878
2024-02-21,18598.49424123758,14687.146632229578,22767.871164968514
2024-02-22,19074.534070947248,15214.448583961639,23421.606543463295
2024-02-23,19145.830880114663,15292.76838955277,23142.27523408489
2024-02-24,9190.750359153284,5012.231680868647,12801.842165913898
2024-02-25,6910.607636829898,2658.3577685378295,10766.260200692826
2024-02-26,18234.8350382006,14161.749143659259,22090.780307053996
2024-02-27,19101.84560427146,15210.054724871363,22940.96343592528
2024-02-28,18599.97711231606,14653.365277768926,22621.610071469284
2024-02-29,19076.01694203133,15393.870890857044,23243.48362854012
2024-03-01,19147.31375119608,15426.507537326319,23219.013174603093
2024-03-02,9192.233230264384,5469.278472451803,13248.571762602323
2024-03-03,6912.090507913144,3033.4347377953663,11010.556561284477
2024-03-04,18236.317909283796,14182.620891403898,21812.70855050979
2024-03-05,19103.328475349008,14933.43111891263,22954.34963794322
2024-03-06,18601.459983549776,14764.261415399778,22288.875416022445
2024-03-07,19077.499813417428,15159.405387554181,23303.598446218097
2024-03-08,19148.79662274283,15261.124868152498,23320.28958248843
2024-03-09,9193.716101962946,5374.835042072688,13007.370780960651
2024-03-10,6913.573379793079,3080.3262319045007,11151.280903187275
2024-03-11,18237.800781318743,14114.67592016908,21884.04934829296
2024-03-12,19104.811347533214,15209.800952397227,23124.199597865587
2024-03-13,18602.94285573703,14987.649570795644,22537.26290699462
2024-03-14,19078.9826856067,15254.5392185638,22652.005800387582
2024-03-15,19150.279494929444,15058.222420409,23355.220300220662
2024-03-16,9195.198974152467,5515.930896134332,13152.822435423252
2024-03-17,6915.056251974256,2941.191075122762,10912.315736985956
2024-03-18,18239.28365347583,14213.827778929737,21996.498225326784
2024-03-19,19106.294219716692,15400.2294602614,22785.30133330181
2024-03-20,18604.42572792429,14704.68646015051,22735.947509466456
2024-03-21,19080.465557789623,15166.74861756909,23063.75232008443
2024-03-22,19151.584771991595,15220.25774544309,23072.171724995602
2024-03-23,9196.326656127836,5293.230919431638,13257.790507610582
2024-03-24,6916.006338821553,2705.104857312048,10808.442615672306
2024-03-25,18240.056145204122,14241.820206956978,22105.222975853696
2024-03-26,19106.889116320224,15193.47595143847,23128.69811914945
2024-03-27,18604.843029411615,14672.217587684641,22585.78763667402
2024-03-28,19080.7052641723,15227.320336534789,23023.685091296014
2024-03-29,19151.824478385286,15135.899116720328,22903.688001903367
2024-03-30,9196.566362504407,5154.160050890755,12727.485334597497
2024-03-31,6916.246045204309,2886.25572198187,11138.28315246091
2024-04-01,18240.295851579565,14691.18676212638,22017.352213339727
2024-04-02,19107.128822699317,15144.17730530622,23206.481961156038
2024-04-03,18605.082735788576,14592.776188091011,22586.780297655117
2024-04-04,19080.94497054227,15170.464033991504,22956.527535135894
2024-04-05,19152.064184750623,15226.516151130738,22938.493991059433
2024-04-06,9196.806068863674,5292.143789085813,13067.928783725583
2024-04-07,6916.4857513887255,2784.250053838502,10903.533015439705
2024-04-08,18240.535557581738,14237.314959174964,22007.266620756523
2024-04-09,19107.36852849662,14889.250555850169,22851.79610576423
2024-04-10,18605.322441392353,14330.049105047825,22421.912918167898
2024-04-11,19081.184675956873,15089.829978128906,23159.604405992846
2024-04-12,19152.30388996952,15099.711374961938,22832.721340443404
2024-04-13,9197.045773894075,5592.498155846566,13148.577848101722
2024-04-14,6916.725456407732,3018.06768844917,11071.630606043209
2024-04-15,18240.775262619663,14477.98949326206,22023.749891285635
2024-04-16,19107.608233529627,15270.898819730868,22839.11212224997
2024-04-17,18605.56214642914,14874.205730525442,22500.681478766783
2024-04-18,19081.42438099568,15000.416852014598,22741.82068385919
