ds,yhat,yhat_lower,yhat_upper
2024-01-01,83051.24587214268,67722.5932638229,98397.9355879308
2024-01-02,86955.34444310593,71432.33060428167,102470.58604377459
2024-01-03,86213.92716198362,70544.92842910283,102062.53379564719
2024-01-04,89269.50934303617,73892.01135314624,105600.95203535225
2024-01-05,96397.99087831777,80785.55264732816,112056.84060560972
2024-01-06,68481.88953493464,52708.82320598531,84530.7416448092
2024-01-07,51265.3511629289,33990.15324091448,66970.40597587946
2024-01-08,83364.21716319075,68265.1981604312,99001.26320870355
2024-01-09,87268.31573424036,70495.5098261825,104195.18624579946
2024-01-10,86526.89845309967,68841.02453419524,101133.49139178947
2024-01-11,89582.48063416555,74690.511789401,105651.63616597411
2024-01-12,96710.96216946808,80095.70139203296,112329.44997058834
2024-01-13,68794.86082618515,53999.8470171478,84227.40893942311
2024-01-14,51578.32245409169,36312.327243073254,68831.93557563804
2024-01-15,83677.1884543511,67537.78980082234,100296.48012925037
2024-01-16,87581.28702537478,71583.28291059656,104892.53495212631
2024-01-17,86839.86974424688,70507.94386721708,102597.43628448309
2024-01-18,89895.45192330392,74115.05544646078,106472.36034911612
2024-01-19,97023.93345658529,82209.3044230339,113567.51118945728
2024-01-20,69107.83211125601,52469.339297875995,85455.8045539402
2024-01-21,51891.29373714355,35107.805259090586,67708.80259291003
2024-01-22,83990.15973542866,68155.5541815021,98316.33131437314
2024-01-23,87894.25830440734,71944.6898016569,103868.79754588504
2024-01-24,87152.84102127515,71356.05292904656,102617.5662112358
2024-01-25,90208.42320031743,75242.76120580373,107482.41303854408
2024-01-26,97336.90473358928,80887.35956980269,113162.34294959648
2024-01-27,69420.80338826065,52983.67830819556,84464.7995579672
2024-01-28,52204.265014190474,36409.80380907126,67474.77788074593
2024-01-29,84303.13101236086,69750.80423606219,101213.7587769005
2024-01-30,88207.22958142334,72829.8155442763,104590.07946072609
2024-01-31,87465.8122982909,70964.54285625106,103675.731857251
2024-02-01,90521.39447734335,76148.9944480106,107682.88949375802
2024-02-02,97649.87601059327,82299.41739675732,114182.75506039552
2024-02-03,69733.77466652906,53632.25175580708,85848.78376227856
2024-02-04,52517.23629375669,35076.92726611236,68092.12127412527
2024-02-05,84616.10229327352,68018.04656977291,100759.23843806151
2024-02-06,88520.20086361415,71565.65084277207,104571.71765411533
2024-02-07,87778.78358177199,72875.9135590441,105163.94863246918
2024-02-08,90834.36576211528,75643.54667602779,108139.32389836088
2024-02-09,97962.84729670742,81982.56269660656,113755.71208533832
2024-02-10,70046.74595255587,53295.603791993926,85976.47289220805
2024-02-11,52830.207579832735,36842.616264873745,68723.49308435644
2024-02-12,84929.07357938048,67904.30527348687,101026.05854083167
