ds,yhat,yhat_lower,yhat_upper
2024-01-01,47058.73237454143,39076.74103398851,54685.72324170784
2024-01-02,49451.19130204727,41296.15580000468,56959.13243202939
2024-01-03,49409.076780088326,41107.90535591743,57272.33108105302
2024-01-04,49940.63097489999,42205.83858614285,57762.80091478165
2024-01-05,52563.97011340322,44638.97529014475,60312.13882834711
2024-01-06,40697.222674044184,32866.870556810834,48576.386244645815
2024-01-07,30019.169365300033,21839.82733794958,38154.16293938917
2024-01-08,47443.17133592704,40373.97026009679,55453.59131084945
2024-01-09,49835.63026348202,42562.50882396424,57633.9244583962
2024-01-10,49793.51574150402,42303.88679502838,57763.4065831419
2024-01-11,50325.06993632555,42061.104308798385,58369.90734795968
2024-01-12,52948.4090748472,45068.24638076107,60879.772841181846
2024-01-13,41081.66163553504,33049.69720150984,48553.68611913865
2024-01-14,30403.608326745343,22765.182557188622,38446.69973281415
2024-01-15,47827.61029737262,39795.25442973581,55174.670115058696
2024-01-16,50220.06922491678,42004.26897451533,58132.4644514194
2024-01-17,50177.95470294673,42428.14541915259,57570.05543684858
2024-01-18,50709.5088956678,43159.10882425068,59360.72756851662
2024-01-19,53332.84803208884,45588.32318098025,60588.92552968027
2024-01-20,41466.10059065763,33928.39772824666,49369.27741889492
2024-01-21,30788.04727976634,23099.17872184629,39110.17927301646
2024-01-22,48212.04924831233,40775.84892522894,56003.48511362209
2024-01-23,50604.508173738046,42776.50115025621,58443.72996850127
2024-01-24,50562.39364967868,42873.61726806008,58207.92864233473
2024-01-25,51093.94784238516,43369.50252336542,58742.68346754614
2024-01-26,53717.28697880593,46145.15536705404,61892.42102538545
2024-01-27,41850.53953737556,33924.76534306974,49605.95087062139
2024-01-28,31172.486226503446,23154.318321891198,38593.84111732164
2024-01-29,48596.48819498976,40670.57339324678,56298.76869885106
2024-01-30,50988.94712045814,43021.2619442935,58911.96869425556
2024-01-31,50946.83259639969,42928.32439894768,58772.6096341964
2024-02-01,51478.38678912809,43026.98305948847,59176.078945169946
2024-02-02,54101.72592552303,46009.77480636375,61495.27116642734
2024-02-03,42234.9784848085,34347.39387023622,49473.63635064287
2024-02-04,31556.92517467338,23582.66788318484,39095.156303978736
2024-02-05,48980.92714391783,41255.73477570368,56504.89993645098
2024-02-06,51373.38607010811,43593.95483895161,59115.47544664014
2024-02-07,51331.271546774944,43487.543140032685,59476.30797748405
2024-02-08,51862.825740230546,43612.664836272714,59631.65535495922
2024-02-09,54486.16487738206,46681.71686763461,61986.964436806265
2024-02-10,42619.417436626536,34597.0365907415,50608.0988831222
2024-02-11,31941.364126516615,24626.482978908854,39439.70209716297
2024-02-12,49365.36609577301,41676.69715305023,56902.22960622505
2024-02-13,51757.8250219506,43802.20475853893,59014.31719194149
2024-02-14,51715.7104986254,44397.03205910866,59476.7214580196
2024-02-15,52247.26469208171,44433.14341479378,60038.138901883045
2024-02-16,54870.60382923379,47210.18608164524,62323.198899254894
2024-02-17,43003.856388460394,34851.078782787095,51140.618987259164
2024-02-18,32325.80307835986,24930.165738952237,39871.928264549184
2024-02-19,49749.805047393376,41793.250634930686,57259.15562226885
2024-02-20,52142.26397333632,44561.96175339171,60235.553700681
2024-02-21,52100.14944978257,44058.840872325505,59811.92912825215
2024-02-22,52631.70364299063,45239.95720144829,60221.8258908389
2024-02-23,55255.04277989266,47742.50288636768,62530.62117653284
2024-02-24,43388.29533890769,35878.73735596101,51018.30711374134
2024-02-25,32710.24202856636,24849.274573294522,40154.11210432099
2024-02-26,50134.24399762903,42458.335147168924,57793.87435350172
2024-02-27,52526.7029235547,45331.57582116723,60194.50872192137
2024-02-28,52484.5883999993,44529.1893723781,60223.60823707793
2024-02-29,53016.142593224155,45369.68100704676,61181.195443923454
2024-03-01,55639.48173012673,48688.57987730729,63113.60006704293
2024-03-02,43772.73428918862,36024.87601202832,51222.81123518181
2024-03-03,33094.68097879195,25174.18209211541,41041.13161018488
2024-03-04,50518.68294786285,43162.63500075767,58713.36520172144
2024-03-05,52911.14187378601,44831.97930551148,60907.443446167155
2024-03-06,52868.74114788397,45133.90770285679,60466.24299259692
2024-03-07,53400.00913878739,45711.690585949014,60870.72312390528
2024-03-08,56023.062073378765,49004.615690901206,64071.51097727796
2024-03-09,44156.02843010455,36782.46133901014,52046.65214683931
2024-03-10,33477.688917421765,26182.952783857905,41336.67983503927
2024-03-11,50901.404684171815,42899.322105148516,58568.13022849742
2024-03-12,53293.57740775658,45846.24361789198,61569.25140526049
2024-03-13,53251.176681868965,44753.29692245505,61117.641501962134
2024-03-14,53782.4446727731,46269.177445099405,61366.472099048595
2024-03-15,56405.49760736503,48495.98895705921,63935.20988326159
2024-03-16,44538.46396408876,36634.34762153186,52460.1951709072
2024-03-17,33860.12445138974,25691.6399451273,41903.5699017988
2024-03-18,51283.840218099715,43547.23543046545,59384.08868411166
2024-03-19,53676.012941733614,46397.32827932515,61381.49864042948
2024-03-20,53633.61221585395,45921.200174533005,61783.00358477365
2024-03-21,54164.880206740934,46881.66752031635,62195.45730032228
2024-03-22,56770.820592966076,49235.49317444166,64472.60387334768
2024-03-23,44886.674401373006,37297.74835125467,52574.44683817858
2024-03-24,34191.22234027772,26681.690313310894,41961.71014914023
2024-03-25,51597.82555862144,43946.65458363208,59070.46497855963
2024-03-26,53972.885733871524,46293.753733920516,61848.31090023622
2024-03-27,53913.37245962624,45959.555638824226,61564.72376618306
2024-03-28,54427.52790217878,46799.71802505382,63062.04596060583
2024-03-29,57033.4682883939,49697.83536205346,65433.59659636833
2024-03-30,45149.32209679148,37968.07473965836,53479.88261468826
2024-03-31,34453.870035699576,26537.699041485084,41899.145033119705
2024-04-01,51860.4732540417,44329.56746266361,59962.73948899684
2024-04-02,54235.533429294686,46109.8160774899,61159.722613573984
2024-04-03,54176.02015505644,46424.07787523029,62225.076287479664
2024-04-04,54690.17559758088,46245.34797469892,62272.57404422011
2024-04-05,57296.11598379573,48787.10745831078,64421.35902440977
2024-04-06,45411.96979217831,37559.81252869502,53273.08498154585
2024-04-07,34695.480849039894,27032.961424785513,42479.721184907976
2024-04-08,52081.04718532224,44818.37621256185,59601.17512578337
2024-04-09,54435.070478490845,45732.286177997004,62405.61721627693
2024-04-10,54354.520322161814,46342.03598489816,62153.29054592357
2024-04-11,54847.6388826244,47049.52304001019,62554.4480049381
2024-04-12,57432.54238676728,48998.60623098513,64761.605273666464
2024-04-13,45527.359313078974,37769.611027159124,53428.54253669818
2024-04-14,34810.870369940676,27457.27593378532,42548.78014375832
2024-04-15,52196.436706240514,44605.36161195103,59992.08785530634
2024-04-16,54550.45999940015,46666.244619080084,62480.92219971769
2024-04-17,54469.909843079084,46519.534011328986,61325.49953391506
2024-04-18,54963.02840354238,47505.68435696846,62925.297765552015
2024-04-19,57547.93190769312,50140.76176997084,65300.97207191011
2024-04-20,45642.74883397964,38124.08555368695,53367.72783358213
2024-04-21,34926.25989084091,27443.114922662782,42944.35743085757
2024-04-22,52311.82622715879,44669.77530351195,60088.74351312928
2024-04-23,54649.395060302995,47122.16025603063,62104.40341808209
2024-04-24,54552.39044398283,46222.59346663044,62046.41551136049
2024-04-25,55029.054544414445,46829.24516054515,62873.13325187406
2024-04-26,57597.50358861166,49229.630054585476,65228.30472727929
2024-04-27,45675.8660548803,37596.491656998136,53055.24586736143
2024-04-28,34942.922651760775,27337.483503635827,42843.62579036967
2024-04-29,52312.03452802081,44737.066048000124,60189.291549043926
2024-04-30,54649.603361217705,46782.233612176475,63019.71390851098
2024-05-01,54552.59874488659,47288.89982369465,62725.5594984408
2024-05-02,55029.26284535029,47189.81939633928,62661.55331604155
2024-05-03,57597.7118894928,49848.40213063838,65087.22578124039
2024-05-04,45676.074355765144,37698.313305710006,53124.623175626366
2024-05-05,34943.13095267082,27054.06179439291,42751.75638069835
2024-05-06,52312.242828939074,44326.50283728613,59838.93141384518
2024-05-07,54649.81166212055,46942.114501144526,62365.59796799977
2024-05-08,54552.80704579035,47313.90460253656,62467.9796604172
2024-05-09,55022.03411466075,47713.75014816172,62956.22211246968
2024-05-10,57583.04612723206,50042.51912897173,65440.22577614958
2024-05-11,45653.97156196163,37370.96221155878,53241.92271624716
2024-05-12,34913.5911272223,27374.72358299204,43282.26224030635
2024-05-13,52275.265971912864,44899.18560103576,60366.76805956517
2024-05-14,54605.39777349848,46625.28933629191,62399.351569481434
2024-05-15,54500.95612558012,47227.88261177829,62370.0999158697
2024-05-16,54970.18319444107,46757.560154689054,62278.069568253006
2024-05-17,57531.195207023105,50009.52061830678,65561.03224896545
2024-05-18,45602.12064171898,37593.15413501348,53232.437356878996
2024-05-19,34861.740207004856,27128.588756742312,42953.02515199901
2024-05-20,52223.41505170365,44718.888180723865,59680.449440878656
2024-05-21,54553.54685327383,46419.96912405862,62237.34395235259
2024-05-22,54449.105205367334,46827.54915898528,61895.964921598286
2024-05-23,54918.332274213695,47292.239525837525,62034.2814907649
2024-05-24,57479.34428677676,48808.88495025757,65307.25148723485
2024-05-25,45550.269719681215,37636.68268057292,53117.5765750121
2024-05-26,34809.88928311481,26970.76960765917,42688.78325813148
2024-05-27,52171.56412595602,44856.25174577644,60206.796241007876
2024-05-28,54501.69592574212,46230.65054228938,61792.77047562627
2024-05-29,54397.254276023275,46749.118685189074,62727.90878370006
2024-05-30,54866.48134304359,46594.8586400927,62658.116713237185
2024-05-31,57427.49335378045,49635.98766209612,65077.286228348414
2024-06-01,45498.41878665121,37845.331691398475,52402.591987460684
2024-06-02,34758.03835011001,27373.268207232217,42589.19981448312
2024-06-03,52119.71319295945,44526.39753931756,60171.90537881625
2024-06-04,54449.84499274305,46624.840102526025,62288.735120968886
2024-06-05,54345.40334299869,46826.17035901061,62245.424058744225
2024-06-06,54814.630410046724,47471.1958275882,62781.79791810966
2024-06-07,57375.642420791446,49934.37011297094,65248.563052993355
2024-06-08,45446.5678536212,37535.139895447865,53829.01070859585
2024-06-09,34706.18741711503,26896.34803120915,42188.48792373335
2024-06-10,52067.86226163384,44424.678015049496,59860.491278272304
2024-06-11,54397.99406306927,46884.042501005955,62381.754368491056
2024-06-12,54293.55241500586,46389.99136478172,61951.75964961558
2024-06-13,54762.77948372629,46603.6372151434,61859.30374153399
2024-06-14,57323.791496140686,49904.656436730314,65331.87710890725
2024-06-15,45394.7169306375,37619.57291995069,53335.45436226721
2024-06-16,34654.336495784184,26745.15270609685,42579.731312656135
2024-06-17,52016.01134032288,44396.58923013487,60132.29157023356
2024-06-18,54346.14314175289,46406.97160926337,62197.6766143079
2024-06-19,54241.70149367853,46197.04935965045,61167.14206442885
2024-06-20,54710.928562395304,47188.64878720977,62985.37677247792
2024-06-21,57271.940574809436,49396.35966696211,64998.85804858967
2024-06-22,45342.86600929125,37634.61863302004,53430.59584258845
