ds,yhat,yhat_lower,yhat_upper
2024-01-01,6122.849092464553,5238.866806517412,7082.689120461372
2024-01-02,6198.029518464988,5299.107113701149,7151.988907174048
2024-01-03,6232.837622368676,5342.770031083446,7161.377734196286
2024-01-04,6296.622751605707,5359.84288770192,7198.270359822481
2024-01-05,6824.628181820776,5917.642311350198,7716.761163125958
2024-01-06,5890.955576640402,4953.8243379791675,6800.444349083911
2024-01-07,4379.785309735984,3455.068848679711,5312.293110669476
2024-01-08,6186.979887826215,5277.87441927469,7083.664830739887
2024-01-09,6262.160313831672,5268.332166301371,7201.98237845573
2024-01-10,6296.968417732396,5338.620887611835,7157.315538467515
2024-01-11,6360.753546970929,5447.547368244258,7282.620616703285
2024-01-12,6888.758977189041,5937.793825948135,7799.440625240799
2024-01-13,5955.086372013111,5061.5318005068575,6884.251031711831
2024-01-14,4443.916105103521,3488.487330204725,5312.464584075688
2024-01-15,6251.110683193823,5339.80934180035,7114.82292131126
2024-01-16,6326.291109198358,5329.6498177137655,7190.314776839208
2024-01-17,6361.099213100261,5497.810978451841,7219.662341376183
2024-01-18,6424.884340945488,5512.38106687293,7394.489061999121
2024-01-19,6952.889769770843,6088.884180421134,7869.08009919687
2024-01-20,6019.217163199147,5157.6768795205835,6882.6079416344255
2024-01-21,4508.046894895905,3608.941040783835,5389.327157920985
2024-01-22,6315.241471595273,5377.445118119473,7207.342740097659
2024-01-23,6390.421896204489,5480.006850777377,7258.464850670159
2024-01-24,6425.22999871492,5501.536392682469,7349.1067891673765
2024-01-25,6489.0151265580935,5552.351643882799,7398.925721881892
2024-01-26,7017.020555383934,6126.712932269234,7886.469937860839
2024-01-27,6083.347948812259,5163.322412615618,6961.6172060406725
2024-01-28,4572.177680510824,3632.272306519349,5524.025348412249
2024-01-29,6379.372257204317,5505.7658308042855,7321.931350146275
2024-01-30,6454.5526818173885,5521.476876380175,7452.972256678398
2024-01-31,6489.360784328094,5530.876330549827,7393.678155468226
2024-02-01,6553.1459121747,5629.572246588643,7439.095537593091
2024-02-02,7081.151340997026,6208.589614273328,7953.611111142049
