ds,yhat,yhat_lower,yhat_upper
2024-01-01,6119.36340201285,5157.103796999407,7090.399725062823
2024-01-02,6336.560137781966,5300.698261330392,7368.132518663619
2024-01-03,6305.135371791564,5321.443398013506,7202.614926095015
2024-01-04,6398.126233657304,5406.642420274803,7420.289823458319
2024-01-05,6711.421477781661,5750.3616579963855,7689.545751808878
2024-01-06,4993.743410824989,3948.7736249442205,5911.512137499224
2024-01-07,3670.237455754653,2552.03763556745,4714.452243335172
2024-01-08,6156.180288540121,5176.990296286547,7131.215688228807
2024-01-09,6373.377024315793,5430.563945068564,7359.503642932351
2024-01-10,6341.952258322959,5366.191598920028,7378.059783685589
2024-01-11,6434.943120189978,5433.714138111526,7498.44944019419
2024-01-12,6748.238364316805,5804.4362604801245,7734.799753415712
2024-01-13,5030.560297366517,4016.4027856756657,5980.547494058067
2024-01-14,3707.0543422902388,2729.538961485422,4658.470751515833
2024-01-15,6192.997175075547,5165.63039946683,7150.783594715699
2024-01-16,6410.19391084962,5317.148534711697,7421.6843786761765
2024-01-17,6378.769144857977,5377.043985137759,7322.492822189445
2024-01-18,6471.760007212651,5512.494969387592,7493.696553203061
2024-01-19,6785.055251827034,5809.686442863964,7742.96171083326
2024-01-20,5067.377185361938,4039.924291592441,6076.90905335916
2024-01-21,3743.8712307731084,2768.9997511610122,4732.188932386171
2024-01-22,6229.814064048689,5222.950090211213,7170.037439765607
2024-01-23,6447.0108003078985,5484.15265429099,7417.650776931683
2024-01-24,6415.586034805339,5474.022381732413,7409.209938437753
2024-01-25,6508.576897158128,5496.553788832364,7608.955493594108
2024-01-26,6821.872141772371,5826.869491300005,7753.907457107463
2024-01-27,5104.194075307532,4126.852096737385,6059.801379364711
2024-01-28,3780.6881207214974,2729.821921646607,4764.402281869864
2024-01-29,6266.630953988764,5279.171261745381,7188.175587305175
2024-01-30,6483.82769025372,5422.081807369218,7508.493658202887
2024-01-31,6452.402924751351,5444.119897712407,7430.561345815741
2024-02-01,6545.393787107083,5570.488424446792,7476.0667618312145
2024-02-02,6858.689031717707,5754.70342256807,7832.681519921722
2024-02-03,5141.010965290911,4138.077962726698,6126.879183423737
2024-02-04,3817.5050107451816,2838.9760943722126,4827.761483012001
2024-02-05,6303.447844056748,5289.287379638946,7260.054620121025
2024-02-06,6520.644580360495,5574.143000773519,7505.560788391309
2024-02-07,6489.219814897541,5465.802009229343,7422.309310933595
2024-02-08,6582.210677292778,5619.876893099178,7599.048233605612
2024-02-09,6895.505921947359,5940.675534422846,7902.610454218026
2024-02-10,5177.827855514508,4178.761547269195,6122.181984807821
2024-02-11,3854.3219009723775,2885.734303403634,4895.156875710434
2024-02-12,6340.264734285583,5303.411528011056,7414.205837891261
