ds,yhat,yhat_lower,yhat_upper
2024-01-01,4659.475020133516,3915.536643629802,5403.636850551392
2024-01-02,4738.397257885856,4036.4472448960796,5505.701124942808
2024-01-03,4836.40778132032,4097.982257638726,5643.313398785987
2024-01-04,4826.811047091748,4067.7667691887277,5569.985276911285
2024-01-05,5028.025874710679,4300.98138885116,5856.331219255345
2024-01-06,3972.486781058699,3181.476887610391,4720.815661985088
2024-01-07,3107.4640774424292,2293.9952826087447,3831.138068631652
2024-01-08,4688.251500009964,3916.992630765522,5441.805419506583
2024-01-09,4767.1737377663485,4039.186968929959,5611.57301978929
2024-01-10,4865.184261199112,4123.56418077025,5635.9767486430665
2024-01-11,4855.587526971284,4042.8499109526183,5586.2358398547085
2024-01-12,5056.802354592167,4284.515229863714,5824.450538638151
2024-01-13,4001.263260943965,3235.36495889631,4809.642288917258
2024-01-14,3136.240557324126,2315.168393197769,3885.6348455182706
2024-01-15,4717.027979891429,3926.971958704937,5490.0071387711505
2024-01-16,4795.950217646839,3987.905159008966,5590.95165853975
2024-01-17,4893.960741080429,4130.933261114776,5720.613929065722
2024-01-18,4884.364006859448,4132.369011589179,5630.7847219997175
2024-01-19,5085.578834487397,4279.854304290426,5849.93901839175
2024-01-20,4030.0397408444624,3176.8773803341487,4846.589126304272
2024-01-21,3165.017037231075,2395.4750052623363,3895.634524985749
2024-01-22,4745.804459807252,3972.5401036185262,5565.746412050605
2024-01-23,4824.726697568045,4066.057154481097,5649.571479232073
2024-01-24,4922.737221009336,4142.684748406517,5727.5119731444875
2024-01-25,4913.140486787083,4102.783075698342,5664.168434075078
2024-01-26,5114.355314415077,4329.255882905021,5850.734633754786
2024-01-27,4058.816220772445,3263.8128693962212,4822.815160711871
2024-01-28,3193.7935171608724,2403.1595538943516,3933.862702853953
2024-01-29,4774.580939731799,3979.478809258296,5536.272017251535
2024-01-30,4853.503177496121,4124.179877424951,5668.201956962244
2024-01-31,4951.51370093749,4164.405208023173,5729.857535641664
2024-02-01,4941.916966717708,4235.2622489449095,5692.477722325755
2024-02-02,5143.131794342757,4349.159226853303,5898.996357416895
2024-02-03,4087.5927004267874,3394.364636674841,4846.319959699637
2024-02-04,3222.569996543667,2495.638277262868,3990.9673059463403
2024-02-05,4803.357418845145,4016.5553642029718,5516.459358541267
2024-02-06,4882.279656336866,4100.540491285453,5651.306290634532
2024-02-07,4980.290179505836,4262.797022856851,5757.0660113529375
2024-02-08,4970.693445013573,4286.195368085252,5707.169165890288
2024-02-09,5171.908272369261,4415.82958201694,5939.775907647429
2024-02-10,4116.36917844936,3323.505975975594,4884.958544281851
2024-02-11,3251.346474568615,2482.2148791413038,4073.8271429073816
2024-02-12,4832.133896871313,4078.909373577303,5605.374476418768
2024-02-13,4911.056134361725,4113.151980130142,5618.058521851205
2024-02-14,5009.066657531519,4230.251449271968,5748.920277344099
2024-02-15,4999.469923039234,4274.272328476966,5744.524334320668
2024-02-16,5200.684750395116,4427.852926578946,5886.54037642679
2024-02-17,4145.145656473611,3379.9957814209606,4860.849450009992
2024-02-18,3280.1229525935632,2513.562634000694,4033.9080506232704
2024-02-19,4860.910374608722,4110.6261130053645,5584.466063514334
2024-02-20,4939.832611810978,4226.341832064786,5663.352184252823
2024-02-21,5037.843134692936,4315.15585139718,5811.223499242557
2024-02-22,5028.2463999107795,4277.625766943172,5790.729455044782
2024-02-23,5229.4612269767085,4438.876356799865,6001.559907531252
2024-02-24,4173.922132769324,3340.911864142034,5001.464641939609
2024-02-25,3308.8994285999233,2479.245765165207,4014.6346314271545
2024-02-26,4889.68685061793,4160.828772655785,5646.925200173102
2024-02-27,4968.609087818696,4223.296580149593,5687.267548843924
2024-02-28,5066.619610700222,4302.080325879743,5754.801495150951
2024-02-29,5057.022875919814,4273.469103576038,5798.233024711807
2024-03-01,5258.237702985938,4478.18227923043,6010.355558818674
2024-03-02,4202.6986087823325,3489.0636480199028,5015.875358527052
2024-03-03,3337.675904608245,2557.917090243451,4127.571973359744
2024-03-04,4918.463326626803,4175.66047963642,5712.0032975772765
2024-03-05,4997.385563827444,4208.934298725358,5803.061169539606
2024-03-06,5095.396058067987,4233.048339320504,5888.2902471077405
2024-03-07,5085.799294649022,4329.886221687869,5817.485950636878
2024-03-08,5287.014093076947,4510.590851904878,6054.987342913261
2024-03-09,4231.474970233196,3395.7035002581943,4988.515944441536
2024-03-10,3366.452237423829,2598.7312885334572,4111.775136227277
2024-03-11,4947.239630803384,4174.760767085277,5764.7041784672165
