ds,yhat,yhat_lower,yhat_upper
2024-01-01,12556.275308707038,10738.388286391395,14496.832447127505
2024-01-02,12865.739216107044,11080.165948626314,14559.141334360367
2024-01-03,12645.821321520501,10879.75916526098,14543.177687631252
2024-01-04,12877.682608641233,11105.09135307184,14712.335097954905
2024-01-05,13544.311790046586,11707.503746828863,15567.248909949758
2024-01-06,10200.85089317856,8313.834219608674,12095.941817719453
2024-01-07,7559.815208296302,5819.495422849909,9433.512569994526
2024-01-08,12579.028884857275,10647.66923971935,14316.785827281461
2024-01-09,12888.492792270239,11066.71479249401,14841.130637174581
2024-01-10,12668.574897678667,10912.868367892319,14569.681979675073
2024-01-11,12900.436184802187,10982.9454098558,14663.967857399868
2024-01-12,13567.065366212562,11602.47039930708,15387.321847993153
2024-01-13,10223.604469357086,8331.02648825499,12006.538083209109
2024-01-14,7582.56878446304,5780.250933735745,9416.044995994995
2024-01-15,12601.782461023678,10830.607073470483,14448.763660285433
2024-01-16,12911.246368433433,11018.267988959942,14747.41259740575
2024-01-17,12691.32847384439,10892.33345296708,14610.737316075607
2024-01-18,12923.18976122883,11082.558513718612,14754.135487965103
2024-01-19,13589.818942899903,11803.06327427504,15461.669674951909
2024-01-20,10246.358046300345,8566.073088144754,12116.040252700725
2024-01-21,7605.32236166698,5797.979293771249,9250.191753826908
2024-01-22,12624.53603849349,10987.250840326416,14368.03450070797
2024-01-23,12933.999946158914,11159.76788493199,14861.46160987029
2024-01-24,12714.082051834084,10926.218382997848,14584.075980147258
2024-01-25,12945.943339214551,11112.140878221955,14706.05808293815
2024-01-26,13612.572520885402,11780.965991514378,15368.48925611176
2024-01-27,10269.11162428633,8587.245036356138,11964.795688522454
2024-01-28,7628.075939658486,5766.443529158427,9357.764982202412
2024-01-29,12647.289616468497,10865.605516403743,14541.965572768166
2024-01-30,12956.753524145073,11063.257990611677,14711.975725149005
2024-01-31,12736.8356298208,10891.625336263938,14444.039784460274
2024-02-01,12968.696917207177,11079.397713541928,14892.412739356861
2024-02-02,13635.326098870903,11795.398546439423,15585.08635525476
2024-02-03,10291.86520089446,8555.394557090991,12099.075889495043
2024-02-04,7650.829514893484,5788.256008595704,9378.940178834762
2024-02-05,12670.043190338907,10753.425048437415,14549.732245591367
2024-02-06,12979.507096639398,11222.936483368272,14824.563105757637
2024-02-07,12759.589200940465,11055.641216550874,14505.564259712137
2024-02-08,12991.450486952443,11074.497061747035,14838.884731624872
2024-02-09,13658.079667250366,11835.068185416587,15511.957910444884
2024-02-10,10314.618769262135,8548.138702682903,12286.184930726793
2024-02-11,7673.583083268363,5799.528814110494,9464.847074248053
2024-02-12,12692.796758716746,10979.248030389492,14498.60301067939
2024-02-13,13002.260665013497,11192.461754102646,14666.723046888128
2024-02-14,12782.342769317094,10913.297202582049,14578.630210783189
2024-02-15,13014.20405532931,11202.031000425282,14777.652131532259
2024-02-16,13680.833235627246,11871.458682665578,15544.745603604015
2024-02-17,10337.372337634255,8545.699709815008,12084.273106904539
2024-02-18,7696.336651643243,5794.263357517796,9437.211948894952
2024-02-19,12715.550327195024,10978.314325891226,14510.497885746152
2024-02-20,13025.014233593703,11167.304629863309,14920.156522910858
2024-02-21,12805.096337998233,10900.143349591546,14607.518097514981
2024-02-22,13036.95762410718,11233.580060556471,14819.962758092219
